Created as New Dataset,3.2 Jute cord
cm-1,%T
3021.00,97.73
3020.00,97.74
3019.00,97.74
3018.00,97.74
3017.00,97.73
3016.00,97.72
3015.00,97.71
3014.00,97.71
3013.00,97.70
3012.00,97.70
3011.00,97.71
3010.00,97.72
3009.00,97.74
3008.00,97.75
3007.00,97.76
3006.00,97.76
3005.00,97.75
3004.00,97.75
3003.00,97.74
3002.00,97.74
3001.00,97.73
3000.00,97.74
2999.00,97.74
2998.00,97.74
2997.00,97.73
2996.00,97.71
2995.00,97.70
2994.00,97.68
2993.00,97.68
2992.00,97.68
2991.00,97.69
2990.00,97.69
2989.00,97.69
2988.00,97.68
2987.00,97.66
2986.00,97.64
2985.00,97.63
2984.00,97.62
2983.00,97.61
2982.00,97.60
2981.00,97.58
2980.00,97.56
2979.00,97.53
2978.00,97.51
2977.00,97.48
2976.00,97.46
2975.00,97.43
2974.00,97.40
2973.00,97.36
2972.00,97.31
2971.00,97.27
2970.00,97.23
2969.00,97.20
2968.00,97.17
2967.00,97.15
2966.00,97.13
2965.00,97.10
2964.00,97.06
2963.00,97.02
2962.00,96.98
2961.00,96.94
2960.00,96.91
2959.00,96.89
2958.00,96.88
2957.00,96.87
2956.00,96.85
2955.00,96.83
2954.00,96.81
2953.00,96.77
2952.00,96.72
2951.00,96.67
2950.00,96.64
2949.00,96.61
2948.00,96.59
2947.00,96.57
2946.00,96.55
2945.00,96.54
2944.00,96.52
2943.00,96.50
2942.00,96.45
2941.00,96.39
2940.00,96.33
2939.00,96.29
2938.00,96.27
2937.00,96.24
2936.00,96.21
2935.00,96.18
2934.00,96.14
2933.00,96.11
2932.00,96.08
2931.00,96.05
2930.00,96.01
2929.00,95.96
2928.00,95.92
2927.00,95.90
2926.00,95.89
2925.00,95.87
2924.00,95.85
2923.00,95.83
2922.00,95.81
2921.00,95.79
2920.00,95.79
2919.00,95.80
2918.00,95.81
2917.00,95.82
2916.00,95.85
2915.00,95.87
2914.00,95.89
2913.00,95.91
2912.00,95.92
2911.00,95.94
2910.00,95.96
2909.00,95.97
2908.00,95.98
2907.00,95.97
2906.00,95.98
2905.00,95.99
2904.00,96.01
2903.00,96.02
2902.00,96.02
2901.00,96.02
2900.00,96.03
2899.00,96.04
2898.00,96.07
2897.00,96.08
2896.00,96.09
2895.00,96.09
2894.00,96.09
2893.00,96.10
2892.00,96.12
