Created as New Dataset,11.4 Red Cormo sheep
cm-1,%T
3256.00,94.63
3255.00,94.66
3254.00,94.71
3253.00,94.76
3252.00,94.79
3251.00,94.82
3250.00,94.85
3249.00,94.89
3248.00,94.92
3247.00,94.95
3246.00,94.97
3245.00,95.00
3244.00,95.03
3243.00,95.06
3242.00,95.09
3241.00,95.11
3240.00,95.11
3239.00,95.12
3238.00,95.13
3237.00,95.16
3236.00,95.21
3235.00,95.25
3234.00,95.28
3233.00,95.30
3232.00,95.32
3231.00,95.36
3230.00,95.40
3229.00,95.43
3228.00,95.46
3227.00,95.47
3226.00,95.48
3225.00,95.48
3224.00,95.49
3223.00,95.51
3222.00,95.52
3221.00,95.54
3220.00,95.55
3219.00,95.55
3218.00,95.56
3217.00,95.58
3216.00,95.60
3215.00,95.63
3214.00,95.65
3213.00,95.67
3212.00,95.70
3211.00,95.74
3210.00,95.78
3209.00,95.82
3208.00,95.86
3207.00,95.87
3206.00,95.88
3205.00,95.88
3204.00,95.88
3203.00,95.88
3202.00,95.89
3201.00,95.91
3200.00,95.94
3199.00,95.98
3198.00,96.02
3197.00,96.04
3196.00,96.05
3195.00,96.06
3194.00,96.07
3193.00,96.09
3192.00,96.12
3191.00,96.15
3190.00,96.18
3189.00,96.21
3188.00,96.24
3187.00,96.27
3186.00,96.30
3185.00,96.33
3184.00,96.37
3183.00,96.40
3182.00,96.43
3181.00,96.46
3180.00,96.48
3179.00,96.52
3178.00,96.56
3177.00,96.60
3176.00,96.64
3175.00,96.67
3174.00,96.71
3173.00,96.75
3172.00,96.78
3171.00,96.82
3170.00,96.86
3169.00,96.89
3168.00,96.90
3167.00,96.91
3166.00,96.92
3165.00,96.96
3164.00,97.00
3163.00,97.05
3162.00,97.09
3161.00,97.12
3160.00,97.14
3159.00,97.18
3158.00,97.23
3157.00,97.28
3156.00,97.34
3155.00,97.39
3154.00,97.42
3153.00,97.44
3152.00,97.45
3151.00,97.46
3150.00,97.48
3149.00,97.51
3148.00,97.54
3147.00,97.58
3146.00,97.61
3145.00,97.64
3144.00,97.68
3143.00,97.72
3142.00,97.76
3141.00,97.78
3140.00,97.79
3139.00,97.80
3138.00,97.80
3137.00,97.81
3136.00,97.82
3135.00,97.84
3134.00,97.86
3133.00,97.88
3132.00,97.90
3131.00,97.92
3130.00,97.94
3129.00,97.97
3128.00,98.00
3127.00,98.02
3126.00,98.04
3125.00,98.05
3124.00,98.06
3123.00,98.08
3122.00,98.09
3121.00,98.10
3120.00,98.11
3119.00,98.12
3118.00,98.14
3117.00,98.15
3116.00,98.15
3115.00,98.15
3114.00,98.15
3113.00,98.15
3112.00,98.16
3111.00,98.18
3110.00,98.19
3109.00,98.20
3108.00,98.20
3107.00,98.20
3106.00,98.20
3105.00,98.20
3104.00,98.20
3103.00,98.21
3102.00,98.21
3101.00,98.21
3100.00,98.20
3099.00,98.19
3098.00,98.17
3097.00,98.16
3096.00,98.14
3095.00,98.12
3094.00,98.12
3093.00,98.12
3092.00,98.14
3091.00,98.15
3090.00,98.15
3089.00,98.14
3088.00,98.12
3087.00,98.11
3086.00,98.12
3085.00,98.14
3084.00,98.15
3083.00,98.15
3082.00,98.12
3081.00,98.09
3080.00,98.06
3079.00,98.03
3078.00,98.01
3077.00,98.00
3076.00,98.00
3075.00,97.99
3074.00,97.98
3073.00,97.97
3072.00,97.96
3071.00,97.97
3070.00,97.97
3069.00,97.98
3068.00,98.00
3067.00,98.02
3066.00,98.05
3065.00,98.07
3064.00,98.07
3063.00,98.06
3062.00,98.03
3061.00,98.01
3060.00,98.01
3059.00,98.02
3058.00,98.04
3057.00,98.05
3056.00,98.06
3055.00,98.08
3054.00,98.11
3053.00,98.15
3052.00,98.20
3051.00,98.23
3050.00,98.25
3049.00,98.26
3048.00,98.26
3047.00,98.25
3046.00,98.26
3045.00,98.27
3044.00,98.29
3043.00,98.31
3042.00,98.34
3041.00,98.38
3040.00,98.41
3039.00,98.44
3038.00,98.46
3037.00,98.47
3036.00,98.49
3035.00,98.52
3034.00,98.54
3033.00,98.55
3032.00,98.56
3031.00,98.56
3030.00,98.57
3029.00,98.59
3028.00,98.61
3027.00,98.63
3026.00,98.65
3025.00,98.67
3024.00,98.68
3023.00,98.70
3022.00,98.71
3021.00,98.73
3020.00,98.74
3019.00,98.75
3018.00,98.76
3017.00,98.76
3016.00,98.75
3015.00,98.74
3014.00,98.72
3013.00,98.69
3012.00,98.67
3011.00,98.66
3010.00,98.67
3009.00,98.69
3008.00,98.71
3007.00,98.71
3006.00,98.69
3005.00,98.66
3004.00,98.64
3003.00,98.61
3002.00,98.59
3001.00,98.56
3000.00,98.52
2999.00,98.48
2998.00,98.43
2997.00,98.38
2996.00,98.33
2995.00,98.26
2994.00,98.20
2993.00,98.12
2992.00,98.05
2991.00,97.98
2990.00,97.90
2989.00,97.80
2988.00,97.70
2987.00,97.59
2986.00,97.48
2985.00,97.36
2984.00,97.25
2983.00,97.13
2982.00,97.01
2981.00,96.88
2980.00,96.74
2979.00,96.59
2978.00,96.44
2977.00,96.29
2976.00,96.14
2975.00,96.00
2974.00,95.86
2973.00,95.72
2972.00,95.55
2971.00,95.36
2970.00,95.16
2969.00,94.97
2968.00,94.80
2967.00,94.65
2966.00,94.49
2965.00,94.34
2964.00,94.19
2963.00,94.06
2962.00,93.92
2961.00,93.79
2960.00,93.68
2959.00,93.58
2958.00,93.49
2957.00,93.41
2956.00,93.36
2955.00,93.33
2954.00,93.31
2953.00,93.30
2952.00,93.29
2951.00,93.28
2950.00,93.27
2949.00,93.25
2948.00,93.23
2947.00,93.20
2946.00,93.14
2945.00,93.04
2944.00,92.92
2943.00,92.77
2942.00,92.59
2941.00,92.38
2940.00,92.15
2939.00,91.90
2938.00,91.62
2937.00,91.34
2936.00,91.04
2935.00,90.74
2934.00,90.42
2933.00,90.09
2932.00,89.76
2931.00,89.44
2930.00,89.11
2929.00,88.79
2928.00,88.46
2927.00,88.13
2926.00,87.83
2925.00,87.55
2924.00,87.29
2923.00,87.06
2922.00,86.86
2921.00,86.71
2920.00,86.61
2919.00,86.59
2918.00,86.66
2917.00,86.85
2916.00,87.19
2915.00,87.68
2914.00,88.29
2913.00,88.94
2912.00,89.59
2911.00,90.18
2910.00,90.69
2909.00,91.13
2908.00,91.50
2907.00,91.83
2906.00,92.13
2905.00,92.38
2904.00,92.60
2903.00,92.77
2902.00,92.92
2901.00,93.07
2900.00,93.23
2899.00,93.40
2898.00,93.57
2897.00,93.73
2896.00,93.88
2895.00,94.02
2894.00,94.16
2893.00,94.29
2892.00,94.43
2891.00,94.56
2890.00,94.69
2889.00,94.81
2888.00,94.91
2887.00,95.01
2886.00,95.10
2885.00,95.18
2884.00,95.24
2883.00,95.29
2882.00,95.33
2881.00,95.35
2880.00,95.36
2879.00,95.35
2878.00,95.33
2877.00,95.30
2876.00,95.27
2875.00,95.22
2874.00,95.18
2873.00,95.13
2872.00,95.09
2871.00,95.07
2870.00,95.07
2869.00,95.09
2868.00,95.11
2867.00,95.12
2866.00,95.10
2865.00,95.06
2864.00,94.98
2863.00,94.87
2862.00,94.71
2861.00,94.49
2860.00,94.23
2859.00,93.92
2858.00,93.59
2857.00,93.22
2856.00,92.83
2855.00,92.42
2854.00,92.00
2853.00,91.60
2852.00,91.26
2851.00,91.05
2850.00,91.05
2849.00,91.31
2848.00,91.83
2847.00,92.54
2846.00,93.35
2845.00,94.15
2844.00,94.89
2843.00,95.53
2842.00,96.07
2841.00,96.52
2840.00,96.89
2839.00,97.21
2838.00,97.49
2837.00,97.73
2836.00,97.95
2835.00,98.13
2834.00,98.28
2833.00,98.40
2832.00,98.49
2831.00,98.58
2830.00,98.67
2829.00,98.76
2828.00,98.84
2827.00,98.91
2826.00,98.97
2825.00,99.02
2824.00,99.07
2823.00,99.12
2822.00,99.17
2821.00,99.23
2820.00,99.29
2819.00,99.35
2818.00,99.39
2817.00,99.42
2816.00,99.46
2815.00,99.50
2814.00,99.53
2813.00,99.56
2812.00,99.59
2811.00,99.62
2810.00,99.66
2809.00,99.69
2808.00,99.70
2807.00,99.71
2806.00,99.73
2805.00,99.75
2804.00,99.76
2803.00,99.79
2802.00,99.82
2801.00,99.85
2800.00,99.88
2799.00,99.90
2798.00,99.91
2797.00,99.92
2796.00,99.93
2795.00,99.96
2794.00,99.99
2793.00,100.02
2792.00,100.05
2791.00,100.07
2790.00,100.09
2789.00,100.11
2788.00,100.13
2787.00,100.14
2786.00,100.15
2785.00,100.15
2784.00,100.15
2783.00,100.16
2782.00,100.18
2781.00,100.20
2780.00,100.22
2779.00,100.24
2778.00,100.26
2777.00,100.28
2776.00,100.31
2775.00,100.33
2774.00,100.35
2773.00,100.36
2772.00,100.36
2771.00,100.36
2770.00,100.35
2769.00,100.35
2768.00,100.35
2767.00,100.37
2766.00,100.40
2765.00,100.42
2764.00,100.44
2763.00,100.45
2762.00,100.46
2761.00,100.46
2760.00,100.46
2759.00,100.46
2758.00,100.46
2757.00,100.46
2756.00,100.47
2755.00,100.48
2754.00,100.50
2753.00,100.52
2752.00,100.54
2751.00,100.54
2750.00,100.54
2749.00,100.54
2748.00,100.54
2747.00,100.55
2746.00,100.55
2745.00,100.55
2744.00,100.56
2743.00,100.57
2742.00,100.59
2741.00,100.59
2740.00,100.58
2739.00,100.58
2738.00,100.57
2737.00,100.58
2736.00,100.60
2735.00,100.62
2734.00,100.64
2733.00,100.65
2732.00,100.66
2731.00,100.67
2730.00,100.67
2729.00,100.67
2728.00,100.69
2727.00,100.70
2726.00,100.72
2725.00,100.73
2724.00,100.72
2723.00,100.71
2722.00,100.69
2721.00,100.69
2720.00,100.69
2719.00,100.70
2718.00,100.72
2717.00,100.74
2716.00,100.74
2715.00,100.75
2714.00,100.75
2713.00,100.76
2712.00,100.77
2711.00,100.78
2710.00,100.79
2709.00,100.79
2708.00,100.80
2707.00,100.80
2706.00,100.81
2705.00,100.82
2704.00,100.83
2703.00,100.84
2702.00,100.86
2701.00,100.86
2700.00,100.86
2699.00,100.86
2698.00,100.86
2697.00,100.87
2696.00,100.89
2695.00,100.90
2694.00,100.90
2693.00,100.90
2692.00,100.89
2691.00,100.88
2690.00,100.88
2689.00,100.88
2688.00,100.89
2687.00,100.90
2686.00,100.91
2685.00,100.92
2684.00,100.92
2683.00,100.92
2682.00,100.92
2681.00,100.91
2680.00,100.91
2679.00,100.91
2678.00,100.91
2677.00,100.91
2676.00,100.91
2675.00,100.91
2674.00,100.92
2673.00,100.94
2672.00,100.96
2671.00,100.96
2670.00,100.96
2669.00,100.97
2668.00,100.97
2667.00,100.97
2666.00,100.97
2665.00,100.96
2664.00,100.97
2663.00,100.97
2662.00,100.97
2661.00,100.97
2660.00,100.98
2659.00,100.99
2658.00,101.00
2657.00,101.00
2656.00,100.99
2655.00,100.98
2654.00,100.96
2653.00,100.94
2652.00,100.93
2651.00,100.93
2650.00,100.95
2649.00,100.97
2648.00,101.00
2647.00,101.02
2646.00,101.02
2645.00,101.01
2644.00,100.99
2643.00,100.98
2642.00,100.97
2641.00,100.97
2640.00,100.97
2639.00,100.98
2638.00,100.99
2637.00,101.00
2636.00,101.00
2635.00,100.99
2634.00,100.99
2633.00,101.00
2632.00,101.01
2631.00,101.02
2630.00,101.02
2629.00,101.01
2628.00,101.00
2627.00,101.00
2626.00,101.02
2625.00,101.03
2624.00,101.03
2623.00,101.02
2622.00,101.02
2621.00,101.03
2620.00,101.04
2619.00,101.05
2618.00,101.06
2617.00,101.05
2616.00,101.05
2615.00,101.04
2614.00,101.04
2613.00,101.04
2612.00,101.06
2611.00,101.08
2610.00,101.09
2609.00,101.09
2608.00,101.08
2607.00,101.07
2606.00,101.08
2605.00,101.08
2604.00,101.09
2603.00,101.10
2602.00,101.12
2601.00,101.13
2600.00,101.13
2599.00,101.14
2598.00,101.15
2597.00,101.15
2596.00,101.15
2595.00,101.13
2594.00,101.13
2593.00,101.12
2592.00,101.12
2591.00,101.11
2590.00,101.12
2589.00,101.13
2588.00,101.15
2587.00,101.16
2586.00,101.16
2585.00,101.16
2584.00,101.15
2583.00,101.15
2582.00,101.15
2581.00,101.16
2580.00,101.18
2579.00,101.21
2578.00,101.23
2577.00,101.24
2576.00,101.25
2575.00,101.26
2574.00,101.27
2573.00,101.27
2572.00,101.28
2571.00,101.29
2570.00,101.29
2569.00,101.27
2568.00,101.26
2567.00,101.26
2566.00,101.26
2565.00,101.27
2564.00,101.27
2563.00,101.26
2562.00,101.25
2561.00,101.23
2560.00,101.21
2559.00,101.19
2558.00,101.20
2557.00,101.22
2556.00,101.25
2555.00,101.28
2554.00,101.29
2553.00,101.28
2552.00,101.26
2551.00,101.25
2550.00,101.25
2549.00,101.26
2548.00,101.27
2547.00,101.27
2546.00,101.28
2545.00,101.28
2544.00,101.28
2543.00,101.26
2542.00,101.24
2541.00,101.23
2540.00,101.25
2539.00,101.27
2538.00,101.28
2537.00,101.27
2536.00,101.24
2535.00,101.23
2534.00,101.25
2533.00,101.28
2532.00,101.30
2531.00,101.30
2530.00,101.28
2529.00,101.26
2528.00,101.25
2527.00,101.26
2526.00,101.26
2525.00,101.26
2524.00,101.26
2523.00,101.26
2522.00,101.28
2521.00,101.29
2520.00,101.31
2519.00,101.31
2518.00,101.31
2517.00,101.30
2516.00,101.29
2515.00,101.29
2514.00,101.31
2513.00,101.33
2512.00,101.34
2511.00,101.34
2510.00,101.35
2509.00,101.36
2508.00,101.36
2507.00,101.35
2506.00,101.33
2505.00,101.32
2504.00,101.33
2503.00,101.35
2502.00,101.36
2501.00,101.36
2500.00,101.36
2499.00,101.36
2498.00,101.36
2497.00,101.37
2496.00,101.37
2495.00,101.38
2494.00,101.38
2493.00,101.37
2492.00,101.36
2491.00,101.35
2490.00,101.35
2489.00,101.35
2488.00,101.35
2487.00,101.35
2486.00,101.36
2485.00,101.35
2484.00,101.34
2483.00,101.34
2482.00,101.35
2481.00,101.38
2480.00,101.41
2479.00,101.41
2478.00,101.39
2477.00,101.36
2476.00,101.36
2475.00,101.39
2474.00,101.42
2473.00,101.45
2472.00,101.44
2471.00,101.42
2470.00,101.39
2469.00,101.37
2468.00,101.36
2467.00,101.35
2466.00,101.36
2465.00,101.37
2464.00,101.40
2463.00,101.44
2462.00,101.47
2461.00,101.48
2460.00,101.46
