Created as New Dataset,94. Du Pont
cm-1,%T
3031.00,97.45
3030.00,97.49
3029.00,97.53
3028.00,97.56
3027.00,97.58
3026.00,97.60
3025.00,97.61
3024.00,97.62
3023.00,97.63
3022.00,97.65
3021.00,97.66
3020.00,97.68
3019.00,97.70
3018.00,97.73
3017.00,97.76
3016.00,97.78
3015.00,97.80
3014.00,97.81
3013.00,97.82
3012.00,97.83
3011.00,97.83
3010.00,97.83
3009.00,97.83
3008.00,97.83
3007.00,97.83
3006.00,97.83
3005.00,97.84
3004.00,97.84
3003.00,97.85
3002.00,97.85
3001.00,97.84
3000.00,97.84
2999.00,97.84
2998.00,97.83
2997.00,97.83
2996.00,97.83
2995.00,97.84
2994.00,97.85
2993.00,97.85
2992.00,97.84
2991.00,97.82
2990.00,97.79
2989.00,97.76
2988.00,97.74
2987.00,97.71
2986.00,97.68
2985.00,97.62
2984.00,97.55
2983.00,97.48
2982.00,97.41
2981.00,97.35
2980.00,97.29
2979.00,97.23
2978.00,97.15
2977.00,97.07
2976.00,96.98
2975.00,96.87
2974.00,96.75
2973.00,96.62
2972.00,96.50
2971.00,96.36
2970.00,96.21
2969.00,96.05
2968.00,95.87
2967.00,95.69
2966.00,95.50
2965.00,95.32
2964.00,95.15
2963.00,94.98
2962.00,94.82
2961.00,94.65
2960.00,94.45
2959.00,94.23
2958.00,93.97
2957.00,93.69
2956.00,93.40
2955.00,93.08
2954.00,92.74
2953.00,92.35
2952.00,91.92
2951.00,91.45
2950.00,90.95
2949.00,90.44
2948.00,89.92
2947.00,89.42
2946.00,88.96
2945.00,88.55
2944.00,88.20
2943.00,87.87
2942.00,87.55
2941.00,87.22
2940.00,86.88
2939.00,86.54
2938.00,86.20
2937.00,85.90
2936.00,85.64
2935.00,85.44
2934.00,85.30
2933.00,85.23
2932.00,85.23
2931.00,85.32
2930.00,85.48
2929.00,85.70
2928.00,85.94
2927.00,86.20
2926.00,86.46
2925.00,86.71
2924.00,86.97
2923.00,87.24
2922.00,87.50
2921.00,87.77
2920.00,88.04
2919.00,88.31
2918.00,88.58
2917.00,88.84
2916.00,89.08
2915.00,89.31
2914.00,89.51
2913.00,89.69
2912.00,89.86
2911.00,90.03
2910.00,90.19
2909.00,90.35
2908.00,90.51
2907.00,90.68
2906.00,90.88
2905.00,91.09
2904.00,91.30
2903.00,91.52
2902.00,91.74
2901.00,91.97
2900.00,92.19
2899.00,92.40
2898.00,92.61
2897.00,92.81
2896.00,93.01
2895.00,93.18
2894.00,93.32
2893.00,93.44
2892.00,93.53
2891.00,93.60
2890.00,93.65
2889.00,93.67
2888.00,93.66
2887.00,93.62
2886.00,93.54
2885.00,93.43
2884.00,93.27
2883.00,93.07
2882.00,92.83
2881.00,92.56
2880.00,92.28
2879.00,92.00
2878.00,91.73
2877.00,91.49
2876.00,91.28
2875.00,91.12
2874.00,90.98
2873.00,90.87
2872.00,90.77
2871.00,90.69
2870.00,90.62
2869.00,90.56
2868.00,90.49
2867.00,90.39
2866.00,90.25
2865.00,90.06
2864.00,89.85
2863.00,89.64
2862.00,89.45
2861.00,89.31
2860.00,89.23
2859.00,89.21
2858.00,89.26
2857.00,89.38
2856.00,89.60
2855.00,89.89
2854.00,90.25
2853.00,90.64
2852.00,91.05
2851.00,91.48
2850.00,91.92
2849.00,92.35
2848.00,92.77
2847.00,93.17
2846.00,93.55
2845.00,93.90
2844.00,94.22
2843.00,94.50
2842.00,94.74
2841.00,94.95
2840.00,95.13
2839.00,95.29
2838.00,95.43
2837.00,95.55
2836.00,95.64
2835.00,95.72
2834.00,95.79
2833.00,95.86
2832.00,95.93
2831.00,95.99
2830.00,96.04
2829.00,96.08
2828.00,96.11
2827.00,96.15
2826.00,96.19
2825.00,96.23
2824.00,96.28
2823.00,96.32
2822.00,96.36
2821.00,96.40
2820.00,96.44
2819.00,96.48
2818.00,96.53
2817.00,96.58
2816.00,96.63
2815.00,96.67
2814.00,96.69
2813.00,96.71
2812.00,96.73
2811.00,96.76
2810.00,96.79
2809.00,96.81
2808.00,96.84
2807.00,96.86
2806.00,96.88
2805.00,96.91
2804.00,96.95
2803.00,96.99
2802.00,97.02
2801.00,97.04
2800.00,97.05
2799.00,97.06
2798.00,97.07
2797.00,97.08
2796.00,97.09
2795.00,97.11
2794.00,97.14
2793.00,97.16
2792.00,97.19
2791.00,97.22
2790.00,97.25
2789.00,97.27
2788.00,97.28
2787.00,97.29
2786.00,97.30
2785.00,97.30
2784.00,97.29
2783.00,97.28
2782.00,97.28
2781.00,97.30
2780.00,97.33
2779.00,97.36
2778.00,97.39
2777.00,97.40
2776.00,97.40
2775.00,97.39
2774.00,97.39
2773.00,97.40
2772.00,97.41
2771.00,97.42
2770.00,97.44
2769.00,97.45
2768.00,97.46
2767.00,97.47
2766.00,97.47
2765.00,97.48
2764.00,97.48
2763.00,97.48
2762.00,97.49
2761.00,97.49
2760.00,97.50
2759.00,97.51
2758.00,97.52
2757.00,97.53
2756.00,97.53
2755.00,97.53
2754.00,97.54
2753.00,97.54
2752.00,97.54
2751.00,97.54
2750.00,97.52
2749.00,97.51
2748.00,97.50
2747.00,97.51
2746.00,97.52
2745.00,97.54
2744.00,97.56
2743.00,97.56
2742.00,97.56
2741.00,97.57
2740.00,97.58
2739.00,97.61
2738.00,97.63
2737.00,97.64
2736.00,97.64
2735.00,97.65
2734.00,97.65
2733.00,97.66
2732.00,97.66
2731.00,97.67
2730.00,97.68
2729.00,97.70
2728.00,97.72
2727.00,97.75
2726.00,97.77
2725.00,97.79
2724.00,97.80
2723.00,97.82
2722.00,97.83
2721.00,97.83
2720.00,97.83
2719.00,97.83
2718.00,97.84
2717.00,97.86
2716.00,97.88
2715.00,97.89
2714.00,97.90
2713.00,97.90
2712.00,97.91
2711.00,97.90
2710.00,97.90
2709.00,97.89
2708.00,97.88
2707.00,97.89
2706.00,97.90
2705.00,97.91
2704.00,97.92
2703.00,97.93
2702.00,97.94
2701.00,97.95
2700.00,97.95
2699.00,97.94
2698.00,97.93
2697.00,97.92
2696.00,97.91
2695.00,97.91
2694.00,97.91
2693.00,97.92
2692.00,97.93
2691.00,97.93
2690.00,97.93
2689.00,97.93
2688.00,97.92
2687.00,97.91
2686.00,97.92
2685.00,97.93
2684.00,97.95
2683.00,97.96
2682.00,97.97
2681.00,97.97
2680.00,97.97
2679.00,97.97
2678.00,97.97
2677.00,97.97
2676.00,97.96
2675.00,97.96
2674.00,97.96
2673.00,97.97
2672.00,97.97
2671.00,97.98
2670.00,97.99
2669.00,98.00
2668.00,98.01
2667.00,98.01
2666.00,98.01
2665.00,98.00
2664.00,97.98
2663.00,97.98
2662.00,97.97
2661.00,97.97
2660.00,97.96
2659.00,97.96
2658.00,97.96
2657.00,97.96
2656.00,97.95
2655.00,97.94
2654.00,97.94
2653.00,97.93
2652.00,97.93
2651.00,97.93
2650.00,97.93
2649.00,97.92
2648.00,97.92
