Created as New Dataset,Linen Hand supun thread
cm-1,%T
3121.00,96.91
3120.00,96.93
3119.00,96.94
3118.00,96.95
3117.00,96.97
3116.00,96.99
3115.00,97.02
3114.00,97.06
3113.00,97.08
3112.00,97.10
3111.00,97.10
3110.00,97.09
3109.00,97.09
3108.00,97.09
3107.00,97.10
3106.00,97.14
3105.00,97.20
3104.00,97.24
3103.00,97.28
3102.00,97.31
3101.00,97.32
3100.00,97.34
3099.00,97.35
3098.00,97.35
3097.00,97.35
3096.00,97.37
3095.00,97.39
3094.00,97.43
3093.00,97.47
3092.00,97.50
3091.00,97.51
3090.00,97.51
3089.00,97.52
3088.00,97.52
3087.00,97.53
3086.00,97.54
3085.00,97.54
3084.00,97.55
3083.00,97.55
3082.00,97.55
3081.00,97.56
3080.00,97.57
3079.00,97.58
3078.00,97.61
3077.00,97.64
3076.00,97.68
3075.00,97.72
3074.00,97.75
3073.00,97.77
3072.00,97.77
3071.00,97.76
3070.00,97.76
3069.00,97.78
3068.00,97.80
3067.00,97.82
3066.00,97.84
3065.00,97.84
3064.00,97.85
3063.00,97.86
3062.00,97.86
3061.00,97.86
3060.00,97.86
3059.00,97.88
3058.00,97.90
3057.00,97.93
3056.00,97.95
3055.00,97.97
3054.00,97.97
3053.00,97.97
3052.00,97.97
3051.00,97.98
3050.00,98.00
3049.00,98.02
3048.00,98.04
3047.00,98.06
3046.00,98.09
3045.00,98.10
3044.00,98.11
3043.00,98.12
3042.00,98.14
3041.00,98.16
3040.00,98.18
3039.00,98.19
3038.00,98.19
3037.00,98.19
3036.00,98.18
3035.00,98.18
3034.00,98.20
3033.00,98.22
3032.00,98.23
3031.00,98.24
3030.00,98.24
3029.00,98.23
3028.00,98.23
3027.00,98.23
3026.00,98.23
3025.00,98.24
3024.00,98.25
3023.00,98.26
3022.00,98.27
3021.00,98.29
3020.00,98.32
3019.00,98.34
3018.00,98.36
3017.00,98.36
3016.00,98.35
3015.00,98.34
3014.00,98.34
3013.00,98.34
3012.00,98.36
3011.00,98.38
3010.00,98.40
3009.00,98.41
3008.00,98.41
3007.00,98.41
3006.00,98.42
3005.00,98.43
3004.00,98.44
3003.00,98.45
3002.00,98.47
3001.00,98.47
3000.00,98.46
2999.00,98.45
2998.00,98.44
2997.00,98.43
2996.00,98.44
2995.00,98.45
2994.00,98.46
2993.00,98.48
2992.00,98.49
2991.00,98.48
2990.00,98.46
2989.00,98.45
2988.00,98.44
2987.00,98.43
2986.00,98.42
2985.00,98.40
2984.00,98.40
2983.00,98.39
2982.00,98.39
2981.00,98.37
2980.00,98.34
2979.00,98.31
2978.00,98.28
2977.00,98.24
2976.00,98.21
2975.00,98.16
2974.00,98.11
2973.00,98.05
2972.00,97.99
2971.00,97.94
2970.00,97.91
2969.00,97.87
2968.00,97.83
2967.00,97.79
2966.00,97.75
2965.00,97.71
2964.00,97.68
2963.00,97.65
2962.00,97.60
2961.00,97.54
2960.00,97.48
2959.00,97.42
2958.00,97.37
2957.00,97.33
2956.00,97.28
2955.00,97.23
2954.00,97.18
2953.00,97.14
