Created as New Dataset,197 Hoechst AG
cm-1,%T
3268.00,92.52
3267.00,92.56
3266.00,92.58
3265.00,92.60
3264.00,92.61
3263.00,92.62
3262.00,92.64
3261.00,92.67
3260.00,92.70
3259.00,92.72
3258.00,92.72
3257.00,92.70
3256.00,92.69
3255.00,92.70
3254.00,92.71
3253.00,92.74
3252.00,92.76
3251.00,92.78
3250.00,92.79
3249.00,92.80
3248.00,92.81
3247.00,92.80
3246.00,92.81
3245.00,92.83
3244.00,92.86
3243.00,92.89
3242.00,92.91
3241.00,92.91
3240.00,92.92
3239.00,92.94
3238.00,92.96
3237.00,92.97
3236.00,92.97
3235.00,92.97
3234.00,92.97
3233.00,92.97
3232.00,92.98
3231.00,93.00
3230.00,93.02
3229.00,93.06
3228.00,93.10
3227.00,93.12
3226.00,93.13
3225.00,93.12
3224.00,93.12
3223.00,93.14
3222.00,93.17
3221.00,93.22
3220.00,93.26
3219.00,93.29
3218.00,93.30
3217.00,93.30
3216.00,93.30
3215.00,93.31
3214.00,93.33
3213.00,93.36
3212.00,93.38
3211.00,93.41
3210.00,93.42
3209.00,93.44
3208.00,93.45
3207.00,93.47
3206.00,93.48
3205.00,93.50
3204.00,93.53
3203.00,93.56
3202.00,93.58
3201.00,93.61
3200.00,93.64
3199.00,93.68
3198.00,93.71
3197.00,93.72
3196.00,93.73
3195.00,93.73
3194.00,93.75
3193.00,93.77
3192.00,93.79
3191.00,93.81
3190.00,93.83
3189.00,93.85
3188.00,93.89
3187.00,93.91
3186.00,93.92
3185.00,93.91
3184.00,93.91
3183.00,93.93
3182.00,93.95
3181.00,93.98
3180.00,94.00
3179.00,94.02
3178.00,94.04
3177.00,94.07
3176.00,94.10
3175.00,94.12
3174.00,94.15
3173.00,94.18
3172.00,94.20
3171.00,94.22
3170.00,94.23
3169.00,94.24
3168.00,94.26
3167.00,94.30
3166.00,94.33
3165.00,94.37
3164.00,94.40
3163.00,94.43
3162.00,94.45
3161.00,94.48
3160.00,94.49
3159.00,94.51
3158.00,94.53
3157.00,94.55
3156.00,94.58
3155.00,94.61
3154.00,94.63
3153.00,94.64
3152.00,94.65
3151.00,94.67
3150.00,94.70
3149.00,94.75
3148.00,94.78
3147.00,94.81
3146.00,94.84
3145.00,94.86
3144.00,94.88
3143.00,94.89
3142.00,94.91
3141.00,94.93
3140.00,94.96
3139.00,94.99
3138.00,95.02
3137.00,95.05
3136.00,95.07
3135.00,95.10
3134.00,95.13
3133.00,95.16
3132.00,95.18
3131.00,95.19
3130.00,95.20
3129.00,95.20
3128.00,95.22
3127.00,95.25
3126.00,95.28
3125.00,95.32
3124.00,95.36
3123.00,95.39
3122.00,95.42
3121.00,95.45
3120.00,95.48
3119.00,95.50
3118.00,95.52
3117.00,95.55
3116.00,95.58
3115.00,95.62
3114.00,95.65
3113.00,95.69
3112.00,95.73
3111.00,95.76
3110.00,95.80
3109.00,95.82
3108.00,95.84
3107.00,95.86
3106.00,95.89
3105.00,95.92
3104.00,95.96
3103.00,95.99
3102.00,96.02
3101.00,96.04
3100.00,96.06
3099.00,96.08
3098.00,96.11
3097.00,96.14
3096.00,96.17
3095.00,96.19
3094.00,96.22
3093.00,96.25
3092.00,96.28
3091.00,96.31
3090.00,96.33
3089.00,96.35
3088.00,96.35
3087.00,96.35
3086.00,96.35
3085.00,96.38
3084.00,96.42
3083.00,96.47
3082.00,96.51
3081.00,96.55
3080.00,96.58
3079.00,96.61
3078.00,96.63
3077.00,96.65
3076.00,96.66
3075.00,96.66
3074.00,96.67
3073.00,96.69
3072.00,96.73
3071.00,96.78
3070.00,96.83
3069.00,96.86
3068.00,96.87
3067.00,96.87
3066.00,96.87
3065.00,96.87
3064.00,96.89
3063.00,96.92
3062.00,96.95
3061.00,96.98
3060.00,97.01
3059.00,97.04
3058.00,97.06
3057.00,97.09
3056.00,97.11
3055.00,97.14
3054.00,97.16
3053.00,97.18
3052.00,97.20
3051.00,97.23
3050.00,97.25
3049.00,97.28
3048.00,97.31
3047.00,97.35
3046.00,97.39
3045.00,97.42
3044.00,97.43
3043.00,97.44
3042.00,97.43
3041.00,97.43
3040.00,97.43
3039.00,97.44
3038.00,97.47
3037.00,97.50
