Created as New Dataset,Bio-Couture 20/2 Linen (NC)
cm-1,%T
3066.00,98.00
3065.00,98.01
3064.00,98.01
3063.00,97.99
3062.00,97.97
3061.00,97.96
3060.00,97.97
3059.00,97.99
3058.00,98.01
3057.00,98.04
3056.00,98.06
3055.00,98.09
3054.00,98.11
3053.00,98.14
3052.00,98.15
3051.00,98.14
3050.00,98.13
3049.00,98.13
3048.00,98.14
3047.00,98.16
3046.00,98.19
3045.00,98.21
3044.00,98.23
3043.00,98.25
3042.00,98.27
3041.00,98.29
3040.00,98.29
3039.00,98.29
3038.00,98.28
3037.00,98.28
3036.00,98.29
3035.00,98.30
3034.00,98.31
3033.00,98.32
3032.00,98.33
3031.00,98.34
3030.00,98.36
3029.00,98.37
3028.00,98.38
3027.00,98.39
3026.00,98.40
3025.00,98.42
3024.00,98.42
3023.00,98.42
3022.00,98.42
3021.00,98.43
3020.00,98.45
3019.00,98.48
3018.00,98.50
3017.00,98.52
3016.00,98.52
3015.00,98.53
3014.00,98.54
3013.00,98.54
3012.00,98.54
3011.00,98.52
3010.00,98.50
3009.00,98.49
3008.00,98.50
3007.00,98.52
3006.00,98.54
3005.00,98.55
3004.00,98.55
3003.00,98.55
3002.00,98.55
3001.00,98.54
3000.00,98.54
2999.00,98.54
2998.00,98.55
2997.00,98.55
2996.00,98.56
2995.00,98.57
2994.00,98.56
2993.00,98.55
2992.00,98.54
2991.00,98.54
2990.00,98.55
2989.00,98.55
2988.00,98.55
2987.00,98.54
2986.00,98.54
2985.00,98.53
2984.00,98.53
2983.00,98.52
2982.00,98.51
2981.00,98.48
2980.00,98.45
2979.00,98.41
2978.00,98.38
2977.00,98.35
2976.00,98.33
2975.00,98.30
2974.00,98.26
2973.00,98.21
2972.00,98.16
2971.00,98.11
2970.00,98.08
2969.00,98.06
2968.00,98.04
2967.00,98.02
2966.00,98.00
2965.00,97.98
2964.00,97.95
2963.00,97.91
2962.00,97.87
2961.00,97.83
2960.00,97.79
2959.00,97.76
2958.00,97.72
2957.00,97.68
2956.00,97.65
2955.00,97.62
2954.00,97.59
2953.00,97.55
2952.00,97.50
2951.00,97.44
2950.00,97.37
2949.00,97.31
2948.00,97.26
2947.00,97.20
2946.00,97.15
2945.00,97.12
2944.00,97.09
2943.00,97.07
2942.00,97.05
2941.00,97.02
2940.00,96.98
2939.00,96.94
2938.00,96.90
2937.00,96.85
2936.00,96.80
2935.00,96.76
2934.00,96.73
2933.00,96.69
2932.00,96.64
2931.00,96.57
2930.00,96.49
2929.00,96.41
2928.00,96.33
2927.00,96.24
2926.00,96.14
2925.00,96.04
2924.00,95.93
2923.00,95.83
2922.00,95.73
2921.00,95.63
2920.00,95.53
2919.00,95.45
2918.00,95.39
2917.00,95.35
2916.00,95.34
2915.00,95.36
2914.00,95.39
2913.00,95.43
2912.00,95.46
2911.00,95.46
2910.00,95.44
2909.00,95.42
2908.00,95.41
2907.00,95.42
2906.00,95.41
2905.00,95.40
2904.00,95.38
2903.00,95.36
2902.00,95.34
2901.00,95.32
2900.00,95.32
2899.00,95.33
2898.00,95.35
2897.00,95.37
2896.00,95.39
2895.00,95.40
2894.00,95.41
2893.00,95.43
2892.00,95.45
2891.00,95.49
2890.00,95.53
2889.00,95.58
2888.00,95.63
2887.00,95.68
2886.00,95.73
2885.00,95.77
2884.00,95.82
2883.00,95.85
2882.00,95.89
2881.00,95.91
2880.00,95.94
2879.00,95.96
2878.00,95.97
2877.00,95.98
2876.00,95.99
2875.00,95.99
2874.00,96.00
2873.00,96.00
2872.00,96.00
2871.00,96.01
2870.00,96.02
2869.00,96.05
2868.00,96.09
2867.00,96.13
2866.00,96.17
2865.00,96.19
2864.00,96.20
2863.00,96.21
2862.00,96.22
2861.00,96.24
2860.00,96.25
2859.00,96.27
2858.00,96.27
2857.00,96.26
2856.00,96.23
2855.00,96.19
2854.00,96.15
2853.00,96.12
2852.00,96.11
2851.00,96.13
2850.00,96.18
2849.00,96.25
2848.00,96.36
2847.00,96.49
2846.00,96.63
2845.00,96.76
2844.00,96.88
2843.00,96.98
2842.00,97.06
2841.00,97.13
2840.00,97.20
2839.00,97.27
2838.00,97.35
2837.00,97.42
2836.00,97.48
2835.00,97.52
2834.00,97.56
2833.00,97.59
2832.00,97.62
2831.00,97.66
2830.00,97.69
2829.00,97.72
2828.00,97.76
2827.00,97.79
2826.00,97.81
2825.00,97.81
2824.00,97.81
2823.00,97.81
2822.00,97.83
2821.00,97.85
2820.00,97.88
2819.00,97.91
2818.00,97.94
2817.00,97.96
2816.00,97.98
2815.00,98.00
2814.00,98.03
2813.00,98.05
2812.00,98.08
2811.00,98.11
2810.00,98.12
2809.00,98.14
2808.00,98.14
2807.00,98.15
2806.00,98.15
2805.00,98.16
2804.00,98.17
2803.00,98.18
2802.00,98.20
2801.00,98.22
2800.00,98.25
2799.00,98.27
2798.00,98.28
2797.00,98.29
2796.00,98.29
2795.00,98.28
2794.00,98.28
2793.00,98.28
2792.00,98.29
2791.00,98.31
2790.00,98.32
2789.00,98.33
2788.00,98.33
2787.00,98.33
2786.00,98.33
2785.00,98.34
2784.00,98.36
2783.00,98.38
2782.00,98.39
2781.00,98.39
2780.00,98.37
2779.00,98.36
2778.00,98.35
2777.00,98.36
2776.00,98.38
2775.00,98.40
2774.00,98.42
2773.00,98.44
2772.00,98.44
2771.00,98.44
2770.00,98.45
2769.00,98.45
2768.00,98.46
2767.00,98.47
2766.00,98.48
2765.00,98.47
2764.00,98.46
2763.00,98.46
2762.00,98.47
2761.00,98.49
2760.00,98.50
2759.00,98.50
2758.00,98.49
2757.00,98.49
2756.00,98.49
2755.00,98.49
2754.00,98.49
2753.00,98.50
2752.00,98.50
2751.00,98.51
2750.00,98.51
2749.00,98.51
2748.00,98.51
2747.00,98.51
2746.00,98.51
2745.00,98.52
2744.00,98.52
2743.00,98.53
2742.00,98.53
2741.00,98.52
2740.00,98.51
2739.00,98.50
2738.00,98.50
2737.00,98.49
2736.00,98.49
2735.00,98.49
2734.00,98.49
2733.00,98.49
2732.00,98.49
2731.00,98.48
2730.00,98.47
2729.00,98.47
2728.00,98.48
2727.00,98.50
2726.00,98.52
2725.00,98.53
2724.00,98.54
2723.00,98.54
2722.00,98.54
2721.00,98.54
2720.00,98.54
2719.00,98.55
2718.00,98.56
2717.00,98.57
