Created as New Dataset,34. Hoechst (Dark Red)
cm-1,%T
2592.00,97.11
2591.00,97.12
2590.00,97.12
2589.00,97.12
2588.00,97.11
2587.00,97.09
2586.00,97.07
2585.00,97.07
2584.00,97.07
2583.00,97.07
2582.00,97.08
2581.00,97.08
2580.00,97.09
2579.00,97.09
2578.00,97.08
2577.00,97.07
2576.00,97.06
2575.00,97.04
2574.00,97.03
2573.00,97.02
2572.00,97.02
2571.00,97.02
2570.00,97.03
2569.00,97.02
2568.00,97.00
2567.00,97.00
2566.00,97.00
2565.00,97.01
2564.00,97.02
2563.00,97.02
2562.00,97.00
2561.00,96.98
2560.00,96.96
2559.00,96.94
2558.00,96.94
2557.00,96.94
2556.00,96.94
2555.00,96.94
2554.00,96.94
2553.00,96.94
2552.00,96.94
2551.00,96.94
2550.00,96.94
2549.00,96.93
2548.00,96.91
2547.00,96.90
2546.00,96.90
2545.00,96.92
2544.00,96.95
2543.00,96.97
2542.00,96.96
2541.00,96.94
2540.00,96.91
2539.00,96.88
2538.00,96.85
2537.00,96.84
2536.00,96.84
2535.00,96.86
2534.00,96.89
2533.00,96.91
2532.00,96.92
2531.00,96.91
2530.00,96.89
2529.00,96.87
2528.00,96.86
2527.00,96.86
2526.00,96.86
2525.00,96.87
2524.00,96.89
2523.00,96.90
2522.00,96.91
2521.00,96.92
2520.00,96.92
2519.00,96.91
2518.00,96.90
2517.00,96.89
2516.00,96.88
2515.00,96.87
2514.00,96.86
2513.00,96.87
2512.00,96.87
2511.00,96.86
2510.00,96.86
2509.00,96.86
2508.00,96.88
2507.00,96.89
2506.00,96.91
2505.00,96.92
2504.00,96.92
2503.00,96.92
2502.00,96.91
2501.00,96.90
2500.00,96.89
2499.00,96.88
2498.00,96.86
2497.00,96.86
2496.00,96.87
2495.00,96.89
2494.00,96.91
2493.00,96.92
2492.00,96.91
2491.00,96.88
2490.00,96.85
2489.00,96.83
2488.00,96.83
2487.00,96.85
2486.00,96.88
2485.00,96.90
2484.00,96.92
2483.00,96.92
2482.00,96.92
2481.00,96.93
2480.00,96.94
2479.00,96.96
2478.00,96.97
2477.00,96.98
2476.00,96.99
2475.00,96.98
2474.00,96.98
2473.00,96.98
2472.00,96.98
2471.00,96.99
2470.00,96.99
2469.00,96.98
2468.00,96.97
2467.00,96.96
2466.00,96.95
2465.00,96.94
2464.00,96.93
2463.00,96.94
2462.00,96.95
2461.00,96.96
2460.00,96.96
