Created as New Dataset,15.1 Red Wool sheep natural black roving
cm-1,%T
3079.00,96.76
3078.00,96.76
3077.00,96.76
3076.00,96.76
3075.00,96.77
3074.00,96.78
3073.00,96.78
3072.00,96.77
3071.00,96.76
3070.00,96.76
3069.00,96.75
3068.00,96.75
3067.00,96.76
3066.00,96.77
3065.00,96.78
3064.00,96.79
3063.00,96.79
3062.00,96.78
3061.00,96.78
3060.00,96.78
3059.00,96.79
3058.00,96.81
3057.00,96.83
3056.00,96.86
3055.00,96.88
3054.00,96.91
3053.00,96.92
3052.00,96.93
3051.00,96.93
3050.00,96.93
3049.00,96.93
3048.00,96.95
3047.00,96.98
3046.00,97.02
3045.00,97.06
3044.00,97.09
3043.00,97.09
3042.00,97.10
3041.00,97.11
3040.00,97.14
3039.00,97.17
3038.00,97.19
3037.00,97.22
3036.00,97.25
3035.00,97.28
3034.00,97.30
3033.00,97.33
3032.00,97.35
3031.00,97.37
3030.00,97.38
3029.00,97.39
3028.00,97.39
3027.00,97.40
3026.00,97.41
3025.00,97.42
3024.00,97.43
3023.00,97.44
3022.00,97.47
3021.00,97.50
3020.00,97.53
3019.00,97.55
3018.00,97.56
3017.00,97.56
3016.00,97.57
3015.00,97.59
3014.00,97.61
3013.00,97.63
3012.00,97.64
3011.00,97.64
3010.00,97.64
3009.00,97.65
3008.00,97.67
3007.00,97.68
3006.00,97.70
3005.00,97.72
3004.00,97.72
3003.00,97.72
3002.00,97.72
3001.00,97.72
3000.00,97.72
2999.00,97.73
2998.00,97.73
2997.00,97.71
2996.00,97.68
2995.00,97.65
2994.00,97.61
2993.00,97.58
2992.00,97.55
2991.00,97.52
2990.00,97.50
2989.00,97.49
2988.00,97.48
2987.00,97.47
2986.00,97.45
2985.00,97.44
2984.00,97.42
2983.00,97.40
2982.00,97.36
2981.00,97.31
2980.00,97.25
2979.00,97.20
2978.00,97.17
2977.00,97.14
2976.00,97.12
2975.00,97.08
2974.00,97.04
2973.00,96.99
2972.00,96.95
2971.00,96.92
2970.00,96.89
2969.00,96.86
2968.00,96.84
2967.00,96.82
2966.00,96.80
2965.00,96.78
2964.00,96.76
2963.00,96.74
2962.00,96.72
2961.00,96.70
2960.00,96.67
2959.00,96.66
2958.00,96.66
2957.00,96.68
2956.00,96.71
2955.00,96.74
2954.00,96.76
2953.00,96.77
2952.00,96.79
2951.00,96.82
2950.00,96.83
2949.00,96.85
2948.00,96.86
2947.00,96.87
2946.00,96.87
2945.00,96.85
2944.00,96.82
2943.00,96.80
2942.00,96.78
2941.00,96.77
2940.00,96.75
2939.00,96.72
2938.00,96.68
2937.00,96.65
2936.00,96.63
2935.00,96.63
2934.00,96.63
2933.00,96.62
2932.00,96.60
2931.00,96.59
2930.00,96.57
2929.00,96.56
2928.00,96.55
2927.00,96.53
2926.00,96.53
2925.00,96.52
2924.00,96.53
2923.00,96.53
2922.00,96.53
2921.00,96.53
2920.00,96.55
2919.00,96.60
2918.00,96.65
2917.00,96.71
2916.00,96.77
2915.00,96.83
2914.00,96.90
2913.00,96.97
2912.00,97.03
2911.00,97.09
2910.00,97.14
2909.00,97.17
2908.00,97.21
2907.00,97.25
2906.00,97.30
2905.00,97.35
2904.00,97.40
2903.00,97.43
2902.00,97.45
2901.00,97.46
2900.00,97.47
2899.00,97.47
2898.00,97.47
2897.00,97.48
2896.00,97.50
2895.00,97.52
2894.00,97.55
2893.00,97.56
2892.00,97.58
2891.00,97.60
2890.00,97.62
2889.00,97.64
2888.00,97.65
2887.00,97.65
2886.00,97.64
2885.00,97.64
2884.00,97.64
2883.00,97.64
2882.00,97.63
2881.00,97.62
2880.00,97.62
2879.00,97.62
2878.00,97.62
2877.00,97.62
2876.00,97.62
2875.00,97.61
2874.00,97.61
2873.00,97.62
2872.00,97.64
2871.00,97.65
2870.00,97.67
2869.00,97.68
2868.00,97.71
2867.00,97.74
2866.00,97.78
2865.00,97.81
2864.00,97.83
2863.00,97.86
2862.00,97.88
2861.00,97.90
2860.00,97.91
2859.00,97.90
2858.00,97.89
2857.00,97.87
2856.00,97.86
2855.00,97.85
2854.00,97.86
2853.00,97.87
2852.00,97.89
2851.00,97.92
2850.00,97.96
2849.00,98.00
2848.00,98.05
2847.00,98.09
2846.00,98.14
2845.00,98.19
2844.00,98.23
2843.00,98.28
2842.00,98.32
2841.00,98.37
2840.00,98.41
2839.00,98.45
2838.00,98.48
2837.00,98.51
2836.00,98.53
2835.00,98.55
2834.00,98.57
2833.00,98.58
2832.00,98.59
2831.00,98.59
2830.00,98.58
2829.00,98.56
2828.00,98.56
2827.00,98.57
2826.00,98.61
2825.00,98.64
2824.00,98.66
2823.00,98.66
2822.00,98.66
2821.00,98.66
2820.00,98.66
2819.00,98.67
2818.00,98.68
2817.00,98.70
2816.00,98.71
2815.00,98.72
2814.00,98.72
2813.00,98.72
2812.00,98.73
2811.00,98.74
2810.00,98.76
2809.00,98.78
2808.00,98.79
2807.00,98.80
2806.00,98.82
2805.00,98.82
2804.00,98.83
2803.00,98.82
2802.00,98.82
2801.00,98.82
2800.00,98.83
2799.00,98.83
2798.00,98.83
2797.00,98.82
2796.00,98.83
2795.00,98.85
2794.00,98.88
2793.00,98.89
2792.00,98.91
2791.00,98.92
2790.00,98.94
2789.00,98.95
2788.00,98.96
2787.00,98.96
2786.00,98.96
2785.00,98.96
2784.00,98.97
2783.00,98.97
2782.00,98.98
2781.00,98.99
2780.00,99.00
2779.00,99.01
2778.00,99.01
2777.00,99.02
2776.00,99.03
2775.00,99.05
2774.00,99.06
2773.00,99.07
2772.00,99.07
2771.00,99.06
2770.00,99.06
2769.00,99.07
2768.00,99.08
2767.00,99.08
2766.00,99.09
2765.00,99.09
2764.00,99.09
2763.00,99.09
2762.00,99.09
2761.00,99.08
2760.00,99.09
2759.00,99.09
2758.00,99.09
2757.00,99.10
2756.00,99.12
2755.00,99.14
2754.00,99.16
2753.00,99.17
2752.00,99.17
2751.00,99.18
2750.00,99.20
2749.00,99.21
2748.00,99.21
2747.00,99.20
2746.00,99.18
2745.00,99.16
2744.00,99.15
2743.00,99.16
2742.00,99.17
2741.00,99.19
2740.00,99.22
2739.00,99.23
2738.00,99.23
2737.00,99.22
2736.00,99.22
2735.00,99.22
2734.00,99.23
2733.00,99.25
2732.00,99.27
2731.00,99.29
2730.00,99.30
2729.00,99.31
2728.00,99.31
2727.00,99.31
2726.00,99.31
2725.00,99.31
2724.00,99.32
2723.00,99.32
2722.00,99.32
2721.00,99.33
2720.00,99.33
2719.00,99.34
2718.00,99.36
2717.00,99.37
2716.00,99.37
2715.00,99.38
2714.00,99.38
2713.00,99.37
2712.00,99.37
2711.00,99.36
2710.00,99.37
2709.00,99.37
2708.00,99.38
2707.00,99.39
2706.00,99.40
2705.00,99.41
2704.00,99.41
2703.00,99.41
2702.00,99.41
2701.00,99.41
2700.00,99.40
2699.00,99.38
