Created as New Dataset,7.2. Cotton sSeed with lint
cm-1,%T
3173.00,93.41
3172.00,93.47
3171.00,93.52
3170.00,93.58
3169.00,93.63
3168.00,93.68
3167.00,93.70
3166.00,93.72
3165.00,93.74
3164.00,93.79
3163.00,93.84
3162.00,93.90
3161.00,93.95
3160.00,93.98
3159.00,94.02
3158.00,94.06
3157.00,94.10
3156.00,94.15
3155.00,94.20
3154.00,94.24
3153.00,94.28
3152.00,94.31
3151.00,94.35
3150.00,94.38
3149.00,94.41
3148.00,94.44
3147.00,94.47
3146.00,94.49
3145.00,94.52
3144.00,94.55
3143.00,94.58
3142.00,94.61
3141.00,94.64
3140.00,94.68
3139.00,94.73
3138.00,94.79
3137.00,94.84
3136.00,94.87
3135.00,94.90
3134.00,94.93
3133.00,94.95
3132.00,94.98
3131.00,94.99
3130.00,95.00
3129.00,95.02
3128.00,95.05
3127.00,95.08
3126.00,95.12
3125.00,95.15
3124.00,95.19
3123.00,95.23
3122.00,95.28
3121.00,95.33
3120.00,95.37
3119.00,95.40
3118.00,95.43
3117.00,95.47
3116.00,95.51
3115.00,95.55
3114.00,95.58
3113.00,95.60
3112.00,95.62
3111.00,95.65
3110.00,95.68
3109.00,95.72
3108.00,95.76
3107.00,95.80
3106.00,95.81
3105.00,95.81
3104.00,95.81
3103.00,95.82
3102.00,95.84
3101.00,95.87
3100.00,95.90
3099.00,95.94
3098.00,95.99
3097.00,96.05
3096.00,96.11
3095.00,96.15
3094.00,96.16
3093.00,96.17
3092.00,96.16
3091.00,96.17
3090.00,96.20
3089.00,96.24
3088.00,96.28
3087.00,96.31
3086.00,96.34
3085.00,96.36
3084.00,96.40
3083.00,96.44
3082.00,96.47
3081.00,96.49
3080.00,96.50
3079.00,96.51
3078.00,96.53
3077.00,96.56
3076.00,96.59
3075.00,96.61
3074.00,96.62
3073.00,96.63
3072.00,96.64
3071.00,96.66
3070.00,96.68
3069.00,96.71
3068.00,96.74
3067.00,96.76
3066.00,96.78
3065.00,96.79
3064.00,96.82
3063.00,96.86
3062.00,96.89
3061.00,96.92
3060.00,96.94
3059.00,96.95
3058.00,96.96
3057.00,96.97
3056.00,96.99
3055.00,97.02
3054.00,97.06
3053.00,97.09
3052.00,97.10
3051.00,97.10
3050.00,97.11
3049.00,97.14
3048.00,97.18
3047.00,97.21
3046.00,97.23
3045.00,97.24
3044.00,97.24
3043.00,97.27
3042.00,97.30
3041.00,97.35
3040.00,97.38
3039.00,97.39
3038.00,97.38
3037.00,97.38
3036.00,97.38
3035.00,97.39
3034.00,97.41
3033.00,97.42
3032.00,97.44
3031.00,97.46
3030.00,97.47
3029.00,97.48
3028.00,97.49
3027.00,97.49
3026.00,97.50
3025.00,97.50
3024.00,97.51
3023.00,97.54
3022.00,97.57
3021.00,97.61
3020.00,97.63
3019.00,97.64
3018.00,97.65
3017.00,97.65
3016.00,97.66
3015.00,97.67
3014.00,97.69
3013.00,97.71
3012.00,97.72
3011.00,97.73
3010.00,97.74
3009.00,97.75
3008.00,97.76
3007.00,97.77
3006.00,97.78
3005.00,97.79
3004.00,97.81
3003.00,97.83
3002.00,97.84
3001.00,97.86
3000.00,97.87
2999.00,97.86
2998.00,97.86
2997.00,97.85
2996.00,97.85
2995.00,97.86
2994.00,97.86
2993.00,97.86
2992.00,97.87
2991.00,97.88
2990.00,97.88
2989.00,97.88
2988.00,97.87
2987.00,97.86
2986.00,97.85
2985.00,97.84
2984.00,97.82
2983.00,97.81
2982.00,97.80
2981.00,97.78
2980.00,97.75
2979.00,97.72
2978.00,97.68
2977.00,97.64
2976.00,97.61
2975.00,97.56
2974.00,97.51
2973.00,97.45
2972.00,97.40
2971.00,97.35
2970.00,97.30
2969.00,97.25
2968.00,97.21
2967.00,97.20
2966.00,97.20
2965.00,97.21
2964.00,97.20
2963.00,97.17
2962.00,97.14
2961.00,97.11
2960.00,97.09
2959.00,97.07
2958.00,97.03
2957.00,96.98
2956.00,96.93
2955.00,96.88
2954.00,96.83
2953.00,96.78
2952.00,96.72
2951.00,96.65
2950.00,96.59
2949.00,96.52
2948.00,96.46
2947.00,96.40
2946.00,96.34
2945.00,96.29
2944.00,96.25
2943.00,96.21
2942.00,96.19
2941.00,96.16
2940.00,96.13
2939.00,96.09
2938.00,96.04
2937.00,96.02
2936.00,96.01
2935.00,96.01
2934.00,95.99
2933.00,95.96
2932.00,95.91
2931.00,95.85
2930.00,95.80
2929.00,95.73
2928.00,95.65
2927.00,95.55
2926.00,95.44
2925.00,95.32
2924.00,95.19
2923.00,95.06
2922.00,94.93
2921.00,94.83
2920.00,94.73
2919.00,94.64
2918.00,94.56
2917.00,94.50
2916.00,94.46
2915.00,94.44
2914.00,94.45
2913.00,94.45
2912.00,94.46
2911.00,94.44
2910.00,94.41
2909.00,94.36
2908.00,94.31
2907.00,94.26
2906.00,94.22
2905.00,94.18
2904.00,94.15
2903.00,94.11
2902.00,94.07
2901.00,94.04
2900.00,94.02
2899.00,94.03
2898.00,94.05
2897.00,94.08
2896.00,94.11
2895.00,94.13
2894.00,94.15
2893.00,94.17
2892.00,94.20
2891.00,94.24
2890.00,94.28
2889.00,94.33
2888.00,94.39
2887.00,94.44
2886.00,94.48
2885.00,94.53
2884.00,94.57
2883.00,94.61
2882.00,94.65
2881.00,94.68
2880.00,94.71
2879.00,94.74
2878.00,94.76
2877.00,94.77
2876.00,94.78
2875.00,94.80
2874.00,94.82
2873.00,94.85
2872.00,94.87
2871.00,94.90
2870.00,94.92
2869.00,94.95
2868.00,94.98
2867.00,95.01
2866.00,95.05
2865.00,95.08
2864.00,95.11
2863.00,95.13
2862.00,95.16
2861.00,95.19
2860.00,95.21
2859.00,95.24
2858.00,95.27
2857.00,95.30
2856.00,95.31
2855.00,95.31
2854.00,95.30
2853.00,95.27
2852.00,95.25
2851.00,95.25
2850.00,95.28
2849.00,95.36
2848.00,95.48
2847.00,95.61
2846.00,95.74
2845.00,95.87
2844.00,95.99
2843.00,96.09
2842.00,96.17
2841.00,96.26
2840.00,96.34
2839.00,96.41
2838.00,96.47
2837.00,96.52
2836.00,96.56
2835.00,96.60
2834.00,96.64
2833.00,96.69
2832.00,96.73
2831.00,96.77
2830.00,96.79
2829.00,96.82
2828.00,96.84
2827.00,96.87
2826.00,96.90
2825.00,96.93
2824.00,96.96
2823.00,97.00
2822.00,97.03
2821.00,97.08
2820.00,97.11
2819.00,97.14
2818.00,97.15
2817.00,97.17
2816.00,97.19
2815.00,97.22
2814.00,97.24
2813.00,97.26
2812.00,97.28
2811.00,97.30
2810.00,97.32
2809.00,97.34
2808.00,97.37
2807.00,97.40
2806.00,97.43
2805.00,97.45
2804.00,97.46
2803.00,97.48
2802.00,97.50
2801.00,97.53
2800.00,97.55
2799.00,97.57
2798.00,97.58
2797.00,97.59
2796.00,97.59
2795.00,97.58
2794.00,97.59
2793.00,97.60
2792.00,97.62
2791.00,97.64
2790.00,97.64
2789.00,97.64
2788.00,97.64
2787.00,97.64
2786.00,97.65
2785.00,97.65
2784.00,97.67
2783.00,97.69
2782.00,97.72
2781.00,97.74
2780.00,97.76
2779.00,97.76
2778.00,97.76
2777.00,97.76
2776.00,97.78
2775.00,97.80
2774.00,97.81
2773.00,97.82
2772.00,97.83
2771.00,97.83
2770.00,97.83
2769.00,97.84
2768.00,97.84
2767.00,97.84
2766.00,97.84
2765.00,97.83
2764.00,97.83
2763.00,97.84
2762.00,97.85
2761.00,97.87
2760.00,97.88
2759.00,97.88
2758.00,97.88
2757.00,97.88
2756.00,97.89
2755.00,97.89
2754.00,97.89
2753.00,97.88
2752.00,97.88
2751.00,97.89
2750.00,97.90
2749.00,97.90
2748.00,97.90
2747.00,97.90
2746.00,97.90
2745.00,97.90
2744.00,97.89
2743.00,97.88
2742.00,97.88
2741.00,97.89
2740.00,97.90
2739.00,97.90
2738.00,97.90
2737.00,97.90
2736.00,97.90
2735.00,97.91
2734.00,97.90
2733.00,97.90
2732.00,97.90
2731.00,97.91
2730.00,97.92
2729.00,97.94
2728.00,97.96
2727.00,97.96
2726.00,97.95
2725.00,97.94
2724.00,97.93
2723.00,97.94
2722.00,97.95
2721.00,97.97
2720.00,97.99
2719.00,98.00
2718.00,98.01
2717.00,98.01
2716.00,98.02
2715.00,98.03
2714.00,98.05
2713.00,98.05
2712.00,98.04
2711.00,98.04
2710.00,98.03
2709.00,98.05
2708.00,98.07
2707.00,98.09
2706.00,98.11
2705.00,98.13
2704.00,98.13
2703.00,98.12
2702.00,98.12
2701.00,98.12
2700.00,98.13
2699.00,98.14
2698.00,98.14
2697.00,98.14
2696.00,98.14
2695.00,98.14
2694.00,98.16
2693.00,98.17
2692.00,98.19
2691.00,98.20
2690.00,98.21
2689.00,98.21
2688.00,98.20
2687.00,98.18
2686.00,98.18
2685.00,98.19
2684.00,98.21
2683.00,98.23
2682.00,98.24
2681.00,98.24
2680.00,98.24
