Created as New Dataset,124 Philips (Green)
cm-1,%T
3324.00,99.87
3323.00,99.88
3322.00,99.87
3321.00,99.86
3320.00,99.85
3319.00,99.86
3318.00,99.87
3317.00,99.89
3316.00,99.91
3315.00,99.92
3314.00,99.93
3313.00,99.93
3312.00,99.93
3311.00,99.92
3310.00,99.90
3309.00,99.88
3308.00,99.87
3307.00,99.87
3306.00,99.88
3305.00,99.88
3304.00,99.88
3303.00,99.88
3302.00,99.89
3301.00,99.90
3300.00,99.90
3299.00,99.89
3298.00,99.88
3297.00,99.87
3296.00,99.86
3295.00,99.86
3294.00,99.86
3293.00,99.87
3292.00,99.89
3291.00,99.91
3290.00,99.92
3289.00,99.91
3288.00,99.88
3287.00,99.86
3286.00,99.85
3285.00,99.84
3284.00,99.83
3283.00,99.82
3282.00,99.80
3281.00,99.79
3280.00,99.80
3279.00,99.82
3278.00,99.84
3277.00,99.85
3276.00,99.84
3275.00,99.83
3274.00,99.82
3273.00,99.82
3272.00,99.83
3271.00,99.85
3270.00,99.85
3269.00,99.84
3268.00,99.82
3267.00,99.80
3266.00,99.79
3265.00,99.79
3264.00,99.79
3263.00,99.79
3262.00,99.79
3261.00,99.80
3260.00,99.80
3259.00,99.81
3258.00,99.83
3257.00,99.84
3256.00,99.84
3255.00,99.84
3254.00,99.84
3253.00,99.84
3252.00,99.84
3251.00,99.84
3250.00,99.84
3249.00,99.85
3248.00,99.86
3247.00,99.88
3246.00,99.88
3245.00,99.87
3244.00,99.87
3243.00,99.86
3242.00,99.84
3241.00,99.82
3240.00,99.80
3239.00,99.78
3238.00,99.78
3237.00,99.79
3236.00,99.80
3235.00,99.81
3234.00,99.83
3233.00,99.84
3232.00,99.85
3231.00,99.86
3230.00,99.86
3229.00,99.86
3228.00,99.86
3227.00,99.86
3226.00,99.85
3225.00,99.84
3224.00,99.82
3223.00,99.81
3222.00,99.78
3221.00,99.76
3220.00,99.73
3219.00,99.72
3218.00,99.71
3217.00,99.71
3216.00,99.70
3215.00,99.69
3214.00,99.68
3213.00,99.68
3212.00,99.68
3211.00,99.67
3210.00,99.66
3209.00,99.65
3208.00,99.65
3207.00,99.66
3206.00,99.68
3205.00,99.70
3204.00,99.72
3203.00,99.73
3202.00,99.72
3201.00,99.70
3200.00,99.68
3199.00,99.67
3198.00,99.66
3197.00,99.65
3196.00,99.66
3195.00,99.68
3194.00,99.69
3193.00,99.69
3192.00,99.69
3191.00,99.68
3190.00,99.69
3189.00,99.70
3188.00,99.72
3187.00,99.72
3186.00,99.73
3185.00,99.74
3184.00,99.75
3183.00,99.75
3182.00,99.74
3181.00,99.73
3180.00,99.71
3179.00,99.71
3178.00,99.71
3177.00,99.70
3176.00,99.69
3175.00,99.68
3174.00,99.67
3173.00,99.69
3172.00,99.71
3171.00,99.72
3170.00,99.71
3169.00,99.69
3168.00,99.66
3167.00,99.65
3166.00,99.66
3165.00,99.67
3164.00,99.68
3163.00,99.68
3162.00,99.67
3161.00,99.67
3160.00,99.69
3159.00,99.70
3158.00,99.71
3157.00,99.72
3156.00,99.74
3155.00,99.76
3154.00,99.79
3153.00,99.79
3152.00,99.78
3151.00,99.74
3150.00,99.71
3149.00,99.69
3148.00,99.69
3147.00,99.70
3146.00,99.72
3145.00,99.73
3144.00,99.72
3143.00,99.71
3142.00,99.70
3141.00,99.72
3140.00,99.74
3139.00,99.75
3138.00,99.75
3137.00,99.74
3136.00,99.74
3135.00,99.74
3134.00,99.75
3133.00,99.76
3132.00,99.77
3131.00,99.77
3130.00,99.76
3129.00,99.74
3128.00,99.74
3127.00,99.75
3126.00,99.77
3125.00,99.77
3124.00,99.77
3123.00,99.77
3122.00,99.77
3121.00,99.77
3120.00,99.77
3119.00,99.78
3118.00,99.78
3117.00,99.78
3116.00,99.78
3115.00,99.78
3114.00,99.78
3113.00,99.78
3112.00,99.78
3111.00,99.79
3110.00,99.79
3109.00,99.79
3108.00,99.79
3107.00,99.80
3106.00,99.79
3105.00,99.79
3104.00,99.79
3103.00,99.79
3102.00,99.80
3101.00,99.80
3100.00,99.80
3099.00,99.81
3098.00,99.83
3097.00,99.85
3096.00,99.86
3095.00,99.86
3094.00,99.84
3093.00,99.81
3092.00,99.79
3091.00,99.78
3090.00,99.79
3089.00,99.81
3088.00,99.81
3087.00,99.80
3086.00,99.80
3085.00,99.80
3084.00,99.81
3083.00,99.81
3082.00,99.80
3081.00,99.80
3080.00,99.80
3079.00,99.80
3078.00,99.81
3077.00,99.82
3076.00,99.82
3075.00,99.81
3074.00,99.79
3073.00,99.77
3072.00,99.75
3071.00,99.74
3070.00,99.74
3069.00,99.76
3068.00,99.78
3067.00,99.80
3066.00,99.82
3065.00,99.82
3064.00,99.81
3063.00,99.80
3062.00,99.79
3061.00,99.79
3060.00,99.79
3059.00,99.79
3058.00,99.79
3057.00,99.78
3056.00,99.76
3055.00,99.74
3054.00,99.74
3053.00,99.74
3052.00,99.75
3051.00,99.76
3050.00,99.75
3049.00,99.74
3048.00,99.74
3047.00,99.75
3046.00,99.76
3045.00,99.77
3044.00,99.78
3043.00,99.79
3042.00,99.79
3041.00,99.78
3040.00,99.78
3039.00,99.77
3038.00,99.77
3037.00,99.77
3036.00,99.77
3035.00,99.76
3034.00,99.75
3033.00,99.73
3032.00,99.72
3031.00,99.71
3030.00,99.71
3029.00,99.71
3028.00,99.71
3027.00,99.69
3026.00,99.66
3025.00,99.64
3024.00,99.62
3023.00,99.61
3022.00,99.61
3021.00,99.60
3020.00,99.59
3019.00,99.58
3018.00,99.57
3017.00,99.56
3016.00,99.54
3015.00,99.52
3014.00,99.51
3013.00,99.48
3012.00,99.45
3011.00,99.42
3010.00,99.39
3009.00,99.35
3008.00,99.32
3007.00,99.28
3006.00,99.26
3005.00,99.24
3004.00,99.21
3003.00,99.16
3002.00,99.10
3001.00,99.02
3000.00,98.95
2999.00,98.87
2998.00,98.79
2997.00,98.70
2996.00,98.62
2995.00,98.54
2994.00,98.45
2993.00,98.35
2992.00,98.24
2991.00,98.11
2990.00,97.98
2989.00,97.84
2988.00,97.68
2987.00,97.50
2986.00,97.30
2985.00,97.08
2984.00,96.83
2983.00,96.55
2982.00,96.24
2981.00,95.90
2980.00,95.52
2979.00,95.10
2978.00,94.64
2977.00,94.12
2976.00,93.53
2975.00,92.89
2974.00,92.19
2973.00,91.42
2972.00,90.56
2971.00,89.60
