Created as New Dataset,13.2 Red Wool Polwarth sheep
cm-1,%T
3327.00,89.85
3326.00,89.81
3325.00,89.78
3324.00,89.76
3323.00,89.75
3322.00,89.76
3321.00,89.75
3320.00,89.73
3319.00,89.70
3318.00,89.67
3317.00,89.63
3316.00,89.60
3315.00,89.58
3314.00,89.56
3313.00,89.55
3312.00,89.54
3311.00,89.53
3310.00,89.51
3309.00,89.48
3308.00,89.45
3307.00,89.43
3306.00,89.41
3305.00,89.40
3304.00,89.39
3303.00,89.38
3302.00,89.37
3301.00,89.36
3300.00,89.34
3299.00,89.33
3298.00,89.31
3297.00,89.29
3296.00,89.29
3295.00,89.28
3294.00,89.28
3293.00,89.27
3292.00,89.25
3291.00,89.24
3290.00,89.22
3289.00,89.21
3288.00,89.20
3287.00,89.18
3286.00,89.18
3285.00,89.19
3284.00,89.20
3283.00,89.22
3282.00,89.23
3281.00,89.22
3280.00,89.20
3279.00,89.19
3278.00,89.17
3277.00,89.16
3276.00,89.15
3275.00,89.15
3274.00,89.17
3273.00,89.20
3272.00,89.22
3271.00,89.24
3270.00,89.26
3269.00,89.27
3268.00,89.28
3267.00,89.29
3266.00,89.31
3265.00,89.33
3264.00,89.37
3263.00,89.41
3262.00,89.46
3261.00,89.50
3260.00,89.52
3259.00,89.53
3258.00,89.54
3257.00,89.55
3256.00,89.57
3255.00,89.61
3254.00,89.65
3253.00,89.68
3252.00,89.71
3251.00,89.74
3250.00,89.77
3249.00,89.80
3248.00,89.84
3247.00,89.88
3246.00,89.91
3245.00,89.92
3244.00,89.94
3243.00,89.95
3242.00,89.97
3241.00,90.00
3240.00,90.04
3239.00,90.07
3238.00,90.10
3237.00,90.12
3236.00,90.15
3235.00,90.18
3234.00,90.21
3233.00,90.23
3232.00,90.24
3231.00,90.24
3230.00,90.23
3229.00,90.24
3228.00,90.25
3227.00,90.27
3226.00,90.31
3225.00,90.35
3224.00,90.39
3223.00,90.42
3222.00,90.45
3221.00,90.46
3220.00,90.46
3219.00,90.46
3218.00,90.47
3217.00,90.50
3216.00,90.53
3215.00,90.58
3214.00,90.64
3213.00,90.68
3212.00,90.71
3211.00,90.72
3210.00,90.73
3209.00,90.74
3208.00,90.76
3207.00,90.79
3206.00,90.81
3205.00,90.83
3204.00,90.84
3203.00,90.85
3202.00,90.86
3201.00,90.87
3200.00,90.89
3199.00,90.93
3198.00,90.97
3197.00,91.01
3196.00,91.05
3195.00,91.07
3194.00,91.08
3193.00,91.10
3192.00,91.12
3191.00,91.16
3190.00,91.20
3189.00,91.24
3188.00,91.28
3187.00,91.31
3186.00,91.34
3185.00,91.36
3184.00,91.39
3183.00,91.41
3182.00,91.44
3181.00,91.48
3180.00,91.52
3179.00,91.56
3178.00,91.60
3177.00,91.65
3176.00,91.68
3175.00,91.71
3174.00,91.73
3173.00,91.75
3172.00,91.79
3171.00,91.83
3170.00,91.88
3169.00,91.93
3168.00,91.98
3167.00,92.03
3166.00,92.07
3165.00,92.10
3164.00,92.12
3163.00,92.14
3162.00,92.18
3161.00,92.24
3160.00,92.29
3159.00,92.32
3158.00,92.34
3157.00,92.36
3156.00,92.40
3155.00,92.43
3154.00,92.47
3153.00,92.50
3152.00,92.53
3151.00,92.55
3150.00,92.58
3149.00,92.60
3148.00,92.63
3147.00,92.66
3146.00,92.68
3145.00,92.71
3144.00,92.74
3143.00,92.78
3142.00,92.83
3141.00,92.86
3140.00,92.88
3139.00,92.89
3138.00,92.92
3137.00,92.95
3136.00,92.99
3135.00,93.03
3134.00,93.04
3133.00,93.04
3132.00,93.04
3131.00,93.07
3130.00,93.12
3129.00,93.16
3128.00,93.18
3127.00,93.20
3126.00,93.21
3125.00,93.23
3124.00,93.25
3123.00,93.26
3122.00,93.27
3121.00,93.28
3120.00,93.30
3119.00,93.33
3118.00,93.38
3117.00,93.41
3116.00,93.42
3115.00,93.41
3114.00,93.39
3113.00,93.38
3112.00,93.38
3111.00,93.40
3110.00,93.42
3109.00,93.44
3108.00,93.46
3107.00,93.47
3106.00,93.49
3105.00,93.50
3104.00,93.50
3103.00,93.50
3102.00,93.50
3101.00,93.50
3100.00,93.51
3099.00,93.50
3098.00,93.49
3097.00,93.49
3096.00,93.50
3095.00,93.51
3094.00,93.51
3093.00,93.50
3092.00,93.49
3091.00,93.50
3090.00,93.52
3089.00,93.53
3088.00,93.54
3087.00,93.54
3086.00,93.54
3085.00,93.53
3084.00,93.52
3083.00,93.52
3082.00,93.53
3081.00,93.54
3080.00,93.56
3079.00,93.57
3078.00,93.58
3077.00,93.59
3076.00,93.58
3075.00,93.57
3074.00,93.55
3073.00,93.53
3072.00,93.53
3071.00,93.54
3070.00,93.56
3069.00,93.58
3068.00,93.58
3067.00,93.58
3066.00,93.57
3065.00,93.56
3064.00,93.55
3063.00,93.55
3062.00,93.56
3061.00,93.58
3060.00,93.61
3059.00,93.64
3058.00,93.67
3057.00,93.70
3056.00,93.72
3055.00,93.73
3054.00,93.75
3053.00,93.78
3052.00,93.80
3051.00,93.82
3050.00,93.84
3049.00,93.85
3048.00,93.87
3047.00,93.89
3046.00,93.90
3045.00,93.90
3044.00,93.90
3043.00,93.91
3042.00,93.91
3041.00,93.92
3040.00,93.93
3039.00,93.95
3038.00,93.98
3037.00,94.02
3036.00,94.05
3035.00,94.07
3034.00,94.08
3033.00,94.07
3032.00,94.06
3031.00,94.06
3030.00,94.06
3029.00,94.08
3028.00,94.10
3027.00,94.13
3026.00,94.15
3025.00,94.16
3024.00,94.16
3023.00,94.16
3022.00,94.16
3021.00,94.17
3020.00,94.18
3019.00,94.20
3018.00,94.21
3017.00,94.21
3016.00,94.21
3015.00,94.21
3014.00,94.19
3013.00,94.17
3012.00,94.15
3011.00,94.12
3010.00,94.09
3009.00,94.07
3008.00,94.05
3007.00,94.03
3006.00,94.00
3005.00,93.95
3004.00,93.90
3003.00,93.84
3002.00,93.80
3001.00,93.75
3000.00,93.69
2999.00,93.63
2998.00,93.56
2997.00,93.48
2996.00,93.41
2995.00,93.32
2994.00,93.22
2993.00,93.09
2992.00,92.96
2991.00,92.82
2990.00,92.69
2989.00,92.57
2988.00,92.45
2987.00,92.30
2986.00,92.13
2985.00,91.95
2984.00,91.77
2983.00,91.58
2982.00,91.39
2981.00,91.18
2980.00,90.95
2979.00,90.70
2978.00,90.43
2977.00,90.15
2976.00,89.87
2975.00,89.58
2974.00,89.27
2973.00,88.93
2972.00,88.58
2971.00,88.21
2970.00,87.85
2969.00,87.48
2968.00,87.13
2967.00,86.79
2966.00,86.46
2965.00,86.14
2964.00,85.83
2963.00,85.54
2962.00,85.27
2961.00,85.01
2960.00,84.78
2959.00,84.56
2958.00,84.36
2957.00,84.18
2956.00,84.04
2955.00,83.95
2954.00,83.89
2953.00,83.86
2952.00,83.87
2951.00,83.88
2950.00,83.90
2949.00,83.89
2948.00,83.85
2947.00,83.76
2946.00,83.61
2945.00,83.41
2944.00,83.13
2943.00,82.80
2942.00,82.42
2941.00,81.99
2940.00,81.53
2939.00,81.02
2938.00,80.48
2937.00,79.89
2936.00,79.27
2935.00,78.60
2934.00,77.91
2933.00,77.19
2932.00,76.46
2931.00,75.71
2930.00,74.95
2929.00,74.18
2928.00,73.38
2927.00,72.57
2926.00,71.74
2925.00,70.90
2924.00,70.05
2923.00,69.20
2922.00,68.34
2921.00,67.49
2920.00,66.71
2919.00,66.10
2918.00,65.79
2917.00,65.92
2916.00,66.56
2915.00,67.68
2914.00,69.16
2913.00,70.80
2912.00,72.42
2911.00,73.92
2910.00,75.23
2909.00,76.35
2908.00,77.31
2907.00,78.12
2906.00,78.82
2905.00,79.43
2904.00,79.96
2903.00,80.43
2902.00,80.85
2901.00,81.25
2900.00,81.64
2899.00,82.02
2898.00,82.41
2897.00,82.78
2896.00,83.14
2895.00,83.49
2894.00,83.82
2893.00,84.14
2892.00,84.46
2891.00,84.77
2890.00,85.08
2889.00,85.38
2888.00,85.68
2887.00,85.96
2886.00,86.22
2885.00,86.45
2884.00,86.64
2883.00,86.80
2882.00,86.92
2881.00,87.01
2880.00,87.07
2879.00,87.08
2878.00,87.05
2877.00,86.99
2876.00,86.91
2875.00,86.81
2874.00,86.70
2873.00,86.60
2872.00,86.51
2871.00,86.44
2870.00,86.38
2869.00,86.33
2868.00,86.30
2867.00,86.26
2866.00,86.21
2865.00,86.11
2864.00,85.93
2863.00,85.65
2862.00,85.27
2861.00,84.76
2860.00,84.12
2859.00,83.34
2858.00,82.43
2857.00,81.39
2856.00,80.24
2855.00,78.99
2854.00,77.63
2853.00,76.25
2852.00,74.96
2851.00,74.00
2850.00,73.63
2849.00,74.04
2848.00,75.25
2847.00,77.05
2846.00,79.17
2845.00,81.30
2844.00,83.27
2843.00,84.99
2842.00,86.45
2841.00,87.68
2840.00,88.70
2839.00,89.57
2838.00,90.30
2837.00,90.91
2836.00,91.42
2835.00,91.85
2834.00,92.23
2833.00,92.56
2832.00,92.84
2831.00,93.09
2830.00,93.32
2829.00,93.51
2828.00,93.69
2827.00,93.84
2826.00,93.96
2825.00,94.07
2824.00,94.18
2823.00,94.28
2822.00,94.39
2821.00,94.50
2820.00,94.61
2819.00,94.71
2818.00,94.80
2817.00,94.87
2816.00,94.93
2815.00,95.00
2814.00,95.07
2813.00,95.13
2812.00,95.18
2811.00,95.22
2810.00,95.27
2809.00,95.32
2808.00,95.36
2807.00,95.41
2806.00,95.45
2805.00,95.50
2804.00,95.56
2803.00,95.61
2802.00,95.66
2801.00,95.71
2800.00,95.75
2799.00,95.78
2798.00,95.82
2797.00,95.85
2796.00,95.89
2795.00,95.92
2794.00,95.95
2793.00,95.98
2792.00,96.01
2791.00,96.04
2790.00,96.08
2789.00,96.11
2788.00,96.14
2787.00,96.17
2786.00,96.19
2785.00,96.22
2784.00,96.26
2783.00,96.29
2782.00,96.32
2781.00,96.34
2780.00,96.36
2779.00,96.38
2778.00,96.40
2777.00,96.41
2776.00,96.42
2775.00,96.42
2774.00,96.42
2773.00,96.43
2772.00,96.46
2771.00,96.49
2770.00,96.52
2769.00,96.55
2768.00,96.58
2767.00,96.59
2766.00,96.59
2765.00,96.60
2764.00,96.61
2763.00,96.62
2762.00,96.63
2761.00,96.64
2760.00,96.64
2759.00,96.65
2758.00,96.66
2757.00,96.68
2756.00,96.70
2755.00,96.72
2754.00,96.73
2753.00,96.73
2752.00,96.73
2751.00,96.74
2750.00,96.75
2749.00,96.76
2748.00,96.78
2747.00,96.80
2746.00,96.81
2745.00,96.82
2744.00,96.82
2743.00,96.83
2742.00,96.84
2741.00,96.84
2740.00,96.83
2739.00,96.82
2738.00,96.82
2737.00,96.83
2736.00,96.84
2735.00,96.85
2734.00,96.86
2733.00,96.87
2732.00,96.88
2731.00,96.88
2730.00,96.88
2729.00,96.88
2728.00,96.89
2727.00,96.91
2726.00,96.92
2725.00,96.93
2724.00,96.93
2723.00,96.94
2722.00,96.95
2721.00,96.97
2720.00,96.99
2719.00,97.00
2718.00,97.00
2717.00,96.98
2716.00,96.96
2715.00,96.96
2714.00,96.97
2713.00,96.99
2712.00,97.02
2711.00,97.06
2710.00,97.10
2709.00,97.13
2708.00,97.14
2707.00,97.15
2706.00,97.15
2705.00,97.15
2704.00,97.15
2703.00,97.16
2702.00,97.17
2701.00,97.18
2700.00,97.19
2699.00,97.20
2698.00,97.21
2697.00,97.23
2696.00,97.23
2695.00,97.23
2694.00,97.22
2693.00,97.21
2692.00,97.19
2691.00,97.18
2690.00,97.18
2689.00,97.19
2688.00,97.21
2687.00,97.24
2686.00,97.26
2685.00,97.27
2684.00,97.27
2683.00,97.26
2682.00,97.27
2681.00,97.27
2680.00,97.28
2679.00,97.28
2678.00,97.28
2677.00,97.28
2676.00,97.29
