Created as New Dataset,144 Enka
cm-1,%T
3085.00,99.45
3084.00,99.46
3083.00,99.45
3082.00,99.45
3081.00,99.44
3080.00,99.43
3079.00,99.42
3078.00,99.42
3077.00,99.41
3076.00,99.40
3075.00,99.38
3074.00,99.36
3073.00,99.35
3072.00,99.36
3071.00,99.37
3070.00,99.39
3069.00,99.41
3068.00,99.42
3067.00,99.43
3066.00,99.43
3065.00,99.43
3064.00,99.43
3063.00,99.42
3062.00,99.42
3061.00,99.41
3060.00,99.41
3059.00,99.40
3058.00,99.39
3057.00,99.37
3056.00,99.36
3055.00,99.34
3054.00,99.34
3053.00,99.36
3052.00,99.38
3051.00,99.41
3050.00,99.44
3049.00,99.46
3048.00,99.49
3047.00,99.54
3046.00,99.59
3045.00,99.63
3044.00,99.66
3043.00,99.67
3042.00,99.67
3041.00,99.68
3040.00,99.70
3039.00,99.72
3038.00,99.73
3037.00,99.72
3036.00,99.70
3035.00,99.66
3034.00,99.63
3033.00,99.61
3032.00,99.60
3031.00,99.60
3030.00,99.61
3029.00,99.62
3028.00,99.62
3027.00,99.60
3026.00,99.58
3025.00,99.55
3024.00,99.52
3023.00,99.49
3022.00,99.47
3021.00,99.43
3020.00,99.41
3019.00,99.38
3018.00,99.36
3017.00,99.33
3016.00,99.30
3015.00,99.26
3014.00,99.23
3013.00,99.20
3012.00,99.17
3011.00,99.14
3010.00,99.11
3009.00,99.08
3008.00,99.05
3007.00,99.03
3006.00,99.02
3005.00,99.00
3004.00,98.98
3003.00,98.96
3002.00,98.95
3001.00,98.94
3000.00,98.94
2999.00,98.94
2998.00,98.94
2997.00,98.94
2996.00,98.93
2995.00,98.91
2994.00,98.88
2993.00,98.86
2992.00,98.82
2991.00,98.79
2990.00,98.74
2989.00,98.70
2988.00,98.65
2987.00,98.61
2986.00,98.57
2985.00,98.53
2984.00,98.48
2983.00,98.43
2982.00,98.37
2981.00,98.30
2980.00,98.23
2979.00,98.16
2978.00,98.09
2977.00,98.01
2976.00,97.93
2975.00,97.85
2974.00,97.78
2973.00,97.73
2972.00,97.71
2971.00,97.70
2970.00,97.69
2969.00,97.69
2968.00,97.68
2967.00,97.70
2966.00,97.72
2965.00,97.75
2964.00,97.78
2963.00,97.82
2962.00,97.87
2961.00,97.91
2960.00,97.96
2959.00,98.01
2958.00,98.05
2957.00,98.09
2956.00,98.14
2955.00,98.20
2954.00,98.26
2953.00,98.31
2952.00,98.36
2951.00,98.40
2950.00,98.45
2949.00,98.50
2948.00,98.55
2947.00,98.60
2946.00,98.65
2945.00,98.70
2944.00,98.77
2943.00,98.83
2942.00,98.88
2941.00,98.92
2940.00,98.94
2939.00,98.97
2938.00,98.99
2937.00,99.01
2936.00,99.02
2935.00,99.03
2934.00,99.04
2933.00,99.06
2932.00,99.07
2931.00,99.06
2930.00,99.05
2929.00,99.04
2928.00,99.03
2927.00,99.03
2926.00,99.03
2925.00,99.02
2924.00,99.00
2923.00,98.99
2922.00,98.97
2921.00,98.96
2920.00,98.94
2919.00,98.91
2918.00,98.87
2917.00,98.83
2916.00,98.78
2915.00,98.75
2914.00,98.71
2913.00,98.66
2912.00,98.61
2911.00,98.57
2910.00,98.54
2909.00,98.54
2908.00,98.55
2907.00,98.58
2906.00,98.61
2905.00,98.65
2904.00,98.69
2903.00,98.74
2902.00,98.80
2901.00,98.85
2900.00,98.89
2899.00,98.91
2898.00,98.92
2897.00,98.92
2896.00,98.92
2895.00,98.93
2894.00,98.95
2893.00,98.98
2892.00,99.00
2891.00,99.02
2890.00,99.04
2889.00,99.06
2888.00,99.07
2887.00,99.08
2886.00,99.09
2885.00,99.10
2884.00,99.11
2883.00,99.12
2882.00,99.12
2881.00,99.13
2880.00,99.14
2879.00,99.14
2878.00,99.15
2877.00,99.15
2876.00,99.14
2875.00,99.15
2874.00,99.16
2873.00,99.18
2872.00,99.19
2871.00,99.20
2870.00,99.20
2869.00,99.21
2868.00,99.23
2867.00,99.24
2866.00,99.25
2865.00,99.25
2864.00,99.25
2863.00,99.25
2862.00,99.26
2861.00,99.27
2860.00,99.27
2859.00,99.26
2858.00,99.25
2857.00,99.24
2856.00,99.23
2855.00,99.23
2854.00,99.25
2853.00,99.28
2852.00,99.30
2851.00,99.32
2850.00,99.34
2849.00,99.36
