Created as New Dataset,141. Du Pont
cm-1,%T
2833.00,98.09
2832.00,98.10
2831.00,98.10
2830.00,98.11
2829.00,98.11
2828.00,98.12
2827.00,98.12
2826.00,98.13
2825.00,98.14
2824.00,98.16
2823.00,98.16
2822.00,98.17
2821.00,98.17
2820.00,98.17
2819.00,98.16
2818.00,98.16
2817.00,98.16
2816.00,98.16
2815.00,98.17
2814.00,98.17
2813.00,98.18
2812.00,98.18
2811.00,98.18
2810.00,98.18
2809.00,98.18
2808.00,98.19
2807.00,98.18
2806.00,98.18
2805.00,98.19
2804.00,98.20
2803.00,98.21
2802.00,98.22
2801.00,98.22
2800.00,98.22
2799.00,98.22
2798.00,98.22
2797.00,98.22
2796.00,98.22
2795.00,98.22
2794.00,98.23
2793.00,98.24
2792.00,98.26
2791.00,98.27
2790.00,98.28
2789.00,98.29
2788.00,98.28
2787.00,98.26
2786.00,98.24
2785.00,98.22
2784.00,98.22
2783.00,98.23
2782.00,98.24
2781.00,98.25
2780.00,98.25
2779.00,98.25
2778.00,98.25
2777.00,98.25
2776.00,98.26
2775.00,98.28
2774.00,98.30
2773.00,98.32
2772.00,98.33
2771.00,98.32
2770.00,98.31
2769.00,98.31
2768.00,98.31
2767.00,98.31
2766.00,98.30
2765.00,98.29
2764.00,98.28
2763.00,98.27
2762.00,98.27
2761.00,98.28
2760.00,98.28
2759.00,98.29
2758.00,98.29
2757.00,98.29
2756.00,98.29
2755.00,98.29
2754.00,98.29
2753.00,98.28
2752.00,98.27
2751.00,98.27
2750.00,98.27
2749.00,98.28
2748.00,98.28
2747.00,98.28
2746.00,98.27
2745.00,98.26
2744.00,98.27
2743.00,98.27
2742.00,98.27
2741.00,98.27
2740.00,98.26
2739.00,98.25
2738.00,98.24
2737.00,98.24
2736.00,98.24
2735.00,98.24
2734.00,98.26
2733.00,98.27
2732.00,98.29
2731.00,98.30
2730.00,98.30
2729.00,98.29
2728.00,98.29
2727.00,98.31
2726.00,98.34
2725.00,98.36
2724.00,98.36
2723.00,98.35
2722.00,98.34
2721.00,98.33
2720.00,98.33
2719.00,98.34
2718.00,98.34
2717.00,98.34
2716.00,98.34
2715.00,98.33
2714.00,98.33
2713.00,98.33
2712.00,98.34
2711.00,98.33
2710.00,98.33
2709.00,98.33
2708.00,98.34
2707.00,98.35
2706.00,98.36
2705.00,98.36
2704.00,98.36
2703.00,98.35
2702.00,98.35
2701.00,98.35
2700.00,98.37
2699.00,98.38
2698.00,98.39
2697.00,98.39
2696.00,98.38
2695.00,98.37
2694.00,98.36
2693.00,98.37
2692.00,98.38
2691.00,98.39
2690.00,98.39
2689.00,98.39
2688.00,98.39
2687.00,98.39
2686.00,98.38
2685.00,98.38
2684.00,98.37
2683.00,98.35
