Created as New Dataset,66 Union Carbide Chemicals
cm-1,%T
3161.00,97.36
3160.00,97.36
3159.00,97.37
3158.00,97.38
3157.00,97.39
3156.00,97.39
3155.00,97.39
3154.00,97.38
3153.00,97.36
3152.00,97.36
3151.00,97.36
3150.00,97.38
3149.00,97.40
3148.00,97.42
3147.00,97.44
3146.00,97.44
3145.00,97.43
3144.00,97.41
3143.00,97.40
3142.00,97.40
3141.00,97.41
3140.00,97.42
3139.00,97.44
3138.00,97.45
3137.00,97.45
3136.00,97.45
3135.00,97.43
3134.00,97.42
3133.00,97.41
3132.00,97.41
3131.00,97.41
3130.00,97.41
3129.00,97.40
3128.00,97.38
3127.00,97.37
3126.00,97.38
3125.00,97.40
3124.00,97.42
3123.00,97.42
3122.00,97.42
3121.00,97.42
3120.00,97.43
3119.00,97.44
3118.00,97.45
3117.00,97.46
3116.00,97.46
3115.00,97.46
3114.00,97.45
3113.00,97.44
3112.00,97.43
3111.00,97.42
3110.00,97.42
3109.00,97.42
3108.00,97.43
3107.00,97.43
3106.00,97.44
3105.00,97.44
3104.00,97.44
3103.00,97.44
3102.00,97.44
3101.00,97.43
3100.00,97.42
3099.00,97.42
3098.00,97.41
3097.00,97.40
3096.00,97.39
3095.00,97.39
3094.00,97.40
3093.00,97.41
3092.00,97.42
3091.00,97.43
3090.00,97.42
3089.00,97.41
3088.00,97.41
3087.00,97.41
3086.00,97.41
3085.00,97.42
3084.00,97.42
3083.00,97.42
3082.00,97.41
3081.00,97.41
3080.00,97.40
3079.00,97.39
3078.00,97.38
3077.00,97.37
3076.00,97.36
3075.00,97.37
3074.00,97.39
3073.00,97.41
3072.00,97.41
3071.00,97.41
3070.00,97.40
3069.00,97.39
3068.00,97.40
3067.00,97.41
3066.00,97.41
3065.00,97.40
3064.00,97.39
3063.00,97.38
3062.00,97.39
3061.00,97.40
3060.00,97.41
3059.00,97.41
3058.00,97.40
3057.00,97.40
3056.00,97.41
3055.00,97.41
3054.00,97.39
3053.00,97.37
3052.00,97.35
3051.00,97.35
3050.00,97.38
3049.00,97.40
3048.00,97.43
3047.00,97.44
3046.00,97.44
3045.00,97.43
3044.00,97.43
3043.00,97.42
3042.00,97.41
3041.00,97.39
3040.00,97.38
3039.00,97.38
3038.00,97.39
3037.00,97.41
3036.00,97.43
3035.00,97.44
3034.00,97.42
3033.00,97.40
3032.00,97.39
3031.00,97.37
3030.00,97.36
3029.00,97.36
3028.00,97.36
3027.00,97.35
3026.00,97.34
3025.00,97.33
