Created as New Dataset,11.3 Red Wool Coopworth sheep 
cm-1,%T
3399.00,94.92
3398.00,94.90
3397.00,94.89
3396.00,94.89
3395.00,94.89
3394.00,94.88
3393.00,94.87
3392.00,94.86
3391.00,94.83
3390.00,94.81
3389.00,94.80
3388.00,94.80
3387.00,94.78
3386.00,94.76
3385.00,94.71
3384.00,94.67
3383.00,94.62
3382.00,94.59
3381.00,94.57
3380.00,94.56
3379.00,94.56
3378.00,94.56
3377.00,94.54
3376.00,94.49
3375.00,94.44
3374.00,94.41
3373.00,94.40
3372.00,94.40
3371.00,94.41
3370.00,94.40
3369.00,94.39
3368.00,94.36
3367.00,94.35
3366.00,94.33
3365.00,94.32
3364.00,94.30
3363.00,94.26
3362.00,94.23
3361.00,94.20
3360.00,94.19
3359.00,94.19
3358.00,94.18
3357.00,94.18
3356.00,94.17
3355.00,94.14
3354.00,94.10
3353.00,94.05
3352.00,94.01
3351.00,93.97
3350.00,93.95
3349.00,93.92
3348.00,93.90
3347.00,93.88
3346.00,93.85
3345.00,93.82
3344.00,93.79
3343.00,93.76
3342.00,93.73
3341.00,93.71
3340.00,93.70
3339.00,93.69
3338.00,93.68
3337.00,93.67
3336.00,93.66
3335.00,93.65
3334.00,93.62
3333.00,93.59
3332.00,93.56
3331.00,93.53
3330.00,93.52
3329.00,93.52
3328.00,93.52
3327.00,93.51
3326.00,93.49
3325.00,93.46
3324.00,93.44
3323.00,93.42
3322.00,93.40
3321.00,93.38
3320.00,93.35
3319.00,93.33
3318.00,93.30
3317.00,93.27
3316.00,93.24
3315.00,93.20
3314.00,93.17
3313.00,93.15
3312.00,93.13
3311.00,93.12
3310.00,93.11
3309.00,93.11
3308.00,93.10
3307.00,93.09
3306.00,93.05
3305.00,93.00
3304.00,92.95
3303.00,92.91
3302.00,92.88
3301.00,92.85
3300.00,92.82
3299.00,92.79
3298.00,92.77
3297.00,92.77
3296.00,92.76
3295.00,92.75
3294.00,92.73
3293.00,92.71
3292.00,92.69
3291.00,92.67
3290.00,92.66
3289.00,92.65
3288.00,92.65
3287.00,92.64
3286.00,92.64
3285.00,92.64
3284.00,92.64
3283.00,92.63
3282.00,92.62
3281.00,92.61
3280.00,92.60
3279.00,92.61
3278.00,92.62
3277.00,92.63
3276.00,92.64
3275.00,92.63
3274.00,92.62
3273.00,92.60
3272.00,92.59
3271.00,92.59
3270.00,92.59
3269.00,92.60
3268.00,92.61
3267.00,92.62
3266.00,92.63
3265.00,92.65
3264.00,92.67
3263.00,92.70
3262.00,92.72
3261.00,92.74
3260.00,92.75
3259.00,92.75
3258.00,92.76
3257.00,92.77
3256.00,92.79
3255.00,92.82
3254.00,92.85
3253.00,92.88
3252.00,92.91
3251.00,92.92
3250.00,92.93
3249.00,92.94
3248.00,92.96
3247.00,92.99
3246.00,93.01
3245.00,93.04
3244.00,93.06
3243.00,93.08
3242.00,93.10
3241.00,93.13
3240.00,93.16
3239.00,93.20
3238.00,93.23
3237.00,93.26
3236.00,93.29
3235.00,93.32
3234.00,93.33
3233.00,93.33
3232.00,93.31
3231.00,93.31
3230.00,93.32
3229.00,93.33
3228.00,93.35
3227.00,93.38
3226.00,93.41
3225.00,93.44
3224.00,93.46
3223.00,93.46
3222.00,93.46
3221.00,93.46
3220.00,93.48
3219.00,93.51
3218.00,93.53
3217.00,93.56
3216.00,93.57
3215.00,93.57
3214.00,93.56
3213.00,93.57
3212.00,93.59
3211.00,93.63
3210.00,93.67
3209.00,93.70
3208.00,93.72
3207.00,93.74
3206.00,93.75
3205.00,93.76
3204.00,93.76
3203.00,93.75
3202.00,93.76
3201.00,93.79
3200.00,93.82
3199.00,93.85
3198.00,93.88
3197.00,93.90
3196.00,93.92
3195.00,93.94
3194.00,93.97
3193.00,94.00
3192.00,94.04
3191.00,94.07
3190.00,94.10
3189.00,94.12
3188.00,94.14
3187.00,94.16
3186.00,94.17
3185.00,94.19
3184.00,94.21
3183.00,94.24
3182.00,94.27
3181.00,94.29
3180.00,94.30
3179.00,94.31
3178.00,94.31
3177.00,94.33
3176.00,94.36
3175.00,94.39
3174.00,94.43
3173.00,94.45
3172.00,94.48
3171.00,94.50
3170.00,94.53
3169.00,94.56
3168.00,94.59
3167.00,94.62
3166.00,94.66
3165.00,94.70
3164.00,94.74
3163.00,94.77
3162.00,94.79
3161.00,94.82
3160.00,94.84
3159.00,94.87
3158.00,94.91
3157.00,94.93
3156.00,94.95
3155.00,94.96
3154.00,94.97
3153.00,94.99
3152.00,95.02
3151.00,95.06
3150.00,95.10
3149.00,95.13
3148.00,95.17
3147.00,95.20
3146.00,95.21
3145.00,95.23
3144.00,95.26
3143.00,95.29
3142.00,95.33
3141.00,95.37
3140.00,95.40
3139.00,95.41
3138.00,95.42
3137.00,95.43
3136.00,95.43
3135.00,95.45
3134.00,95.48
3133.00,95.51
3132.00,95.55
3131.00,95.57
3130.00,95.60
3129.00,95.61
3128.00,95.62
3127.00,95.62
3126.00,95.63
3125.00,95.64
3124.00,95.65
3123.00,95.67
3122.00,95.68
3121.00,95.69
3120.00,95.71
3119.00,95.74
3118.00,95.78
3117.00,95.81
3116.00,95.82
3115.00,95.83
3114.00,95.83
3113.00,95.84
3112.00,95.86
3111.00,95.88
3110.00,95.89
3109.00,95.88
3108.00,95.87
3107.00,95.84
3106.00,95.83
3105.00,95.82
3104.00,95.84
3103.00,95.86
3102.00,95.86
3101.00,95.85
3100.00,95.83
3099.00,95.82
3098.00,95.81
3097.00,95.81
3096.00,95.80
3095.00,95.80
3094.00,95.80
3093.00,95.79
3092.00,95.78
3091.00,95.77
