Created as New Dataset,138. Polyester Du Pont
cm-1,%T
2970.00,95.95
2969.00,95.89
2968.00,95.85
2967.00,95.81
2966.00,95.76
2965.00,95.73
2964.00,95.69
2963.00,95.67
2962.00,95.67
2961.00,95.68
2960.00,95.71
2959.00,95.76
2958.00,95.83
2957.00,95.91
2956.00,95.98
2955.00,96.06
2954.00,96.15
2953.00,96.25
2952.00,96.37
2951.00,96.50
2950.00,96.62
2949.00,96.74
2948.00,96.86
2947.00,96.97
2946.00,97.06
2945.00,97.15
2944.00,97.24
2943.00,97.33
2942.00,97.42
2941.00,97.50
2940.00,97.54
2939.00,97.58
2938.00,97.61
2937.00,97.66
2936.00,97.70
2935.00,97.74
2934.00,97.77
2933.00,97.80
2932.00,97.82
2931.00,97.83
2930.00,97.84
2929.00,97.83
2928.00,97.83
2927.00,97.84
2926.00,97.87
2925.00,97.90
2924.00,97.92
2923.00,97.92
2922.00,97.90
2921.00,97.87
2920.00,97.84
2919.00,97.80
2918.00,97.77
2917.00,97.75
2916.00,97.72
2915.00,97.69
2914.00,97.67
2913.00,97.65
2912.00,97.63
2911.00,97.62
2910.00,97.60
2909.00,97.59
2908.00,97.59
2907.00,97.60
2906.00,97.60
2905.00,97.59
2904.00,97.59
2903.00,97.60
2902.00,97.63
2901.00,97.68
2900.00,97.72
2899.00,97.74
2898.00,97.74
2897.00,97.74
2896.00,97.74
2895.00,97.74
2894.00,97.74
2893.00,97.73
2892.00,97.73
2891.00,97.73
2890.00,97.73
2889.00,97.74
2888.00,97.76
2887.00,97.78
2886.00,97.80
2885.00,97.82
2884.00,97.85
2883.00,97.89
2882.00,97.92
2881.00,97.93
2880.00,97.93
2879.00,97.93
2878.00,97.95
2877.00,97.98
2876.00,98.02
2875.00,98.04
2874.00,98.05
2873.00,98.05
2872.00,98.05
2871.00,98.06
2870.00,98.06
2869.00,98.08
2868.00,98.11
2867.00,98.13
2866.00,98.14
2865.00,98.14
2864.00,98.13
2863.00,98.12
2862.00,98.12
2861.00,98.12
2860.00,98.14
2859.00,98.15
2858.00,98.17
2857.00,98.19
2856.00,98.21
2855.00,98.21
2854.00,98.21
2853.00,98.20
2852.00,98.21
2851.00,98.24
2850.00,98.28
2849.00,98.32
2848.00,98.36
2847.00,98.40
2846.00,98.44
2845.00,98.46
2844.00,98.48
2843.00,98.49
2842.00,98.51
2841.00,98.53
2840.00,98.56
2839.00,98.58
2838.00,98.60
2837.00,98.61
2836.00,98.62
2835.00,98.63
2834.00,98.64
2833.00,98.65
2832.00,98.65
2831.00,98.65
2830.00,98.66
2829.00,98.66
2828.00,98.66
