Created as New Dataset,37 Hoechst
cm-1,%T
2758.00,95.93
2757.00,95.92
2756.00,95.91
2755.00,95.92
2754.00,95.93
2753.00,95.93
2752.00,95.93
2751.00,95.92
2750.00,95.91
2749.00,95.91
2748.00,95.92
2747.00,95.92
2746.00,95.93
2745.00,95.93
2744.00,95.92
2743.00,95.92
2742.00,95.92
2741.00,95.92
2740.00,95.92
2739.00,95.91
2738.00,95.91
2737.00,95.91
2736.00,95.91
2735.00,95.91
2734.00,95.91
2733.00,95.91
2732.00,95.91
2731.00,95.90
2730.00,95.89
2729.00,95.89
2728.00,95.88
2727.00,95.87
2726.00,95.87
2725.00,95.87
2724.00,95.88
2723.00,95.90
2722.00,95.91
2721.00,95.91
2720.00,95.91
2719.00,95.91
2718.00,95.91
2717.00,95.91
2716.00,95.91
2715.00,95.91
2714.00,95.90
2713.00,95.90
2712.00,95.90
2711.00,95.90
2710.00,95.89
2709.00,95.88
2708.00,95.88
2707.00,95.90
2706.00,95.92
2705.00,95.93
2704.00,95.92
2703.00,95.90
2702.00,95.89
2701.00,95.89
2700.00,95.90
2699.00,95.91
2698.00,95.91
2697.00,95.90
2696.00,95.89
2695.00,95.89
2694.00,95.89
2693.00,95.88
2692.00,95.87
2691.00,95.87
2690.00,95.87
2689.00,95.87
2688.00,95.88
2687.00,95.87
2686.00,95.87
2685.00,95.87
2684.00,95.86
2683.00,95.86
2682.00,95.86
2681.00,95.86
2680.00,95.86
2679.00,95.85
2678.00,95.85
2677.00,95.86
2676.00,95.87
2675.00,95.87
2674.00,95.88
2673.00,95.87
2672.00,95.88
2671.00,95.88
2670.00,95.88
2669.00,95.87
2668.00,95.86
2667.00,95.85
2666.00,95.85
2665.00,95.83
2664.00,95.82
2663.00,95.80
2662.00,95.80
2661.00,95.79
2660.00,95.78
2659.00,95.76
2658.00,95.74
2657.00,95.72
2656.00,95.70
2655.00,95.69
2654.00,95.68
2653.00,95.66
2652.00,95.65
2651.00,95.63
2650.00,95.62
2649.00,95.62
2648.00,95.61
2647.00,95.60
2646.00,95.59
2645.00,95.56
2644.00,95.54
2643.00,95.52
2642.00,95.50
2641.00,95.49
2640.00,95.49
2639.00,95.49
2638.00,95.49
2637.00,95.48
2636.00,95.46
2635.00,95.44
2634.00,95.42
2633.00,95.41
2632.00,95.40
2631.00,95.38
2630.00,95.36
2629.00,95.35
2628.00,95.35
2627.00,95.36
2626.00,95.35
2625.00,95.33
2624.00,95.30
2623.00,95.29
2622.00,95.30
2621.00,95.30
2620.00,95.29
2619.00,95.27
2618.00,95.26
2617.00,95.25
2616.00,95.25
2615.00,95.24
2614.00,95.23
2613.00,95.21
2612.00,95.19
2611.00,95.19
2610.00,95.20
2609.00,95.20
2608.00,95.20
2607.00,95.19
2606.00,95.16
2605.00,95.12
2604.00,95.08
2603.00,95.06
2602.00,95.05
2601.00,95.07
2600.00,95.08
2599.00,95.08
2598.00,95.08
2597.00,95.07
2596.00,95.07
2595.00,95.06
2594.00,95.04
2593.00,95.03
2592.00,95.02
2591.00,95.01
2590.00,95.00
2589.00,94.99
2588.00,94.97
2587.00,94.96
2586.00,94.94
2585.00,94.93
2584.00,94.92
2583.00,94.92
2582.00,94.92
2581.00,94.93
2580.00,94.93
2579.00,94.92
2578.00,94.92
2577.00,94.92
2576.00,94.92
2575.00,94.91
2574.00,94.91
2573.00,94.90
2572.00,94.89
2571.00,94.87
2570.00,94.86
2569.00,94.85
2568.00,94.85
2567.00,94.85
2566.00,94.85
2565.00,94.85
2564.00,94.85
2563.00,94.84
2562.00,94.84
2561.00,94.83
2560.00,94.82
2559.00,94.80
2558.00,94.78
2557.00,94.77
2556.00,94.77
2555.00,94.79
2554.00,94.80
2553.00,94.80
2552.00,94.80
2551.00,94.79
2550.00,94.78
2549.00,94.75
2548.00,94.73
2547.00,94.72
2546.00,94.71
2545.00,94.72
2544.00,94.74
2543.00,94.75
2542.00,94.74
2541.00,94.73
2540.00,94.72
2539.00,94.71
2538.00,94.71
2537.00,94.70
2536.00,94.69
2535.00,94.70
2534.00,94.71
2533.00,94.74
2532.00,94.75
2531.00,94.74
2530.00,94.70
2529.00,94.66
2528.00,94.65
2527.00,94.66
2526.00,94.68
2525.00,94.70
2524.00,94.71
2523.00,94.71
2522.00,94.70
2521.00,94.69
2520.00,94.69
2519.00,94.70
2518.00,94.73
2517.00,94.76
2516.00,94.77
2515.00,94.76
2514.00,94.74
2513.00,94.70
2512.00,94.67
2511.00,94.65
2510.00,94.65
2509.00,94.67
2508.00,94.69
2507.00,94.72
2506.00,94.74
2505.00,94.73
2504.00,94.72
2503.00,94.70
2502.00,94.69
2501.00,94.69
2500.00,94.68
2499.00,94.68
2498.00,94.68
2497.00,94.70
2496.00,94.72
2495.00,94.75
2494.00,94.77
2493.00,94.77
2492.00,94.75
2491.00,94.73
2490.00,94.72
2489.00,94.71
2488.00,94.71
2487.00,94.72
2486.00,94.72
2485.00,94.72
2484.00,94.71
2483.00,94.70
2482.00,94.70
2481.00,94.71
2480.00,94.73
2479.00,94.75
2478.00,94.76
2477.00,94.77
2476.00,94.77
2475.00,94.76
2474.00,94.75
2473.00,94.75
2472.00,94.75
2471.00,94.77
2470.00,94.79
2469.00,94.80
2468.00,94.80
2467.00,94.79
2466.00,94.79
2465.00,94.79
2464.00,94.80
2463.00,94.80
2462.00,94.80
2461.00,94.81
2460.00,94.81
2459.00,94.81
2458.00,94.79
2457.00,94.77
