Created as New Dataset,12. Acrylic Courtaulds Dyed
cm-1,%T
3236.00,93.76
3235.00,93.78
3234.00,93.80
3233.00,93.81
3232.00,93.82
3231.00,93.82
3230.00,93.83
3229.00,93.83
3228.00,93.82
3227.00,93.81
3226.00,93.80
3225.00,93.80
3224.00,93.80
3223.00,93.79
3222.00,93.79
3221.00,93.80
3220.00,93.80
3219.00,93.80
3218.00,93.81
3217.00,93.81
3216.00,93.81
3215.00,93.81
3214.00,93.80
3213.00,93.81
3212.00,93.82
3211.00,93.84
3210.00,93.86
3209.00,93.86
3208.00,93.86
3207.00,93.86
3206.00,93.85
3205.00,93.85
3204.00,93.85
3203.00,93.85
3202.00,93.85
3201.00,93.85
3200.00,93.84
3199.00,93.84
3198.00,93.83
3197.00,93.83
3196.00,93.84
3195.00,93.85
3194.00,93.86
3193.00,93.87
3192.00,93.87
3191.00,93.87
3190.00,93.87
3189.00,93.88
3188.00,93.89
3187.00,93.91
3186.00,93.92
3185.00,93.93
3184.00,93.94
3183.00,93.95
3182.00,93.95
3181.00,93.95
3180.00,93.95
3179.00,93.94
3178.00,93.94
3177.00,93.94
3176.00,93.94
3175.00,93.94
3174.00,93.94
3173.00,93.93
3172.00,93.93
3171.00,93.93
3170.00,93.93
3169.00,93.94
3168.00,93.94
3167.00,93.95
3166.00,93.95
3165.00,93.96
3164.00,93.96
3163.00,93.96
3162.00,93.94
3161.00,93.93
3160.00,93.93
3159.00,93.94
3158.00,93.95
3157.00,93.97
3156.00,93.98
3155.00,93.97
3154.00,93.97
3153.00,93.98
3152.00,94.00
3151.00,94.01
3150.00,94.01
3149.00,94.00
3148.00,93.99
3147.00,93.99
3146.00,93.99
3145.00,94.00
3144.00,94.02
3143.00,94.02
3142.00,94.02
3141.00,94.02
3140.00,94.01
3139.00,94.00
3138.00,93.99
3137.00,93.99
3136.00,93.99
3135.00,94.00
3134.00,94.02
3133.00,94.02
3132.00,94.02
3131.00,94.01
3130.00,94.00
3129.00,93.99
3128.00,93.99
3127.00,93.98
3126.00,93.98
3125.00,93.98
3124.00,94.00
3123.00,94.02
3122.00,94.02
3121.00,94.02
3120.00,94.01
3119.00,94.00
3118.00,94.01
3117.00,94.03
3116.00,94.04
3115.00,94.04
3114.00,94.02
3113.00,94.01
3112.00,94.00
3111.00,94.02
3110.00,94.04
3109.00,94.07
3108.00,94.08
3107.00,94.09
3106.00,94.08
3105.00,94.07
3104.00,94.06
3103.00,94.06
3102.00,94.06
3101.00,94.06
