Created as New Dataset,60 Lenzing Lenzing Modal
cm-1,%T
3147.00,90.58
3146.00,90.60
3145.00,90.62
3144.00,90.63
3143.00,90.65
3142.00,90.69
3141.00,90.74
3140.00,90.80
3139.00,90.86
3138.00,90.90
3137.00,90.92
3136.00,90.93
3135.00,90.95
3134.00,90.96
3133.00,90.99
3132.00,91.02
3131.00,91.04
3130.00,91.07
3129.00,91.10
3128.00,91.15
3127.00,91.21
3126.00,91.25
3125.00,91.29
3124.00,91.32
3123.00,91.35
3122.00,91.38
3121.00,91.41
3120.00,91.44
3119.00,91.48
3118.00,91.52
3117.00,91.55
3116.00,91.58
3115.00,91.60
3114.00,91.60
3113.00,91.61
3112.00,91.62
3111.00,91.65
3110.00,91.69
3109.00,91.74
3108.00,91.78
3107.00,91.83
3106.00,91.87
3105.00,91.91
3104.00,91.94
3103.00,91.97
3102.00,91.98
3101.00,92.00
3100.00,92.02
3099.00,92.04
3098.00,92.07
3097.00,92.10
3096.00,92.13
3095.00,92.15
3094.00,92.19
3093.00,92.22
3092.00,92.27
3091.00,92.32
3090.00,92.37
3089.00,92.41
3088.00,92.43
3087.00,92.45
3086.00,92.47
3085.00,92.50
3084.00,92.54
3083.00,92.57
3082.00,92.60
3081.00,92.64
3080.00,92.68
3079.00,92.71
3078.00,92.74
3077.00,92.77
3076.00,92.81
3075.00,92.85
3074.00,92.89
3073.00,92.91
3072.00,92.92
3071.00,92.92
3070.00,92.93
3069.00,92.95
3068.00,92.97
3067.00,92.99
3066.00,93.02
3065.00,93.05
3064.00,93.09
3063.00,93.15
3062.00,93.20
3061.00,93.25
3060.00,93.28
3059.00,93.29
3058.00,93.29
3057.00,93.30
3056.00,93.32
3055.00,93.34
3054.00,93.36
3053.00,93.39
3052.00,93.43
3051.00,93.47
3050.00,93.51
3049.00,93.53
3048.00,93.55
3047.00,93.55
3046.00,93.56
3045.00,93.56
3044.00,93.58
3043.00,93.61
3042.00,93.64
3041.00,93.68
3040.00,93.70
3039.00,93.72
3038.00,93.74
3037.00,93.74
3036.00,93.76
3035.00,93.78
3034.00,93.82
3033.00,93.87
3032.00,93.92
3031.00,93.96
3030.00,93.98
3029.00,93.99
3028.00,93.99
3027.00,94.00
3026.00,94.03
3025.00,94.05
3024.00,94.07
3023.00,94.08
3022.00,94.08
3021.00,94.10
3020.00,94.12
3019.00,94.14
3018.00,94.15
3017.00,94.16
3016.00,94.16
3015.00,94.17
3014.00,94.18
3013.00,94.19
3012.00,94.21
3011.00,94.22
3010.00,94.24
3009.00,94.25
3008.00,94.26
3007.00,94.28
3006.00,94.30
3005.00,94.33
3004.00,94.36
3003.00,94.39
3002.00,94.43
3001.00,94.47
3000.00,94.49
2999.00,94.48
2998.00,94.45
2997.00,94.42
2996.00,94.38
2995.00,94.35
2994.00,94.33
2993.00,94.33
2992.00,94.35
2991.00,94.36
2990.00,94.37
2989.00,94.35
2988.00,94.33
2987.00,94.31
