Created as New Dataset,61 Monsanto
cm-1,%T
2563.00,100.53
2562.00,100.52
2561.00,100.52
2560.00,100.51
2559.00,100.51
2558.00,100.51
2557.00,100.50
2556.00,100.51
2555.00,100.52
2554.00,100.53
2553.00,100.54
2552.00,100.54
2551.00,100.55
2550.00,100.56
2549.00,100.57
2548.00,100.57
2547.00,100.55
2546.00,100.54
2545.00,100.54
2544.00,100.54
2543.00,100.54
2542.00,100.54
2541.00,100.54
2540.00,100.52
2539.00,100.50
2538.00,100.48
2537.00,100.48
2536.00,100.49
2535.00,100.49
2534.00,100.49
2533.00,100.49
2532.00,100.48
2531.00,100.48
2530.00,100.47
2529.00,100.47
2528.00,100.46
2527.00,100.46
2526.00,100.47
2525.00,100.50
2524.00,100.54
2523.00,100.56
2522.00,100.57
2521.00,100.56
2520.00,100.53
2519.00,100.49
2518.00,100.46
2517.00,100.44
2516.00,100.44
2515.00,100.44
2514.00,100.45
2513.00,100.46
2512.00,100.48
2511.00,100.49
2510.00,100.50
2509.00,100.52
2508.00,100.53
2507.00,100.54
2506.00,100.53
2505.00,100.52
2504.00,100.51
2503.00,100.50
2502.00,100.50
2501.00,100.49
2500.00,100.49
2499.00,100.49
2498.00,100.50
2497.00,100.50
2496.00,100.50
2495.00,100.49
2494.00,100.48
2493.00,100.47
2492.00,100.48
2491.00,100.49
2490.00,100.50
2489.00,100.50
2488.00,100.50
2487.00,100.49
2486.00,100.49
2485.00,100.50
2484.00,100.50
2483.00,100.51
2482.00,100.51
2481.00,100.52
2480.00,100.54
2479.00,100.55
2478.00,100.54
2477.00,100.53
2476.00,100.51
2475.00,100.50
2474.00,100.48
2473.00,100.47
2472.00,100.47
2471.00,100.46
2470.00,100.46
2469.00,100.46
2468.00,100.46
2467.00,100.46
2466.00,100.48
2465.00,100.50
2464.00,100.51
2463.00,100.51
2462.00,100.50
2461.00,100.50
2460.00,100.50
2459.00,100.51
2458.00,100.52
2457.00,100.52
