Created as New Dataset,198 Lenzing AG
cm-1,%T
3028.00,99.50
3027.00,99.50
3026.00,99.50
3025.00,99.51
3024.00,99.53
3023.00,99.54
3022.00,99.56
3021.00,99.58
3020.00,99.59
3019.00,99.60
3018.00,99.61
3017.00,99.62
3016.00,99.64
3015.00,99.65
3014.00,99.66
3013.00,99.66
3012.00,99.65
3011.00,99.65
3010.00,99.65
3009.00,99.65
3008.00,99.65
3007.00,99.67
3006.00,99.68
3005.00,99.70
3004.00,99.72
3003.00,99.72
3002.00,99.71
3001.00,99.71
3000.00,99.71
2999.00,99.73
2998.00,99.74
2997.00,99.74
2996.00,99.73
2995.00,99.71
2994.00,99.69
2993.00,99.68
2992.00,99.67
2991.00,99.67
2990.00,99.67
2989.00,99.67
2988.00,99.67
2987.00,99.66
2986.00,99.65
2985.00,99.65
2984.00,99.65
2983.00,99.65
2982.00,99.66
2981.00,99.66
2980.00,99.66
2979.00,99.66
2978.00,99.66
2977.00,99.66
2976.00,99.66
2975.00,99.65
2974.00,99.65
2973.00,99.64
2972.00,99.63
2971.00,99.61
2970.00,99.59
2969.00,99.58
2968.00,99.58
2967.00,99.57
2966.00,99.56
2965.00,99.56
2964.00,99.56
2963.00,99.55
2962.00,99.54
2961.00,99.52
2960.00,99.51
2959.00,99.50
2958.00,99.50
2957.00,99.48
2956.00,99.45
2955.00,99.42
2954.00,99.38
2953.00,99.36
2952.00,99.34
2951.00,99.33
2950.00,99.33
2949.00,99.33
2948.00,99.31
2947.00,99.28
2946.00,99.25
2945.00,99.22
2944.00,99.20
2943.00,99.17
2942.00,99.15
2941.00,99.12
2940.00,99.11
2939.00,99.09
2938.00,99.07
2937.00,99.04
2936.00,99.01
2935.00,98.98
2934.00,98.96
2933.00,98.94
2932.00,98.93
2931.00,98.92
2930.00,98.90
2929.00,98.89
2928.00,98.87
2927.00,98.86
2926.00,98.84
2925.00,98.81
2924.00,98.79
2923.00,98.77
2922.00,98.74
2921.00,98.73
2920.00,98.73
2919.00,98.74
2918.00,98.74
2917.00,98.73
2916.00,98.72
2915.00,98.69
2914.00,98.67
2913.00,98.64
2912.00,98.60
2911.00,98.56
2910.00,98.52
2909.00,98.50
2908.00,98.49
2907.00,98.49
2906.00,98.49
2905.00,98.48
2904.00,98.47
2903.00,98.44
2902.00,98.42
2901.00,98.40
2900.00,98.38
2899.00,98.36
2898.00,98.35
2897.00,98.35
2896.00,98.36
2895.00,98.37
2894.00,98.36
2893.00,98.34
2892.00,98.33
2891.00,98.32
2890.00,98.32
2889.00,98.33
2888.00,98.35
2887.00,98.37
2886.00,98.39
2885.00,98.40
2884.00,98.40
2883.00,98.41
2882.00,98.41
2881.00,98.42
2880.00,98.42
2879.00,98.43
2878.00,98.43
2877.00,98.44
2876.00,98.44
2875.00,98.45
2874.00,98.46
2873.00,98.48
2872.00,98.50
2871.00,98.52
2870.00,98.54
2869.00,98.56
2868.00,98.59
2867.00,98.61
2866.00,98.63
2865.00,98.64
2864.00,98.66
2863.00,98.67
2862.00,98.69
2861.00,98.71
2860.00,98.74
2859.00,98.79
2858.00,98.83
2857.00,98.86
2856.00,98.88
2855.00,98.89
2854.00,98.91
2853.00,98.94
2852.00,98.97
2851.00,99.01
2850.00,99.05
2849.00,99.09
2848.00,99.11
2847.00,99.11
2846.00,99.11
2845.00,99.12
2844.00,99.14
2843.00,99.17
2842.00,99.20
2841.00,99.23
2840.00,99.25
2839.00,99.27
2838.00,99.28
2837.00,99.29
2836.00,99.29
2835.00,99.30
2834.00,99.32
2833.00,99.36
2832.00,99.39
2831.00,99.41
2830.00,99.42
2829.00,99.42
2828.00,99.42
2827.00,99.43
2826.00,99.44
2825.00,99.45
2824.00,99.45
2823.00,99.45
2822.00,99.46
2821.00,99.46
2820.00,99.47
2819.00,99.48
2818.00,99.49
2817.00,99.49
2816.00,99.50
2815.00,99.51
2814.00,99.52
2813.00,99.54
2812.00,99.55
2811.00,99.56
2810.00,99.56
2809.00,99.56
2808.00,99.57
2807.00,99.59
2806.00,99.61
2805.00,99.63
2804.00,99.63
2803.00,99.63
2802.00,99.63
2801.00,99.63
2800.00,99.64
2799.00,99.66
2798.00,99.68
2797.00,99.70
2796.00,99.70
2795.00,99.70
2794.00,99.69
2793.00,99.69
2792.00,99.68
2791.00,99.69
2790.00,99.70
2789.00,99.71
2788.00,99.72
2787.00,99.73
2786.00,99.73
2785.00,99.73
2784.00,99.73
2783.00,99.74
2782.00,99.75
2781.00,99.76
2780.00,99.77
2779.00,99.78
2778.00,99.79
2777.00,99.79
2776.00,99.79
2775.00,99.79
2774.00,99.79
