Created as New Dataset,60 Lenzing
cm-1,%T
3314.00,86.40
3313.00,86.41
3312.00,86.44
3311.00,86.47
3310.00,86.50
3309.00,86.51
3308.00,86.51
3307.00,86.51
3306.00,86.50
3305.00,86.49
3304.00,86.49
3303.00,86.51
3302.00,86.53
3301.00,86.55
3300.00,86.57
3299.00,86.58
3298.00,86.58
3297.00,86.58
3296.00,86.58
3295.00,86.57
3294.00,86.57
3293.00,86.56
3292.00,86.56
3291.00,86.55
3290.00,86.55
3289.00,86.55
3288.00,86.57
3287.00,86.59
3286.00,86.61
3285.00,86.63
3284.00,86.65
3283.00,86.66
3282.00,86.67
3281.00,86.69
3280.00,86.71
3279.00,86.74
3278.00,86.76
3277.00,86.77
3276.00,86.77
3275.00,86.77
3274.00,86.77
3273.00,86.77
3272.00,86.78
3271.00,86.79
3270.00,86.80
3269.00,86.81
3268.00,86.82
3267.00,86.84
3266.00,86.87
3265.00,86.90
3264.00,86.92
3263.00,86.94
3262.00,86.95
3261.00,86.96
3260.00,86.97
3259.00,86.99
3258.00,87.01
3257.00,87.04
3256.00,87.06
3255.00,87.08
3254.00,87.11
3253.00,87.14
3252.00,87.16
3251.00,87.18
3250.00,87.19
3249.00,87.21
3248.00,87.23
3247.00,87.26
3246.00,87.28
3245.00,87.30
3244.00,87.31
3243.00,87.32
3242.00,87.34
3241.00,87.37
3240.00,87.40
3239.00,87.43
3238.00,87.46
3237.00,87.49
3236.00,87.52
3235.00,87.56
3234.00,87.58
3233.00,87.60
3232.00,87.60
3231.00,87.61
3230.00,87.63
3229.00,87.66
3228.00,87.70
3227.00,87.72
3226.00,87.74
3225.00,87.76
3224.00,87.79
3223.00,87.81
3222.00,87.83
3221.00,87.84
3220.00,87.86
3219.00,87.88
3218.00,87.92
3217.00,87.95
3216.00,87.98
3215.00,88.01
3214.00,88.03
3213.00,88.05
3212.00,88.08
3211.00,88.11
3210.00,88.13
3209.00,88.15
3208.00,88.17
3207.00,88.18
3206.00,88.20
3205.00,88.23
3204.00,88.27
3203.00,88.30
3202.00,88.33
3201.00,88.36
3200.00,88.40
3199.00,88.44
3198.00,88.47
3197.00,88.51
3196.00,88.54
3195.00,88.56
3194.00,88.58
3193.00,88.61
3192.00,88.64
3191.00,88.67
3190.00,88.70
3189.00,88.72
3188.00,88.74
3187.00,88.76
3186.00,88.78
3185.00,88.81
3184.00,88.84
3183.00,88.86
3182.00,88.88
3181.00,88.90
3180.00,88.91
3179.00,88.94
3178.00,88.98
3177.00,89.02
3176.00,89.05
3175.00,89.06
3174.00,89.08
3173.00,89.10
3172.00,89.13
3171.00,89.18
3170.00,89.23
3169.00,89.28
3168.00,89.32
3167.00,89.36
3166.00,89.39
3165.00,89.42
3164.00,89.45
3163.00,89.48
3162.00,89.50
3161.00,89.50
3160.00,89.51
3159.00,89.54
3158.00,89.58
3157.00,89.63
3156.00,89.68
3155.00,89.71
3154.00,89.73
3153.00,89.75
3152.00,89.77
3151.00,89.81
3150.00,89.87
3149.00,89.92
3148.00,89.98
3147.00,90.02
3146.00,90.06
3145.00,90.09
3144.00,90.11
3143.00,90.13
3142.00,90.17
3141.00,90.22
3140.00,90.27
3139.00,90.31
3138.00,90.34
3137.00,90.37
3136.00,90.40
3135.00,90.43
3134.00,90.46
3133.00,90.50
3132.00,90.53
3131.00,90.56
3130.00,90.60
3129.00,90.64
3128.00,90.69
3127.00,90.74
3126.00,90.78
3125.00,90.83
3124.00,90.88
3123.00,90.92
3122.00,90.96
3121.00,91.00
3120.00,91.03
3119.00,91.06
3118.00,91.09
3117.00,91.12
3116.00,91.16
3115.00,91.20
3114.00,91.24
3113.00,91.28
3112.00,91.32
3111.00,91.36
3110.00,91.39
3109.00,91.43
3108.00,91.46
3107.00,91.51
3106.00,91.56
3105.00,91.61
3104.00,91.66
3103.00,91.70
3102.00,91.74
3101.00,91.76
3100.00,91.79
3099.00,91.83
3098.00,91.88
3097.00,91.94
3096.00,91.99
3095.00,92.03
3094.00,92.07
3093.00,92.11
3092.00,92.16
3091.00,92.21
3090.00,92.26
3089.00,92.30
3088.00,92.33
3087.00,92.36
3086.00,92.39
3085.00,92.42
3084.00,92.45
3083.00,92.47
3082.00,92.48
3081.00,92.49
3080.00,92.53
3079.00,92.57
3078.00,92.63
3077.00,92.68
3076.00,92.73
3075.00,92.77
3074.00,92.79
3073.00,92.81
3072.00,92.82
3071.00,92.84
3070.00,92.86
3069.00,92.89
3068.00,92.93
3067.00,92.96
3066.00,93.00
3065.00,93.03
3064.00,93.07
3063.00,93.10
3062.00,93.14
3061.00,93.18
3060.00,93.22
3059.00,93.25
3058.00,93.29
3057.00,93.33
3056.00,93.36
3055.00,93.40
3054.00,93.43
3053.00,93.46
3052.00,93.49
3051.00,93.50
3050.00,93.51
3049.00,93.52
3048.00,93.53
3047.00,93.56
3046.00,93.60
3045.00,93.65
3044.00,93.69
3043.00,93.72
3042.00,93.75
3041.00,93.78
3040.00,93.81
3039.00,93.84
3038.00,93.87
3037.00,93.89
3036.00,93.90
3035.00,93.91
3034.00,93.92
3033.00,93.93
3032.00,93.94
3031.00,93.96
3030.00,93.99
3029.00,94.03
3028.00,94.06
3027.00,94.10
3026.00,94.12
3025.00,94.15
3024.00,94.17
3023.00,94.18
3022.00,94.19
3021.00,94.20
3020.00,94.23
3019.00,94.26
3018.00,94.29
3017.00,94.33
3016.00,94.37
3015.00,94.40
3014.00,94.42
3013.00,94.44
3012.00,94.45
3011.00,94.45
3010.00,94.46
3009.00,94.46
3008.00,94.47
3007.00,94.48
3006.00,94.50
3005.00,94.51
3004.00,94.53
3003.00,94.55
3002.00,94.57
3001.00,94.58
3000.00,94.56
2999.00,94.54
2998.00,94.54
2997.00,94.55
2996.00,94.57
2995.00,94.58
2994.00,94.58
2993.00,94.58
2992.00,94.58
2991.00,94.58
2990.00,94.59
2989.00,94.60
2988.00,94.60
2987.00,94.58
