Created as New Dataset,191 FMC American Viscose
cm-1,%T
2531.00,95.60
2530.00,95.61
2529.00,95.62
2528.00,95.63
2527.00,95.65
2526.00,95.66
2525.00,95.67
2524.00,95.68
2523.00,95.67
2522.00,95.65
2521.00,95.63
2520.00,95.62
2519.00,95.61
2518.00,95.61
2517.00,95.60
2516.00,95.61
2515.00,95.62
2514.00,95.64
2513.00,95.65
2512.00,95.67
2511.00,95.69
2510.00,95.71
2509.00,95.71
2508.00,95.70
2507.00,95.68
2506.00,95.67
2505.00,95.66
2504.00,95.65
2503.00,95.65
2502.00,95.65
2501.00,95.65
2500.00,95.66
2499.00,95.68
2498.00,95.70
2497.00,95.70
2496.00,95.70
2495.00,95.69
2494.00,95.68
2493.00,95.67
2492.00,95.65
2491.00,95.65
2490.00,95.66
2489.00,95.67
2488.00,95.68
2487.00,95.69
2486.00,95.70
2485.00,95.70
2484.00,95.70
2483.00,95.71
2482.00,95.73
2481.00,95.75
2480.00,95.75
2479.00,95.74
2478.00,95.73
2477.00,95.73
2476.00,95.74
2475.00,95.74
2474.00,95.74
2473.00,95.72
2472.00,95.70
2471.00,95.69
2470.00,95.70
2469.00,95.72
2468.00,95.72
2467.00,95.71
2466.00,95.70
2465.00,95.69
2464.00,95.68
2463.00,95.67
2462.00,95.67
2461.00,95.68
2460.00,95.70
2459.00,95.72
2458.00,95.73
