Created as New Dataset,74 Nylon Allied Signal Fibers 
cm-1,%T
2727.00,100.62
2726.00,100.63
2725.00,100.64
2724.00,100.65
2723.00,100.66
2722.00,100.67
2721.00,100.66
2720.00,100.66
2719.00,100.65
2718.00,100.65
2717.00,100.65
2716.00,100.66
2715.00,100.68
2714.00,100.71
2713.00,100.73
2712.00,100.75
2711.00,100.74
2710.00,100.73
2709.00,100.71
2708.00,100.70
2707.00,100.69
2706.00,100.68
2705.00,100.67
2704.00,100.68
2703.00,100.69
2702.00,100.70
2701.00,100.70
2700.00,100.71
2699.00,100.71
2698.00,100.70
2697.00,100.69
2696.00,100.69
2695.00,100.69
2694.00,100.71
2693.00,100.74
2692.00,100.75
2691.00,100.76
2690.00,100.76
2689.00,100.76
2688.00,100.77
2687.00,100.78
2686.00,100.78
2685.00,100.78
2684.00,100.79
2683.00,100.80
2682.00,100.81
2681.00,100.81
2680.00,100.80
2679.00,100.78
2678.00,100.77
2677.00,100.77
2676.00,100.76
2675.00,100.76
2674.00,100.76
2673.00,100.76
2672.00,100.76
2671.00,100.76
2670.00,100.76
2669.00,100.77
2668.00,100.78
2667.00,100.79
2666.00,100.80
2665.00,100.80
2664.00,100.80
2663.00,100.78
2662.00,100.76
2661.00,100.75
2660.00,100.73
2659.00,100.72
2658.00,100.71
2657.00,100.70
2656.00,100.69
2655.00,100.70
2654.00,100.70
2653.00,100.69
2652.00,100.66
2651.00,100.65
2650.00,100.65
2649.00,100.66
2648.00,100.67
2647.00,100.68
2646.00,100.67
2645.00,100.67
2644.00,100.66
2643.00,100.66
2642.00,100.65
2641.00,100.65
2640.00,100.66
2639.00,100.67
2638.00,100.66
2637.00,100.65
2636.00,100.64
2635.00,100.64
2634.00,100.64
2633.00,100.65
2632.00,100.65
2631.00,100.64
2630.00,100.63
2629.00,100.63
2628.00,100.63
2627.00,100.64
2626.00,100.63
2625.00,100.61
2624.00,100.60
2623.00,100.60
2622.00,100.61
2621.00,100.62
2620.00,100.64
2619.00,100.65
2618.00,100.67
2617.00,100.67
2616.00,100.66
2615.00,100.65
2614.00,100.65
2613.00,100.66
2612.00,100.66
2611.00,100.65
2610.00,100.65
2609.00,100.64
2608.00,100.64
2607.00,100.63
2606.00,100.63
2605.00,100.64
2604.00,100.64
2603.00,100.65
2602.00,100.66
2601.00,100.66
2600.00,100.66
2599.00,100.66
2598.00,100.66
2597.00,100.65
2596.00,100.65
2595.00,100.64
2594.00,100.64
2593.00,100.63
2592.00,100.63
2591.00,100.64
2590.00,100.64
2589.00,100.64
2588.00,100.64
2587.00,100.66
2586.00,100.68
2585.00,100.68
2584.00,100.66
2583.00,100.65
2582.00,100.65
2581.00,100.65
2580.00,100.64
2579.00,100.63
2578.00,100.61
2577.00,100.60
2576.00,100.61
2575.00,100.63
2574.00,100.64
2573.00,100.65
2572.00,100.64
2571.00,100.64
2570.00,100.64
2569.00,100.65
2568.00,100.67
2567.00,100.68
2566.00,100.69
2565.00,100.68
2564.00,100.67
2563.00,100.66
2562.00,100.66
2561.00,100.67
2560.00,100.68
2559.00,100.67
2558.00,100.66
2557.00,100.64
2556.00,100.63
2555.00,100.63
2554.00,100.63
2553.00,100.64
2552.00,100.65
2551.00,100.66
2550.00,100.67
2549.00,100.67
2548.00,100.65
2547.00,100.63
2546.00,100.62
2545.00,100.62
2544.00,100.64
2543.00,100.66
2542.00,100.65
2541.00,100.64
2540.00,100.63
2539.00,100.63
2538.00,100.64
2537.00,100.64
2536.00,100.65
2535.00,100.65
2534.00,100.66
2533.00,100.67
2532.00,100.67
2531.00,100.66
2530.00,100.65
2529.00,100.64
2528.00,100.63
2527.00,100.64
2526.00,100.65
2525.00,100.67
2524.00,100.69
2523.00,100.70
2522.00,100.70
2521.00,100.69
2520.00,100.67
2519.00,100.66
2518.00,100.64
2517.00,100.64
2516.00,100.65
2515.00,100.68
2514.00,100.72
2513.00,100.74
2512.00,100.75
2511.00,100.75
2510.00,100.75
2509.00,100.75
2508.00,100.74
2507.00,100.71
2506.00,100.67
2505.00,100.65
2504.00,100.64
2503.00,100.64
2502.00,100.63
2501.00,100.62
2500.00,100.63
2499.00,100.65
2498.00,100.66
2497.00,100.68
2496.00,100.69
2495.00,100.71
2494.00,100.73
2493.00,100.76
2492.00,100.78
2491.00,100.79
2490.00,100.79
2489.00,100.77
2488.00,100.75
2487.00,100.73
2486.00,100.71
2485.00,100.70
2484.00,100.69
2483.00,100.69
2482.00,100.68
2481.00,100.67
2480.00,100.68
2479.00,100.71
2478.00,100.74
2477.00,100.75
2476.00,100.74
2475.00,100.72
2474.00,100.70
2473.00,100.69
2472.00,100.69
2471.00,100.68
2470.00,100.66
2469.00,100.64
2468.00,100.64
2467.00,100.65
2466.00,100.67
2465.00,100.70
2464.00,100.71
2463.00,100.72
2462.00,100.71
