Created as New Dataset,188 Courtaulds
cm-1,%T
3092.00,97.58
3091.00,97.62
3090.00,97.66
3089.00,97.69
3088.00,97.69
3087.00,97.68
3086.00,97.66
3085.00,97.65
3084.00,97.66
3083.00,97.69
3082.00,97.74
3081.00,97.79
3080.00,97.83
3079.00,97.87
3078.00,97.89
3077.00,97.92
3076.00,97.94
3075.00,97.97
3074.00,97.99
3073.00,98.00
3072.00,98.01
3071.00,98.02
3070.00,98.02
3069.00,98.02
3068.00,98.03
3067.00,98.05
3066.00,98.09
3065.00,98.12
3064.00,98.15
3063.00,98.17
3062.00,98.19
3061.00,98.20
3060.00,98.22
3059.00,98.24
3058.00,98.27
3057.00,98.29
3056.00,98.30
3055.00,98.30
3054.00,98.31
3053.00,98.33
3052.00,98.35
3051.00,98.38
3050.00,98.40
3049.00,98.41
3048.00,98.42
3047.00,98.43
3046.00,98.44
3045.00,98.46
3044.00,98.47
3043.00,98.49
3042.00,98.50
3041.00,98.51
3040.00,98.52
3039.00,98.54
3038.00,98.55
3037.00,98.57
3036.00,98.58
3035.00,98.59
3034.00,98.60
3033.00,98.62
3032.00,98.65
3031.00,98.67
3030.00,98.69
3029.00,98.71
3028.00,98.73
3027.00,98.74
3026.00,98.77
3025.00,98.79
3024.00,98.81
3023.00,98.82
3022.00,98.83
3021.00,98.84
3020.00,98.84
3019.00,98.85
3018.00,98.87
3017.00,98.89
3016.00,98.90
3015.00,98.91
3014.00,98.91
3013.00,98.92
3012.00,98.94
3011.00,98.97
3010.00,98.98
3009.00,98.98
3008.00,98.98
3007.00,98.98
3006.00,98.99
3005.00,99.00
3004.00,99.02
3003.00,99.03
3002.00,99.03
3001.00,99.02
3000.00,99.01
2999.00,99.01
2998.00,99.02
2997.00,99.03
2996.00,99.05
2995.00,99.06
2994.00,99.08
2993.00,99.09
2992.00,99.10
2991.00,99.10
2990.00,99.10
2989.00,99.08
2988.00,99.07
2987.00,99.05
2986.00,99.02
2985.00,99.00
2984.00,98.99
2983.00,98.98
2982.00,98.98
2981.00,98.97
2980.00,98.96
2979.00,98.95
2978.00,98.94
2977.00,98.93
2976.00,98.92
2975.00,98.90
2974.00,98.90
2973.00,98.89
