Created as New Dataset,Bio-Couture Denim 1/7 nm (Black/Blue)
cm-1,%T
3086.00,92.95
3085.00,92.95
3084.00,92.94
3083.00,92.93
3082.00,92.93
3081.00,92.93
3080.00,92.93
3079.00,92.93
3078.00,92.93
3077.00,92.93
3076.00,92.92
3075.00,92.90
3074.00,92.89
3073.00,92.89
3072.00,92.90
3071.00,92.90
3070.00,92.90
3069.00,92.90
3068.00,92.91
3067.00,92.92
3066.00,92.94
3065.00,92.95
3064.00,92.97
3063.00,93.00
3062.00,93.02
3061.00,93.05
3060.00,93.07
3059.00,93.08
3058.00,93.10
3057.00,93.12
3056.00,93.15
3055.00,93.19
3054.00,93.23
3053.00,93.28
3052.00,93.31
3051.00,93.35
3050.00,93.39
3049.00,93.42
3048.00,93.45
3047.00,93.49
3046.00,93.54
3045.00,93.59
3044.00,93.63
3043.00,93.66
3042.00,93.69
3041.00,93.71
3040.00,93.73
3039.00,93.75
3038.00,93.78
3037.00,93.81
3036.00,93.85
3035.00,93.89
3034.00,93.94
3033.00,93.98
3032.00,94.03
3031.00,94.07
3030.00,94.11
3029.00,94.14
3028.00,94.15
3027.00,94.15
3026.00,94.15
3025.00,94.17
3024.00,94.20
3023.00,94.23
3022.00,94.26
3021.00,94.27
3020.00,94.30
3019.00,94.35
3018.00,94.40
3017.00,94.44
3016.00,94.46
3015.00,94.46
3014.00,94.45
3013.00,94.45
3012.00,94.46
3011.00,94.49
3010.00,94.51
3009.00,94.53
3008.00,94.54
3007.00,94.54
3006.00,94.53
3005.00,94.52
3004.00,94.51
3003.00,94.50
3002.00,94.49
3001.00,94.48
3000.00,94.47
2999.00,94.46
2998.00,94.47
2997.00,94.48
2996.00,94.48
2995.00,94.47
2994.00,94.44
2993.00,94.39
2992.00,94.33
2991.00,94.28
2990.00,94.23
2989.00,94.18
2988.00,94.14
2987.00,94.10
2986.00,94.07
2985.00,94.04
2984.00,94.02
2983.00,94.00
2982.00,93.98
2981.00,93.94
2980.00,93.88
2979.00,93.82
2978.00,93.75
2977.00,93.70
2976.00,93.64
2975.00,93.59
2974.00,93.53
2973.00,93.46
2972.00,93.41
2971.00,93.36
2970.00,93.32
2969.00,93.28
2968.00,93.24
2967.00,93.21
2966.00,93.18
2965.00,93.16
2964.00,93.15
2963.00,93.15
2962.00,93.15
2961.00,93.16
2960.00,93.18
2959.00,93.21
2958.00,93.24
2957.00,93.27
2956.00,93.30
2955.00,93.32
2954.00,93.33
2953.00,93.34
2952.00,93.34
2951.00,93.35
2950.00,93.36
2949.00,93.37
2948.00,93.37
2947.00,93.37
2946.00,93.37
2945.00,93.34
2944.00,93.30
2943.00,93.24
2942.00,93.18
2941.00,93.12
2940.00,93.08
2939.00,93.04
2938.00,93.00
2937.00,92.95
2936.00,92.91
2935.00,92.88
2934.00,92.85
2933.00,92.82
2932.00,92.80
2931.00,92.78
2930.00,92.79
2929.00,92.80
2928.00,92.81
2927.00,92.82
2926.00,92.83
2925.00,92.85
2924.00,92.87
2923.00,92.90
2922.00,92.92
2921.00,92.94
2920.00,92.96
