Created as New Dataset,72 Waxman Fibers
cm-1,%T
3339.00,99.71
3338.00,99.70
3337.00,99.68
3336.00,99.67
3335.00,99.66
3334.00,99.65
3333.00,99.65
3332.00,99.64
3331.00,99.64
3330.00,99.64
3329.00,99.62
3328.00,99.60
3327.00,99.58
3326.00,99.58
3325.00,99.59
3324.00,99.59
3323.00,99.60
3322.00,99.62
3321.00,99.64
3320.00,99.66
3319.00,99.67
3318.00,99.66
3317.00,99.66
3316.00,99.67
3315.00,99.68
3314.00,99.69
3313.00,99.69
3312.00,99.69
3311.00,99.68
3310.00,99.66
3309.00,99.64
3308.00,99.62
3307.00,99.62
3306.00,99.63
3305.00,99.64
3304.00,99.65
3303.00,99.64
3302.00,99.63
3301.00,99.62
3300.00,99.61
3299.00,99.61
3298.00,99.62
3297.00,99.64
3296.00,99.64
3295.00,99.64
3294.00,99.64
3293.00,99.64
3292.00,99.64
3291.00,99.65
3290.00,99.64
3289.00,99.64
3288.00,99.63
3287.00,99.63
3286.00,99.63
3285.00,99.61
3284.00,99.60
3283.00,99.59
3282.00,99.60
3281.00,99.63
3280.00,99.66
3279.00,99.68
3278.00,99.67
3277.00,99.65
3276.00,99.63
3275.00,99.62
3274.00,99.61
3273.00,99.60
3272.00,99.59
3271.00,99.58
3270.00,99.56
3269.00,99.56
3268.00,99.56
3267.00,99.56
3266.00,99.57
3265.00,99.58
3264.00,99.60
3263.00,99.63
3262.00,99.65
3261.00,99.65
3260.00,99.64
3259.00,99.62
3258.00,99.59
3257.00,99.58
3256.00,99.57
3255.00,99.57
3254.00,99.58
3253.00,99.60
3252.00,99.62
3251.00,99.63
3250.00,99.62
3249.00,99.62
3248.00,99.61
3247.00,99.61
3246.00,99.60
3245.00,99.60
3244.00,99.59
3243.00,99.59
3242.00,99.59
3241.00,99.59
3240.00,99.59
3239.00,99.60
3238.00,99.61
3237.00,99.63
3236.00,99.65
3235.00,99.65
3234.00,99.64
3233.00,99.62
3232.00,99.61
3231.00,99.60
