Created as New Dataset,166. Hoechst (Dark Blue)
cm-1,%T
3272.00,95.83
3271.00,95.84
3270.00,95.82
3269.00,95.81
3268.00,95.80
3267.00,95.81
3266.00,95.83
3265.00,95.84
3264.00,95.84
3263.00,95.86
3262.00,95.88
3261.00,95.89
3260.00,95.89
3259.00,95.87
3258.00,95.85
3257.00,95.83
3256.00,95.81
3255.00,95.80
3254.00,95.81
3253.00,95.82
3252.00,95.83
3251.00,95.82
3250.00,95.80
3249.00,95.79
3248.00,95.79
3247.00,95.80
3246.00,95.82
3245.00,95.84
3244.00,95.85
3243.00,95.85
3242.00,95.84
3241.00,95.83
3240.00,95.84
3239.00,95.84
3238.00,95.84
3237.00,95.84
3236.00,95.82
3235.00,95.80
3234.00,95.78
3233.00,95.77
3232.00,95.76
3231.00,95.77
3230.00,95.77
3229.00,95.78
3228.00,95.78
3227.00,95.78
3226.00,95.76
3225.00,95.73
3224.00,95.71
3223.00,95.70
3222.00,95.70
3221.00,95.70
3220.00,95.71
3219.00,95.74
3218.00,95.77
3217.00,95.81
3216.00,95.83
3215.00,95.84
3214.00,95.83
3213.00,95.82
3212.00,95.80
3211.00,95.79
3210.00,95.78
3209.00,95.79
3208.00,95.80
3207.00,95.82
3206.00,95.83
3205.00,95.82
3204.00,95.80
3203.00,95.78
3202.00,95.75
3201.00,95.73
3200.00,95.72
3199.00,95.73
3198.00,95.75
3197.00,95.77
3196.00,95.78
3195.00,95.77
3194.00,95.76
3193.00,95.76
3192.00,95.77
3191.00,95.79
3190.00,95.80
3189.00,95.81
3188.00,95.81
3187.00,95.81
3186.00,95.80
3185.00,95.80
3184.00,95.79
3183.00,95.78
3182.00,95.78
3181.00,95.78
3180.00,95.77
3179.00,95.76
3178.00,95.74
3177.00,95.74
3176.00,95.74
3175.00,95.75
3174.00,95.76
3173.00,95.76
3172.00,95.75
3171.00,95.75
3170.00,95.76
3169.00,95.77
3168.00,95.78
3167.00,95.77
3166.00,95.76
3165.00,95.75
3164.00,95.74
3163.00,95.74
3162.00,95.74
3161.00,95.74
3160.00,95.74
3159.00,95.74
3158.00,95.75
3157.00,95.77
3156.00,95.79
3155.00,95.80
3154.00,95.81
3153.00,95.80
3152.00,95.79
3151.00,95.77
3150.00,95.76
3149.00,95.75
3148.00,95.75
3147.00,95.76
3146.00,95.76
3145.00,95.76
3144.00,95.76
3143.00,95.76
3142.00,95.74
3141.00,95.73
3140.00,95.71
3139.00,95.69
3138.00,95.69
3137.00,95.70
3136.00,95.71
3135.00,95.72
3134.00,95.71
3133.00,95.71
3132.00,95.70
3131.00,95.69
3130.00,95.68
3129.00,95.67
3128.00,95.66
3127.00,95.65
3126.00,95.65
3125.00,95.66
3124.00,95.66
3123.00,95.66
3122.00,95.65
3121.00,95.66
3120.00,95.66
3119.00,95.65
3118.00,95.65
3117.00,95.64
3116.00,95.64
3115.00,95.64
3114.00,95.64
3113.00,95.62
3112.00,95.59
3111.00,95.56
3110.00,95.53
3109.00,95.52
3108.00,95.51
3107.00,95.52
3106.00,95.52
3105.00,95.50
3104.00,95.48
