Created as New Dataset,170. ICI (Pink)
cm-1,%T
2982.00,91.75
2981.00,91.69
2980.00,91.62
2979.00,91.54
2978.00,91.45
2977.00,91.37
2976.00,91.30
2975.00,91.24
2974.00,91.18
2973.00,91.13
2972.00,91.08
2971.00,91.04
2970.00,91.01
2969.00,91.00
2968.00,91.01
2967.00,91.03
2966.00,91.07
2965.00,91.10
2964.00,91.13
2963.00,91.15
2962.00,91.17
2961.00,91.21
2960.00,91.25
2959.00,91.29
2958.00,91.34
2957.00,91.39
2956.00,91.45
2955.00,91.52
2954.00,91.59
2953.00,91.63
2952.00,91.67
2951.00,91.70
2950.00,91.74
2949.00,91.80
2948.00,91.85
2947.00,91.89
2946.00,91.93
2945.00,91.97
2944.00,92.02
2943.00,92.06
2942.00,92.10
2941.00,92.13
2940.00,92.16
2939.00,92.19
2938.00,92.20
2937.00,92.23
2936.00,92.25
2935.00,92.28
2934.00,92.29
2933.00,92.31
2932.00,92.31
2931.00,92.32
2930.00,92.32
2929.00,92.32
2928.00,92.31
2927.00,92.30
2926.00,92.28
2925.00,92.25
2924.00,92.23
2923.00,92.21
2922.00,92.21
2921.00,92.20
2920.00,92.20
2919.00,92.18
2918.00,92.15
2917.00,92.10
2916.00,92.04
2915.00,92.00
2914.00,91.97
2913.00,91.93
2912.00,91.88
2911.00,91.83
2910.00,91.77
2909.00,91.73
2908.00,91.71
2907.00,91.70
2906.00,91.72
2905.00,91.76
2904.00,91.81
2903.00,91.87
2902.00,91.93
2901.00,91.99
2900.00,92.04
2899.00,92.08
2898.00,92.12
2897.00,92.15
2896.00,92.18
2895.00,92.20
2894.00,92.22
2893.00,92.23
2892.00,92.24
2891.00,92.24
2890.00,92.24
2889.00,92.24
2888.00,92.26
2887.00,92.28
2886.00,92.30
2885.00,92.32
2884.00,92.34
2883.00,92.34
2882.00,92.34
2881.00,92.34
2880.00,92.33
2879.00,92.34
2878.00,92.36
2877.00,92.40
2876.00,92.43
2875.00,92.46
2874.00,92.47
2873.00,92.47
2872.00,92.46
2871.00,92.45
2870.00,92.45
2869.00,92.46
2868.00,92.47
2867.00,92.47
2866.00,92.46
2865.00,92.45
2864.00,92.45
2863.00,92.46
2862.00,92.47
2861.00,92.48
2860.00,92.48
2859.00,92.48
2858.00,92.47
2857.00,92.47
2856.00,92.48
2855.00,92.49
2854.00,92.49
2853.00,92.49
2852.00,92.49
2851.00,92.51
2850.00,92.52
2849.00,92.55
2848.00,92.57
2847.00,92.59
2846.00,92.62
2845.00,92.65
2844.00,92.68
2843.00,92.70
2842.00,92.72
2841.00,92.73
2840.00,92.74
2839.00,92.75
2838.00,92.77
2837.00,92.79
2836.00,92.80
2835.00,92.81
2834.00,92.81
2833.00,92.81
2832.00,92.81
2831.00,92.81
2830.00,92.82
2829.00,92.83
2828.00,92.85
2827.00,92.86
2826.00,92.88
2825.00,92.89
2824.00,92.90
2823.00,92.91
2822.00,92.90
2821.00,92.89
2820.00,92.88
2819.00,92.86
2818.00,92.85
2817.00,92.85
2816.00,92.84
2815.00,92.84
2814.00,92.85
2813.00,92.86
2812.00,92.87
2811.00,92.87
2810.00,92.86
2809.00,92.85
2808.00,92.84
2807.00,92.83
2806.00,92.84
2805.00,92.85
2804.00,92.87
2803.00,92.88
2802.00,92.88
2801.00,92.88
2800.00,92.89
2799.00,92.89
2798.00,92.90
2797.00,92.91
2796.00,92.92
2795.00,92.92
2794.00,92.93
2793.00,92.94
2792.00,92.95
2791.00,92.96
2790.00,92.97
2789.00,92.96
2788.00,92.95
2787.00,92.95
2786.00,92.96
2785.00,92.97
2784.00,92.97
2783.00,92.98
2782.00,92.98
2781.00,92.99
2780.00,93.00
2779.00,93.01
2778.00,93.02
2777.00,93.02
2776.00,93.03
2775.00,93.04
2774.00,93.05
2773.00,93.05
2772.00,93.05
2771.00,93.04
2770.00,93.04
2769.00,93.03
2768.00,93.04
2767.00,93.04
2766.00,93.05
2765.00,93.05
2764.00,93.06
2763.00,93.06
2762.00,93.07
2761.00,93.07
2760.00,93.06
2759.00,93.06
2758.00,93.07
2757.00,93.07
2756.00,93.07
2755.00,93.08
2754.00,93.08
2753.00,93.09
2752.00,93.09
2751.00,93.09
2750.00,93.08
2749.00,93.06
2748.00,93.05
2747.00,93.04
2746.00,93.04
2745.00,93.04
2744.00,93.05
2743.00,93.05
2742.00,93.05
2741.00,93.04
2740.00,93.04
2739.00,93.03
2738.00,93.03
2737.00,93.04
2736.00,93.05
2735.00,93.06
2734.00,93.06
2733.00,93.06
2732.00,93.07
2731.00,93.07
2730.00,93.08
2729.00,93.09
2728.00,93.10
2727.00,93.11
2726.00,93.12
2725.00,93.12
2724.00,93.12
2723.00,93.12
2722.00,93.13
2721.00,93.14
2720.00,93.14
2719.00,93.13
2718.00,93.11
2717.00,93.10
2716.00,93.10
2715.00,93.11
2714.00,93.11
2713.00,93.12
2712.00,93.12
2711.00,93.13
2710.00,93.15
2709.00,93.16
2708.00,93.17
2707.00,93.17
2706.00,93.16
2705.00,93.15
2704.00,93.16
2703.00,93.17
2702.00,93.18
2701.00,93.19
2700.00,93.20
2699.00,93.20
2698.00,93.20
2697.00,93.20
2696.00,93.20
2695.00,93.20
2694.00,93.20
2693.00,93.20
2692.00,93.19
2691.00,93.17
2690.00,93.17
2689.00,93.17
2688.00,93.17
2687.00,93.17
