Created as New Dataset,58 Eastman Fibres
cm-1,%T
3097.00,99.13
3096.00,99.14
3095.00,99.14
3094.00,99.15
3093.00,99.16
3092.00,99.17
3091.00,99.17
3090.00,99.17
3089.00,99.17
3088.00,99.17
3087.00,99.16
3086.00,99.16
3085.00,99.16
3084.00,99.16
3083.00,99.17
3082.00,99.16
3081.00,99.15
3080.00,99.13
3079.00,99.12
3078.00,99.12
3077.00,99.12
3076.00,99.11
3075.00,99.11
3074.00,99.10
3073.00,99.10
3072.00,99.11
3071.00,99.12
3070.00,99.13
3069.00,99.14
3068.00,99.14
3067.00,99.14
3066.00,99.14
3065.00,99.14
3064.00,99.13
3063.00,99.13
3062.00,99.12
3061.00,99.13
3060.00,99.14
3059.00,99.16
3058.00,99.18
3057.00,99.20
3056.00,99.21
3055.00,99.21
3054.00,99.20
3053.00,99.20
3052.00,99.19
3051.00,99.18
3050.00,99.17
3049.00,99.17
3048.00,99.18
3047.00,99.18
3046.00,99.19
3045.00,99.21
3044.00,99.24
3043.00,99.26
3042.00,99.27
3041.00,99.27
3040.00,99.26
3039.00,99.27
3038.00,99.27
3037.00,99.27
3036.00,99.28
3035.00,99.28
3034.00,99.28
3033.00,99.27
3032.00,99.26
3031.00,99.25
3030.00,99.24
3029.00,99.23
3028.00,99.23
3027.00,99.23
3026.00,99.25
3025.00,99.26
3024.00,99.27
3023.00,99.28
3022.00,99.28
3021.00,99.28
3020.00,99.27
3019.00,99.26
3018.00,99.24
3017.00,99.23
3016.00,99.22
3015.00,99.21
3014.00,99.22
3013.00,99.23
3012.00,99.24
3011.00,99.24
3010.00,99.23
3009.00,99.22
3008.00,99.19
3007.00,99.16
3006.00,99.13
3005.00,99.11
3004.00,99.11
3003.00,99.11
3002.00,99.10
3001.00,99.08
3000.00,99.05
2999.00,99.02
2998.00,99.01
2997.00,99.00
2996.00,98.98
2995.00,98.96
2994.00,98.93
2993.00,98.89
2992.00,98.86
2991.00,98.83
2990.00,98.80
2989.00,98.76
2988.00,98.71
2987.00,98.66
2986.00,98.61
2985.00,98.56
2984.00,98.52
2983.00,98.47
2982.00,98.43
2981.00,98.39
2980.00,98.35
2979.00,98.31
2978.00,98.27
