Created as New Dataset,71 Waxman
cm-1,%T
2823.00,98.90
2822.00,98.89
2821.00,98.90
2820.00,98.92
2819.00,98.94
2818.00,98.95
2817.00,98.96
2816.00,98.97
2815.00,98.98
2814.00,98.98
2813.00,98.99
2812.00,98.98
2811.00,98.98
2810.00,98.99
2809.00,99.00
2808.00,99.01
2807.00,99.02
2806.00,99.01
2805.00,99.00
2804.00,98.98
2803.00,98.97
2802.00,98.97
2801.00,98.98
2800.00,99.00
2799.00,99.01
2798.00,99.02
2797.00,99.01
2796.00,99.00
2795.00,98.99
2794.00,98.98
2793.00,98.98
2792.00,98.99
2791.00,99.01
2790.00,99.02
2789.00,99.02
2788.00,99.02
2787.00,99.01
2786.00,99.00
2785.00,99.01
2784.00,99.01
2783.00,99.02
2782.00,99.01
2781.00,99.00
2780.00,98.99
2779.00,99.00
2778.00,99.00
2777.00,99.00
2776.00,99.00
2775.00,99.01
2774.00,99.02
2773.00,99.03
2772.00,99.03
2771.00,99.04
2770.00,99.04
2769.00,99.05
2768.00,99.05
2767.00,99.05
2766.00,99.05
2765.00,99.05
2764.00,99.05
2763.00,99.04
2762.00,99.03
2761.00,99.01
2760.00,99.01
2759.00,99.01
2758.00,99.00
2757.00,99.01
2756.00,99.01
2755.00,99.02
2754.00,99.03
2753.00,99.04
2752.00,99.05
2751.00,99.05
2750.00,99.04
2749.00,99.03
2748.00,99.02
2747.00,99.01
2746.00,99.01
2745.00,99.02
2744.00,99.03
2743.00,99.03
2742.00,99.03
2741.00,99.01
2740.00,98.99
2739.00,98.98
2738.00,98.98
2737.00,98.98
2736.00,98.99
2735.00,99.01
2734.00,99.01
2733.00,99.02
2732.00,99.01
2731.00,98.99
2730.00,98.97
2729.00,98.96
2728.00,98.96
2727.00,98.97
2726.00,98.99
2725.00,99.01
2724.00,99.02
2723.00,99.02
2722.00,99.01
2721.00,99.00
2720.00,99.00
2719.00,99.01
2718.00,99.02
2717.00,99.03
2716.00,99.03
2715.00,99.02
2714.00,99.00
2713.00,98.98
2712.00,98.97
2711.00,98.96
2710.00,98.95
2709.00,98.96
2708.00,98.97
2707.00,98.97
2706.00,98.98
2705.00,98.99
2704.00,99.00
2703.00,99.01
2702.00,99.01
2701.00,99.00
2700.00,98.98
2699.00,98.97
2698.00,98.97
2697.00,98.98
2696.00,99.00
2695.00,99.02
2694.00,99.02
2693.00,99.01
2692.00,98.98
2691.00,98.96
2690.00,98.94
2689.00,98.93
2688.00,98.93
2687.00,98.93
2686.00,98.94
2685.00,98.96
2684.00,98.98
2683.00,98.99
2682.00,98.99
2681.00,98.98
2680.00,98.97
2679.00,98.95
2678.00,98.94
2677.00,98.94
2676.00,98.94
2675.00,98.94
2674.00,98.94
2673.00,98.95
2672.00,98.96
2671.00,98.97
2670.00,98.98
2669.00,98.98
2668.00,98.98
2667.00,98.97
2666.00,98.95
2665.00,98.93
2664.00,98.93
2663.00,98.92
2662.00,98.92
2661.00,98.91
2660.00,98.90
2659.00,98.89
2658.00,98.88
2657.00,98.87
2656.00,98.86
2655.00,98.87
2654.00,98.88
2653.00,98.89
2652.00,98.90
2651.00,98.90
2650.00,98.89
2649.00,98.89
2648.00,98.88
2647.00,98.86
2646.00,98.85
2645.00,98.84
2644.00,98.83
2643.00,98.82
2642.00,98.81
2641.00,98.80
2640.00,98.78
2639.00,98.78
2638.00,98.78
2637.00,98.77
2636.00,98.77
2635.00,98.77
2634.00,98.78
2633.00,98.78
2632.00,98.77
2631.00,98.76
2630.00,98.73
2629.00,98.70
2628.00,98.67
2627.00,98.65
2626.00,98.65
2625.00,98.66
2624.00,98.68
2623.00,98.69
2622.00,98.69
2621.00,98.69
2620.00,98.69
2619.00,98.70
2618.00,98.70
2617.00,98.69
2616.00,98.68
2615.00,98.67
2614.00,98.66
2613.00,98.65
2612.00,98.65
2611.00,98.66
2610.00,98.67
2609.00,98.66
2608.00,98.65
2607.00,98.64
2606.00,98.63
2605.00,98.61
2604.00,98.60
2603.00,98.58
2602.00,98.58
2601.00,98.58
2600.00,98.59
2599.00,98.61
2598.00,98.61
2597.00,98.61
2596.00,98.59
2595.00,98.58
2594.00,98.57
2593.00,98.56
2592.00,98.56
2591.00,98.55
2590.00,98.54
2589.00,98.53
2588.00,98.52
2587.00,98.53
2586.00,98.54
2585.00,98.55
2584.00,98.55
2583.00,98.54
2582.00,98.53
2581.00,98.50
2580.00,98.48
2579.00,98.46
2578.00,98.45
2577.00,98.46
2576.00,98.47
2575.00,98.48
2574.00,98.48
2573.00,98.48
2572.00,98.48
2571.00,98.46
2570.00,98.45
2569.00,98.44
2568.00,98.44
2567.00,98.46
2566.00,98.48
2565.00,98.51
2564.00,98.52
2563.00,98.51
2562.00,98.51
2561.00,98.49
2560.00,98.48
2559.00,98.46
2558.00,98.45
2557.00,98.46
2556.00,98.49
2555.00,98.51
2554.00,98.50
2553.00,98.48
2552.00,98.46
2551.00,98.44
2550.00,98.45
2549.00,98.45
2548.00,98.46
2547.00,98.46
2546.00,98.46
2545.00,98.45
2544.00,98.43
2543.00,98.41
2542.00,98.40
2541.00,98.39
2540.00,98.39
2539.00,98.39
2538.00,98.40
2537.00,98.42
2536.00,98.44
2535.00,98.47
2534.00,98.48
2533.00,98.47
2532.00,98.44
2531.00,98.42
2530.00,98.41
2529.00,98.41
2528.00,98.42
2527.00,98.42
2526.00,98.44
2525.00,98.45
2524.00,98.43
2523.00,98.40
2522.00,98.37
2521.00,98.35
2520.00,98.34
2519.00,98.34
2518.00,98.35
2517.00,98.36
2516.00,98.38
2515.00,98.41
2514.00,98.44
2513.00,98.46
2512.00,98.47
2511.00,98.45
2510.00,98.42
2509.00,98.39
2508.00,98.38
2507.00,98.38
2506.00,98.39
2505.00,98.40
2504.00,98.40
2503.00,98.40
2502.00,98.39
2501.00,98.38
2500.00,98.37
2499.00,98.37
2498.00,98.37
2497.00,98.39
2496.00,98.41
2495.00,98.43
2494.00,98.44
2493.00,98.44
2492.00,98.43
2491.00,98.42
2490.00,98.40
2489.00,98.39
2488.00,98.38
2487.00,98.37
2486.00,98.36
