Created as New Dataset,14.1 Red Wool Suffolk sheep
cm-1,%T
2833.00,95.50
2832.00,95.58
2831.00,95.66
2830.00,95.72
2829.00,95.78
2828.00,95.83
2827.00,95.88
2826.00,95.93
2825.00,95.99
2824.00,96.04
2823.00,96.08
2822.00,96.12
2821.00,96.15
2820.00,96.19
2819.00,96.22
2818.00,96.26
2817.00,96.29
2816.00,96.32
2815.00,96.36
2814.00,96.39
2813.00,96.42
2812.00,96.45
2811.00,96.49
2810.00,96.53
2809.00,96.56
2808.00,96.60
2807.00,96.62
2806.00,96.65
2805.00,96.68
2804.00,96.71
2803.00,96.74
2802.00,96.77
2801.00,96.81
2800.00,96.84
2799.00,96.87
2798.00,96.89
2797.00,96.91
2796.00,96.93
2795.00,96.94
2794.00,96.95
2793.00,96.96
2792.00,96.97
2791.00,96.98
2790.00,96.98
2789.00,96.98
2788.00,96.99
2787.00,97.01
2786.00,97.04
2785.00,97.07
2784.00,97.11
2783.00,97.14
2782.00,97.16
2781.00,97.19
2780.00,97.21
2779.00,97.24
2778.00,97.26
2777.00,97.27
2776.00,97.28
2775.00,97.30
2774.00,97.32
2773.00,97.34
2772.00,97.35
2771.00,97.37
2770.00,97.38
2769.00,97.40
2768.00,97.43
2767.00,97.45
2766.00,97.47
2765.00,97.48
2764.00,97.49
2763.00,97.50
2762.00,97.50
2761.00,97.51
2760.00,97.52
2759.00,97.52
2758.00,97.53
2757.00,97.53
2756.00,97.54
2755.00,97.56
2754.00,97.57
2753.00,97.60
2752.00,97.63
2751.00,97.65
2750.00,97.66
2749.00,97.66
2748.00,97.66
2747.00,97.67
2746.00,97.69
2745.00,97.70
2744.00,97.72
2743.00,97.73
2742.00,97.74
2741.00,97.75
2740.00,97.76
2739.00,97.77
2738.00,97.79
2737.00,97.80
2736.00,97.81
2735.00,97.81
2734.00,97.81
2733.00,97.80
2732.00,97.80
2731.00,97.81
2730.00,97.82
2729.00,97.84
2728.00,97.85
2727.00,97.86
2726.00,97.87
2725.00,97.88
2724.00,97.89
2723.00,97.90
2722.00,97.91
2721.00,97.92
2720.00,97.94
2719.00,97.96
2718.00,97.98
2717.00,98.00
2716.00,98.01
2715.00,98.02
2714.00,98.03
2713.00,98.04
2712.00,98.06
2711.00,98.09
2710.00,98.11
2709.00,98.12
2708.00,98.13
2707.00,98.13
2706.00,98.13
2705.00,98.13
2704.00,98.13
2703.00,98.14
2702.00,98.15
2701.00,98.17
2700.00,98.19
2699.00,98.20
2698.00,98.21
2697.00,98.21
2696.00,98.20
2695.00,98.20
2694.00,98.20
2693.00,98.20
2692.00,98.21
2691.00,98.21
2690.00,98.21
2689.00,98.20
2688.00,98.20
2687.00,98.20
2686.00,98.22
2685.00,98.23
2684.00,98.24
2683.00,98.25
2682.00,98.26
2681.00,98.27
2680.00,98.28
2679.00,98.29
2678.00,98.30
2677.00,98.30
2676.00,98.30
2675.00,98.30
2674.00,98.31
2673.00,98.31
2672.00,98.33
2671.00,98.35
2670.00,98.37
2669.00,98.38
2668.00,98.39
2667.00,98.39
2666.00,98.39
2665.00,98.39
2664.00,98.38
2663.00,98.36
2662.00,98.34
2661.00,98.34
2660.00,98.35
2659.00,98.37
2658.00,98.39
2657.00,98.39
2656.00,98.39
2655.00,98.39
2654.00,98.39
2653.00,98.39
2652.00,98.39
2651.00,98.39
2650.00,98.39
2649.00,98.40
2648.00,98.39
2647.00,98.39
2646.00,98.38
2645.00,98.36
2644.00,98.34
2643.00,98.33
2642.00,98.34
2641.00,98.35
2640.00,98.38
2639.00,98.39
2638.00,98.40
2637.00,98.40
2636.00,98.39
2635.00,98.40
2634.00,98.42
2633.00,98.44
2632.00,98.47
2631.00,98.49
2630.00,98.49
2629.00,98.48
2628.00,98.47
2627.00,98.46
2626.00,98.46
2625.00,98.45
2624.00,98.45
2623.00,98.46
2622.00,98.47
2621.00,98.48
2620.00,98.49
2619.00,98.50
2618.00,98.51
2617.00,98.52
2616.00,98.53
2615.00,98.53
2614.00,98.52
2613.00,98.52
2612.00,98.53
2611.00,98.55
2610.00,98.57
2609.00,98.58
2608.00,98.57
2607.00,98.56
2606.00,98.54
2605.00,98.53
2604.00,98.52
2603.00,98.52
2602.00,98.53
2601.00,98.54
2600.00,98.55
2599.00,98.56
2598.00,98.57
2597.00,98.58
2596.00,98.61
2595.00,98.63
2594.00,98.64
2593.00,98.63
2592.00,98.62
2591.00,98.60
2590.00,98.60
2589.00,98.59
2588.00,98.60
2587.00,98.61
2586.00,98.63
2585.00,98.64
2584.00,98.64
2583.00,98.64
2582.00,98.64
2581.00,98.64
2580.00,98.64
2579.00,98.64
2578.00,98.63
2577.00,98.62
2576.00,98.63
2575.00,98.66
2574.00,98.67
2573.00,98.67
2572.00,98.66
2571.00,98.66
2570.00,98.67
2569.00,98.69
2568.00,98.70
2567.00,98.71
2566.00,98.72
2565.00,98.72
2564.00,98.72
2563.00,98.72
2562.00,98.72
2561.00,98.71
2560.00,98.71
2559.00,98.71
2558.00,98.72
2557.00,98.72
2556.00,98.71
2555.00,98.70
2554.00,98.70
2553.00,98.69
2552.00,98.68
2551.00,98.68
2550.00,98.68
2549.00,98.69
2548.00,98.70
2547.00,98.70
2546.00,98.70
2545.00,98.69
2544.00,98.69
2543.00,98.70
2542.00,98.72
2541.00,98.73
2540.00,98.75
2539.00,98.77
2538.00,98.78
2537.00,98.77
2536.00,98.75
2535.00,98.73
2534.00,98.72
2533.00,98.71
2532.00,98.72
2531.00,98.74
2530.00,98.76
2529.00,98.78
2528.00,98.79
2527.00,98.80
2526.00,98.80
2525.00,98.80
2524.00,98.79
2523.00,98.80
2522.00,98.79
2521.00,98.78
2520.00,98.76
2519.00,98.75
2518.00,98.76
2517.00,98.76
2516.00,98.77
2515.00,98.78
2514.00,98.78
2513.00,98.77
2512.00,98.77
2511.00,98.77
2510.00,98.80
2509.00,98.84
2508.00,98.87
2507.00,98.88
2506.00,98.86
2505.00,98.83
2504.00,98.81
2503.00,98.79
2502.00,98.79
2501.00,98.80
2500.00,98.81
2499.00,98.82
2498.00,98.82
2497.00,98.82
2496.00,98.83
2495.00,98.84
2494.00,98.85
2493.00,98.86
2492.00,98.88
2491.00,98.89
2490.00,98.89
2489.00,98.88
2488.00,98.84
2487.00,98.81
2486.00,98.79
2485.00,98.79
2484.00,98.79
2483.00,98.81
2482.00,98.82
2481.00,98.82
2480.00,98.83
2479.00,98.83
2478.00,98.83
2477.00,98.82
2476.00,98.81
2475.00,98.81
2474.00,98.81
2473.00,98.82
2472.00,98.84
2471.00,98.86
2470.00,98.89
2469.00,98.91
2468.00,98.91
2467.00,98.90
2466.00,98.87
2465.00,98.85
2464.00,98.85
2463.00,98.86
2462.00,98.87
