Created as New Dataset,Spun Polyester (Black)
cm-1,%T
3234.00,98.46
3233.00,98.47
3232.00,98.49
3231.00,98.51
3230.00,98.54
3229.00,98.55
3228.00,98.54
3227.00,98.52
3226.00,98.49
3225.00,98.47
3224.00,98.46
3223.00,98.47
3222.00,98.49
3221.00,98.52
3220.00,98.55
3219.00,98.56
3218.00,98.57
3217.00,98.56
3216.00,98.56
3215.00,98.55
3214.00,98.55
3213.00,98.55
3212.00,98.55
3211.00,98.54
3210.00,98.54
3209.00,98.55
3208.00,98.57
3207.00,98.60
3206.00,98.61
3205.00,98.61
3204.00,98.60
3203.00,98.58
3202.00,98.55
3201.00,98.53
3200.00,98.50
3199.00,98.49
3198.00,98.49
3197.00,98.50
3196.00,98.52
3195.00,98.54
3194.00,98.54
3193.00,98.53
3192.00,98.52
3191.00,98.50
3190.00,98.49
3189.00,98.48
3188.00,98.47
3187.00,98.49
3186.00,98.51
3185.00,98.53
3184.00,98.54
3183.00,98.53
3182.00,98.50
3181.00,98.48
3180.00,98.47
3179.00,98.47
3178.00,98.47
3177.00,98.47
3176.00,98.48
3175.00,98.49
3174.00,98.50
3173.00,98.51
3172.00,98.52
3171.00,98.52
3170.00,98.51
3169.00,98.51
3168.00,98.52
3167.00,98.53
3166.00,98.53
3165.00,98.52
3164.00,98.51
3163.00,98.49
3162.00,98.48
3161.00,98.48
3160.00,98.49
3159.00,98.50
3158.00,98.51
3157.00,98.52
3156.00,98.53
3155.00,98.54
3154.00,98.54
3153.00,98.51
3152.00,98.48
3151.00,98.46
3150.00,98.46
3149.00,98.47
3148.00,98.48
3147.00,98.49
3146.00,98.50
3145.00,98.50
3144.00,98.50
3143.00,98.49
3142.00,98.48
3141.00,98.47
3140.00,98.46
3139.00,98.43
3138.00,98.40
3137.00,98.38
3136.00,98.37
3135.00,98.37
3134.00,98.37
3133.00,98.37
3132.00,98.37
3131.00,98.37
3130.00,98.37
3129.00,98.36
3128.00,98.34
3127.00,98.32
3126.00,98.31
3125.00,98.30
3124.00,98.30
3123.00,98.31
3122.00,98.32
3121.00,98.33
3120.00,98.33
3119.00,98.31
3118.00,98.30
3117.00,98.28
3116.00,98.27
3115.00,98.26
3114.00,98.24
3113.00,98.21
3112.00,98.19
3111.00,98.17
3110.00,98.16
3109.00,98.15
3108.00,98.14
3107.00,98.12
3106.00,98.10
3105.00,98.07
3104.00,98.05
3103.00,98.03
3102.00,98.02
3101.00,98.03
3100.00,98.05
3099.00,98.07
3098.00,98.09
3097.00,98.11
3096.00,98.13
3095.00,98.14
3094.00,98.13
3093.00,98.12
3092.00,98.11
3091.00,98.11
3090.00,98.11
3089.00,98.09
3088.00,98.07
3087.00,98.04
3086.00,98.02
3085.00,98.00
3084.00,97.99
3083.00,97.99
3082.00,97.99
3081.00,97.98
3080.00,97.97
3079.00,97.96
3078.00,97.95
3077.00,97.94
3076.00,97.94
3075.00,97.95
3074.00,97.94
3073.00,97.93
3072.00,97.92
3071.00,97.90
3070.00,97.89
3069.00,97.89
3068.00,97.90
3067.00,97.92
3066.00,97.94
3065.00,97.95
3064.00,97.95
3063.00,97.95
3062.00,97.94
3061.00,97.94
3060.00,97.92
3059.00,97.91
3058.00,97.91
3057.00,97.91
3056.00,97.91
3055.00,97.92
3054.00,97.93
3053.00,97.94
3052.00,97.97
3051.00,98.01
3050.00,98.06
3049.00,98.10
3048.00,98.14
3047.00,98.18
3046.00,98.21
3045.00,98.24
3044.00,98.26
3043.00,98.27
3042.00,98.28
3041.00,98.27
3040.00,98.27
3039.00,98.26
3038.00,98.26
3037.00,98.27
3036.00,98.28
3035.00,98.28
3034.00,98.28
3033.00,98.28
3032.00,98.27
3031.00,98.27
3030.00,98.25
3029.00,98.23
3028.00,98.19
3027.00,98.15
3026.00,98.11
3025.00,98.07
3024.00,98.02
3023.00,97.96
3022.00,97.90
3021.00,97.85
3020.00,97.81
3019.00,97.78
3018.00,97.76
3017.00,97.73
3016.00,97.69
3015.00,97.64
3014.00,97.60
3013.00,97.57
3012.00,97.54
3011.00,97.51
3010.00,97.48
3009.00,97.46
3008.00,97.43
3007.00,97.40
3006.00,97.38
3005.00,97.36
3004.00,97.33
3003.00,97.31
3002.00,97.28
3001.00,97.26
3000.00,97.24
2999.00,97.22
2998.00,97.21
2997.00,97.20
2996.00,97.18
2995.00,97.15
2994.00,97.12
2993.00,97.07
2992.00,97.02
2991.00,96.97
2990.00,96.91
2989.00,96.84
2988.00,96.76
2987.00,96.69
2986.00,96.61
2985.00,96.54
2984.00,96.47
2983.00,96.38
2982.00,96.27
2981.00,96.16
2980.00,96.04
2979.00,95.91
2978.00,95.78
2977.00,95.64
2976.00,95.49
2975.00,95.32
2974.00,95.14
2973.00,94.96
2972.00,94.79
2971.00,94.64
2970.00,94.50
2969.00,94.37
2968.00,94.26
2967.00,94.18
2966.00,94.12
2965.00,94.09
2964.00,94.07
2963.00,94.08
2962.00,94.10
2961.00,94.15
2960.00,94.21
2959.00,94.30
2958.00,94.42
2957.00,94.57
2956.00,94.74
2955.00,94.93
2954.00,95.12
2953.00,95.30
2952.00,95.48
2951.00,95.65
2950.00,95.82
2949.00,95.97
2948.00,96.10
2947.00,96.19
2946.00,96.24
2945.00,96.27
2944.00,96.29
2943.00,96.30
2942.00,96.29
2941.00,96.26
2940.00,96.22
2939.00,96.16
2938.00,96.09
2937.00,96.01
2936.00,95.91
2935.00,95.80
2934.00,95.67
2933.00,95.52
2932.00,95.36
2931.00,95.18
2930.00,94.99
2929.00,94.76
2928.00,94.50
2927.00,94.19
2926.00,93.84
2925.00,93.46
2924.00,93.05
2923.00,92.61
2922.00,92.18
2921.00,91.75
2920.00,91.37
2919.00,91.05
2918.00,90.84
2917.00,90.79
2916.00,90.94
2915.00,91.28
2914.00,91.77
2913.00,92.30
2912.00,92.80
2911.00,93.22
2910.00,93.55
2909.00,93.82
2908.00,94.04
2907.00,94.24
2906.00,94.42
2905.00,94.60
2904.00,94.77
2903.00,94.91
2902.00,95.03
2901.00,95.14
2900.00,95.23
2899.00,95.33
2898.00,95.44
2897.00,95.53
2896.00,95.62
2895.00,95.69
2894.00,95.76
2893.00,95.82
2892.00,95.88
2891.00,95.95
2890.00,96.02
2889.00,96.09
2888.00,96.16
2887.00,96.22
2886.00,96.27
2885.00,96.34
2884.00,96.41
2883.00,96.47
2882.00,96.51
2881.00,96.55
2880.00,96.57
2879.00,96.59
2878.00,96.60
2877.00,96.61
2876.00,96.62
2875.00,96.64
2874.00,96.65
2873.00,96.65
2872.00,96.65
2871.00,96.67
2870.00,96.70
2869.00,96.76
2868.00,96.82
2867.00,96.86
2866.00,96.87
2865.00,96.84
2864.00,96.78
2863.00,96.69
2862.00,96.58
2861.00,96.46
2860.00,96.36
2859.00,96.25
2858.00,96.12
2857.00,95.93
2856.00,95.67
2855.00,95.31
2854.00,94.85
2853.00,94.29
2852.00,93.70
2851.00,93.16
2850.00,92.83
2849.00,92.82
2848.00,93.17
2847.00,93.78
2846.00,94.50
2845.00,95.20
2844.00,95.79
2843.00,96.26
2842.00,96.63
2841.00,96.90
2840.00,97.11
2839.00,97.27
2838.00,97.38
2837.00,97.46
2836.00,97.52
2835.00,97.58
2834.00,97.64
2833.00,97.70
2832.00,97.76
2831.00,97.81
2830.00,97.84
2829.00,97.86
2828.00,97.88
2827.00,97.90
2826.00,97.92
2825.00,97.94
2824.00,97.96
2823.00,97.99
2822.00,98.01
2821.00,98.04
2820.00,98.05
2819.00,98.06
2818.00,98.07
2817.00,98.08
2816.00,98.09
2815.00,98.09
2814.00,98.08
2813.00,98.08
2812.00,98.09
2811.00,98.11
2810.00,98.12
2809.00,98.12
2808.00,98.12
2807.00,98.13
2806.00,98.13
2805.00,98.13
2804.00,98.12
2803.00,98.13
2802.00,98.15
2801.00,98.18
2800.00,98.22
2799.00,98.24
2798.00,98.26
2797.00,98.26
2796.00,98.25
2795.00,98.24
2794.00,98.24
2793.00,98.24
2792.00,98.24
2791.00,98.25
2790.00,98.27
2789.00,98.29
2788.00,98.32
2787.00,98.34
2786.00,98.34
2785.00,98.34
2784.00,98.34
2783.00,98.35
2782.00,98.35
2781.00,98.36
2780.00,98.37
2779.00,98.38
2778.00,98.39
2777.00,98.41
2776.00,98.41
2775.00,98.40
2774.00,98.39
2773.00,98.39
2772.00,98.41
2771.00,98.43
2770.00,98.44
2769.00,98.44
2768.00,98.44
2767.00,98.44
2766.00,98.44
2765.00,98.45
2764.00,98.46
2763.00,98.47
2762.00,98.47
2761.00,98.47
2760.00,98.47
2759.00,98.48
2758.00,98.48
2757.00,98.48
2756.00,98.47
2755.00,98.46
2754.00,98.46
2753.00,98.47
2752.00,98.47
2751.00,98.46
2750.00,98.45
2749.00,98.43
2748.00,98.41
2747.00,98.41
2746.00,98.41
2745.00,98.43
2744.00,98.45
2743.00,98.46
2742.00,98.47
2741.00,98.48
2740.00,98.48
2739.00,98.47
2738.00,98.46
2737.00,98.45
2736.00,98.44
2735.00,98.44
2734.00,98.43
2733.00,98.42
2732.00,98.42
2731.00,98.42
2730.00,98.43
2729.00,98.45
2728.00,98.47
2727.00,98.48
2726.00,98.48
2725.00,98.48
2724.00,98.49
2723.00,98.51
2722.00,98.54
2721.00,98.55
2720.00,98.54
2719.00,98.52
2718.00,98.51
2717.00,98.50
2716.00,98.51
2715.00,98.51
2714.00,98.52
2713.00,98.53
2712.00,98.53
2711.00,98.54
2710.00,98.55
2709.00,98.56
2708.00,98.56
2707.00,98.56
2706.00,98.55
2705.00,98.54
2704.00,98.53
2703.00,98.53
2702.00,98.54
2701.00,98.55
2700.00,98.56
2699.00,98.57
2698.00,98.58
2697.00,98.58
2696.00,98.57
2695.00,98.57
2694.00,98.56
2693.00,98.55
2692.00,98.55
2691.00,98.55
2690.00,98.55
2689.00,98.55
2688.00,98.56
2687.00,98.56
2686.00,98.57
2685.00,98.58
2684.00,98.58
2683.00,98.58
2682.00,98.57
2681.00,98.55
2680.00,98.54
2679.00,98.53
2678.00,98.53
2677.00,98.53
2676.00,98.53
2675.00,98.55
2674.00,98.57
2673.00,98.59
2672.00,98.59
2671.00,98.58
2670.00,98.57
2669.00,98.56
2668.00,98.55
2667.00,98.55
2666.00,98.54
2665.00,98.53
2664.00,98.53
2663.00,98.53
2662.00,98.53
2661.00,98.53
2660.00,98.52
2659.00,98.50
2658.00,98.48
2657.00,98.45
2656.00,98.43
2655.00,98.42
2654.00,98.42
2653.00,98.41
2652.00,98.40
2651.00,98.39
2650.00,98.38
2649.00,98.38
2648.00,98.37
2647.00,98.36
2646.00,98.34
2645.00,98.31
2644.00,98.29
2643.00,98.28
2642.00,98.27
2641.00,98.26
2640.00,98.26
2639.00,98.24
2638.00,98.22
2637.00,98.19
2636.00,98.17
2635.00,98.16
2634.00,98.17
2633.00,98.19
2632.00,98.20
2631.00,98.18
2630.00,98.15
2629.00,98.12
2628.00,98.11
2627.00,98.11
2626.00,98.11
2625.00,98.12
2624.00,98.11
2623.00,98.10
2622.00,98.09
2621.00,98.09
2620.00,98.10
2619.00,98.11
2618.00,98.11
2617.00,98.11
2616.00,98.10
2615.00,98.09
2614.00,98.09
2613.00,98.09
2612.00,98.09
2611.00,98.08
2610.00,98.06
2609.00,98.03
2608.00,98.01
2607.00,98.01
2606.00,98.02
2605.00,98.02
2604.00,98.02
2603.00,98.01
2602.00,98.00
2601.00,97.99
2600.00,97.98
2599.00,97.98
2598.00,97.97
2597.00,97.96
2596.00,97.94
2595.00,97.92
2594.00,97.91
2593.00,97.91
2592.00,97.93
2591.00,97.96
2590.00,97.98
2589.00,97.98
2588.00,97.96
2587.00,97.92
2586.00,97.88
2585.00,97.85
2584.00,97.85
2583.00,97.85
2582.00,97.86
2581.00,97.84
2580.00,97.82
2579.00,97.81
2578.00,97.80
2577.00,97.80
2576.00,97.81
2575.00,97.83
2574.00,97.84
2573.00,97.85
2572.00,97.85
2571.00,97.84
2570.00,97.83
2569.00,97.84
2568.00,97.85
2567.00,97.86
2566.00,97.86
2565.00,97.85
2564.00,97.84
2563.00,97.82
2562.00,97.80
2561.00,97.77
2560.00,97.75
2559.00,97.77
2558.00,97.80
2557.00,97.81
2556.00,97.79
2555.00,97.75
2554.00,97.74
2553.00,97.76
2552.00,97.79
2551.00,97.81
2550.00,97.81
2549.00,97.79
2548.00,97.79
2547.00,97.78
2546.00,97.78
2545.00,97.77
2544.00,97.77
2543.00,97.77
2542.00,97.77
2541.00,97.76
2540.00,97.75
2539.00,97.75
2538.00,97.76
2537.00,97.77
2536.00,97.78
2535.00,97.78
2534.00,97.78
2533.00,97.78
2532.00,97.78
2531.00,97.78
2530.00,97.78
2529.00,97.79
2528.00,97.80
2527.00,97.81
2526.00,97.81
2525.00,97.80
2524.00,97.79
2523.00,97.79
2522.00,97.80
2521.00,97.82
2520.00,97.83
2519.00,97.83
2518.00,97.83
2517.00,97.83
2516.00,97.84
2515.00,97.86
2514.00,97.86
2513.00,97.86
2512.00,97.86
2511.00,97.86
2510.00,97.87
2509.00,97.88
2508.00,97.89
2507.00,97.90
2506.00,97.91
2505.00,97.91
2504.00,97.90
2503.00,97.90
2502.00,97.89
2501.00,97.89
2500.00,97.90
2499.00,97.91
2498.00,97.92
2497.00,97.92
2496.00,97.90
2495.00,97.90
2494.00,97.90
2493.00,97.91
2492.00,97.92
2491.00,97.93
2490.00,97.93
2489.00,97.91
2488.00,97.88
2487.00,97.87
2486.00,97.87
2485.00,97.88
2484.00,97.89
2483.00,97.90
2482.00,97.91
2481.00,97.91
2480.00,97.91
2479.00,97.90
2478.00,97.89
2477.00,97.87
2476.00,97.87
2475.00,97.88
2474.00,97.90
2473.00,97.92
2472.00,97.93
2471.00,97.95
2470.00,97.98
2469.00,98.01
2468.00,98.02
2467.00,98.01
2466.00,98.00
2465.00,98.00
2464.00,97.99
2463.00,97.98
2462.00,97.98
2461.00,97.98
2460.00,97.99
2459.00,98.00
