Created as New Dataset,97. Du Pont (Bright Yellow)
cm-1,%T
3169.00,93.29
3168.00,93.32
3167.00,93.35
3166.00,93.37
3165.00,93.40
3164.00,93.44
3163.00,93.48
3162.00,93.52
3161.00,93.54
3160.00,93.56
3159.00,93.58
3158.00,93.61
3157.00,93.64
3156.00,93.66
3155.00,93.67
3154.00,93.68
3153.00,93.71
3152.00,93.74
3151.00,93.77
3150.00,93.79
3149.00,93.80
3148.00,93.80
3147.00,93.81
3146.00,93.82
3145.00,93.83
3144.00,93.84
3143.00,93.86
3142.00,93.88
3141.00,93.91
3140.00,93.94
3139.00,93.96
3138.00,93.96
3137.00,93.96
3136.00,93.97
3135.00,93.97
3134.00,93.98
3133.00,93.97
3132.00,93.95
3131.00,93.93
3130.00,93.91
3129.00,93.91
3128.00,93.92
3127.00,93.95
3126.00,93.96
3125.00,93.97
3124.00,93.96
3123.00,93.95
3122.00,93.94
3121.00,93.94
3120.00,93.93
3119.00,93.91
3118.00,93.89
3117.00,93.89
3116.00,93.88
3115.00,93.87
3114.00,93.84
3113.00,93.80
3112.00,93.76
3111.00,93.73
3110.00,93.71
3109.00,93.70
3108.00,93.68
3107.00,93.66
3106.00,93.64
3105.00,93.62
3104.00,93.59
3103.00,93.56
3102.00,93.53
3101.00,93.49
3100.00,93.45
3099.00,93.42
3098.00,93.39
3097.00,93.36
3096.00,93.35
3095.00,93.33
3094.00,93.32
3093.00,93.30
3092.00,93.27
3091.00,93.25
3090.00,93.24
3089.00,93.22
3088.00,93.20
3087.00,93.18
3086.00,93.16
3085.00,93.15
3084.00,93.14
3083.00,93.12
3082.00,93.11
3081.00,93.11
3080.00,93.10
3079.00,93.09
3078.00,93.08
3077.00,93.05
3076.00,93.03
3075.00,93.02
3074.00,93.00
3073.00,92.99
3072.00,92.99
3071.00,92.99
3070.00,92.99
3069.00,92.99
3068.00,92.99
3067.00,92.98
3066.00,92.97
3065.00,92.97
3064.00,92.97
3063.00,92.98
3062.00,93.00
3061.00,93.02
3060.00,93.04
3059.00,93.07
3058.00,93.09
3057.00,93.12
3056.00,93.16
3055.00,93.19
3054.00,93.23
3053.00,93.27
3052.00,93.31
3051.00,93.35
3050.00,93.41
3049.00,93.46
3048.00,93.52
3047.00,93.58
3046.00,93.62
3045.00,93.66
3044.00,93.70
3043.00,93.75
3042.00,93.81
3041.00,93.87
3040.00,93.92
3039.00,93.96
3038.00,94.00
3037.00,94.03
3036.00,94.07
3035.00,94.10
3034.00,94.14
3033.00,94.18
3032.00,94.21
3031.00,94.24
3030.00,94.25
3029.00,94.25
3028.00,94.26
3027.00,94.27
3026.00,94.30
3025.00,94.33
3024.00,94.36
3023.00,94.39
3022.00,94.41
3021.00,94.44
3020.00,94.46
3019.00,94.49
3018.00,94.50
3017.00,94.50
3016.00,94.51
3015.00,94.52
3014.00,94.54
3013.00,94.56
3012.00,94.57
3011.00,94.59
3010.00,94.60
3009.00,94.62
3008.00,94.63
3007.00,94.64
3006.00,94.65
3005.00,94.66
3004.00,94.67
3003.00,94.67
3002.00,94.68
3001.00,94.69
3000.00,94.70
2999.00,94.72
2998.00,94.75
2997.00,94.77
2996.00,94.79
2995.00,94.79
2994.00,94.79
2993.00,94.79
2992.00,94.78
2991.00,94.78
2990.00,94.79
2989.00,94.79
2988.00,94.78
2987.00,94.77
2986.00,94.74
2985.00,94.71
2984.00,94.67
2983.00,94.62
2982.00,94.59
2981.00,94.56
2980.00,94.53
2979.00,94.49
2978.00,94.45
2977.00,94.40
2976.00,94.33
2975.00,94.26
2974.00,94.18
2973.00,94.11
2972.00,94.03
2971.00,93.95
2970.00,93.84
2969.00,93.72
2968.00,93.58
2967.00,93.45
2966.00,93.32
2965.00,93.20
2964.00,93.08
2963.00,92.95
2962.00,92.83
2961.00,92.70
2960.00,92.55
2959.00,92.38
2958.00,92.20
2957.00,92.00
2956.00,91.79
2955.00,91.57
2954.00,91.31
2953.00,91.03
2952.00,90.71
2951.00,90.36
2950.00,89.99
2949.00,89.61
2948.00,89.23
2947.00,88.86
2946.00,88.52
2945.00,88.21
2944.00,87.91
2943.00,87.64
2942.00,87.37
2941.00,87.09
2940.00,86.82
2939.00,86.54
2938.00,86.27
2937.00,86.01
2936.00,85.78
2935.00,85.59
2934.00,85.45
2933.00,85.37
2932.00,85.35
2931.00,85.38
2930.00,85.46
2929.00,85.58
2928.00,85.70
2927.00,85.84
2926.00,85.99
2925.00,86.15
2924.00,86.33
2923.00,86.51
2922.00,86.69
2921.00,86.86
2920.00,87.04
2919.00,87.23
2918.00,87.42
2917.00,87.59
2916.00,87.75
2915.00,87.90
2914.00,88.03
2913.00,88.17
2912.00,88.30
2911.00,88.42
2910.00,88.53
2909.00,88.64
2908.00,88.75
2907.00,88.86
2906.00,88.99
2905.00,89.12
2904.00,89.26
2903.00,89.41
2902.00,89.57
2901.00,89.74
2900.00,89.90
2899.00,90.04
2898.00,90.18
2897.00,90.31
2896.00,90.45
2895.00,90.57
2894.00,90.69
2893.00,90.78
2892.00,90.87
2891.00,90.94
2890.00,90.99
2889.00,91.02
2888.00,91.03
2887.00,91.02
2886.00,90.98
2885.00,90.92
2884.00,90.84
2883.00,90.74
2882.00,90.61
2881.00,90.46
2880.00,90.30
2879.00,90.13
2878.00,89.97
2877.00,89.81
2876.00,89.66
2875.00,89.52
2874.00,89.40
2873.00,89.30
2872.00,89.22
2871.00,89.15
2870.00,89.08
2869.00,89.00
2868.00,88.92
2867.00,88.82
2866.00,88.70
2865.00,88.56
2864.00,88.42
2863.00,88.28
2862.00,88.15
2861.00,88.06
2860.00,88.00
2859.00,87.98
2858.00,88.00
2857.00,88.06
2856.00,88.17
2855.00,88.32
2854.00,88.51
2853.00,88.73
2852.00,88.97
2851.00,89.23
2850.00,89.51
2849.00,89.78
2848.00,90.05
2847.00,90.31
2846.00,90.57
2845.00,90.81
2844.00,91.02
2843.00,91.20
2842.00,91.37
2841.00,91.53
2840.00,91.67
2839.00,91.80
2838.00,91.92
2837.00,92.01
2836.00,92.09
2835.00,92.15
2834.00,92.21
2833.00,92.28
2832.00,92.34
2831.00,92.40
2830.00,92.45
2829.00,92.49
2828.00,92.53
2827.00,92.57
2826.00,92.61
2825.00,92.64
2824.00,92.66
2823.00,92.68
2822.00,92.70
2821.00,92.74
2820.00,92.77
2819.00,92.81
2818.00,92.85
2817.00,92.89
2816.00,92.93
2815.00,92.96
2814.00,92.99
2813.00,93.01
2812.00,93.04
2811.00,93.07
2810.00,93.11
2809.00,93.15
2808.00,93.17
2807.00,93.18
2806.00,93.19
2805.00,93.21
2804.00,93.23
2803.00,93.26
2802.00,93.28
2801.00,93.29
2800.00,93.31
2799.00,93.33
2798.00,93.34
2797.00,93.35
2796.00,93.36
2795.00,93.37
2794.00,93.39
2793.00,93.41
2792.00,93.44
2791.00,93.46
2790.00,93.48
2789.00,93.50
2788.00,93.51
2787.00,93.52
2786.00,93.54
2785.00,93.53
2784.00,93.52
2783.00,93.51
2782.00,93.51
2781.00,93.52
2780.00,93.54
2779.00,93.56
2778.00,93.58
2777.00,93.60
2776.00,93.61
2775.00,93.61
2774.00,93.60
2773.00,93.59
2772.00,93.60
2771.00,93.62
2770.00,93.64
2769.00,93.66
2768.00,93.68
2767.00,93.70
2766.00,93.72
2765.00,93.73
2764.00,93.73
2763.00,93.74
2762.00,93.74
2761.00,93.74
2760.00,93.74
2759.00,93.74
2758.00,93.73
2757.00,93.72
2756.00,93.71
2755.00,93.72
2754.00,93.74
2753.00,93.76
2752.00,93.78
2751.00,93.78
2750.00,93.77
2749.00,93.75
2748.00,93.75
2747.00,93.75
2746.00,93.77
2745.00,93.79
2744.00,93.81
2743.00,93.82
2742.00,93.82
2741.00,93.83
2740.00,93.83
2739.00,93.83
2738.00,93.82
2737.00,93.82
2736.00,93.83
2735.00,93.84
2734.00,93.86
2733.00,93.88
2732.00,93.89
2731.00,93.90
2730.00,93.90
2729.00,93.90
2728.00,93.90
2727.00,93.90
2726.00,93.91
2725.00,93.92
2724.00,93.94
2723.00,93.96
2722.00,93.98
2721.00,93.99
2720.00,94.00
2719.00,94.00
2718.00,94.02
