Created as New Dataset,13.4 Red Wool Shetland sheep
cm-1,%T
2965.00,90.19
2964.00,90.07
2963.00,89.96
2962.00,89.85
2961.00,89.77
2960.00,89.69
2959.00,89.61
2958.00,89.56
2957.00,89.53
2956.00,89.52
2955.00,89.53
2954.00,89.54
2953.00,89.55
2952.00,89.57
2951.00,89.60
2950.00,89.62
2949.00,89.65
2948.00,89.67
2947.00,89.67
2946.00,89.66
2945.00,89.61
2944.00,89.52
2943.00,89.40
2942.00,89.24
2941.00,89.05
2940.00,88.85
2939.00,88.66
2938.00,88.48
2937.00,88.30
2936.00,88.10
2935.00,87.87
2934.00,87.63
2933.00,87.38
2932.00,87.14
2931.00,86.90
2930.00,86.66
2929.00,86.40
2928.00,86.16
2927.00,85.92
2926.00,85.68
2925.00,85.43
2924.00,85.16
2923.00,84.89
2922.00,84.62
2921.00,84.36
2920.00,84.15
2919.00,84.02
2918.00,83.99
2917.00,84.12
2916.00,84.41
2915.00,84.87
2914.00,85.42
2913.00,86.03
2912.00,86.62
2911.00,87.14
2910.00,87.59
2909.00,87.97
2908.00,88.28
2907.00,88.56
2906.00,88.80
2905.00,89.01
2904.00,89.18
2903.00,89.35
2902.00,89.51
2901.00,89.66
2900.00,89.80
2899.00,89.93
2898.00,90.04
2897.00,90.14
2896.00,90.24
2895.00,90.33
2894.00,90.41
2893.00,90.50
2892.00,90.60
2891.00,90.70
2890.00,90.81
2889.00,90.91
2888.00,91.00
2887.00,91.08
2886.00,91.16
2885.00,91.23
2884.00,91.28
2883.00,91.32
2882.00,91.36
2881.00,91.38
2880.00,91.38
2879.00,91.37
2878.00,91.35
2877.00,91.32
2876.00,91.29
2875.00,91.27
2874.00,91.26
2873.00,91.25
2872.00,91.25
2871.00,91.26
2870.00,91.27
2869.00,91.28
2868.00,91.29
2867.00,91.30
2866.00,91.30
2865.00,91.29
2864.00,91.26
2863.00,91.20
2862.00,91.10
2861.00,90.97
2860.00,90.80
2859.00,90.59
2858.00,90.35
2857.00,90.07
2856.00,89.75
2855.00,89.38
2854.00,88.98
2853.00,88.58
2852.00,88.22
2851.00,87.98
2850.00,87.93
2849.00,88.12
2848.00,88.55
2847.00,89.14
2846.00,89.81
2845.00,90.46
2844.00,91.05
2843.00,91.55
2842.00,91.95
2841.00,92.28
2840.00,92.55
2839.00,92.79
2838.00,93.00
2837.00,93.17
2836.00,93.31
2835.00,93.43
2834.00,93.53
2833.00,93.64
2832.00,93.73
2831.00,93.81
2830.00,93.87
2829.00,93.93
2828.00,93.99
2827.00,94.06
2826.00,94.11
2825.00,94.15
2824.00,94.18
2823.00,94.21
2822.00,94.26
2821.00,94.29
2820.00,94.32
2819.00,94.35
2818.00,94.38
2817.00,94.42
2816.00,94.45
2815.00,94.48
2814.00,94.50
2813.00,94.52
2812.00,94.54
2811.00,94.56
2810.00,94.59
2809.00,94.62
2808.00,94.65
2807.00,94.67
2806.00,94.69
2805.00,94.72
2804.00,94.75
2803.00,94.78
2802.00,94.81
2801.00,94.82
2800.00,94.83
2799.00,94.85
2798.00,94.88
2797.00,94.91
2796.00,94.94
2795.00,94.97
2794.00,94.98
2793.00,94.99
2792.00,95.00
2791.00,95.01
2790.00,95.01
2789.00,95.03
2788.00,95.04
2787.00,95.06
2786.00,95.07
2785.00,95.08
2784.00,95.10
2783.00,95.12
2782.00,95.15
2781.00,95.18
2780.00,95.20
2779.00,95.22
2778.00,95.24
2777.00,95.25
2776.00,95.26
2775.00,95.28
2774.00,95.29
2773.00,95.30
2772.00,95.31
2771.00,95.32
2770.00,95.33
2769.00,95.34
2768.00,95.36
2767.00,95.38
2766.00,95.40
2765.00,95.41
2764.00,95.42
2763.00,95.43
2762.00,95.43
2761.00,95.44
2760.00,95.44
2759.00,95.44
2758.00,95.45
2757.00,95.46
2756.00,95.47
2755.00,95.49
2754.00,95.51
2753.00,95.53
2752.00,95.54
2751.00,95.54
2750.00,95.55
2749.00,95.55
2748.00,95.55
2747.00,95.57
2746.00,95.59
2745.00,95.62
2744.00,95.63
2743.00,95.63
2742.00,95.63
2741.00,95.63
2740.00,95.64
2739.00,95.66
2738.00,95.67
2737.00,95.68
2736.00,95.68
2735.00,95.69
2734.00,95.71
2733.00,95.72
2732.00,95.73
2731.00,95.74
2730.00,95.74
2729.00,95.75
2728.00,95.78
2727.00,95.80
2726.00,95.83
2725.00,95.84
2724.00,95.85
2723.00,95.87
2722.00,95.89
2721.00,95.90
2720.00,95.91
2719.00,95.90
2718.00,95.90
2717.00,95.89
2716.00,95.90
2715.00,95.90
2714.00,95.92
2713.00,95.93
2712.00,95.93
2711.00,95.94
2710.00,95.94
2709.00,95.94
2708.00,95.95
2707.00,95.96
2706.00,95.96
2705.00,95.98
2704.00,95.99
2703.00,96.01
2702.00,96.03
2701.00,96.05
