Created as New Dataset,Shoemaker's thread
cm-1,%T
3122.00,96.25
3121.00,96.26
3120.00,96.27
3119.00,96.30
3118.00,96.33
3117.00,96.37
3116.00,96.40
3115.00,96.44
3114.00,96.47
3113.00,96.48
3112.00,96.49
3111.00,96.50
3110.00,96.51
3109.00,96.53
3108.00,96.55
3107.00,96.57
3106.00,96.59
3105.00,96.61
3104.00,96.62
3103.00,96.63
3102.00,96.63
3101.00,96.64
3100.00,96.65
3099.00,96.67
3098.00,96.70
3097.00,96.73
3096.00,96.76
3095.00,96.78
3094.00,96.78
3093.00,96.79
3092.00,96.78
3091.00,96.78
3090.00,96.79
3089.00,96.81
3088.00,96.84
3087.00,96.86
3086.00,96.88
3085.00,96.89
3084.00,96.91
3083.00,96.92
3082.00,96.93
3081.00,96.94
3080.00,96.95
3079.00,96.98
3078.00,97.01
3077.00,97.04
3076.00,97.06
3075.00,97.06
3074.00,97.06
3073.00,97.06
3072.00,97.06
3071.00,97.07
3070.00,97.09
3069.00,97.11
3068.00,97.12
3067.00,97.13
3066.00,97.14
3065.00,97.14
3064.00,97.14
3063.00,97.14
3062.00,97.15
3061.00,97.17
3060.00,97.19
3059.00,97.21
3058.00,97.22
3057.00,97.24
3056.00,97.25
3055.00,97.26
3054.00,97.27
3053.00,97.28
3052.00,97.29
3051.00,97.30
3050.00,97.31
3049.00,97.32
3048.00,97.33
3047.00,97.33
3046.00,97.33
3045.00,97.34
3044.00,97.34
3043.00,97.34
3042.00,97.34
3041.00,97.33
3040.00,97.33
3039.00,97.32
3038.00,97.32
3037.00,97.32
3036.00,97.33
3035.00,97.33
3034.00,97.33
3033.00,97.32
3032.00,97.33
3031.00,97.33
3030.00,97.33
3029.00,97.33
3028.00,97.34
3027.00,97.34
3026.00,97.35
3025.00,97.34
3024.00,97.33
3023.00,97.33
3022.00,97.34
3021.00,97.35
3020.00,97.36
3019.00,97.36
3018.00,97.35
3017.00,97.35
3016.00,97.34
3015.00,97.34
3014.00,97.33
3013.00,97.33
3012.00,97.33
3011.00,97.32
3010.00,97.32
3009.00,97.31
3008.00,97.30
3007.00,97.28
3006.00,97.26
3005.00,97.24
3004.00,97.22
3003.00,97.20
3002.00,97.17
3001.00,97.15
3000.00,97.12
2999.00,97.09
2998.00,97.07
2997.00,97.05
2996.00,97.02
2995.00,96.99
2994.00,96.94
2993.00,96.90
2992.00,96.84
2991.00,96.79
2990.00,96.72
2989.00,96.65
2988.00,96.56
2987.00,96.47
2986.00,96.36
2985.00,96.24
2984.00,96.12
2983.00,95.98
2982.00,95.83
2981.00,95.65
2980.00,95.44
2979.00,95.21
2978.00,94.96
2977.00,94.69
2976.00,94.40
2975.00,94.08
2974.00,93.74
2973.00,93.38
2972.00,92.99
2971.00,92.56
2970.00,92.11
2969.00,91.63
2968.00,91.13
2967.00,90.64
2966.00,90.15
2965.00,89.66
2964.00,89.17
2963.00,88.68
2962.00,88.20
2961.00,87.74
2960.00,87.31
2959.00,86.90
2958.00,86.54
2957.00,86.25
2956.00,86.03
2955.00,85.92
2954.00,85.90
2953.00,85.96
2952.00,86.08
2951.00,86.24
2950.00,86.39
2949.00,86.51
2948.00,86.56
2947.00,86.52
2946.00,86.38
2945.00,86.12
2944.00,85.76
2943.00,85.29
2942.00,84.73
2941.00,84.07
2940.00,83.33
2939.00,82.50
2938.00,81.58
2937.00,80.57
2936.00,79.45
2935.00,78.24
2934.00,76.95
2933.00,75.57
2932.00,74.12
2931.00,72.58
2930.00,70.94
2929.00,69.19
2928.00,67.32
2927.00,65.29
2926.00,63.09
2925.00,60.71
2924.00,58.16
2923.00,55.45
2922.00,52.67
2921.00,49.89
2920.00,47.27
2919.00,45.03
2918.00,43.47
2917.00,42.85
2916.00,43.32
2915.00,44.84
2914.00,47.16
2913.00,49.93
2912.00,52.82
2911.00,55.57
2910.00,58.05
2909.00,60.21
2908.00,62.07
2907.00,63.65
2906.00,65.00
2905.00,66.15
2904.00,67.15
2903.00,68.03
2902.00,68.82
2901.00,69.54
2900.00,70.23
2899.00,70.89
2898.00,71.54
2897.00,72.17
2896.00,72.80
2895.00,73.43
2894.00,74.07
2893.00,74.72
2892.00,75.37
2891.00,76.04
2890.00,76.71
2889.00,77.39
2888.00,78.08
2887.00,78.76
2886.00,79.45
2885.00,80.12
2884.00,80.76
2883.00,81.37
2882.00,81.93
2881.00,82.42
2880.00,82.85
2879.00,83.19
2878.00,83.44
2877.00,83.58
2876.00,83.63
2875.00,83.59
2874.00,83.51
2873.00,83.42
2872.00,83.34
2871.00,83.31
2870.00,83.32
2869.00,83.36
2868.00,83.39
2867.00,83.37
2866.00,83.26
2865.00,83.02
2864.00,82.63
2863.00,82.07
2862.00,81.31
2861.00,80.37
2860.00,79.23
2859.00,77.88
2858.00,76.30
2857.00,74.42
2856.00,72.14
2855.00,69.36
2854.00,65.98
2853.00,62.04
2852.00,57.80
2851.00,53.84
2850.00,50.96
2849.00,49.88
2848.00,50.93
2847.00,53.86
2846.00,58.02
2845.00,62.62
2844.00,67.05
2843.00,71.00
2842.00,74.36
2841.00,77.17
2840.00,79.53
2839.00,81.53
2838.00,83.23
2837.00,84.69
2836.00,85.94
2835.00,87.02
2834.00,87.94
2833.00,88.75
2832.00,89.45
2831.00,90.08
2830.00,90.64
2829.00,91.13
2828.00,91.56
2827.00,91.95
2826.00,92.31
2825.00,92.64
2824.00,92.94
2823.00,93.21
2822.00,93.45
2821.00,93.66
2820.00,93.86
2819.00,94.04
2818.00,94.20
2817.00,94.36
2816.00,94.51
2815.00,94.65
2814.00,94.79
2813.00,94.91
2812.00,95.03
2811.00,95.14
2810.00,95.25
2809.00,95.35
2808.00,95.45
2807.00,95.55
2806.00,95.64
2805.00,95.73
2804.00,95.81
2803.00,95.88
2802.00,95.94
2801.00,96.01
2800.00,96.07
2799.00,96.13
2798.00,96.20
2797.00,96.27
2796.00,96.33
2795.00,96.40
2794.00,96.46
2793.00,96.52
2792.00,96.58
2791.00,96.63
2790.00,96.68
2789.00,96.72
2788.00,96.78
2787.00,96.83
2786.00,96.88
2785.00,96.92
2784.00,96.96
2783.00,96.99
2782.00,97.03
2781.00,97.07
2780.00,97.11
2779.00,97.14
2778.00,97.17
2777.00,97.20
2776.00,97.24
2775.00,97.28
2774.00,97.32
2773.00,97.35
2772.00,97.37
2771.00,97.39
2770.00,97.41
2769.00,97.44
2768.00,97.45
2767.00,97.46
2766.00,97.46
2765.00,97.46
2764.00,97.47
2763.00,97.49
2762.00,97.51
2761.00,97.53
2760.00,97.55
2759.00,97.56
2758.00,97.58
2757.00,97.59
2756.00,97.59
2755.00,97.60
2754.00,97.61
2753.00,97.62
2752.00,97.63
2751.00,97.63
2750.00,97.62
2749.00,97.61
2748.00,97.60
2747.00,97.60
2746.00,97.61
2745.00,97.61
2744.00,97.62
2743.00,97.62
2742.00,97.61
2741.00,97.61
2740.00,97.61
2739.00,97.61
2738.00,97.61
2737.00,97.61
2736.00,97.60
2735.00,97.60
2734.00,97.60
2733.00,97.60
2732.00,97.60
2731.00,97.61
2730.00,97.62
2729.00,97.62
2728.00,97.63
2727.00,97.64
2726.00,97.65
2725.00,97.67
2724.00,97.68
2723.00,97.68
2722.00,97.69
2721.00,97.71
2720.00,97.73
2719.00,97.74
2718.00,97.76
2717.00,97.77
2716.00,97.79
2715.00,97.81
2714.00,97.83
2713.00,97.85
2712.00,97.87
2711.00,97.89
2710.00,97.91
2709.00,97.93
2708.00,97.95
2707.00,97.97
2706.00,97.98
2705.00,97.98
2704.00,97.98
2703.00,97.99
2702.00,98.00
2701.00,98.02
2700.00,98.03
2699.00,98.03
2698.00,98.04
2697.00,98.04
2696.00,98.05
2695.00,98.06
2694.00,98.07
2693.00,98.08
2692.00,98.09
2691.00,98.09
2690.00,98.10
2689.00,98.11
2688.00,98.11
2687.00,98.12
2686.00,98.11
2685.00,98.10
2684.00,98.10
2683.00,98.10
2682.00,98.10
2681.00,98.11
2680.00,98.12
2679.00,98.13
2678.00,98.14
2677.00,98.15
2676.00,98.15
2675.00,98.14
2674.00,98.12
2673.00,98.10
2672.00,98.09
2671.00,98.08
2670.00,98.07
2669.00,98.07
2668.00,98.06
2667.00,98.06
2666.00,98.05
2665.00,98.04
2664.00,98.03
2663.00,98.02
2662.00,98.01
2661.00,98.00
2660.00,98.00
2659.00,98.00
2658.00,97.99
2657.00,97.99
2656.00,97.98
2655.00,97.98
2654.00,97.98
2653.00,98.00
2652.00,98.01
2651.00,98.01
2650.00,98.00
2649.00,97.99
2648.00,97.98
2647.00,97.98
2646.00,97.98
2645.00,97.97
2644.00,97.96
2643.00,97.94
2642.00,97.92
2641.00,97.90
2640.00,97.89
2639.00,97.88
2638.00,97.88
2637.00,97.87
2636.00,97.86
2635.00,97.86
2634.00,97.87
2633.00,97.89
2632.00,97.90
2631.00,97.90
2630.00,97.90
2629.00,97.90
2628.00,97.90
2627.00,97.91
2626.00,97.91
2625.00,97.92
2624.00,97.94
2623.00,97.95
2622.00,97.96
2621.00,97.96
2620.00,97.96
2619.00,97.95
2618.00,97.96
2617.00,97.98
2616.00,98.00
2615.00,98.01
2614.00,98.02
2613.00,98.03
2612.00,98.04
2611.00,98.05
2610.00,98.06
2609.00,98.06
2608.00,98.06
2607.00,98.06
2606.00,98.07
2605.00,98.07
2604.00,98.07
2603.00,98.08
2602.00,98.08
2601.00,98.08
2600.00,98.08
2599.00,98.08
2598.00,98.09
2597.00,98.10
2596.00,98.11
2595.00,98.11
2594.00,98.10
2593.00,98.09
2592.00,98.09
2591.00,98.09
2590.00,98.09
2589.00,98.10
2588.00,98.11
2587.00,98.12
2586.00,98.12
2585.00,98.12
2584.00,98.12
2583.00,98.13
2582.00,98.14
2581.00,98.15
2580.00,98.14
2579.00,98.13
2578.00,98.11
2577.00,98.10
2576.00,98.10
2575.00,98.11
2574.00,98.12
2573.00,98.14
2572.00,98.15
2571.00,98.15
2570.00,98.15
2569.00,98.15
