Created as New Dataset,67. Modacrylic Waxman Dyed
cm-1,%T
3060.00,99.15
3059.00,99.15
3058.00,99.14
3057.00,99.14
3056.00,99.15
3055.00,99.15
3054.00,99.16
3053.00,99.16
3052.00,99.15
3051.00,99.14
3050.00,99.12
3049.00,99.11
3048.00,99.10
3047.00,99.09
3046.00,99.09
3045.00,99.10
3044.00,99.11
3043.00,99.12
3042.00,99.13
3041.00,99.14
3040.00,99.14
3039.00,99.14
3038.00,99.13
3037.00,99.12
3036.00,99.11
3035.00,99.11
3034.00,99.11
3033.00,99.12
3032.00,99.13
3031.00,99.13
3030.00,99.11
3029.00,99.09
3028.00,99.08
3027.00,99.07
3026.00,99.07
3025.00,99.08
3024.00,99.08
3023.00,99.07
3022.00,99.07
3021.00,99.07
3020.00,99.07
3019.00,99.08
3018.00,99.08
3017.00,99.07
3016.00,99.07
3015.00,99.07
3014.00,99.06
3013.00,99.06
3012.00,99.06
3011.00,99.06
3010.00,99.06
3009.00,99.04
3008.00,99.02
3007.00,99.01
3006.00,99.01
3005.00,99.01
3004.00,99.02
3003.00,99.03
3002.00,99.03
3001.00,99.03
3000.00,99.03
2999.00,99.03
2998.00,99.03
2997.00,99.03
2996.00,99.03
2995.00,99.03
2994.00,99.02
2993.00,99.00
2992.00,98.99
2991.00,98.98
2990.00,98.99
2989.00,98.99
2988.00,98.98
2987.00,98.96
2986.00,98.94
2985.00,98.93
2984.00,98.93
2983.00,98.92
2982.00,98.89
2981.00,98.85
2980.00,98.81
2979.00,98.78
2978.00,98.77
2977.00,98.76
2976.00,98.76
2975.00,98.75
2974.00,98.74
2973.00,98.72
2972.00,98.70
2971.00,98.68
2970.00,98.66
2969.00,98.63
2968.00,98.60
2967.00,98.57
2966.00,98.55
2965.00,98.52
2964.00,98.51
2963.00,98.49
2962.00,98.48
2961.00,98.46
2960.00,98.45
2959.00,98.44
2958.00,98.43
2957.00,98.43
2956.00,98.42
2955.00,98.42
2954.00,98.42
2953.00,98.41
2952.00,98.41
2951.00,98.40
2950.00,98.38
2949.00,98.36
2948.00,98.33
2947.00,98.29
2946.00,98.26
2945.00,98.24
2944.00,98.23
2943.00,98.22
2942.00,98.21
2941.00,98.19
2940.00,98.17
2939.00,98.15
2938.00,98.13
2937.00,98.12
2936.00,98.11
2935.00,98.11
2934.00,98.09
2933.00,98.07
2932.00,98.05
2931.00,98.03
2930.00,98.02
2929.00,98.02
2928.00,98.01
2927.00,98.00
2926.00,97.99
2925.00,97.99
2924.00,97.99
2923.00,98.00
2922.00,98.01
2921.00,98.04
2920.00,98.06
2919.00,98.08
2918.00,98.09
2917.00,98.11
2916.00,98.13
2915.00,98.14
2914.00,98.15
2913.00,98.17
2912.00,98.19
2911.00,98.22
2910.00,98.27
2909.00,98.32
2908.00,98.36
2907.00,98.39
2906.00,98.42
2905.00,98.46
2904.00,98.51
2903.00,98.56
2902.00,98.60
2901.00,98.63
2900.00,98.65
2899.00,98.66
2898.00,98.67
2897.00,98.69
2896.00,98.71
2895.00,98.72
2894.00,98.73
2893.00,98.74
2892.00,98.74
2891.00,98.75
2890.00,98.76
2889.00,98.77
2888.00,98.80
2887.00,98.83
2886.00,98.86
2885.00,98.87
2884.00,98.86
2883.00,98.85
2882.00,98.84
2881.00,98.83
2880.00,98.82
2879.00,98.81
2878.00,98.80
2877.00,98.79
2876.00,98.80
2875.00,98.82
2874.00,98.83
2873.00,98.83
2872.00,98.82
2871.00,98.80
2870.00,98.78
2869.00,98.76
2868.00,98.75
2867.00,98.74
2866.00,98.74
2865.00,98.74
2864.00,98.75
2863.00,98.75
2862.00,98.75
2861.00,98.75
2860.00,98.76
2859.00,98.76
2858.00,98.75
2857.00,98.75
2856.00,98.73
2855.00,98.72
2854.00,98.72
2853.00,98.73
2852.00,98.75
2851.00,98.78
2850.00,98.80
2849.00,98.82
2848.00,98.82
2847.00,98.82
2846.00,98.83
2845.00,98.84
2844.00,98.85
2843.00,98.87
2842.00,98.88
2841.00,98.89
2840.00,98.91
2839.00,98.91
2838.00,98.92
2837.00,98.91
2836.00,98.90
2835.00,98.89
2834.00,98.88
2833.00,98.88
2832.00,98.89
2831.00,98.91
2830.00,98.92
2829.00,98.94
2828.00,98.94
2827.00,98.94
2826.00,98.92
2825.00,98.91
2824.00,98.90
2823.00,98.90
2822.00,98.91
2821.00,98.93
2820.00,98.95
2819.00,98.97
2818.00,98.98
2817.00,98.98
2816.00,98.98
2815.00,98.98
2814.00,98.98
2813.00,98.99
2812.00,98.99
2811.00,98.99
2810.00,98.98
2809.00,98.98
2808.00,98.98
2807.00,98.99
2806.00,99.01
2805.00,99.02
2804.00,99.02
2803.00,99.02
2802.00,99.01
2801.00,99.01
2800.00,99.00
2799.00,99.00
2798.00,99.00
2797.00,99.01
2796.00,99.01
2795.00,99.01
2794.00,99.01
2793.00,99.02
2792.00,99.02
2791.00,99.02
2790.00,99.00
2789.00,99.00
2788.00,99.00
2787.00,99.01
2786.00,99.02
2785.00,99.03
2784.00,99.03
2783.00,99.03
2782.00,99.03
2781.00,99.03
2780.00,99.03
2779.00,99.03
2778.00,99.02
2777.00,99.01
2776.00,99.01
2775.00,99.00
2774.00,98.99
2773.00,98.99
2772.00,98.99
2771.00,99.00
2770.00,99.00
2769.00,99.00
2768.00,99.01
2767.00,99.01
2766.00,99.01
2765.00,99.00
2764.00,98.99
2763.00,98.98
2762.00,98.97
2761.00,98.98
2760.00,98.99
2759.00,99.01
2758.00,99.02
2757.00,99.02
2756.00,99.01
2755.00,99.01
2754.00,99.00
2753.00,98.98
2752.00,98.97
2751.00,98.96
2750.00,98.96
2749.00,98.97
2748.00,98.98
2747.00,98.99
2746.00,98.98
2745.00,98.98
2744.00,98.97
2743.00,98.97
2742.00,98.98
2741.00,98.99
2740.00,99.00
2739.00,99.00
2738.00,99.01
2737.00,99.01
2736.00,99.01
2735.00,99.01
2734.00,99.01
2733.00,99.00
2732.00,99.00
2731.00,98.99
2730.00,98.98
2729.00,98.97
2728.00,98.97
2727.00,98.98
2726.00,98.99
2725.00,99.00
2724.00,99.01
2723.00,99.01
2722.00,99.02
2721.00,99.02
2720.00,99.03
2719.00,99.02
2718.00,99.01
2717.00,98.99
2716.00,98.99
2715.00,98.99
2714.00,99.00
2713.00,99.00
2712.00,99.00
2711.00,99.01
2710.00,99.02
2709.00,99.03
2708.00,99.03
2707.00,99.03
2706.00,99.02
2705.00,99.01
2704.00,99.00
2703.00,98.99
2702.00,98.99
2701.00,98.99
2700.00,98.98
2699.00,98.98
2698.00,98.97
2697.00,98.96
2696.00,98.95
2695.00,98.95
2694.00,98.96
2693.00,98.96
2692.00,98.98
2691.00,98.99
2690.00,99.00
2689.00,99.00
2688.00,99.00
2687.00,98.99
2686.00,98.99
2685.00,98.99
2684.00,98.99
2683.00,98.98
2682.00,98.97
2681.00,98.97
2680.00,98.97
2679.00,98.97
2678.00,98.97
2677.00,98.96
2676.00,98.96
2675.00,98.96
2674.00,98.96
2673.00,98.97
2672.00,98.97
2671.00,98.98
2670.00,98.98
2669.00,98.98
2668.00,98.98
2667.00,98.99
2666.00,98.99
2665.00,98.99
2664.00,98.98
2663.00,98.97
2662.00,98.96
2661.00,98.95
2660.00,98.94
2659.00,98.94
2658.00,98.94
2657.00,98.94
2656.00,98.94
2655.00,98.95
2654.00,98.95
2653.00,98.95
2652.00,98.94
2651.00,98.93
2650.00,98.92
2649.00,98.91
2648.00,98.91
2647.00,98.90
2646.00,98.89
2645.00,98.89
2644.00,98.89
2643.00,98.90
2642.00,98.90
2641.00,98.91
2640.00,98.91
2639.00,98.91
2638.00,98.91
2637.00,98.90
2636.00,98.89
2635.00,98.88
2634.00,98.89
2633.00,98.90
2632.00,98.91
2631.00,98.91
2630.00,98.90
2629.00,98.89
2628.00,98.90
2627.00,98.90
2626.00,98.90
2625.00,98.89
2624.00,98.90
2623.00,98.91
2622.00,98.93
2621.00,98.94
2620.00,98.94
2619.00,98.95
2618.00,98.95
2617.00,98.95
2616.00,98.96
2615.00,98.96
2614.00,98.97
2613.00,98.96
2612.00,98.96
2611.00,98.96
2610.00,98.97
2609.00,98.98
2608.00,98.97
2607.00,98.95
2606.00,98.93
2605.00,98.93
2604.00,98.93
2603.00,98.94
2602.00,98.95
2601.00,98.94
2600.00,98.95
2599.00,98.95
2598.00,98.96
2597.00,98.96
2596.00,98.96
2595.00,98.96
2594.00,98.96
2593.00,98.96
2592.00,98.96
2591.00,98.96
2590.00,98.96
2589.00,98.95
2588.00,98.94
