Created as New Dataset,57 Bayer
cm-1,%T
2573.00,98.97
2572.00,99.00
2571.00,99.03
2570.00,99.04
2569.00,99.03
2568.00,99.02
2567.00,99.02
2566.00,99.02
2565.00,99.00
2564.00,98.97
2563.00,98.94
2562.00,98.92
2561.00,98.90
2560.00,98.90
2559.00,98.91
2558.00,98.92
2557.00,98.95
2556.00,98.97
2555.00,99.00
2554.00,99.02
2553.00,99.03
2552.00,99.02
2551.00,99.01
2550.00,99.00
2549.00,98.99
2548.00,98.99
2547.00,98.99
2546.00,98.99
2545.00,99.00
2544.00,99.01
2543.00,99.01
2542.00,99.00
2541.00,98.97
2540.00,98.95
2539.00,98.95
2538.00,98.95
2537.00,98.94
2536.00,98.94
2535.00,98.94
2534.00,98.96
2533.00,98.97
2532.00,98.97
2531.00,98.95
2530.00,98.93
2529.00,98.90
2528.00,98.89
2527.00,98.90
2526.00,98.92
2525.00,98.95
2524.00,98.96
2523.00,98.95
2522.00,98.95
2521.00,98.95
2520.00,98.95
2519.00,98.94
2518.00,98.93
2517.00,98.92
2516.00,98.93
2515.00,98.94
2514.00,98.95
2513.00,98.95
2512.00,98.95
2511.00,98.95
2510.00,98.95
2509.00,98.95
2508.00,98.95
2507.00,98.96
2506.00,98.95
2505.00,98.94
2504.00,98.92
2503.00,98.92
2502.00,98.93
2501.00,98.93
2500.00,98.94
2499.00,98.94
2498.00,98.95
2497.00,98.96
2496.00,98.95
2495.00,98.93
2494.00,98.91
2493.00,98.90
2492.00,98.90
2491.00,98.90
2490.00,98.90
2489.00,98.90
2488.00,98.92
2487.00,98.94
2486.00,98.97
2485.00,98.99
2484.00,98.99
2483.00,98.98
2482.00,98.98
2481.00,98.98
2480.00,98.99
2479.00,99.00
2478.00,99.00
2477.00,98.99
2476.00,98.96
2475.00,98.93
2474.00,98.91
2473.00,98.90
2472.00,98.89
2471.00,98.90
2470.00,98.90
2469.00,98.92
2468.00,98.93
2467.00,98.95
2466.00,98.97
2465.00,98.97
2464.00,98.97
2463.00,98.97
2462.00,98.97
2461.00,98.98
2460.00,98.98
2459.00,98.97
2458.00,98.95
2457.00,98.93
