Created as New Dataset,6.4. Raw cotton boll
cm-1,%T
2742.00,96.99
2741.00,97.00
2740.00,97.00
2739.00,97.00
2738.00,97.00
2737.00,97.00
2736.00,97.01
2735.00,97.01
2734.00,97.01
2733.00,97.00
2732.00,97.00
2731.00,97.00
2730.00,97.01
2729.00,97.03
2728.00,97.05
2727.00,97.05
2726.00,97.05
2725.00,97.04
2724.00,97.04
2723.00,97.04
2722.00,97.05
2721.00,97.06
2720.00,97.07
2719.00,97.07
2718.00,97.08
2717.00,97.08
2716.00,97.08
2715.00,97.09
2714.00,97.10
2713.00,97.12
2712.00,97.13
2711.00,97.14
2710.00,97.14
2709.00,97.14
2708.00,97.14
2707.00,97.14
2706.00,97.16
2705.00,97.16
2704.00,97.16
2703.00,97.16
2702.00,97.16
2701.00,97.17
2700.00,97.18
2699.00,97.19
2698.00,97.20
2697.00,97.20
2696.00,97.20
2695.00,97.21
2694.00,97.23
2693.00,97.25
2692.00,97.25
2691.00,97.25
2690.00,97.24
2689.00,97.23
2688.00,97.22
2687.00,97.22
2686.00,97.22
2685.00,97.24
2684.00,97.26
2683.00,97.28
2682.00,97.30
2681.00,97.31
2680.00,97.31
2679.00,97.31
2678.00,97.30
2677.00,97.30
2676.00,97.30
2675.00,97.30
2674.00,97.31
2673.00,97.31
2672.00,97.32
2671.00,97.33
2670.00,97.34
2669.00,97.35
2668.00,97.35
2667.00,97.35
2666.00,97.35
2665.00,97.35
2664.00,97.33
2663.00,97.31
2662.00,97.30
2661.00,97.29
2660.00,97.29
2659.00,97.29
2658.00,97.29
2657.00,97.30
2656.00,97.30
2655.00,97.31
2654.00,97.31
2653.00,97.32
2652.00,97.31
2651.00,97.30
2650.00,97.29
2649.00,97.27
2648.00,97.26
2647.00,97.24
2646.00,97.22
2645.00,97.20
2644.00,97.19
2643.00,97.19
2642.00,97.17
2641.00,97.16
2640.00,97.15
2639.00,97.15
2638.00,97.16
2637.00,97.17
2636.00,97.16
2635.00,97.14
2634.00,97.13
2633.00,97.12
2632.00,97.13
2631.00,97.13
2630.00,97.14
2629.00,97.15
2628.00,97.15
2627.00,97.15
2626.00,97.14
2625.00,97.13
2624.00,97.12
2623.00,97.13
2622.00,97.14
2621.00,97.15
2620.00,97.15
2619.00,97.13
2618.00,97.10
2617.00,97.08
2616.00,97.06
2615.00,97.06
2614.00,97.07
2613.00,97.09
2612.00,97.11
2611.00,97.11
2610.00,97.10
2609.00,97.10
2608.00,97.09
2607.00,97.07
2606.00,97.05
2605.00,97.03
2604.00,97.03
2603.00,97.03
2602.00,97.04
2601.00,97.04
2600.00,97.05
2599.00,97.06
2598.00,97.06
2597.00,97.05
2596.00,97.06
2595.00,97.08
2594.00,97.09
2593.00,97.09
2592.00,97.07
2591.00,97.05
2590.00,97.03
2589.00,97.02
2588.00,97.01
2587.00,97.01
2586.00,97.01
2585.00,97.02
2584.00,97.02
2583.00,97.02
2582.00,97.01
2581.00,97.01
2580.00,97.00
