Created as New Dataset,187 Cortaulds
cm-1,%T
3216.00,96.90
3215.00,96.92
3214.00,96.94
3213.00,96.95
3212.00,96.97
3211.00,96.99
3210.00,97.00
3209.00,97.00
3208.00,97.01
3207.00,97.03
3206.00,97.05
3205.00,97.08
3204.00,97.10
3203.00,97.10
3202.00,97.10
3201.00,97.09
3200.00,97.10
3199.00,97.10
3198.00,97.12
3197.00,97.13
3196.00,97.14
3195.00,97.14
3194.00,97.16
3193.00,97.19
3192.00,97.23
3191.00,97.26
3190.00,97.29
3189.00,97.30
3188.00,97.30
3187.00,97.30
3186.00,97.30
3185.00,97.30
3184.00,97.30
3183.00,97.30
3182.00,97.31
3181.00,97.33
3180.00,97.35
3179.00,97.37
3178.00,97.39
3177.00,97.41
3176.00,97.43
3175.00,97.44
3174.00,97.46
3173.00,97.46
3172.00,97.46
3171.00,97.47
3170.00,97.48
3169.00,97.50
3168.00,97.52
3167.00,97.54
3166.00,97.56
3165.00,97.58
3164.00,97.59
3163.00,97.60
3162.00,97.60
3161.00,97.60
3160.00,97.60
3159.00,97.61
3158.00,97.63
3157.00,97.66
3156.00,97.70
3155.00,97.73
3154.00,97.76
3153.00,97.76
3152.00,97.76
3151.00,97.76
3150.00,97.76
3149.00,97.77
3148.00,97.79
3147.00,97.82
3146.00,97.83
3145.00,97.83
3144.00,97.83
3143.00,97.84
3142.00,97.87
3141.00,97.90
3140.00,97.93
3139.00,97.95
3138.00,97.96
3137.00,97.97
3136.00,97.98
3135.00,98.00
3134.00,98.04
3133.00,98.07
3132.00,98.09
3131.00,98.10
3130.00,98.12
3129.00,98.14
3128.00,98.16
3127.00,98.18
3126.00,98.19
3125.00,98.20
3124.00,98.21
3123.00,98.24
3122.00,98.28
3121.00,98.32
3120.00,98.37
3119.00,98.40
3118.00,98.41
3117.00,98.42
3116.00,98.43
3115.00,98.45
3114.00,98.47
3113.00,98.49
3112.00,98.51
3111.00,98.53
3110.00,98.55
3109.00,98.57
3108.00,98.58
3107.00,98.60
3106.00,98.61
3105.00,98.63
3104.00,98.65
3103.00,98.67
3102.00,98.69
3101.00,98.72
3100.00,98.74
3099.00,98.77
3098.00,98.80
3097.00,98.83
3096.00,98.85
3095.00,98.87
3094.00,98.89
3093.00,98.91
3092.00,98.94
3091.00,98.96
3090.00,98.97
3089.00,99.00
3088.00,99.04
3087.00,99.08
3086.00,99.13
3085.00,99.15
3084.00,99.17
3083.00,99.17
3082.00,99.18
3081.00,99.20
3080.00,99.23
3079.00,99.27
3078.00,99.29
3077.00,99.32
3076.00,99.34
3075.00,99.36
3074.00,99.38
3073.00,99.40
3072.00,99.40
3071.00,99.39
3070.00,99.39
3069.00,99.39
3068.00,99.40
3067.00,99.41
3066.00,99.43
3065.00,99.46
3064.00,99.48
3063.00,99.52
3062.00,99.56
3061.00,99.59
3060.00,99.61
3059.00,99.62
3058.00,99.62
3057.00,99.63
3056.00,99.66
3055.00,99.71
3054.00,99.75
3053.00,99.77
3052.00,99.77
3051.00,99.77
3050.00,99.76
3049.00,99.75
3048.00,99.76
3047.00,99.78
3046.00,99.82
3045.00,99.85
3044.00,99.87
3043.00,99.88
3042.00,99.90
3041.00,99.92
3040.00,99.95
3039.00,99.98
3038.00,99.99
3037.00,100.00
3036.00,100.01
3035.00,100.01
3034.00,100.00
3033.00,100.00
3032.00,100.02
3031.00,100.04
3030.00,100.05
3029.00,100.05
3028.00,100.05
3027.00,100.05
3026.00,100.05
3025.00,100.06
3024.00,100.08
3023.00,100.11
3022.00,100.14
3021.00,100.16
3020.00,100.17
3019.00,100.18
3018.00,100.20
3017.00,100.23
3016.00,100.26
3015.00,100.28
3014.00,100.29
3013.00,100.30
3012.00,100.31
3011.00,100.32
3010.00,100.33
3009.00,100.33
3008.00,100.32
3007.00,100.31
3006.00,100.30
3005.00,100.30
3004.00,100.32
3003.00,100.33
3002.00,100.34
3001.00,100.34
3000.00,100.33
2999.00,100.32
2998.00,100.32
2997.00,100.33
2996.00,100.34
2995.00,100.36
2994.00,100.36
2993.00,100.36
2992.00,100.34
2991.00,100.34
2990.00,100.36
2989.00,100.38
2988.00,100.39
2987.00,100.39
2986.00,100.36
2985.00,100.33
2984.00,100.30
2983.00,100.28
2982.00,100.29
2981.00,100.31
2980.00,100.33
2979.00,100.34
2978.00,100.33
2977.00,100.31
2976.00,100.29
2975.00,100.27
2974.00,100.26
2973.00,100.25
2972.00,100.25
2971.00,100.24
2970.00,100.22
2969.00,100.21
2968.00,100.20
2967.00,100.20
2966.00,100.18
2965.00,100.16
2964.00,100.13
2963.00,100.10
2962.00,100.08
2961.00,100.06
2960.00,100.04
2959.00,100.01
2958.00,99.99
2957.00,99.97
2956.00,99.96
2955.00,99.94
2954.00,99.92
2953.00,99.89
2952.00,99.86
2951.00,99.82
2950.00,99.78
2949.00,99.75
2948.00,99.71
2947.00,99.67
2946.00,99.63
2945.00,99.59
2944.00,99.55
2943.00,99.52
2942.00,99.48
2941.00,99.44
2940.00,99.40
2939.00,99.34
2938.00,99.28
2937.00,99.22
2936.00,99.17
2935.00,99.14
2934.00,99.11
2933.00,99.08
2932.00,99.06
2931.00,99.04
2930.00,99.02
2929.00,98.99
2928.00,98.96
2927.00,98.94
2926.00,98.91
2925.00,98.89
2924.00,98.87
2923.00,98.84
2922.00,98.80
2921.00,98.76
2920.00,98.73
2919.00,98.70
2918.00,98.69
2917.00,98.67
2916.00,98.66
2915.00,98.65
2914.00,98.64
2913.00,98.61
2912.00,98.57
2911.00,98.52
2910.00,98.49
2909.00,98.46
2908.00,98.44
2907.00,98.40
2906.00,98.36
2905.00,98.31
2904.00,98.28
2903.00,98.27
2902.00,98.28
2901.00,98.29
2900.00,98.29
2899.00,98.27
2898.00,98.24
2897.00,98.21
2896.00,98.19
2895.00,98.17
2894.00,98.16
2893.00,98.15
2892.00,98.14
2891.00,98.14
2890.00,98.14
2889.00,98.16
2888.00,98.18
2887.00,98.20
2886.00,98.22
2885.00,98.23
2884.00,98.25
2883.00,98.26
2882.00,98.27
2881.00,98.28
2880.00,98.28
2879.00,98.28
2878.00,98.29
2877.00,98.30
2876.00,98.31
2875.00,98.33
2874.00,98.34
2873.00,98.35
2872.00,98.36
2871.00,98.39
2870.00,98.41
2869.00,98.44
2868.00,98.47
2867.00,98.51
2866.00,98.54
2865.00,98.59
2864.00,98.64
2863.00,98.68
2862.00,98.71
2861.00,98.73
2860.00,98.77
2859.00,98.81
2858.00,98.85
2857.00,98.88
2856.00,98.90
2855.00,98.93
2854.00,98.96
2853.00,99.00
2852.00,99.03
2851.00,99.07
2850.00,99.10
2849.00,99.14
2848.00,99.18
2847.00,99.21
2846.00,99.25
2845.00,99.29
2844.00,99.34
2843.00,99.38
2842.00,99.42
2841.00,99.45
2840.00,99.48
2839.00,99.50
2838.00,99.52
2837.00,99.54
2836.00,99.55
2835.00,99.56
2834.00,99.58
2833.00,99.60
2832.00,99.62
2831.00,99.64
2830.00,99.66
2829.00,99.67
2828.00,99.69
2827.00,99.71
2826.00,99.73
2825.00,99.75
2824.00,99.77
2823.00,99.78
2822.00,99.79
2821.00,99.80
2820.00,99.82
2819.00,99.84
2818.00,99.86
2817.00,99.86
2816.00,99.86
2815.00,99.86
2814.00,99.87
2813.00,99.89
2812.00,99.90
2811.00,99.91
2810.00,99.92
2809.00,99.93
2808.00,99.94
2807.00,99.96
2806.00,99.97
2805.00,99.99
2804.00,100.00
2803.00,100.00
2802.00,100.01
2801.00,100.03
2800.00,100.04
2799.00,100.05
2798.00,100.05
2797.00,100.05
2796.00,100.05
2795.00,100.05
2794.00,100.06
2793.00,100.07
2792.00,100.09
2791.00,100.10
2790.00,100.12
2789.00,100.13
2788.00,100.14
2787.00,100.14
2786.00,100.15
2785.00,100.16
2784.00,100.17
2783.00,100.17
2782.00,100.17
2781.00,100.17
2780.00,100.17
2779.00,100.19
2778.00,100.21
2777.00,100.21
2776.00,100.21
2775.00,100.21
2774.00,100.22
2773.00,100.23
2772.00,100.24
2771.00,100.25
2770.00,100.25
2769.00,100.27
2768.00,100.29
2767.00,100.30
2766.00,100.30
2765.00,100.30
2764.00,100.29
2763.00,100.30
2762.00,100.32
2761.00,100.33
2760.00,100.35
2759.00,100.36
2758.00,100.37
2757.00,100.37
2756.00,100.37
