Created as New Dataset,15.3 Red Wool sheep very fine
cm-1,%T
3069.00,92.48
3068.00,92.48
3067.00,92.48
3066.00,92.48
3065.00,92.49
3064.00,92.48
3063.00,92.48
3062.00,92.50
3061.00,92.52
3060.00,92.54
3059.00,92.56
3058.00,92.58
3057.00,92.58
3056.00,92.58
3055.00,92.59
3054.00,92.60
3053.00,92.61
3052.00,92.63
3051.00,92.65
3050.00,92.68
3049.00,92.71
3048.00,92.73
3047.00,92.75
3046.00,92.78
3045.00,92.80
3044.00,92.83
3043.00,92.85
3042.00,92.87
3041.00,92.90
3040.00,92.93
3039.00,92.95
3038.00,92.97
3037.00,92.98
3036.00,92.99
3035.00,93.01
3034.00,93.03
3033.00,93.05
3032.00,93.07
3031.00,93.10
3030.00,93.12
3029.00,93.15
3028.00,93.19
3027.00,93.22
3026.00,93.26
3025.00,93.27
3024.00,93.28
3023.00,93.30
3022.00,93.32
3021.00,93.35
3020.00,93.37
3019.00,93.39
3018.00,93.41
3017.00,93.44
3016.00,93.47
3015.00,93.49
3014.00,93.51
3013.00,93.51
3012.00,93.51
3011.00,93.51
3010.00,93.53
3009.00,93.55
3008.00,93.56
3007.00,93.57
3006.00,93.58
3005.00,93.58
3004.00,93.57
3003.00,93.57
3002.00,93.57
3001.00,93.57
3000.00,93.58
2999.00,93.58
2998.00,93.59
2997.00,93.58
2996.00,93.57
2995.00,93.56
2994.00,93.54
2993.00,93.51
2992.00,93.48
2991.00,93.45
2990.00,93.43
2989.00,93.42
2988.00,93.41
2987.00,93.38
2986.00,93.33
2985.00,93.28
2984.00,93.23
2983.00,93.19
2982.00,93.17
2981.00,93.14
2980.00,93.09
2979.00,93.04
2978.00,93.01
2977.00,92.97
2976.00,92.94
2975.00,92.90
2974.00,92.86
2973.00,92.81
2972.00,92.77
2971.00,92.73
2970.00,92.68
2969.00,92.64
2968.00,92.60
2967.00,92.55
2966.00,92.49
2965.00,92.44
2964.00,92.40
2963.00,92.38
2962.00,92.37
2961.00,92.37
2960.00,92.37
2959.00,92.37
2958.00,92.36
2957.00,92.36
2956.00,92.35
2955.00,92.37
2954.00,92.40
2953.00,92.44
2952.00,92.49
2951.00,92.53
2950.00,92.56
2949.00,92.57
2948.00,92.58
2947.00,92.57
2946.00,92.57
2945.00,92.55
2944.00,92.54
2943.00,92.51
2942.00,92.47
2941.00,92.43
2940.00,92.40
2939.00,92.37
2938.00,92.34
2937.00,92.31
2936.00,92.26
2935.00,92.22
2934.00,92.19
2933.00,92.15
2932.00,92.10
2931.00,92.04
2930.00,91.97
2929.00,91.91
2928.00,91.85
2927.00,91.81
2926.00,91.77
2925.00,91.73
2924.00,91.68
2923.00,91.63
2922.00,91.57
2921.00,91.52
2920.00,91.48
2919.00,91.47
2918.00,91.50
2917.00,91.56
2916.00,91.66
2915.00,91.79
2914.00,91.94
2913.00,92.09
2912.00,92.23
2911.00,92.35
2910.00,92.46
2909.00,92.56
2908.00,92.67
2907.00,92.77
2906.00,92.86
2905.00,92.92
2904.00,92.95
2903.00,92.98
2902.00,93.00
2901.00,93.03
2900.00,93.07
2899.00,93.10
2898.00,93.14
2897.00,93.18
2896.00,93.22
2895.00,93.26
2894.00,93.30
2893.00,93.32
2892.00,93.34
2891.00,93.36
2890.00,93.37
2889.00,93.38
2888.00,93.39
2887.00,93.39
2886.00,93.40
2885.00,93.42
2884.00,93.43
2883.00,93.43
2882.00,93.43
2881.00,93.42
2880.00,93.42
2879.00,93.41
2878.00,93.40
2877.00,93.39
2876.00,93.40
2875.00,93.41
2874.00,93.43
2873.00,93.44
2872.00,93.45
2871.00,93.45
2870.00,93.47
2869.00,93.50
2868.00,93.53
2867.00,93.58
2866.00,93.63
2865.00,93.67
2864.00,93.71
2863.00,93.73
2862.00,93.74
2861.00,93.75
2860.00,93.75
2859.00,93.74
2858.00,93.70
2857.00,93.65
2856.00,93.58
2855.00,93.49
2854.00,93.39
2853.00,93.29
2852.00,93.22
2851.00,93.19
2850.00,93.21
2849.00,93.28
2848.00,93.40
2847.00,93.54
2846.00,93.70
2845.00,93.86
2844.00,94.00
2843.00,94.11
2842.00,94.19
2841.00,94.26
2840.00,94.31
2839.00,94.36
2838.00,94.41
2837.00,94.45
2836.00,94.49
2835.00,94.52
2834.00,94.55
2833.00,94.58
2832.00,94.60
2831.00,94.61
2830.00,94.62
2829.00,94.62
2828.00,94.63
2827.00,94.65
2826.00,94.68
2825.00,94.70
2824.00,94.72
2823.00,94.73
2822.00,94.74
2821.00,94.76
2820.00,94.78
2819.00,94.80
2818.00,94.81
2817.00,94.81
2816.00,94.82
2815.00,94.83
2814.00,94.83
2813.00,94.83
2812.00,94.84
2811.00,94.86
2810.00,94.87
2809.00,94.89
2808.00,94.90
2807.00,94.91
2806.00,94.93
2805.00,94.94
2804.00,94.95
2803.00,94.96
2802.00,94.97
2801.00,94.97
2800.00,94.97
2799.00,94.98
2798.00,94.98
2797.00,94.98
2796.00,94.98
2795.00,94.98
2794.00,94.98
2793.00,95.00
2792.00,95.01
2791.00,95.02
2790.00,95.02
2789.00,95.02
2788.00,95.02
2787.00,95.03
2786.00,95.05
2785.00,95.07
2784.00,95.10
2783.00,95.13
2782.00,95.15
