Created as New Dataset,Mercerised Cotton 5/2 (Light Green)
cm-1,%T
3033.00,94.45
3032.00,94.50
3031.00,94.55
3030.00,94.57
3029.00,94.58
3028.00,94.58
3027.00,94.60
3026.00,94.62
3025.00,94.66
3024.00,94.69
3023.00,94.71
3022.00,94.74
3021.00,94.76
3020.00,94.79
3019.00,94.82
3018.00,94.85
3017.00,94.88
3016.00,94.90
3015.00,94.92
3014.00,94.93
3013.00,94.95
3012.00,94.97
3011.00,95.00
3010.00,95.02
3009.00,95.04
3008.00,95.05
3007.00,95.08
3006.00,95.12
3005.00,95.16
3004.00,95.19
3003.00,95.21
3002.00,95.22
3001.00,95.24
3000.00,95.24
2999.00,95.24
2998.00,95.23
2997.00,95.23
2996.00,95.23
2995.00,95.24
2994.00,95.26
2993.00,95.27
2992.00,95.28
2991.00,95.28
2990.00,95.27
2989.00,95.24
2988.00,95.20
2987.00,95.15
2986.00,95.11
2985.00,95.08
2984.00,95.04
2983.00,95.01
2982.00,94.98
2981.00,94.97
2980.00,94.98
2979.00,94.99
2978.00,94.98
2977.00,94.97
2976.00,94.94
2975.00,94.90
2974.00,94.85
2973.00,94.78
2972.00,94.72
2971.00,94.66
2970.00,94.62
2969.00,94.58
2968.00,94.56
2967.00,94.54
2966.00,94.52
2965.00,94.51
2964.00,94.49
2963.00,94.46
2962.00,94.42
2961.00,94.38
2960.00,94.34
2959.00,94.30
2958.00,94.24
2957.00,94.17
2956.00,94.10
2955.00,94.04
2954.00,93.99
2953.00,93.94
2952.00,93.88
2951.00,93.81
2950.00,93.75
2949.00,93.68
2948.00,93.62
2947.00,93.55
2946.00,93.48
2945.00,93.42
2944.00,93.36
2943.00,93.29
2942.00,93.21
2941.00,93.11
2940.00,93.00
2939.00,92.89
2938.00,92.78
2937.00,92.69
2936.00,92.61
2935.00,92.54
2934.00,92.46
2933.00,92.39
2932.00,92.31
2931.00,92.25
2930.00,92.19
2929.00,92.13
2928.00,92.05
2927.00,91.97
2926.00,91.87
2925.00,91.76
2924.00,91.64
2923.00,91.52
2922.00,91.39
2921.00,91.26
2920.00,91.12
2919.00,91.00
2918.00,90.91
2917.00,90.86
2916.00,90.83
2915.00,90.80
2914.00,90.77
2913.00,90.73
2912.00,90.68
2911.00,90.61
2910.00,90.52
2909.00,90.41
2908.00,90.30
2907.00,90.21
2906.00,90.14
2905.00,90.10
2904.00,90.09
2903.00,90.08
2902.00,90.08
2901.00,90.07
2900.00,90.05
2899.00,90.02
2898.00,90.00
2897.00,89.98
2896.00,89.98
2895.00,89.97
2894.00,89.97
2893.00,89.96
2892.00,89.96
2891.00,89.99
2890.00,90.04
2889.00,90.12
2888.00,90.21
2887.00,90.30
2886.00,90.40
2885.00,90.48
2884.00,90.57
2883.00,90.64
2882.00,90.70
2881.00,90.75
2880.00,90.78
2879.00,90.80
2878.00,90.82
2877.00,90.83
2876.00,90.85
2875.00,90.87
2874.00,90.92
2873.00,90.99
2872.00,91.08
2871.00,91.17
2870.00,91.26
2869.00,91.34
2868.00,91.42
2867.00,91.49
2866.00,91.57
2865.00,91.65
2864.00,91.74
2863.00,91.81
2862.00,91.88
2861.00,91.95
2860.00,92.00
2859.00,92.05
2858.00,92.10
2857.00,92.15
2856.00,92.19
2855.00,92.22
2854.00,92.23
2853.00,92.24
2852.00,92.26
2851.00,92.32
2850.00,92.41
2849.00,92.54
2848.00,92.68
2847.00,92.82
2846.00,92.95
2845.00,93.07
2844.00,93.19
2843.00,93.31
2842.00,93.41
2841.00,93.51
2840.00,93.60
2839.00,93.67
2838.00,93.73
2837.00,93.79
2836.00,93.85
2835.00,93.91
2834.00,93.96
2833.00,94.01
2832.00,94.05
2831.00,94.09
2830.00,94.12
2829.00,94.15
2828.00,94.18
2827.00,94.22
2826.00,94.26
2825.00,94.31
2824.00,94.36
2823.00,94.40
2822.00,94.43
2821.00,94.45
2820.00,94.46
2819.00,94.49
2818.00,94.52
2817.00,94.55
2816.00,94.58
2815.00,94.62
2814.00,94.66
2813.00,94.69
2812.00,94.73
2811.00,94.75
2810.00,94.76
2809.00,94.77
2808.00,94.79
2807.00,94.83
2806.00,94.87
2805.00,94.90
2804.00,94.92
2803.00,94.94
2802.00,94.96
2801.00,94.97
2800.00,94.99
2799.00,95.02
2798.00,95.04
2797.00,95.06
2796.00,95.07
2795.00,95.08
2794.00,95.09
2793.00,95.11
2792.00,95.14
2791.00,95.17
2790.00,95.20
2789.00,95.22
2788.00,95.24
2787.00,95.26
2786.00,95.28
2785.00,95.30
2784.00,95.32
2783.00,95.33
2782.00,95.35
2781.00,95.37
2780.00,95.39
2779.00,95.42
2778.00,95.45
2777.00,95.47
2776.00,95.48
2775.00,95.49
2774.00,95.49
2773.00,95.50
2772.00,95.52
2771.00,95.53
2770.00,95.54
2769.00,95.56
2768.00,95.58
2767.00,95.60
2766.00,95.62
2765.00,95.64
2764.00,95.66
2763.00,95.68
2762.00,95.69
