Created as New Dataset,14.4 Red Wool Sheep felt handmade
cm-1,%T
3232.00,89.45
3231.00,89.46
3230.00,89.47
3229.00,89.49
3228.00,89.52
3227.00,89.54
3226.00,89.56
3225.00,89.59
3224.00,89.61
3223.00,89.62
3222.00,89.64
3221.00,89.66
3220.00,89.68
3219.00,89.70
3218.00,89.72
3217.00,89.73
3216.00,89.75
3215.00,89.77
3214.00,89.80
3213.00,89.83
3212.00,89.84
3211.00,89.85
3210.00,89.85
3209.00,89.86
3208.00,89.88
3207.00,89.92
3206.00,89.95
3205.00,89.97
3204.00,89.99
3203.00,90.00
3202.00,90.02
3201.00,90.05
3200.00,90.09
3199.00,90.13
3198.00,90.15
3197.00,90.17
3196.00,90.19
3195.00,90.21
3194.00,90.24
3193.00,90.28
3192.00,90.33
3191.00,90.37
3190.00,90.41
3189.00,90.43
3188.00,90.43
3187.00,90.44
3186.00,90.47
3185.00,90.51
3184.00,90.56
3183.00,90.59
3182.00,90.63
3181.00,90.65
3180.00,90.68
3179.00,90.71
3178.00,90.74
3177.00,90.77
3176.00,90.80
3175.00,90.83
3174.00,90.86
3173.00,90.90
3172.00,90.95
3171.00,90.99
3170.00,91.02
3169.00,91.05
3168.00,91.07
3167.00,91.09
3166.00,91.12
3165.00,91.15
3164.00,91.20
3163.00,91.25
3162.00,91.29
3161.00,91.33
3160.00,91.37
3159.00,91.41
3158.00,91.45
3157.00,91.48
3156.00,91.51
3155.00,91.54
3154.00,91.57
3153.00,91.60
3152.00,91.62
3151.00,91.65
3150.00,91.68
3149.00,91.71
3148.00,91.74
3147.00,91.78
3146.00,91.81
3145.00,91.86
3144.00,91.90
3143.00,91.92
3142.00,91.94
3141.00,91.94
3140.00,91.95
3139.00,91.97
3138.00,92.00
3137.00,92.02
3136.00,92.04
3135.00,92.05
3134.00,92.08
3133.00,92.10
3132.00,92.13
3131.00,92.16
3130.00,92.18
3129.00,92.18
3128.00,92.19
3127.00,92.21
3126.00,92.24
3125.00,92.27
3124.00,92.31
3123.00,92.33
3122.00,92.35
3121.00,92.35
3120.00,92.35
3119.00,92.34
3118.00,92.33
3117.00,92.34
3116.00,92.37
3115.00,92.39
3114.00,92.42
3113.00,92.42
3112.00,92.43
3111.00,92.43
3110.00,92.43
3109.00,92.43
3108.00,92.42
3107.00,92.43
3106.00,92.44
3105.00,92.45
3104.00,92.47
3103.00,92.48
3102.00,92.48
3101.00,92.48
3100.00,92.48
3099.00,92.47
3098.00,92.46
3097.00,92.46
3096.00,92.45
3095.00,92.45
3094.00,92.45
3093.00,92.44
3092.00,92.44
3091.00,92.42
3090.00,92.41
3089.00,92.39
3088.00,92.36
3087.00,92.34
3086.00,92.33
3085.00,92.34
3084.00,92.35
3083.00,92.36
3082.00,92.37
3081.00,92.38
3080.00,92.38
3079.00,92.38
3078.00,92.38
3077.00,92.38
3076.00,92.37
3075.00,92.37
3074.00,92.37
3073.00,92.37
3072.00,92.37
3071.00,92.37
3070.00,92.37
3069.00,92.36
3068.00,92.36
3067.00,92.36
3066.00,92.37
3065.00,92.38
3064.00,92.38
3063.00,92.38
3062.00,92.38
3061.00,92.39
3060.00,92.43
3059.00,92.47
3058.00,92.51
3057.00,92.52
3056.00,92.53
3055.00,92.53
3054.00,92.54
3053.00,92.56
3052.00,92.57
3051.00,92.59
3050.00,92.61
3049.00,92.64
3048.00,92.68
3047.00,92.72
3046.00,92.75
3045.00,92.77
3044.00,92.79
3043.00,92.80
3042.00,92.82
3041.00,92.85
3040.00,92.87
3039.00,92.89
3038.00,92.90
3037.00,92.92
3036.00,92.94
3035.00,92.98
3034.00,93.01
3033.00,93.04
3032.00,93.06
3031.00,93.07
3030.00,93.09
3029.00,93.10
3028.00,93.12
3027.00,93.14
3026.00,93.18
3025.00,93.22
3024.00,93.26
3023.00,93.29
3022.00,93.30
3021.00,93.31
3020.00,93.32
3019.00,93.33
3018.00,93.34
3017.00,93.35
3016.00,93.35
3015.00,93.37
3014.00,93.40
3013.00,93.44
3012.00,93.49
3011.00,93.53
3010.00,93.55
3009.00,93.56
3008.00,93.55
3007.00,93.54
3006.00,93.54
3005.00,93.55
3004.00,93.56
3003.00,93.57
3002.00,93.56
3001.00,93.54
3000.00,93.54
2999.00,93.54
2998.00,93.54
2997.00,93.55
2996.00,93.54
2995.00,93.52
2994.00,93.49
2993.00,93.47
2992.00,93.45
2991.00,93.45
2990.00,93.44
2989.00,93.43
2988.00,93.40
2987.00,93.37
2986.00,93.32
2985.00,93.28
2984.00,93.25
2983.00,93.21
2982.00,93.16
2981.00,93.11
2980.00,93.05
2979.00,93.00
2978.00,92.96
2977.00,92.91
2976.00,92.85
2975.00,92.80
2974.00,92.75
2973.00,92.70
2972.00,92.67
2971.00,92.64
2970.00,92.61
2969.00,92.57
2968.00,92.52
2967.00,92.47
2966.00,92.43
2965.00,92.38
2964.00,92.34
