Created as New Dataset,Linen/SS (NC)
cm-1,%T
2753.00,92.28
2752.00,92.27
2751.00,92.28
2750.00,92.30
2749.00,92.32
2748.00,92.33
2747.00,92.34
2746.00,92.34
2745.00,92.33
2744.00,92.33
2743.00,92.33
2742.00,92.33
2741.00,92.35
2740.00,92.36
2739.00,92.38
2738.00,92.38
2737.00,92.37
2736.00,92.36
2735.00,92.36
2734.00,92.37
2733.00,92.39
2732.00,92.40
2731.00,92.41
2730.00,92.43
2729.00,92.46
2728.00,92.48
2727.00,92.50
2726.00,92.50
2725.00,92.50
2724.00,92.50
2723.00,92.50
2722.00,92.51
2721.00,92.51
2720.00,92.51
2719.00,92.51
2718.00,92.51
2717.00,92.52
2716.00,92.54
2715.00,92.56
2714.00,92.58
2713.00,92.60
2712.00,92.63
2711.00,92.65
2710.00,92.67
2709.00,92.68
2708.00,92.68
2707.00,92.69
2706.00,92.69
2705.00,92.69
2704.00,92.70
2703.00,92.72
2702.00,92.75
2701.00,92.77
2700.00,92.79
2699.00,92.81
2698.00,92.83
2697.00,92.85
2696.00,92.87
2695.00,92.88
2694.00,92.90
2693.00,92.92
2692.00,92.93
2691.00,92.95
2690.00,92.95
2689.00,92.96
2688.00,92.96
2687.00,92.98
2686.00,93.00
2685.00,93.02
2684.00,93.04
2683.00,93.05
2682.00,93.06
2681.00,93.06
2680.00,93.07
2679.00,93.08
2678.00,93.09
2677.00,93.10
2676.00,93.11
2675.00,93.12
2674.00,93.14
2673.00,93.16
2672.00,93.19
2671.00,93.20
2670.00,93.21
2669.00,93.22
2668.00,93.21
2667.00,93.20
2666.00,93.18
2665.00,93.17
2664.00,93.18
2663.00,93.19
2662.00,93.20
2661.00,93.20
2660.00,93.20
2659.00,93.21
2658.00,93.22
2657.00,93.23
2656.00,93.25
2655.00,93.26
2654.00,93.26
2653.00,93.25
2652.00,93.23
2651.00,93.22
2650.00,93.21
2649.00,93.21
2648.00,93.22
2647.00,93.23
2646.00,93.24
2645.00,93.24
2644.00,93.23
2643.00,93.21
2642.00,93.20
2641.00,93.21
2640.00,93.22
2639.00,93.23
2638.00,93.23
2637.00,93.22
2636.00,93.22
2635.00,93.22
2634.00,93.22
2633.00,93.22
2632.00,93.22
2631.00,93.22
2630.00,93.23
2629.00,93.23
2628.00,93.22
2627.00,93.22
2626.00,93.23
2625.00,93.23
2624.00,93.23
2623.00,93.24
2622.00,93.24
2621.00,93.25
2620.00,93.25
2619.00,93.25
2618.00,93.26
2617.00,93.28
2616.00,93.28
2615.00,93.28
2614.00,93.27
2613.00,93.28
2612.00,93.30
2611.00,93.31
2610.00,93.31
2609.00,93.29
2608.00,93.27
2607.00,93.25
2606.00,93.23
2605.00,93.23
2604.00,93.24
2603.00,93.24
2602.00,93.23
2601.00,93.23
2600.00,93.23
2599.00,93.26
2598.00,93.28
2597.00,93.30
2596.00,93.31
2595.00,93.31
2594.00,93.30
2593.00,93.28
2592.00,93.27
2591.00,93.27
2590.00,93.29
2589.00,93.29
2588.00,93.29
2587.00,93.29
2586.00,93.30
2585.00,93.31
2584.00,93.32
2583.00,93.32
2582.00,93.31
2581.00,93.32
2580.00,93.33
2579.00,93.34
2578.00,93.35
2577.00,93.34
2576.00,93.34
2575.00,93.35
2574.00,93.34
2573.00,93.32
2572.00,93.29
2571.00,93.26
2570.00,93.25
2569.00,93.25
2568.00,93.24
2567.00,93.24
2566.00,93.23
2565.00,93.24
2564.00,93.26
2563.00,93.28
2562.00,93.30
2561.00,93.32
2560.00,93.34
2559.00,93.35
2558.00,93.36
2557.00,93.35
2556.00,93.34
2555.00,93.31
2554.00,93.30
2553.00,93.29
2552.00,93.29
2551.00,93.30
2550.00,93.31
2549.00,93.32
2548.00,93.33
2547.00,93.32
2546.00,93.30
2545.00,93.28
2544.00,93.28
2543.00,93.29
2542.00,93.31
2541.00,93.31
2540.00,93.31
2539.00,93.31
2538.00,93.31
2537.00,93.30
2536.00,93.28
2535.00,93.26
2534.00,93.25
2533.00,93.23
2532.00,93.23
2531.00,93.22
2530.00,93.21
2529.00,93.21
2528.00,93.21
2527.00,93.23
2526.00,93.26
2525.00,93.30
2524.00,93.32
2523.00,93.33
2522.00,93.33
2521.00,93.32
2520.00,93.32
2519.00,93.34
2518.00,93.35
2517.00,93.36
2516.00,93.36
2515.00,93.37
2514.00,93.38
2513.00,93.39
2512.00,93.40
2511.00,93.40
2510.00,93.40
2509.00,93.40
2508.00,93.41
2507.00,93.42
2506.00,93.43
2505.00,93.44
2504.00,93.46
2503.00,93.48
2502.00,93.50
2501.00,93.50
2500.00,93.49
2499.00,93.49
2498.00,93.51
2497.00,93.53
2496.00,93.54
2495.00,93.54
2494.00,93.54
2493.00,93.55
2492.00,93.57
2491.00,93.58
2490.00,93.58
2489.00,93.58
2488.00,93.58
2487.00,93.59
2486.00,93.59
2485.00,93.58
2484.00,93.57
2483.00,93.57
2482.00,93.57
2481.00,93.58
2480.00,93.59
2479.00,93.62
2478.00,93.65
2477.00,93.66
2476.00,93.67
2475.00,93.67
2474.00,93.67
2473.00,93.66
2472.00,93.66
2471.00,93.65
2470.00,93.65
2469.00,93.65
2468.00,93.67
2467.00,93.69
2466.00,93.71
2465.00,93.72
2464.00,93.73
2463.00,93.74
2462.00,93.73
2461.00,93.71
2460.00,93.69
2459.00,93.68
2458.00,93.69
