Created as New Dataset,127 Shaw Industries
cm-1,%T
2870.00,86.93
2869.00,86.77
2868.00,86.69
2867.00,86.77
2866.00,87.08
2865.00,87.68
2864.00,88.54
2863.00,89.57
2862.00,90.66
2861.00,91.70
2860.00,92.61
2859.00,93.37
2858.00,93.97
2857.00,94.43
2856.00,94.75
2855.00,94.94
2854.00,95.02
2853.00,95.00
2852.00,94.89
2851.00,94.71
2850.00,94.44
2849.00,94.08
2848.00,93.62
2847.00,93.05
2846.00,92.40
2845.00,91.70
2844.00,90.97
2843.00,90.23
2842.00,89.53
2841.00,88.90
2840.00,88.39
2839.00,88.09
2838.00,88.04
2837.00,88.28
2836.00,88.82
2835.00,89.61
2834.00,90.56
2833.00,91.60
2832.00,92.63
2831.00,93.58
2830.00,94.43
2829.00,95.14
2828.00,95.73
2827.00,96.19
2826.00,96.57
2825.00,96.88
2824.00,97.14
2823.00,97.36
2822.00,97.55
2821.00,97.72
2820.00,97.86
2819.00,97.99
2818.00,98.09
2817.00,98.18
2816.00,98.27
2815.00,98.36
2814.00,98.44
2813.00,98.51
2812.00,98.57
2811.00,98.61
2810.00,98.66
2809.00,98.71
2808.00,98.79
2807.00,98.87
2806.00,98.95
2805.00,99.03
2804.00,99.10
2803.00,99.17
2802.00,99.24
2801.00,99.30
2800.00,99.36
2799.00,99.40
2798.00,99.43
2797.00,99.44
2796.00,99.46
2795.00,99.47
2794.00,99.50
2793.00,99.54
2792.00,99.58
2791.00,99.62
2790.00,99.67
2789.00,99.71
2788.00,99.76
2787.00,99.80
2786.00,99.83
2785.00,99.86
2784.00,99.88
2783.00,99.89
2782.00,99.91
2781.00,99.94
2780.00,99.98
2779.00,100.01
2778.00,100.03
2777.00,100.05
2776.00,100.06
2775.00,100.06
2774.00,100.07
2773.00,100.07
2772.00,100.08
2771.00,100.09
2770.00,100.10
2769.00,100.11
2768.00,100.12
2767.00,100.12
2766.00,100.14
2765.00,100.15
2764.00,100.17
2763.00,100.17
2762.00,100.17
2761.00,100.17
2760.00,100.18
2759.00,100.19
2758.00,100.21
2757.00,100.22
2756.00,100.23
2755.00,100.23
2754.00,100.24
2753.00,100.25
2752.00,100.26
2751.00,100.27
2750.00,100.27
2749.00,100.25
2748.00,100.23
2747.00,100.21
2746.00,100.20
2745.00,100.19
2744.00,100.18
2743.00,100.17
2742.00,100.16
2741.00,100.14
2740.00,100.12
2739.00,100.09
2738.00,100.06
2737.00,100.04
2736.00,100.03
2735.00,100.02
2734.00,100.00
2733.00,99.98
2732.00,99.95
2731.00,99.92
2730.00,99.89
2729.00,99.86
2728.00,99.82
2727.00,99.79
2726.00,99.76
2725.00,99.73
2724.00,99.71
2723.00,99.69
2722.00,99.69
2721.00,99.70
2720.00,99.73
2719.00,99.78
2718.00,99.83
2717.00,99.88
2716.00,99.92
2715.00,99.97
2714.00,100.02
2713.00,100.05
2712.00,100.08
2711.00,100.12
2710.00,100.15
2709.00,100.18
2708.00,100.19
2707.00,100.19
2706.00,100.19
2705.00,100.20
2704.00,100.22
2703.00,100.24
2702.00,100.25
2701.00,100.26
2700.00,100.27
2699.00,100.28
2698.00,100.29
2697.00,100.30
2696.00,100.30
2695.00,100.30
2694.00,100.30
2693.00,100.29
2692.00,100.29
2691.00,100.29
2690.00,100.29
2689.00,100.30
2688.00,100.30
2687.00,100.30
2686.00,100.30
2685.00,100.30
2684.00,100.30
2683.00,100.30
2682.00,100.30
2681.00,100.31
2680.00,100.31
2679.00,100.31
2678.00,100.30
2677.00,100.30
2676.00,100.30
2675.00,100.30
2674.00,100.30
2673.00,100.30
2672.00,100.30
2671.00,100.30
2670.00,100.30
2669.00,100.29
2668.00,100.29
2667.00,100.29
2666.00,100.29
2665.00,100.29
2664.00,100.29
2663.00,100.29
2662.00,100.27
2661.00,100.26
2660.00,100.25
2659.00,100.24
2658.00,100.23
2657.00,100.21
2656.00,100.20
2655.00,100.20
2654.00,100.21
2653.00,100.21
2652.00,100.22
2651.00,100.22
2650.00,100.23
2649.00,100.23
2648.00,100.23
2647.00,100.22
2646.00,100.22
2645.00,100.22
2644.00,100.22
2643.00,100.21
2642.00,100.19
2641.00,100.18
2640.00,100.18
2639.00,100.18
2638.00,100.18
2637.00,100.19
2636.00,100.19
2635.00,100.19
2634.00,100.18
2633.00,100.17
2632.00,100.15
2631.00,100.13
2630.00,100.10
2629.00,100.08
2628.00,100.07
2627.00,100.06
2626.00,100.04
2625.00,100.03
2624.00,100.02
2623.00,100.03
2622.00,100.03
2621.00,100.03
2620.00,100.03
2619.00,100.02
2618.00,100.01
2617.00,100.01
2616.00,100.00
2615.00,100.00
2614.00,100.00
2613.00,100.00
2612.00,100.00
2611.00,99.99
2610.00,99.97
2609.00,99.96
2608.00,99.97
2607.00,99.99
2606.00,100.01
2605.00,100.02
2604.00,100.01
2603.00,100.00
2602.00,99.99
2601.00,100.00
2600.00,100.02
2599.00,100.02
2598.00,100.01
2597.00,99.98
2596.00,99.95
2595.00,99.93
2594.00,99.93
2593.00,99.94
2592.00,99.93
2591.00,99.91
2590.00,99.88
2589.00,99.86
2588.00,99.83
2587.00,99.80
2586.00,99.77
2585.00,99.74
2584.00,99.73
2583.00,99.74
2582.00,99.76
2581.00,99.77
2580.00,99.78
2579.00,99.80
2578.00,99.82
2577.00,99.84
2576.00,99.84
2575.00,99.83
2574.00,99.82
2573.00,99.81
