Created as New Dataset,12.3 Lincoln Sheep
cm-1,%T
2760.00,97.84
2759.00,97.86
2758.00,97.87
2757.00,97.88
2756.00,97.89
2755.00,97.90
2754.00,97.92
2753.00,97.93
2752.00,97.94
2751.00,97.96
2750.00,97.97
2749.00,97.99
2748.00,98.00
2747.00,98.01
2746.00,98.02
2745.00,98.03
2744.00,98.04
2743.00,98.05
2742.00,98.05
2741.00,98.04
2740.00,98.04
2739.00,98.04
2738.00,98.06
2737.00,98.07
2736.00,98.08
2735.00,98.09
2734.00,98.09
2733.00,98.10
2732.00,98.10
2731.00,98.11
2730.00,98.12
2729.00,98.14
2728.00,98.16
2727.00,98.19
2726.00,98.22
2725.00,98.24
2724.00,98.25
2723.00,98.25
2722.00,98.26
2721.00,98.26
2720.00,98.27
2719.00,98.29
2718.00,98.31
2717.00,98.33
2716.00,98.36
2715.00,98.39
2714.00,98.41
2713.00,98.43
2712.00,98.45
2711.00,98.46
2710.00,98.46
2709.00,98.46
2708.00,98.45
2707.00,98.46
2706.00,98.49
2705.00,98.51
2704.00,98.53
2703.00,98.54
2702.00,98.55
2701.00,98.54
2700.00,98.55
2699.00,98.56
2698.00,98.57
2697.00,98.57
2696.00,98.58
2695.00,98.58
2694.00,98.58
2693.00,98.58
2692.00,98.57
2691.00,98.56
2690.00,98.57
2689.00,98.58
2688.00,98.59
2687.00,98.60
2686.00,98.60
2685.00,98.59
2684.00,98.59
2683.00,98.59
2682.00,98.59
2681.00,98.59
2680.00,98.60
2679.00,98.60
2678.00,98.61
2677.00,98.62
2676.00,98.64
2675.00,98.65
2674.00,98.66
2673.00,98.67
2672.00,98.67
2671.00,98.65
2670.00,98.64
2669.00,98.65
2668.00,98.66
2667.00,98.67
2666.00,98.68
2665.00,98.67
2664.00,98.66
2663.00,98.65
2662.00,98.65
2661.00,98.64
2660.00,98.64
2659.00,98.65
2658.00,98.66
2657.00,98.67
2656.00,98.67
2655.00,98.66
2654.00,98.64
2653.00,98.62
2652.00,98.61
2651.00,98.61
2650.00,98.61
2649.00,98.61
2648.00,98.61
2647.00,98.61
2646.00,98.61
2645.00,98.61
2644.00,98.61
2643.00,98.60
2642.00,98.59
2641.00,98.60
2640.00,98.61
2639.00,98.62
2638.00,98.62
2637.00,98.60
2636.00,98.58
2635.00,98.57
2634.00,98.57
2633.00,98.58
2632.00,98.58
2631.00,98.58
2630.00,98.57
2629.00,98.57
2628.00,98.57
2627.00,98.57
2626.00,98.57
2625.00,98.57
2624.00,98.57
2623.00,98.57
2622.00,98.58
2621.00,98.59
2620.00,98.60
2619.00,98.61
2618.00,98.62
2617.00,98.63
2616.00,98.64
2615.00,98.65
2614.00,98.64
2613.00,98.63
2612.00,98.63
2611.00,98.64
2610.00,98.66
2609.00,98.67
2608.00,98.66
2607.00,98.65
2606.00,98.65
2605.00,98.67
2604.00,98.69
2603.00,98.72
2602.00,98.72
2601.00,98.70
2600.00,98.68
2599.00,98.68
2598.00,98.68
2597.00,98.68
2596.00,98.68
2595.00,98.68
2594.00,98.68
2593.00,98.69
2592.00,98.69
2591.00,98.69
2590.00,98.69
2589.00,98.68
2588.00,98.67
2587.00,98.67
2586.00,98.68
2585.00,98.70
2584.00,98.71
2583.00,98.71
2582.00,98.70
2581.00,98.70
2580.00,98.71
2579.00,98.72
2578.00,98.73
2577.00,98.73
2576.00,98.74
2575.00,98.75
2574.00,98.76
2573.00,98.76
2572.00,98.77
2571.00,98.78
2570.00,98.79
2569.00,98.79
2568.00,98.79
2567.00,98.79
2566.00,98.78
2565.00,98.78
2564.00,98.78
2563.00,98.78
2562.00,98.78
2561.00,98.77
2560.00,98.77
2559.00,98.78
2558.00,98.81
2557.00,98.83
2556.00,98.82
2555.00,98.79
2554.00,98.75
2553.00,98.72
2552.00,98.72
2551.00,98.74
2550.00,98.78
2549.00,98.82
2548.00,98.85
2547.00,98.86
2546.00,98.87
2545.00,98.86
2544.00,98.85
2543.00,98.84
2542.00,98.85
2541.00,98.84
2540.00,98.83
2539.00,98.84
2538.00,98.85
2537.00,98.87
2536.00,98.88
2535.00,98.87
2534.00,98.85
2533.00,98.83
2532.00,98.82
2531.00,98.83
2530.00,98.85
2529.00,98.86
2528.00,98.86
2527.00,98.84
2526.00,98.82
2525.00,98.82
2524.00,98.84
2523.00,98.88
2522.00,98.90
2521.00,98.90
2520.00,98.89
2519.00,98.90
2518.00,98.92
2517.00,98.95
2516.00,98.96
2515.00,98.97
2514.00,98.99
2513.00,98.99
2512.00,98.99
2511.00,98.99
2510.00,98.98
2509.00,98.96
2508.00,98.95
2507.00,98.97
2506.00,98.99
2505.00,99.01
2504.00,99.02
2503.00,99.03
2502.00,99.04
2501.00,99.05
2500.00,99.05
2499.00,99.05
2498.00,99.04
2497.00,99.05
2496.00,99.06
2495.00,99.07
2494.00,99.07
2493.00,99.05
2492.00,99.05
2491.00,99.06
2490.00,99.09
2489.00,99.11
2488.00,99.11
2487.00,99.08
2486.00,99.07
2485.00,99.07
2484.00,99.10
2483.00,99.13
2482.00,99.15
2481.00,99.15
2480.00,99.16
2479.00,99.18
2478.00,99.19
2477.00,99.19
2476.00,99.18
2475.00,99.17
2474.00,99.19
2473.00,99.22
2472.00,99.24
2471.00,99.25
2470.00,99.24
2469.00,99.23
2468.00,99.23
2467.00,99.24
2466.00,99.24
2465.00,99.23
2464.00,99.21
2463.00,99.19
2462.00,99.17
2461.00,99.16
2460.00,99.15
