Created as New Dataset,15.4 Red Wool sheep with much darker fibres natural
cm-1,%T
3156.00,97.19
3155.00,97.20
3154.00,97.21
3153.00,97.22
3152.00,97.23
3151.00,97.25
3150.00,97.28
3149.00,97.30
3148.00,97.32
3147.00,97.33
3146.00,97.35
3145.00,97.37
3144.00,97.40
3143.00,97.41
3142.00,97.42
3141.00,97.43
3140.00,97.43
3139.00,97.44
3138.00,97.44
3137.00,97.45
3136.00,97.47
3135.00,97.49
3134.00,97.51
3133.00,97.53
3132.00,97.55
3131.00,97.56
3130.00,97.57
3129.00,97.57
3128.00,97.57
3127.00,97.57
3126.00,97.59
3125.00,97.62
3124.00,97.65
3123.00,97.67
3122.00,97.68
3121.00,97.68
3120.00,97.68
3119.00,97.68
3118.00,97.68
3117.00,97.68
3116.00,97.69
3115.00,97.69
3114.00,97.70
3113.00,97.71
3112.00,97.74
3111.00,97.76
3110.00,97.76
3109.00,97.75
3108.00,97.73
3107.00,97.71
3106.00,97.70
3105.00,97.69
3104.00,97.70
3103.00,97.71
3102.00,97.71
3101.00,97.71
3100.00,97.71
3099.00,97.70
3098.00,97.70
3097.00,97.69
3096.00,97.69
3095.00,97.69
3094.00,97.68
3093.00,97.68
3092.00,97.67
3091.00,97.67
3090.00,97.66
3089.00,97.66
3088.00,97.65
3087.00,97.64
3086.00,97.63
3085.00,97.63
3084.00,97.64
3083.00,97.65
3082.00,97.65
3081.00,97.66
3080.00,97.65
3079.00,97.65
3078.00,97.65
3077.00,97.64
3076.00,97.63
3075.00,97.62
3074.00,97.61
3073.00,97.60
3072.00,97.60
3071.00,97.61
3070.00,97.63
3069.00,97.64
3068.00,97.65
3067.00,97.64
3066.00,97.63
3065.00,97.63
3064.00,97.63
3063.00,97.63
3062.00,97.64
3061.00,97.65
3060.00,97.66
3059.00,97.68
3058.00,97.70
3057.00,97.72
3056.00,97.73
3055.00,97.73
3054.00,97.73
3053.00,97.74
3052.00,97.75
3051.00,97.76
3050.00,97.77
3049.00,97.79
3048.00,97.80
3047.00,97.81
3046.00,97.83
3045.00,97.84
3044.00,97.86
3043.00,97.88
3042.00,97.90
3041.00,97.92
3040.00,97.94
3039.00,97.96
3038.00,97.99
3037.00,98.02
3036.00,98.04
3035.00,98.06
3034.00,98.07
3033.00,98.07
3032.00,98.06
3031.00,98.05
3030.00,98.05
3029.00,98.05
3028.00,98.06
3027.00,98.08
3026.00,98.10
3025.00,98.12
3024.00,98.15
3023.00,98.19
3022.00,98.22
3021.00,98.25
3020.00,98.27
3019.00,98.28
3018.00,98.27
3017.00,98.27
3016.00,98.27
3015.00,98.28
3014.00,98.30
3013.00,98.32
3012.00,98.34
3011.00,98.34
3010.00,98.34
3009.00,98.34
3008.00,98.35
3007.00,98.36
3006.00,98.39
3005.00,98.41
3004.00,98.42
3003.00,98.42
3002.00,98.41
3001.00,98.40
3000.00,98.39
2999.00,98.37
2998.00,98.36
2997.00,98.35
2996.00,98.35
2995.00,98.34
2994.00,98.33
2993.00,98.32
2992.00,98.32
2991.00,98.30
2990.00,98.27
2989.00,98.23
2988.00,98.20
2987.00,98.17
2986.00,98.15
2985.00,98.13
2984.00,98.11
2983.00,98.10
2982.00,98.08
2981.00,98.05
2980.00,98.02
2979.00,97.99
2978.00,97.95
2977.00,97.92
2976.00,97.89
2975.00,97.86
2974.00,97.84
2973.00,97.81
2972.00,97.79
2971.00,97.77
2970.00,97.75
2969.00,97.73
2968.00,97.71
2967.00,97.68
2966.00,97.66
2965.00,97.64
2964.00,97.63
2963.00,97.62
2962.00,97.61
2961.00,97.60
2960.00,97.59
2959.00,97.59
2958.00,97.61
2957.00,97.63
2956.00,97.64
2955.00,97.65
2954.00,97.66
2953.00,97.69
2952.00,97.72
2951.00,97.75
2950.00,97.75
2949.00,97.75
2948.00,97.73
2947.00,97.72
2946.00,97.72
2945.00,97.72
2944.00,97.72
2943.00,97.71
2942.00,97.70
2941.00,97.66
2940.00,97.62
2939.00,97.59
2938.00,97.58
2937.00,97.58
2936.00,97.59
2935.00,97.58
2934.00,97.57
2933.00,97.56
2932.00,97.55
2931.00,97.54
2930.00,97.54
2929.00,97.54
2928.00,97.54
2927.00,97.55
2926.00,97.56
2925.00,97.56
2924.00,97.56
2923.00,97.56
2922.00,97.57
2921.00,97.59
2920.00,97.64
2919.00,97.68
2918.00,97.72
2917.00,97.76
2916.00,97.80
2915.00,97.83
2914.00,97.87
2913.00,97.90
2912.00,97.92
2911.00,97.95
2910.00,97.98
2909.00,98.02
2908.00,98.06
2907.00,98.10
2906.00,98.14
2905.00,98.17
2904.00,98.18
2903.00,98.19
2902.00,98.20
2901.00,98.22
2900.00,98.25
2899.00,98.27
2898.00,98.30
2897.00,98.32
2896.00,98.33
2895.00,98.35
2894.00,98.36
2893.00,98.37
2892.00,98.37
2891.00,98.36
2890.00,98.35
2889.00,98.33
2888.00,98.33
2887.00,98.34
2886.00,98.36
2885.00,98.39
2884.00,98.41
2883.00,98.41
2882.00,98.41
2881.00,98.40
2880.00,98.38
2879.00,98.36
2878.00,98.34
2877.00,98.33
2876.00,98.33
2875.00,98.34
2874.00,98.35
2873.00,98.36
2872.00,98.36
2871.00,98.38
2870.00,98.41
2869.00,98.43
2868.00,98.45
2867.00,98.47
2866.00,98.48
2865.00,98.51
2864.00,98.54
2863.00,98.58
2862.00,98.60
2861.00,98.62
2860.00,98.62
2859.00,98.62
2858.00,98.63
2857.00,98.65
2856.00,98.65
2855.00,98.65
2854.00,98.65
2853.00,98.65
2852.00,98.66
2851.00,98.68
2850.00,98.71
2849.00,98.74
2848.00,98.76
2847.00,98.79
2846.00,98.82
2845.00,98.85
2844.00,98.89
2843.00,98.93
2842.00,98.96
2841.00,98.98
2840.00,99.00
2839.00,99.01
2838.00,99.03
2837.00,99.04
2836.00,99.07
2835.00,99.09
2834.00,99.10
2833.00,99.12
2832.00,99.14
2831.00,99.17
2830.00,99.20
2829.00,99.22
2828.00,99.22
2827.00,99.22
2826.00,99.21
2825.00,99.21
2824.00,99.22
2823.00,99.22
2822.00,99.23
2821.00,99.23
2820.00,99.24
2819.00,99.25
2818.00,99.27
2817.00,99.28
2816.00,99.28
2815.00,99.28
2814.00,99.28
2813.00,99.27
2812.00,99.27
2811.00,99.27
2810.00,99.28
2809.00,99.29
2808.00,99.30
2807.00,99.32
2806.00,99.34
2805.00,99.35
2804.00,99.36
2803.00,99.36
2802.00,99.36
2801.00,99.36
2800.00,99.37
2799.00,99.37
2798.00,99.38
2797.00,99.38
2796.00,99.38
2795.00,99.39
2794.00,99.39
2793.00,99.39
2792.00,99.39
2791.00,99.41
2790.00,99.42
2789.00,99.44
2788.00,99.44
2787.00,99.45
2786.00,99.45
2785.00,99.46
2784.00,99.47
2783.00,99.47
2782.00,99.48
2781.00,99.47
2780.00,99.47
2779.00,99.47
2778.00,99.47
2777.00,99.47
2776.00,99.46
2775.00,99.46
2774.00,99.46
2773.00,99.46
2772.00,99.48
2771.00,99.51
2770.00,99.54
2769.00,99.55
2768.00,99.55
2767.00,99.55
2766.00,99.55
2765.00,99.56
2764.00,99.57
2763.00,99.58
2762.00,99.59
2761.00,99.61
2760.00,99.62
2759.00,99.62
2758.00,99.62
2757.00,99.62
2756.00,99.62
2755.00,99.63
2754.00,99.64
2753.00,99.65
2752.00,99.65
2751.00,99.64
2750.00,99.64
2749.00,99.64
2748.00,99.64
2747.00,99.64
2746.00,99.65
2745.00,99.66
2744.00,99.67
2743.00,99.67
2742.00,99.67
2741.00,99.67
2740.00,99.67
2739.00,99.68
2738.00,99.68
2737.00,99.69
2736.00,99.70
2735.00,99.71
2734.00,99.72
2733.00,99.72
2732.00,99.72
2731.00,99.73
2730.00,99.73
2729.00,99.73
2728.00,99.73
2727.00,99.73
2726.00,99.73
2725.00,99.73
2724.00,99.75
2723.00,99.76
2722.00,99.78
2721.00,99.79
2720.00,99.80
2719.00,99.79
2718.00,99.77
2717.00,99.77
2716.00,99.78
2715.00,99.79
2714.00,99.80
2713.00,99.80
2712.00,99.80
2711.00,99.80
2710.00,99.80
2709.00,99.80
2708.00,99.79
2707.00,99.79
2706.00,99.80
2705.00,99.82
2704.00,99.83
2703.00,99.83
2702.00,99.82
2701.00,99.81
2700.00,99.81
2699.00,99.81
2698.00,99.82
2697.00,99.83
2696.00,99.85
2695.00,99.86
2694.00,99.88
2693.00,99.89
2692.00,99.90
2691.00,99.91
2690.00,99.91
2689.00,99.91
2688.00,99.90
2687.00,99.88
2686.00,99.86
2685.00,99.85
2684.00,99.85
2683.00,99.87
2682.00,99.88
2681.00,99.90
2680.00,99.92
2679.00,99.94
2678.00,99.94
2677.00,99.93
2676.00,99.90
2675.00,99.89
2674.00,99.89
2673.00,99.90
2672.00,99.92
2671.00,99.92
2670.00,99.92
2669.00,99.92
2668.00,99.94
2667.00,99.95
2666.00,99.96
2665.00,99.97
2664.00,99.97
2663.00,99.96
2662.00,99.95
2661.00,99.94
2660.00,99.94
2659.00,99.93
2658.00,99.92
2657.00,99.91
2656.00,99.92
2655.00,99.93
2654.00,99.94
2653.00,99.95
2652.00,99.96
2651.00,99.96
2650.00,99.96
2649.00,99.96
2648.00,99.95
2647.00,99.93
2646.00,99.91
2645.00,99.91
2644.00,99.90
2643.00,99.91
2642.00,99.91
2641.00,99.92
2640.00,99.93
2639.00,99.93
2638.00,99.93
2637.00,99.92
2636.00,99.91
2635.00,99.91
2634.00,99.90
2633.00,99.90
2632.00,99.91
2631.00,99.92
2630.00,99.91
2629.00,99.89
2628.00,99.89
2627.00,99.89
2626.00,99.90
2625.00,99.89
2624.00,99.88
2623.00,99.86
2622.00,99.85
2621.00,99.84
2620.00,99.85
2619.00,99.86
2618.00,99.88
2617.00,99.89
2616.00,99.88
2615.00,99.87
2614.00,99.85
2613.00,99.84
2612.00,99.85
2611.00,99.88
2610.00,99.90
2609.00,99.90
2608.00,99.88
2607.00,99.86
2606.00,99.85
2605.00,99.87
2604.00,99.89
2603.00,99.91
2602.00,99.91
2601.00,99.91
2600.00,99.90
2599.00,99.90
2598.00,99.91
2597.00,99.91
2596.00,99.90
2595.00,99.87
2594.00,99.84
2593.00,99.83
2592.00,99.82
2591.00,99.83
2590.00,99.84
2589.00,99.85
2588.00,99.86
2587.00,99.89
2586.00,99.91
2585.00,99.91
2584.00,99.91
2583.00,99.89
2582.00,99.88
2581.00,99.87
2580.00,99.86
2579.00,99.85
2578.00,99.86
2577.00,99.88
2576.00,99.90
2575.00,99.92
2574.00,99.92
2573.00,99.92
2572.00,99.92
2571.00,99.92
2570.00,99.93
2569.00,99.92
2568.00,99.92
2567.00,99.91
2566.00,99.91
2565.00,99.92
2564.00,99.91
2563.00,99.90
2562.00,99.88
2561.00,99.87
2560.00,99.87
2559.00,99.88
2558.00,99.90
2557.00,99.91
2556.00,99.91
2555.00,99.90
2554.00,99.89
2553.00,99.87
2552.00,99.86
2551.00,99.87
2550.00,99.88
2549.00,99.90
2548.00,99.91
2547.00,99.92
2546.00,99.93
2545.00,99.94
2544.00,99.95
2543.00,99.95
2542.00,99.93
2541.00,99.92
2540.00,99.92
2539.00,99.94
2538.00,99.94
2537.00,99.93
2536.00,99.90
2535.00,99.87
2534.00,99.86
2533.00,99.87
2532.00,99.89
2531.00,99.91
2530.00,99.93
2529.00,99.95
2528.00,99.96
2527.00,99.96
2526.00,99.94
2525.00,99.92
2524.00,99.91
2523.00,99.91
2522.00,99.91
2521.00,99.92
2520.00,99.94
2519.00,99.95
2518.00,99.96
2517.00,99.97
2516.00,99.98
2515.00,99.98
2514.00,99.99
2513.00,99.99
2512.00,99.97
2511.00,99.95
2510.00,99.92
2509.00,99.90
2508.00,99.90
2507.00,99.91
2506.00,99.93
2505.00,99.96
2504.00,99.98
2503.00,99.99
2502.00,100.00
2501.00,100.00
2500.00,100.00
2499.00,99.98
2498.00,99.97
2497.00,99.95
2496.00,99.95
2495.00,99.95
2494.00,99.95
2493.00,99.95
2492.00,99.96
2491.00,99.98
2490.00,99.99
2489.00,100.00
2488.00,100.00
2487.00,100.02
2486.00,100.03
2485.00,100.03
2484.00,100.02
2483.00,100.02
2482.00,100.02
2481.00,100.03
2480.00,100.04
2479.00,100.05
2478.00,100.03
2477.00,100.01
2476.00,99.99
2475.00,99.99
2474.00,100.01
2473.00,100.02
2472.00,100.03
2471.00,100.03
2470.00,100.04
2469.00,100.05
2468.00,100.05
2467.00,100.03
2466.00,100.01
2465.00,99.99
2464.00,99.99
2463.00,100.00
