Created as New Dataset,16.2 Bombyx mori
cm-1,%T
3208.00,89.93
3207.00,89.98
3206.00,90.02
3205.00,90.05
3204.00,90.08
3203.00,90.13
3202.00,90.19
3201.00,90.25
3200.00,90.30
3199.00,90.34
3198.00,90.38
3197.00,90.41
3196.00,90.45
3195.00,90.47
3194.00,90.50
3193.00,90.55
3192.00,90.60
3191.00,90.67
3190.00,90.74
3189.00,90.79
3188.00,90.84
3187.00,90.88
3186.00,90.92
3185.00,90.95
3184.00,90.99
3183.00,91.03
3182.00,91.06
3181.00,91.09
3180.00,91.12
3179.00,91.16
3178.00,91.20
3177.00,91.24
3176.00,91.28
3175.00,91.32
3174.00,91.36
3173.00,91.41
3172.00,91.47
3171.00,91.53
3170.00,91.58
3169.00,91.61
3168.00,91.64
3167.00,91.66
3166.00,91.67
3165.00,91.68
3164.00,91.70
3163.00,91.74
3162.00,91.79
3161.00,91.85
3160.00,91.89
3159.00,91.94
3158.00,91.98
3157.00,92.02
3156.00,92.06
3155.00,92.10
3154.00,92.15
3153.00,92.18
3152.00,92.21
3151.00,92.23
3150.00,92.24
3149.00,92.25
3148.00,92.25
3147.00,92.26
3146.00,92.28
3145.00,92.30
3144.00,92.32
3143.00,92.35
3142.00,92.37
3141.00,92.40
3140.00,92.43
3139.00,92.47
3138.00,92.50
3137.00,92.53
3136.00,92.55
3135.00,92.57
3134.00,92.57
3133.00,92.57
3132.00,92.58
3131.00,92.60
3130.00,92.62
3129.00,92.64
3128.00,92.65
3127.00,92.65
3126.00,92.65
3125.00,92.64
3124.00,92.64
3123.00,92.65
3122.00,92.66
3121.00,92.65
3120.00,92.65
3119.00,92.65
3118.00,92.66
3117.00,92.67
3116.00,92.68
3115.00,92.68
3114.00,92.67
3113.00,92.65
3112.00,92.63
3111.00,92.63
3110.00,92.63
3109.00,92.63
3108.00,92.63
3107.00,92.64
3106.00,92.64
3105.00,92.63
3104.00,92.61
3103.00,92.57
3102.00,92.55
3101.00,92.53
3100.00,92.52
3099.00,92.52
3098.00,92.52
3097.00,92.51
3096.00,92.50
3095.00,92.49
3094.00,92.48
3093.00,92.47
3092.00,92.46
3091.00,92.45
3090.00,92.44
3089.00,92.42
3088.00,92.40
3087.00,92.39
3086.00,92.39
3085.00,92.39
3084.00,92.39
3083.00,92.39
3082.00,92.40
3081.00,92.39
3080.00,92.37
3079.00,92.35
3078.00,92.35
3077.00,92.35
3076.00,92.35
3075.00,92.35
3074.00,92.34
3073.00,92.33
3072.00,92.33
3071.00,92.33
3070.00,92.34
3069.00,92.35
3068.00,92.35
3067.00,92.36
3066.00,92.37
3065.00,92.38
3064.00,92.40
3063.00,92.43
3062.00,92.46
3061.00,92.49
3060.00,92.51
3059.00,92.53
3058.00,92.54
3057.00,92.56
3056.00,92.57
3055.00,92.60
3054.00,92.62
3053.00,92.65
3052.00,92.68
3051.00,92.71
3050.00,92.75
3049.00,92.79
3048.00,92.83
3047.00,92.87
3046.00,92.90
3045.00,92.94
3044.00,92.97
3043.00,93.00
3042.00,93.02
3041.00,93.05
3040.00,93.06
3039.00,93.08
3038.00,93.11
3037.00,93.15
3036.00,93.19
3035.00,93.22
3034.00,93.24
3033.00,93.26
3032.00,93.29
3031.00,93.31
3030.00,93.32
3029.00,93.33
3028.00,93.34
3027.00,93.36
3026.00,93.40
3025.00,93.44
3024.00,93.47
3023.00,93.49
3022.00,93.52
3021.00,93.55
3020.00,93.57
3019.00,93.59
3018.00,93.59
3017.00,93.60
3016.00,93.61
3015.00,93.63
3014.00,93.65
3013.00,93.66
3012.00,93.66
3011.00,93.65
3010.00,93.65
3009.00,93.64
3008.00,93.64
3007.00,93.65
3006.00,93.65
3005.00,93.64
3004.00,93.62
3003.00,93.61
3002.00,93.60
3001.00,93.60
3000.00,93.60
2999.00,93.60
2998.00,93.58
2997.00,93.57
2996.00,93.56
2995.00,93.54
2994.00,93.51
2993.00,93.48
2992.00,93.46
2991.00,93.44
2990.00,93.41
2989.00,93.37
2988.00,93.34
2987.00,93.31
2986.00,93.30
2985.00,93.28
2984.00,93.25
2983.00,93.22
2982.00,93.21
2981.00,93.20
2980.00,93.20
2979.00,93.20
2978.00,93.20
2977.00,93.19
2976.00,93.19
2975.00,93.17
2974.00,93.16
2973.00,93.14
2972.00,93.12
2971.00,93.11
2970.00,93.09
2969.00,93.08
2968.00,93.07
2967.00,93.06
2966.00,93.07
2965.00,93.09
2964.00,93.11
2963.00,93.13
2962.00,93.14
2961.00,93.15
2960.00,93.16
2959.00,93.16
2958.00,93.15
2957.00,93.14
2956.00,93.13
2955.00,93.15
2954.00,93.17
2953.00,93.18
2952.00,93.18
2951.00,93.16
2950.00,93.15
2949.00,93.13
2948.00,93.11
2947.00,93.07
2946.00,93.03
2945.00,92.98
2944.00,92.95
2943.00,92.93
2942.00,92.91
2941.00,92.88
2940.00,92.83
2939.00,92.77
2938.00,92.71
2937.00,92.65
2936.00,92.60
2935.00,92.55
2934.00,92.51
2933.00,92.46
2932.00,92.42
2931.00,92.40
2930.00,92.39
2929.00,92.38
2928.00,92.36
2927.00,92.33
2926.00,92.29
2925.00,92.25
2924.00,92.23
2923.00,92.20
2922.00,92.17
2921.00,92.15
2920.00,92.14
2919.00,92.16
2918.00,92.20
2917.00,92.27
2916.00,92.36
2915.00,92.45
2914.00,92.56
2913.00,92.66
2912.00,92.78
2911.00,92.89
2910.00,92.99
2909.00,93.07
2908.00,93.11
2907.00,93.14
2906.00,93.17
2905.00,93.20
2904.00,93.24
2903.00,93.28
2902.00,93.33
2901.00,93.37
2900.00,93.41
2899.00,93.45
2898.00,93.50
2897.00,93.54
2896.00,93.58
2895.00,93.60
2894.00,93.62
2893.00,93.63
2892.00,93.64
2891.00,93.65
2890.00,93.65
2889.00,93.65
2888.00,93.65
2887.00,93.66
2886.00,93.66
2885.00,93.68
2884.00,93.69
2883.00,93.71
2882.00,93.72
2881.00,93.71
2880.00,93.69
2879.00,93.67
2878.00,93.67
2877.00,93.67
2876.00,93.66
2875.00,93.64
2874.00,93.62
2873.00,93.61
2872.00,93.63
2871.00,93.66
2870.00,93.70
2869.00,93.74
2868.00,93.76
2867.00,93.79
2866.00,93.80
2865.00,93.82
2864.00,93.83
2863.00,93.84
2862.00,93.84
2861.00,93.84
2860.00,93.83
2859.00,93.81
2858.00,93.78
2857.00,93.73
2856.00,93.68
2855.00,93.63
2854.00,93.60
2853.00,93.56
2852.00,93.52
2851.00,93.49
2850.00,93.50
2849.00,93.55
2848.00,93.63
2847.00,93.74
2846.00,93.85
2845.00,93.96
2844.00,94.06
2843.00,94.13
2842.00,94.19
2841.00,94.23
2840.00,94.26
2839.00,94.30
2838.00,94.34
2837.00,94.38
2836.00,94.42
2835.00,94.46
2834.00,94.48
2833.00,94.50
2832.00,94.51
2831.00,94.52
2830.00,94.53
2829.00,94.55
2828.00,94.56
2827.00,94.56
2826.00,94.55
2825.00,94.55
2824.00,94.56
2823.00,94.57
2822.00,94.59
2821.00,94.60
2820.00,94.62
2819.00,94.63
2818.00,94.64
2817.00,94.66
2816.00,94.67
2815.00,94.68
2814.00,94.69
2813.00,94.69
2812.00,94.69
2811.00,94.68
2810.00,94.67
2809.00,94.67
2808.00,94.67
2807.00,94.67
2806.00,94.69
2805.00,94.71
2804.00,94.72
2803.00,94.73
2802.00,94.72
2801.00,94.71
2800.00,94.71
2799.00,94.72
2798.00,94.73
2797.00,94.74
2796.00,94.76
2795.00,94.77
2794.00,94.79
2793.00,94.81
2792.00,94.82
2791.00,94.83
2790.00,94.83
2789.00,94.83
2788.00,94.84
2787.00,94.84
2786.00,94.84
2785.00,94.84
2784.00,94.84
2783.00,94.85
2782.00,94.86
2781.00,94.87
2780.00,94.88
2779.00,94.88
2778.00,94.88
2777.00,94.89
2776.00,94.90
2775.00,94.91
2774.00,94.93
2773.00,94.95
2772.00,94.97
2771.00,94.99
2770.00,95.00
2769.00,95.00
2768.00,95.01
2767.00,95.02
2766.00,95.02
2765.00,95.01
2764.00,95.01
2763.00,95.02
2762.00,95.02
2761.00,95.03
2760.00,95.03
2759.00,95.04
2758.00,95.04
2757.00,95.04
2756.00,95.04
2755.00,95.05
2754.00,95.06
2753.00,95.07
2752.00,95.07
2751.00,95.07
2750.00,95.07
2749.00,95.08
2748.00,95.10
2747.00,95.11
2746.00,95.11
2745.00,95.11
2744.00,95.11
2743.00,95.11
2742.00,95.11
2741.00,95.13
2740.00,95.14
2739.00,95.16
2738.00,95.16
2737.00,95.16
2736.00,95.16
2735.00,95.15
2734.00,95.15
2733.00,95.15
2732.00,95.16
2731.00,95.17
2730.00,95.18
2729.00,95.19
2728.00,95.20
2727.00,95.20
2726.00,95.21
2725.00,95.21
2724.00,95.23
2723.00,95.25
2722.00,95.26
2721.00,95.26
2720.00,95.26
2719.00,95.26
2718.00,95.27
2717.00,95.28
2716.00,95.28
2715.00,95.29
2714.00,95.31
2713.00,95.33
2712.00,95.35
2711.00,95.36
2710.00,95.37
2709.00,95.37
2708.00,95.38
2707.00,95.39
2706.00,95.39
2705.00,95.39
2704.00,95.40
2703.00,95.40
2702.00,95.39
2701.00,95.39
2700.00,95.38
2699.00,95.38
2698.00,95.38
2697.00,95.37
2696.00,95.36
2695.00,95.35
2694.00,95.35
2693.00,95.36
2692.00,95.37
2691.00,95.39
2690.00,95.40
2689.00,95.41
2688.00,95.42
2687.00,95.43
2686.00,95.43
2685.00,95.43
2684.00,95.44
2683.00,95.44
2682.00,95.44
2681.00,95.44
2680.00,95.44
2679.00,95.44
2678.00,95.44
2677.00,95.44
2676.00,95.44
2675.00,95.44
2674.00,95.45
2673.00,95.46
2672.00,95.48
2671.00,95.50
2670.00,95.51
2669.00,95.51
