Created as New Dataset,103. Du Pont (Red thread)
cm-1,%T
2925.00,82.69
2924.00,82.46
2923.00,82.28
2922.00,82.16
2921.00,82.09
2920.00,82.08
2919.00,82.12
2918.00,82.21
2917.00,82.36
2916.00,82.56
2915.00,82.82
2914.00,83.13
2913.00,83.49
2912.00,83.86
2911.00,84.23
2910.00,84.59
2909.00,84.92
2908.00,85.24
2907.00,85.54
2906.00,85.83
2905.00,86.10
2904.00,86.35
2903.00,86.57
2902.00,86.78
2901.00,86.98
2900.00,87.17
2899.00,87.36
2898.00,87.55
2897.00,87.75
2896.00,87.95
2895.00,88.17
2894.00,88.39
2893.00,88.62
2892.00,88.85
2891.00,89.09
2890.00,89.33
2889.00,89.58
2888.00,89.83
2887.00,90.09
2886.00,90.35
2885.00,90.62
2884.00,90.88
2883.00,91.14
2882.00,91.38
2881.00,91.60
2880.00,91.80
2879.00,91.98
2878.00,92.13
2877.00,92.26
2876.00,92.36
2875.00,92.42
2874.00,92.45
2873.00,92.46
2872.00,92.43
2871.00,92.38
2870.00,92.28
2869.00,92.13
2868.00,91.94
2867.00,91.71
2866.00,91.43
2865.00,91.11
2864.00,90.74
2863.00,90.32
2862.00,89.87
2861.00,89.40
2860.00,88.92
2859.00,88.45
2858.00,87.98
2857.00,87.53
2856.00,87.10
2855.00,86.69
2854.00,86.32
2853.00,86.01
2852.00,85.81
2851.00,85.71
2850.00,85.73
2849.00,85.87
2848.00,86.10
2847.00,86.43
2846.00,86.82
2845.00,87.26
2844.00,87.76
2843.00,88.29
2842.00,88.85
2841.00,89.42
2840.00,89.99
2839.00,90.54
2838.00,91.06
2837.00,91.53
2836.00,91.96
2835.00,92.36
2834.00,92.72
2833.00,93.05
2832.00,93.37
2831.00,93.68
2830.00,93.98
2829.00,94.25
2828.00,94.49
2827.00,94.70
2826.00,94.88
2825.00,95.03
2824.00,95.17
2823.00,95.29
2822.00,95.39
2821.00,95.48
2820.00,95.56
2819.00,95.63
2818.00,95.69
2817.00,95.75
2816.00,95.81
2815.00,95.87
2814.00,95.93
2813.00,95.99
2812.00,96.04
2811.00,96.09
2810.00,96.13
2809.00,96.16
2808.00,96.19
2807.00,96.22
2806.00,96.25
2805.00,96.28
2804.00,96.31
2803.00,96.34
2802.00,96.37
2801.00,96.40
2800.00,96.44
2799.00,96.47
2798.00,96.52
2797.00,96.56
2796.00,96.60
2795.00,96.62
2794.00,96.64
2793.00,96.66
