Created as New Dataset,65. Modacrylic Toray
cm-1,%T
3054.00,94.84
3053.00,94.84
3052.00,94.85
3051.00,94.87
3050.00,94.87
3049.00,94.87
3048.00,94.87
3047.00,94.87
3046.00,94.87
3045.00,94.86
3044.00,94.84
3043.00,94.82
3042.00,94.81
3041.00,94.80
3040.00,94.80
3039.00,94.79
3038.00,94.79
3037.00,94.78
3036.00,94.76
3035.00,94.75
3034.00,94.74
3033.00,94.74
3032.00,94.75
3031.00,94.76
3030.00,94.77
3029.00,94.77
3028.00,94.76
3027.00,94.75
3026.00,94.75
3025.00,94.75
3024.00,94.74
3023.00,94.73
3022.00,94.73
3021.00,94.73
3020.00,94.74
3019.00,94.75
3018.00,94.75
3017.00,94.73
3016.00,94.70
3015.00,94.66
3014.00,94.63
3013.00,94.62
3012.00,94.62
3011.00,94.61
3010.00,94.60
3009.00,94.58
3008.00,94.57
3007.00,94.55
3006.00,94.54
3005.00,94.54
3004.00,94.55
3003.00,94.55
3002.00,94.53
3001.00,94.50
3000.00,94.46
2999.00,94.42
2998.00,94.38
2997.00,94.35
2996.00,94.32
2995.00,94.31
2994.00,94.30
2993.00,94.29
2992.00,94.28
2991.00,94.25
2990.00,94.22
2989.00,94.19
2988.00,94.18
2987.00,94.16
2986.00,94.14
2985.00,94.11
2984.00,94.08
2983.00,94.05
2982.00,94.01
2981.00,93.99
2980.00,93.97
2979.00,93.95
2978.00,93.93
2977.00,93.91
2976.00,93.89
2975.00,93.86
2974.00,93.84
2973.00,93.83
2972.00,93.83
2971.00,93.81
2970.00,93.78
2969.00,93.75
2968.00,93.71
2967.00,93.68
2966.00,93.66
2965.00,93.64
2964.00,93.61
2963.00,93.58
2962.00,93.55
2961.00,93.51
2960.00,93.47
2959.00,93.42
2958.00,93.38
2957.00,93.35
2956.00,93.31
2955.00,93.29
2954.00,93.28
2953.00,93.26
2952.00,93.24
2951.00,93.21
2950.00,93.17
2949.00,93.13
2948.00,93.09
2947.00,93.03
2946.00,92.97
2945.00,92.91
2944.00,92.85
2943.00,92.80
2942.00,92.75
2941.00,92.71
2940.00,92.67
2939.00,92.63
2938.00,92.58
2937.00,92.54
2936.00,92.50
2935.00,92.46
2934.00,92.43
2933.00,92.40
2932.00,92.39
2931.00,92.38
2930.00,92.37
2929.00,92.36
2928.00,92.34
2927.00,92.32
2926.00,92.31
2925.00,92.30
2924.00,92.31
2923.00,92.34
2922.00,92.40
2921.00,92.46
2920.00,92.54
2919.00,92.63
2918.00,92.71
2917.00,92.80
2916.00,92.87
2915.00,92.95
2914.00,93.02
2913.00,93.11
2912.00,93.20
2911.00,93.28
2910.00,93.35
2909.00,93.41
2908.00,93.46
2907.00,93.50
2906.00,93.54
2905.00,93.57
2904.00,93.62
2903.00,93.67
2902.00,93.72
2901.00,93.76
2900.00,93.79
2899.00,93.80
2898.00,93.82
2897.00,93.83
2896.00,93.84
2895.00,93.86
2894.00,93.88
2893.00,93.91
2892.00,93.93
2891.00,93.96
2890.00,93.99
2889.00,94.02
2888.00,94.03
2887.00,94.04
2886.00,94.03
2885.00,94.02
2884.00,94.02
2883.00,94.01
2882.00,94.00
2881.00,93.99
2880.00,93.98
2879.00,93.98
2878.00,93.98
2877.00,93.99
2876.00,93.99
2875.00,93.97
2874.00,93.96
2873.00,93.96
2872.00,93.96
2871.00,93.97
2870.00,93.97
2869.00,93.97
2868.00,93.97
2867.00,93.97
2866.00,93.98
2865.00,93.99
2864.00,93.99
2863.00,94.00
2862.00,93.99
2861.00,93.98
2860.00,93.97
2859.00,93.97
2858.00,93.97
2857.00,93.99
2856.00,94.01
2855.00,94.03
2854.00,94.06
2853.00,94.09
2852.00,94.14
2851.00,94.19
2850.00,94.23
2849.00,94.27
2848.00,94.32
2847.00,94.37
2846.00,94.44
2845.00,94.50
2844.00,94.55
2843.00,94.60
2842.00,94.65
2841.00,94.69
2840.00,94.72
2839.00,94.75
2838.00,94.77
2837.00,94.79
2836.00,94.80
2835.00,94.80
2834.00,94.81
2833.00,94.83
2832.00,94.85
2831.00,94.88
2830.00,94.90
2829.00,94.92
2828.00,94.93
2827.00,94.94
2826.00,94.94
2825.00,94.94
2824.00,94.94
2823.00,94.95
2822.00,94.95
2821.00,94.94
2820.00,94.94
2819.00,94.93
2818.00,94.93
2817.00,94.93
2816.00,94.95
2815.00,94.96
2814.00,94.98
2813.00,94.99
2812.00,95.00
2811.00,95.01
2810.00,95.02
2809.00,95.04
2808.00,95.04
2807.00,95.03
2806.00,95.01
2805.00,95.00
2804.00,95.00
2803.00,95.00
2802.00,95.01
2801.00,95.03
2800.00,95.05
2799.00,95.07
2798.00,95.08
2797.00,95.09
2796.00,95.09
2795.00,95.09
2794.00,95.09
2793.00,95.09
2792.00,95.08
2791.00,95.08
2790.00,95.09
2789.00,95.10
2788.00,95.12
2787.00,95.14
2786.00,95.15
2785.00,95.14
2784.00,95.14
2783.00,95.14
2782.00,95.14
2781.00,95.14
2780.00,95.14
2779.00,95.15
2778.00,95.16
2777.00,95.16
2776.00,95.17
2775.00,95.18
2774.00,95.19
2773.00,95.20
2772.00,95.20
2771.00,95.19
2770.00,95.18
2769.00,95.17
2768.00,95.17
2767.00,95.18
2766.00,95.19
2765.00,95.19
2764.00,95.20
2763.00,95.21
2762.00,95.21
2761.00,95.22
2760.00,95.21
2759.00,95.20
2758.00,95.19
2757.00,95.20
2756.00,95.21
2755.00,95.22
2754.00,95.22
2753.00,95.22
2752.00,95.20
2751.00,95.20
2750.00,95.20
2749.00,95.21
2748.00,95.22
2747.00,95.23
2746.00,95.22
2745.00,95.22
2744.00,95.20
2743.00,95.19
2742.00,95.19
2741.00,95.20
2740.00,95.23
2739.00,95.24
2738.00,95.24
2737.00,95.23
2736.00,95.22
2735.00,95.21
2734.00,95.22
2733.00,95.23
2732.00,95.24
2731.00,95.24
2730.00,95.24
2729.00,95.23
2728.00,95.23
2727.00,95.22
2726.00,95.21
2725.00,95.21
2724.00,95.21
2723.00,95.21
2722.00,95.22
2721.00,95.22
2720.00,95.23
2719.00,95.24
2718.00,95.25
2717.00,95.26
2716.00,95.26
2715.00,95.25
2714.00,95.25
2713.00,95.25
2712.00,95.25
2711.00,95.25
2710.00,95.25
2709.00,95.24
2708.00,95.24
2707.00,95.25
2706.00,95.26
2705.00,95.26
2704.00,95.26
2703.00,95.25
2702.00,95.25
2701.00,95.25
2700.00,95.25
2699.00,95.24
2698.00,95.22
2697.00,95.22
2696.00,95.22
2695.00,95.24
2694.00,95.25
2693.00,95.26
2692.00,95.26
2691.00,95.25
2690.00,95.24
2689.00,95.24
2688.00,95.24
2687.00,95.25
2686.00,95.27
2685.00,95.28
2684.00,95.28
2683.00,95.29
2682.00,95.29
2681.00,95.30
2680.00,95.30
2679.00,95.31
2678.00,95.31
2677.00,95.31
2676.00,95.30
2675.00,95.29
2674.00,95.28
2673.00,95.28
2672.00,95.29
2671.00,95.29
2670.00,95.30
2669.00,95.30
2668.00,95.29
2667.00,95.29
2666.00,95.28
2665.00,95.27
2664.00,95.26
2663.00,95.26
2662.00,95.25
2661.00,95.25
2660.00,95.25
2659.00,95.25
2658.00,95.24
2657.00,95.22
2656.00,95.21
2655.00,95.19
2654.00,95.18
2653.00,95.17
2652.00,95.16
2651.00,95.14
2650.00,95.12
2649.00,95.11
2648.00,95.10
2647.00,95.10
2646.00,95.11
2645.00,95.11
2644.00,95.11
2643.00,95.10
2642.00,95.08
2641.00,95.06
2640.00,95.04
2639.00,95.01
2638.00,94.99
2637.00,94.97
2636.00,94.96
2635.00,94.96
2634.00,94.96
2633.00,94.96
2632.00,94.96
2631.00,94.95
2630.00,94.94
2629.00,94.94
2628.00,94.93
2627.00,94.92
2626.00,94.91
2625.00,94.90
2624.00,94.89
2623.00,94.88
2622.00,94.87
2621.00,94.86
2620.00,94.86
2619.00,94.86
2618.00,94.85
2617.00,94.84
2616.00,94.83
2615.00,94.82
2614.00,94.81
2613.00,94.80
2612.00,94.80
2611.00,94.79
2610.00,94.79
2609.00,94.79
2608.00,94.79
2607.00,94.78
2606.00,94.77
2605.00,94.77
2604.00,94.78
2603.00,94.80
2602.00,94.81
2601.00,94.81
2600.00,94.80
2599.00,94.78
2598.00,94.76
2597.00,94.73
2596.00,94.71
2595.00,94.71
2594.00,94.70
2593.00,94.69
2592.00,94.68
2591.00,94.67
2590.00,94.67
2589.00,94.68
2588.00,94.69
2587.00,94.70
2586.00,94.69
2585.00,94.68
2584.00,94.66
2583.00,94.64
2582.00,94.62
2581.00,94.60
2580.00,94.57
2579.00,94.56
2578.00,94.55
2577.00,94.56
2576.00,94.57
2575.00,94.58
2574.00,94.59
2573.00,94.60
2572.00,94.59
2571.00,94.59
2570.00,94.59
2569.00,94.60
2568.00,94.61
2567.00,94.62
2566.00,94.62
2565.00,94.62
2564.00,94.63
2563.00,94.65
2562.00,94.66
2561.00,94.66
2560.00,94.64
2559.00,94.61
2558.00,94.59
2557.00,94.57
2556.00,94.56
2555.00,94.56
2554.00,94.56
2553.00,94.56
2552.00,94.56
2551.00,94.56
2550.00,94.57
2549.00,94.57
2548.00,94.56
2547.00,94.56
2546.00,94.56
2545.00,94.55
2544.00,94.54
2543.00,94.53
2542.00,94.54
2541.00,94.55
2540.00,94.55
2539.00,94.55
2538.00,94.53
2537.00,94.52
2536.00,94.52
2535.00,94.52
2534.00,94.53
2533.00,94.53
2532.00,94.53
2531.00,94.53
2530.00,94.52
2529.00,94.52
2528.00,94.53
2527.00,94.54
2526.00,94.54
2525.00,94.54
2524.00,94.54
2523.00,94.54
2522.00,94.54
2521.00,94.54
2520.00,94.54
2519.00,94.53
2518.00,94.53
2517.00,94.53
2516.00,94.54
2515.00,94.55
2514.00,94.56
2513.00,94.59
2512.00,94.60
2511.00,94.60
2510.00,94.60
2509.00,94.59
2508.00,94.58
2507.00,94.59
2506.00,94.59
2505.00,94.59
2504.00,94.59
2503.00,94.58
2502.00,94.58
2501.00,94.58
2500.00,94.58
2499.00,94.57
2498.00,94.56
2497.00,94.57
2496.00,94.58
2495.00,94.59
2494.00,94.60
2493.00,94.62
2492.00,94.63
2491.00,94.64
2490.00,94.64
2489.00,94.64
2488.00,94.62
2487.00,94.60
2486.00,94.58
2485.00,94.57
2484.00,94.58
2483.00,94.59
2482.00,94.59
2481.00,94.58
2480.00,94.55
2479.00,94.54
2478.00,94.55
2477.00,94.57
2476.00,94.59
2475.00,94.60
2474.00,94.60
2473.00,94.60
2472.00,94.61
2471.00,94.63
2470.00,94.65
2469.00,94.68
2468.00,94.69
2467.00,94.69
2466.00,94.68
2465.00,94.67
2464.00,94.67
2463.00,94.67
2462.00,94.67
2461.00,94.65
2460.00,94.62
2459.00,94.60
