Created as New Dataset,68 Waxman (Black)
cm-1,%T
3157.00,95.12
3156.00,95.11
3155.00,95.10
3154.00,95.09
3153.00,95.08
3152.00,95.09
3151.00,95.10
3150.00,95.12
3149.00,95.13
3148.00,95.13
3147.00,95.13
3146.00,95.13
3145.00,95.15
3144.00,95.17
3143.00,95.18
3142.00,95.18
3141.00,95.16
3140.00,95.14
3139.00,95.11
3138.00,95.09
3137.00,95.08
3136.00,95.08
3135.00,95.09
3134.00,95.11
3133.00,95.11
3132.00,95.12
3131.00,95.13
3130.00,95.14
3129.00,95.15
3128.00,95.15
3127.00,95.14
3126.00,95.14
3125.00,95.15
3124.00,95.15
3123.00,95.15
3122.00,95.14
3121.00,95.15
3120.00,95.16
3119.00,95.17
3118.00,95.18
3117.00,95.17
3116.00,95.16
3115.00,95.15
3114.00,95.13
3113.00,95.12
3112.00,95.12
3111.00,95.13
3110.00,95.13
3109.00,95.13
3108.00,95.12
3107.00,95.11
3106.00,95.11
3105.00,95.11
3104.00,95.12
3103.00,95.13
3102.00,95.14
3101.00,95.13
3100.00,95.12
3099.00,95.11
3098.00,95.11
3097.00,95.11
3096.00,95.10
3095.00,95.10
3094.00,95.10
3093.00,95.10
3092.00,95.11
3091.00,95.13
3090.00,95.14
3089.00,95.15
3088.00,95.15
3087.00,95.14
3086.00,95.14
3085.00,95.13
3084.00,95.13
3083.00,95.13
3082.00,95.12
3081.00,95.11
3080.00,95.11
3079.00,95.11
3078.00,95.12
3077.00,95.14
3076.00,95.15
3075.00,95.15
3074.00,95.15
3073.00,95.14
3072.00,95.13
3071.00,95.13
3070.00,95.13
3069.00,95.13
3068.00,95.14
3067.00,95.14
3066.00,95.15
3065.00,95.15
3064.00,95.16
3063.00,95.16
3062.00,95.15
3061.00,95.14
3060.00,95.11
3059.00,95.09
3058.00,95.07
3057.00,95.07
3056.00,95.06
3055.00,95.07
3054.00,95.08
3053.00,95.10
3052.00,95.11
3051.00,95.12
3050.00,95.12
3049.00,95.13
3048.00,95.14
3047.00,95.16
3046.00,95.16
3045.00,95.15
3044.00,95.14
3043.00,95.13
3042.00,95.12
3041.00,95.12
3040.00,95.13
3039.00,95.14
3038.00,95.14
3037.00,95.14
3036.00,95.13
3035.00,95.13
3034.00,95.14
3033.00,95.16
3032.00,95.16
3031.00,95.16
3030.00,95.15
3029.00,95.14
3028.00,95.12
3027.00,95.12
3026.00,95.12
3025.00,95.12
3024.00,95.12
3023.00,95.11
3022.00,95.11
3021.00,95.11
3020.00,95.11
3019.00,95.11
3018.00,95.11
3017.00,95.10
3016.00,95.09
3015.00,95.07
3014.00,95.05
3013.00,95.05
3012.00,95.06
3011.00,95.07
3010.00,95.08
3009.00,95.09
3008.00,95.10
3007.00,95.10
3006.00,95.10
3005.00,95.09
3004.00,95.08
3003.00,95.07
3002.00,95.06
3001.00,95.05
3000.00,95.04
2999.00,95.03
2998.00,95.03
2997.00,95.01
2996.00,95.00
2995.00,94.99
2994.00,94.99
2993.00,95.00
2992.00,95.01
2991.00,95.01
2990.00,94.99
2989.00,94.96
2988.00,94.94
2987.00,94.92
2986.00,94.91
2985.00,94.91
