Created as New Dataset,Puma stretch viscose (Pink)
cm-1,%T
2888.00,93.69
2887.00,93.71
2886.00,93.71
2885.00,93.72
2884.00,93.73
2883.00,93.74
2882.00,93.75
2881.00,93.76
2880.00,93.76
2879.00,93.77
2878.00,93.77
2877.00,93.78
2876.00,93.80
2875.00,93.82
2874.00,93.86
2873.00,93.90
2872.00,93.94
2871.00,93.98
2870.00,94.02
2869.00,94.05
2868.00,94.09
2867.00,94.13
2866.00,94.16
2865.00,94.18
2864.00,94.19
2863.00,94.21
2862.00,94.24
2861.00,94.26
2860.00,94.28
2859.00,94.30
2858.00,94.30
2857.00,94.30
2856.00,94.29
2855.00,94.28
2854.00,94.26
2853.00,94.24
2852.00,94.23
2851.00,94.24
2850.00,94.27
2849.00,94.33
2848.00,94.41
2847.00,94.51
2846.00,94.61
2845.00,94.70
2844.00,94.78
2843.00,94.85
2842.00,94.90
2841.00,94.95
2840.00,95.00
2839.00,95.05
2838.00,95.09
2837.00,95.13
2836.00,95.16
2835.00,95.20
2834.00,95.23
2833.00,95.26
2832.00,95.28
2831.00,95.29
2830.00,95.30
2829.00,95.30
2828.00,95.30
2827.00,95.31
2826.00,95.33
2825.00,95.36
2824.00,95.39
2823.00,95.42
2822.00,95.45
2821.00,95.48
2820.00,95.49
2819.00,95.50
2818.00,95.51
2817.00,95.52
2816.00,95.53
2815.00,95.53
2814.00,95.54
2813.00,95.54
2812.00,95.54
2811.00,95.54
2810.00,95.55
2809.00,95.57
2808.00,95.59
2807.00,95.61
2806.00,95.62
2805.00,95.62
2804.00,95.62
2803.00,95.62
2802.00,95.63
2801.00,95.64
2800.00,95.65
2799.00,95.67
2798.00,95.69
2797.00,95.71
2796.00,95.72
2795.00,95.73
2794.00,95.75
2793.00,95.75
2792.00,95.76
2791.00,95.77
2790.00,95.78
2789.00,95.79
2788.00,95.80
2787.00,95.81
2786.00,95.83
2785.00,95.84
2784.00,95.85
2783.00,95.85
2782.00,95.85
2781.00,95.86
2780.00,95.88
2779.00,95.90
2778.00,95.92
2777.00,95.93
2776.00,95.93
2775.00,95.92
2774.00,95.92
2773.00,95.91
2772.00,95.92
2771.00,95.92
2770.00,95.93
2769.00,95.95
2768.00,95.96
2767.00,95.97
2766.00,95.98
2765.00,95.98
2764.00,95.99
2763.00,96.01
2762.00,96.02
2761.00,96.03
2760.00,96.02
2759.00,96.01
2758.00,96.00
2757.00,96.00
2756.00,96.00
2755.00,96.01
2754.00,96.00
2753.00,96.00
2752.00,96.00
2751.00,96.01
2750.00,96.02
2749.00,96.03
2748.00,96.03
2747.00,96.02
2746.00,96.01
2745.00,96.01
2744.00,96.02
2743.00,96.03
2742.00,96.05
2741.00,96.05
2740.00,96.05
2739.00,96.05
2738.00,96.05
2737.00,96.06
2736.00,96.07
2735.00,96.08
2734.00,96.09
2733.00,96.09
2732.00,96.08
2731.00,96.08
2730.00,96.08
2729.00,96.08
2728.00,96.07
2727.00,96.07
2726.00,96.07
2725.00,96.08
2724.00,96.10
2723.00,96.12
2722.00,96.14
2721.00,96.14
2720.00,96.13
2719.00,96.13
2718.00,96.13
2717.00,96.13
2716.00,96.12
2715.00,96.12
2714.00,96.12
2713.00,96.12
2712.00,96.14
2711.00,96.15
2710.00,96.17
2709.00,96.18
2708.00,96.18
2707.00,96.18
2706.00,96.18
2705.00,96.18
2704.00,96.18
2703.00,96.18
2702.00,96.18
2701.00,96.18
2700.00,96.19
2699.00,96.20
2698.00,96.22
2697.00,96.24
2696.00,96.25
2695.00,96.26
2694.00,96.26
2693.00,96.26
2692.00,96.26
2691.00,96.27
2690.00,96.28
2689.00,96.29
2688.00,96.29
2687.00,96.29
2686.00,96.29
2685.00,96.30
2684.00,96.30
2683.00,96.31
2682.00,96.32
2681.00,96.31
2680.00,96.31
2679.00,96.30
2678.00,96.31
2677.00,96.31
2676.00,96.30
2675.00,96.30
2674.00,96.29
2673.00,96.30
2672.00,96.32
2671.00,96.34
2670.00,96.35
2669.00,96.35
2668.00,96.34
2667.00,96.34
2666.00,96.34
2665.00,96.34
2664.00,96.34
2663.00,96.34
2662.00,96.34
2661.00,96.34
2660.00,96.35
2659.00,96.36
2658.00,96.36
2657.00,96.35
2656.00,96.35
2655.00,96.35
2654.00,96.35
2653.00,96.34
2652.00,96.33
2651.00,96.32
2650.00,96.31
2649.00,96.31
2648.00,96.30
2647.00,96.29
2646.00,96.28
2645.00,96.27
2644.00,96.26
2643.00,96.25
2642.00,96.23
2641.00,96.22
2640.00,96.21
2639.00,96.20
2638.00,96.20
2637.00,96.21
2636.00,96.22
2635.00,96.23
2634.00,96.23
2633.00,96.22
2632.00,96.21
2631.00,96.20
2630.00,96.20
2629.00,96.19
2628.00,96.18
2627.00,96.17
2626.00,96.17
2625.00,96.18
2624.00,96.18
2623.00,96.19
2622.00,96.19
2621.00,96.20
2620.00,96.21
2619.00,96.22
2618.00,96.21
2617.00,96.18
2616.00,96.15
2615.00,96.14
2614.00,96.14
2613.00,96.15
2612.00,96.16
2611.00,96.15
2610.00,96.14
2609.00,96.13
2608.00,96.13
2607.00,96.14
2606.00,96.16
2605.00,96.16
2604.00,96.14
2603.00,96.13
2602.00,96.11
2601.00,96.11
2600.00,96.12
2599.00,96.14
2598.00,96.16
2597.00,96.17
2596.00,96.17
2595.00,96.16
2594.00,96.14
2593.00,96.12
2592.00,96.11
2591.00,96.10
2590.00,96.08
2589.00,96.05
2588.00,96.01
2587.00,96.00
2586.00,96.01
2585.00,96.03
2584.00,96.04
2583.00,96.04
2582.00,96.04
2581.00,96.05
2580.00,96.07
2579.00,96.08
2578.00,96.09
2577.00,96.09
2576.00,96.08
2575.00,96.06
2574.00,96.05
2573.00,96.06
2572.00,96.08
2571.00,96.11
2570.00,96.13
2569.00,96.13
2568.00,96.12
2567.00,96.11
2566.00,96.10
2565.00,96.09
2564.00,96.09
2563.00,96.09
2562.00,96.09
2561.00,96.09
2560.00,96.08
2559.00,96.08
2558.00,96.07
2557.00,96.07
2556.00,96.05
2555.00,96.03
2554.00,96.02
2553.00,96.02
2552.00,96.02
2551.00,96.01
2550.00,96.01
2549.00,96.01
2548.00,96.01
2547.00,96.02
2546.00,96.04
2545.00,96.05
2544.00,96.07
2543.00,96.07
2542.00,96.07
2541.00,96.08
2540.00,96.09
2539.00,96.10
2538.00,96.11
2537.00,96.10
2536.00,96.08
2535.00,96.05
2534.00,96.03
2533.00,96.04
2532.00,96.07
2531.00,96.09
2530.00,96.10
2529.00,96.09
2528.00,96.09
2527.00,96.08
2526.00,96.08
2525.00,96.07
2524.00,96.07
2523.00,96.07
2522.00,96.07
2521.00,96.08
2520.00,96.08
2519.00,96.07
2518.00,96.06
2517.00,96.06
2516.00,96.09
2515.00,96.11
2514.00,96.12
2513.00,96.11
2512.00,96.09
2511.00,96.07
2510.00,96.05
2509.00,96.05
2508.00,96.06
2507.00,96.07
2506.00,96.08
2505.00,96.08
2504.00,96.08
2503.00,96.08
2502.00,96.10
2501.00,96.12
2500.00,96.13
2499.00,96.13
2498.00,96.12
2497.00,96.11
2496.00,96.11
2495.00,96.11
2494.00,96.09
2493.00,96.08
2492.00,96.08
2491.00,96.08
2490.00,96.09
2489.00,96.11
2488.00,96.13
2487.00,96.15
2486.00,96.16
2485.00,96.17
2484.00,96.19
2483.00,96.19
2482.00,96.19
2481.00,96.17
2480.00,96.15
2479.00,96.14
2478.00,96.16
2477.00,96.19
2476.00,96.21
2475.00,96.22
2474.00,96.20
2473.00,96.16
2472.00,96.14
2471.00,96.13
2470.00,96.12
2469.00,96.12
2468.00,96.12
2467.00,96.14
2466.00,96.17
2465.00,96.21
2464.00,96.22
2463.00,96.21
2462.00,96.20
2461.00,96.19
2460.00,96.19
