Created as New Dataset,58 Modacrylic Eastman Fibers Verel Type CA USA White. Peanut X.S. Bright. 16dpf. Use: Floor Coverings
cm-1,%T
3256.00,100.88
3255.00,100.87
3254.00,100.86
3253.00,100.86
3252.00,100.88
3251.00,100.91
3250.00,100.95
3249.00,100.97
3248.00,101.00
3247.00,101.01
3246.00,101.02
3245.00,101.03
3244.00,101.03
3243.00,101.02
3242.00,101.00
3241.00,100.99
3240.00,101.00
3239.00,101.03
3238.00,101.07
3237.00,101.10
3236.00,101.13
3235.00,101.14
3234.00,101.15
3233.00,101.16
3232.00,101.18
3231.00,101.21
3230.00,101.23
3229.00,101.25
3228.00,101.26
3227.00,101.27
3226.00,101.27
3225.00,101.26
3224.00,101.26
3223.00,101.25
3222.00,101.24
3221.00,101.24
3220.00,101.23
3219.00,101.23
3218.00,101.24
3217.00,101.26
3216.00,101.28
3215.00,101.28
3214.00,101.27
3213.00,101.26
3212.00,101.25
3211.00,101.27
3210.00,101.29
3209.00,101.31
3208.00,101.33
3207.00,101.34
3206.00,101.34
3205.00,101.34
3204.00,101.32
3203.00,101.30
3202.00,101.29
3201.00,101.29
3200.00,101.31
3199.00,101.33
3198.00,101.35
3197.00,101.36
3196.00,101.36
3195.00,101.35
3194.00,101.34
3193.00,101.33
3192.00,101.34
3191.00,101.36
3190.00,101.38
3189.00,101.40
3188.00,101.41
3187.00,101.40
3186.00,101.39
3185.00,101.38
3184.00,101.35
3183.00,101.33
3182.00,101.33
3181.00,101.34
3180.00,101.38
3179.00,101.41
3178.00,101.43
3177.00,101.43
3176.00,101.43
3175.00,101.43
3174.00,101.43
3173.00,101.43
3172.00,101.44
3171.00,101.45
3170.00,101.47
3169.00,101.47
3168.00,101.48
3167.00,101.47
3166.00,101.47
3165.00,101.48
3164.00,101.49
3163.00,101.51
3162.00,101.52
3161.00,101.52
3160.00,101.53
3159.00,101.54
3158.00,101.56
3157.00,101.57
3156.00,101.57
3155.00,101.54
3154.00,101.52
3153.00,101.52
3152.00,101.53
3151.00,101.56
3150.00,101.57
3149.00,101.57
3148.00,101.58
3147.00,101.58
3146.00,101.59
3145.00,101.60
3144.00,101.60
3143.00,101.61
3142.00,101.63
3141.00,101.63
3140.00,101.63
3139.00,101.62
3138.00,101.61
3137.00,101.61
3136.00,101.62
3135.00,101.63
3134.00,101.64
3133.00,101.63
3132.00,101.62
3131.00,101.60
3130.00,101.58
3129.00,101.57
3128.00,101.57
3127.00,101.58
3126.00,101.59
3125.00,101.60
3124.00,101.62
3123.00,101.63
3122.00,101.63
3121.00,101.63
3120.00,101.63
3119.00,101.62
3118.00,101.62
3117.00,101.64
3116.00,101.65
3115.00,101.66
3114.00,101.65
3113.00,101.62
3112.00,101.60
3111.00,101.59
3110.00,101.60
3109.00,101.62
3108.00,101.64
3107.00,101.65
3106.00,101.65
3105.00,101.63
3104.00,101.60
3103.00,101.57
3102.00,101.55
3101.00,101.56
3100.00,101.59
3099.00,101.61
3098.00,101.61
3097.00,101.58
3096.00,101.55
3095.00,101.53
3094.00,101.52
3093.00,101.52
3092.00,101.52
3091.00,101.52
3090.00,101.51
3089.00,101.50
3088.00,101.50
3087.00,101.50
3086.00,101.50
3085.00,101.49
3084.00,101.47
3083.00,101.46
3082.00,101.46
3081.00,101.44
3080.00,101.42
3079.00,101.40
3078.00,101.38
3077.00,101.37
3076.00,101.38
3075.00,101.40
3074.00,101.42
3073.00,101.44
3072.00,101.46
3071.00,101.46
3070.00,101.46
3069.00,101.46
3068.00,101.47
3067.00,101.47
3066.00,101.47
3065.00,101.46
3064.00,101.43
3063.00,101.41
3062.00,101.41
3061.00,101.43
3060.00,101.46
3059.00,101.49
3058.00,101.51
3057.00,101.51
3056.00,101.52
3055.00,101.52
3054.00,101.52
3053.00,101.53
3052.00,101.54
3051.00,101.55
3050.00,101.56
3049.00,101.56
3048.00,101.55
3047.00,101.54
3046.00,101.52
3045.00,101.52
3044.00,101.53
3043.00,101.56
3042.00,101.60
3041.00,101.62
3040.00,101.62
3039.00,101.61
3038.00,101.59
3037.00,101.58
3036.00,101.58
3035.00,101.59
3034.00,101.61
3033.00,101.62
3032.00,101.62
3031.00,101.60
3030.00,101.59
3029.00,101.59
3028.00,101.61
3027.00,101.63
3026.00,101.64
3025.00,101.63
3024.00,101.61
3023.00,101.59
3022.00,101.57
3021.00,101.55
3020.00,101.55
3019.00,101.55
3018.00,101.55
3017.00,101.55
3016.00,101.54
3015.00,101.52
3014.00,101.49
3013.00,101.46
3012.00,101.43
3011.00,101.42
3010.00,101.41
3009.00,101.42
3008.00,101.42
3007.00,101.42
3006.00,101.40
3005.00,101.37
3004.00,101.32
3003.00,101.28
3002.00,101.23
3001.00,101.19
3000.00,101.14
2999.00,101.12
2998.00,101.10
2997.00,101.09
2996.00,101.07
2995.00,101.03
2994.00,100.97
2993.00,100.89
2992.00,100.82
2991.00,100.75
2990.00,100.70
2989.00,100.67
2988.00,100.63
2987.00,100.57
2986.00,100.49
2985.00,100.42
2984.00,100.35
2983.00,100.30
2982.00,100.26
2981.00,100.22
2980.00,100.17
2979.00,100.12
2978.00,100.07
2977.00,100.03
2976.00,99.99
2975.00,99.96
2974.00,99.95
2973.00,99.96
2972.00,99.99
2971.00,100.02
2970.00,100.05
2969.00,100.06
2968.00,100.08
2967.00,100.10
2966.00,100.13
2965.00,100.16
2964.00,100.19
2963.00,100.23
2962.00,100.27
2961.00,100.31
2960.00,100.34
2959.00,100.36
2958.00,100.37
2957.00,100.38
2956.00,100.38
2955.00,100.39
2954.00,100.39
2953.00,100.37
2952.00,100.35
2951.00,100.32
2950.00,100.28
2949.00,100.22
2948.00,100.15
2947.00,100.10
2946.00,100.08
2945.00,100.05
2944.00,100.03
2943.00,99.99
2942.00,99.95
2941.00,99.91
2940.00,99.85
2939.00,99.79
2938.00,99.74
2937.00,99.70
2936.00,99.65
2935.00,99.61
2934.00,99.57
2933.00,99.55
2932.00,99.55
2931.00,99.55
2930.00,99.56
2929.00,99.56
2928.00,99.56
2927.00,99.56
2926.00,99.57
2925.00,99.60
2924.00,99.63
2923.00,99.68
2922.00,99.73
2921.00,99.80
2920.00,99.86
2919.00,99.91
2918.00,99.96
2917.00,100.02
2916.00,100.09
2915.00,100.18
2914.00,100.26
2913.00,100.35
2912.00,100.41
2911.00,100.47
2910.00,100.51
2909.00,100.55
2908.00,100.60
2907.00,100.65
2906.00,100.70
2905.00,100.75
2904.00,100.78
2903.00,100.82
2902.00,100.85
2901.00,100.87
2900.00,100.89
2899.00,100.91
2898.00,100.94
2897.00,100.96
2896.00,100.98
2895.00,101.00
2894.00,101.01
2893.00,101.02
2892.00,101.04
2891.00,101.04
2890.00,101.04
2889.00,101.04
2888.00,101.04
2887.00,101.05
2886.00,101.06
2885.00,101.06
2884.00,101.06
2883.00,101.04
2882.00,101.03
2881.00,101.02
2880.00,101.01
2879.00,101.00
2878.00,101.00
2877.00,101.00
2876.00,101.01
2875.00,101.01
2874.00,101.01
2873.00,101.02
2872.00,101.03
2871.00,101.05
2870.00,101.07
2869.00,101.10
2868.00,101.12
2867.00,101.14
2866.00,101.15
2865.00,101.16
2864.00,101.16
2863.00,101.15
2862.00,101.15
2861.00,101.14
2860.00,101.14
2859.00,101.13
2858.00,101.11
2857.00,101.10
2856.00,101.09
2855.00,101.10
2854.00,101.12
2853.00,101.16
2852.00,101.20
2851.00,101.23
2850.00,101.27
2849.00,101.29
2848.00,101.31
2847.00,101.33
2846.00,101.36
2845.00,101.39
2844.00,101.42
2843.00,101.46
2842.00,101.48
2841.00,101.51
2840.00,101.53
2839.00,101.56
2838.00,101.58
2837.00,101.60
2836.00,101.62
2835.00,101.63
2834.00,101.63
2833.00,101.63
2832.00,101.62
2831.00,101.62
2830.00,101.64
2829.00,101.66
2828.00,101.68
2827.00,101.69
2826.00,101.70
2825.00,101.72
2824.00,101.73
2823.00,101.73
2822.00,101.73
2821.00,101.71
2820.00,101.69
2819.00,101.69
2818.00,101.69
2817.00,101.69
2816.00,101.69
2815.00,101.69
2814.00,101.67
2813.00,101.66
2812.00,101.67
2811.00,101.68
2810.00,101.69
2809.00,101.69
2808.00,101.69
2807.00,101.70
2806.00,101.71
2805.00,101.72
2804.00,101.72
2803.00,101.72
2802.00,101.72
2801.00,101.71
2800.00,101.71
2799.00,101.70
2798.00,101.70
2797.00,101.70
2796.00,101.70
2795.00,101.71
2794.00,101.72
2793.00,101.73
2792.00,101.73
2791.00,101.73
2790.00,101.74
2789.00,101.75
2788.00,101.76
2787.00,101.76
2786.00,101.77
2785.00,101.77
2784.00,101.78
2783.00,101.78
2782.00,101.77
2781.00,101.77
2780.00,101.77
2779.00,101.78
2778.00,101.79
2777.00,101.80
2776.00,101.81
2775.00,101.81
2774.00,101.81
2773.00,101.80
2772.00,101.80
2771.00,101.81
2770.00,101.82
2769.00,101.83
2768.00,101.83
2767.00,101.83
2766.00,101.82
2765.00,101.81
2764.00,101.81
2763.00,101.82
2762.00,101.83
2761.00,101.83
2760.00,101.83
2759.00,101.83
2758.00,101.83
2757.00,101.83
2756.00,101.82
2755.00,101.82
2754.00,101.82
2753.00,101.82
2752.00,101.81
2751.00,101.80
2750.00,101.79
2749.00,101.79
2748.00,101.79
2747.00,101.79
2746.00,101.79
2745.00,101.80
2744.00,101.81
2743.00,101.82
2742.00,101.82
2741.00,101.82
2740.00,101.82
2739.00,101.81
2738.00,101.81
2737.00,101.81
2736.00,101.82
2735.00,101.83
2734.00,101.83
2733.00,101.84
2732.00,101.85
2731.00,101.85
2730.00,101.85
2729.00,101.84
2728.00,101.83
2727.00,101.82
2726.00,101.82
2725.00,101.81
2724.00,101.80
2723.00,101.81
2722.00,101.82
2721.00,101.83
2720.00,101.83
2719.00,101.82
2718.00,101.80
2717.00,101.78
2716.00,101.77
2715.00,101.77
2714.00,101.78
2713.00,101.79
2712.00,101.79
2711.00,101.79
2710.00,101.80
2709.00,101.80
2708.00,101.81
2707.00,101.80
2706.00,101.79
2705.00,101.78
2704.00,101.78
2703.00,101.78
2702.00,101.80
2701.00,101.81
2700.00,101.82
2699.00,101.82
2698.00,101.83
2697.00,101.83
2696.00,101.84
2695.00,101.85
2694.00,101.85
2693.00,101.85
2692.00,101.84
2691.00,101.84
2690.00,101.83
2689.00,101.83
2688.00,101.84
2687.00,101.85
2686.00,101.87
2685.00,101.86
2684.00,101.85
2683.00,101.84
2682.00,101.85
2681.00,101.86
2680.00,101.87
2679.00,101.88
2678.00,101.88
2677.00,101.87
2676.00,101.87
2675.00,101.87
2674.00,101.87
2673.00,101.87
2672.00,101.86
2671.00,101.86
2670.00,101.86
2669.00,101.87
2668.00,101.88
2667.00,101.88
2666.00,101.88
2665.00,101.86
2664.00,101.84
2663.00,101.84
2662.00,101.84
2661.00,101.84
2660.00,101.85
2659.00,101.84
2658.00,101.83
2657.00,101.81
2656.00,101.81
2655.00,101.81
2654.00,101.82
2653.00,101.82
