Created as New Dataset,17.3 Tussah wild blended with camel hair
cm-1,%T
2782.00,95.50
2781.00,95.51
2780.00,95.53
2779.00,95.56
2778.00,95.59
2777.00,95.61
2776.00,95.62
2775.00,95.63
2774.00,95.63
2773.00,95.63
2772.00,95.64
2771.00,95.66
2770.00,95.69
2769.00,95.72
2768.00,95.74
2767.00,95.75
2766.00,95.75
2765.00,95.75
2764.00,95.75
2763.00,95.74
2762.00,95.74
2761.00,95.73
2760.00,95.74
2759.00,95.77
2758.00,95.80
2757.00,95.82
2756.00,95.84
2755.00,95.85
2754.00,95.86
2753.00,95.87
2752.00,95.87
2751.00,95.89
2750.00,95.91
2749.00,95.93
2748.00,95.95
2747.00,95.96
2746.00,95.96
2745.00,95.95
2744.00,95.94
2743.00,95.94
2742.00,95.95
2741.00,95.97
2740.00,95.98
2739.00,96.00
2738.00,96.02
2737.00,96.04
2736.00,96.05
2735.00,96.06
2734.00,96.07
2733.00,96.07
2732.00,96.08
2731.00,96.09
2730.00,96.11
2729.00,96.11
2728.00,96.11
2727.00,96.11
2726.00,96.11
2725.00,96.13
2724.00,96.14
2723.00,96.16
2722.00,96.18
2721.00,96.19
2720.00,96.20
2719.00,96.21
2718.00,96.23
2717.00,96.25
2716.00,96.26
2715.00,96.26
2714.00,96.26
2713.00,96.27
2712.00,96.27
2711.00,96.27
2710.00,96.27
2709.00,96.28
2708.00,96.29
2707.00,96.31
2706.00,96.32
2705.00,96.33
2704.00,96.34
2703.00,96.34
2702.00,96.35
2701.00,96.37
2700.00,96.39
2699.00,96.39
2698.00,96.39
2697.00,96.38
2696.00,96.37
2695.00,96.37
2694.00,96.37
2693.00,96.38
2692.00,96.40
2691.00,96.42
2690.00,96.43
2689.00,96.43
2688.00,96.43
2687.00,96.44
2686.00,96.44
2685.00,96.44
2684.00,96.43
2683.00,96.43
2682.00,96.43
2681.00,96.44
2680.00,96.45
2679.00,96.47
2678.00,96.48
2677.00,96.48
2676.00,96.48
2675.00,96.49
2674.00,96.49
2673.00,96.50
2672.00,96.52
2671.00,96.53
2670.00,96.54
2669.00,96.54
2668.00,96.54
2667.00,96.54
2666.00,96.54
2665.00,96.54
2664.00,96.54
2663.00,96.54
2662.00,96.54
2661.00,96.55
2660.00,96.56
2659.00,96.56
2658.00,96.54
2657.00,96.52
2656.00,96.51
2655.00,96.50
2654.00,96.49
2653.00,96.49
2652.00,96.49
2651.00,96.50
2650.00,96.51
2649.00,96.50
2648.00,96.49
2647.00,96.48
2646.00,96.47
2645.00,96.46
2644.00,96.44
2643.00,96.43
2642.00,96.43
2641.00,96.43
2640.00,96.44
2639.00,96.43
2638.00,96.41
2637.00,96.39
2636.00,96.37
2635.00,96.36
2634.00,96.36
2633.00,96.37
2632.00,96.38
2631.00,96.38
2630.00,96.37
2629.00,96.37
2628.00,96.36
2627.00,96.37
2626.00,96.37
2625.00,96.37
2624.00,96.37
2623.00,96.36
2622.00,96.35
2621.00,96.34
2620.00,96.34
2619.00,96.33
2618.00,96.33
2617.00,96.33
2616.00,96.33
2615.00,96.33
2614.00,96.33
2613.00,96.33
2612.00,96.34
2611.00,96.35
2610.00,96.36
2609.00,96.36
2608.00,96.36
2607.00,96.38
2606.00,96.39
2605.00,96.39
2604.00,96.37
2603.00,96.33
2602.00,96.31
2601.00,96.30
2600.00,96.31
