Created as New Dataset,55 Courtaulds
cm-1,%T
3206.00,86.27
3205.00,86.31
3204.00,86.35
3203.00,86.40
3202.00,86.44
3201.00,86.48
3200.00,86.53
3199.00,86.57
3198.00,86.60
3197.00,86.62
3196.00,86.64
3195.00,86.65
3194.00,86.68
3193.00,86.72
3192.00,86.77
3191.00,86.82
3190.00,86.85
3189.00,86.87
3188.00,86.89
3187.00,86.93
3186.00,86.98
3185.00,87.04
3184.00,87.10
3183.00,87.14
3182.00,87.18
3181.00,87.20
3180.00,87.21
3179.00,87.22
3178.00,87.24
3177.00,87.27
3176.00,87.31
3175.00,87.35
3174.00,87.39
3173.00,87.43
3172.00,87.48
3171.00,87.51
3170.00,87.53
3169.00,87.56
3168.00,87.59
3167.00,87.64
3166.00,87.70
3165.00,87.76
3164.00,87.82
3163.00,87.86
3162.00,87.89
3161.00,87.90
3160.00,87.91
3159.00,87.93
3158.00,87.96
3157.00,88.00
3156.00,88.04
3155.00,88.08
3154.00,88.13
3153.00,88.19
3152.00,88.25
3151.00,88.30
3150.00,88.33
3149.00,88.36
3148.00,88.39
3147.00,88.43
3146.00,88.49
3145.00,88.56
3144.00,88.64
3143.00,88.71
3142.00,88.77
3141.00,88.80
3140.00,88.83
3139.00,88.87
3138.00,88.92
3137.00,88.98
3136.00,89.04
3135.00,89.09
3134.00,89.14
3133.00,89.20
3132.00,89.25
3131.00,89.29
3130.00,89.32
3129.00,89.36
3128.00,89.41
3127.00,89.47
3126.00,89.53
3125.00,89.60
3124.00,89.66
3123.00,89.72
3122.00,89.76
3121.00,89.81
3120.00,89.86
3119.00,89.92
3118.00,89.99
3117.00,90.05
3116.00,90.11
3115.00,90.16
3114.00,90.20
3113.00,90.24
3112.00,90.29
3111.00,90.35
3110.00,90.40
3109.00,90.45
3108.00,90.50
3107.00,90.55
3106.00,90.61
3105.00,90.65
3104.00,90.70
3103.00,90.75
3102.00,90.81
3101.00,90.88
3100.00,90.94
3099.00,90.99
3098.00,91.02
3097.00,91.06
3096.00,91.10
3095.00,91.16
3094.00,91.21
3093.00,91.27
3092.00,91.33
3091.00,91.40
3090.00,91.46
3089.00,91.52
3088.00,91.58
3087.00,91.63
3086.00,91.68
3085.00,91.73
3084.00,91.79
3083.00,91.84
3082.00,91.89
3081.00,91.94
3080.00,91.99
3079.00,92.03
3078.00,92.08
3077.00,92.13
3076.00,92.19
3075.00,92.23
3074.00,92.27
3073.00,92.30
3072.00,92.33
3071.00,92.38
3070.00,92.43
3069.00,92.48
3068.00,92.51
3067.00,92.54
3066.00,92.58
3065.00,92.62
3064.00,92.66
3063.00,92.71
3062.00,92.76
3061.00,92.80
3060.00,92.85
3059.00,92.90
3058.00,92.95
3057.00,92.99
3056.00,93.03
3055.00,93.05
3054.00,93.08
3053.00,93.11
3052.00,93.15
3051.00,93.20
3050.00,93.26
3049.00,93.30
3048.00,93.34
3047.00,93.37
3046.00,93.42
3045.00,93.46
3044.00,93.49
3043.00,93.53
3042.00,93.56
3041.00,93.61
3040.00,93.66
3039.00,93.70
3038.00,93.72
3037.00,93.74
3036.00,93.76
3035.00,93.79
3034.00,93.82
3033.00,93.86
3032.00,93.89
3031.00,93.93
3030.00,93.96
3029.00,93.99
3028.00,94.02
3027.00,94.05
3026.00,94.08
3025.00,94.11
3024.00,94.13
3023.00,94.16
3022.00,94.18
3021.00,94.19
3020.00,94.20
3019.00,94.21
3018.00,94.23
3017.00,94.26
3016.00,94.29
3015.00,94.31
3014.00,94.33
3013.00,94.35
3012.00,94.38
3011.00,94.40
3010.00,94.43
3009.00,94.45
3008.00,94.47
3007.00,94.49
3006.00,94.50
3005.00,94.51
3004.00,94.52
3003.00,94.53
3002.00,94.54
3001.00,94.56
3000.00,94.58
2999.00,94.60
2998.00,94.62
2997.00,94.63
2996.00,94.64
2995.00,94.64
2994.00,94.63
2993.00,94.63
2992.00,94.63
2991.00,94.61
2990.00,94.59
2989.00,94.55
2988.00,94.51
2987.00,94.48
2986.00,94.47
2985.00,94.46
2984.00,94.45
2983.00,94.43
2982.00,94.42
2981.00,94.41
2980.00,94.42
2979.00,94.43
2978.00,94.43
2977.00,94.40
2976.00,94.37
2975.00,94.32
2974.00,94.28
2973.00,94.25
2972.00,94.22
2971.00,94.19
2970.00,94.16
2969.00,94.12
2968.00,94.10
2967.00,94.08
2966.00,94.05
2965.00,94.02
2964.00,93.98
2963.00,93.94
2962.00,93.90
2961.00,93.85
2960.00,93.80
2959.00,93.75
2958.00,93.70
2957.00,93.64
2956.00,93.59
2955.00,93.54
2954.00,93.48
2953.00,93.44
2952.00,93.40
2951.00,93.36
2950.00,93.32
2949.00,93.26
2948.00,93.19
2947.00,93.12
2946.00,93.03
2945.00,92.94
2944.00,92.86
2943.00,92.77
2942.00,92.68
2941.00,92.59
2940.00,92.49
2939.00,92.40
2938.00,92.32
2937.00,92.24
2936.00,92.15
2935.00,92.06
2934.00,91.98
2933.00,91.90
2932.00,91.83
2931.00,91.78
2930.00,91.72
2929.00,91.67
2928.00,91.62
2927.00,91.58
2926.00,91.54
2925.00,91.50
2924.00,91.45
2923.00,91.39
2922.00,91.32
2921.00,91.25
2920.00,91.20
2919.00,91.16
2918.00,91.12
2917.00,91.07
2916.00,91.00
2915.00,90.91
2914.00,90.83
2913.00,90.75
2912.00,90.69
2911.00,90.62
2910.00,90.55
2909.00,90.46
2908.00,90.37
2907.00,90.28
2906.00,90.21
2905.00,90.16
2904.00,90.12
2903.00,90.09
2902.00,90.07
2901.00,90.05
2900.00,90.03
2899.00,90.02
2898.00,90.00
2897.00,89.97
2896.00,89.93
2895.00,89.90
2894.00,89.88
2893.00,89.88
2892.00,89.90
2891.00,89.92
2890.00,89.95
2889.00,89.99
2888.00,90.03
2887.00,90.07
2886.00,90.12
2885.00,90.17
2884.00,90.21
2883.00,90.25
2882.00,90.28
2881.00,90.30
2880.00,90.33
2879.00,90.36
2878.00,90.40
2877.00,90.44
2876.00,90.48
2875.00,90.52
2874.00,90.58
2873.00,90.66
2872.00,90.74
2871.00,90.82
2870.00,90.90
2869.00,90.99
2868.00,91.09
2867.00,91.20
2866.00,91.30
2865.00,91.39
2864.00,91.47
2863.00,91.55
2862.00,91.64
2861.00,91.72
2860.00,91.80
2859.00,91.88
2858.00,91.96
2857.00,92.04
2856.00,92.13
2855.00,92.22
2854.00,92.31
2853.00,92.40
2852.00,92.48
2851.00,92.56
2850.00,92.65
2849.00,92.75
2848.00,92.84
2847.00,92.92
2846.00,92.99
2845.00,93.04
2844.00,93.10
2843.00,93.16
2842.00,93.22
2841.00,93.28
2840.00,93.33
2839.00,93.36
2838.00,93.40
2837.00,93.43
2836.00,93.47
2835.00,93.52
2834.00,93.56
2833.00,93.59
2832.00,93.62
2831.00,93.65
2830.00,93.68
2829.00,93.73
2828.00,93.78
2827.00,93.84
2826.00,93.88
2825.00,93.92
2824.00,93.96
2823.00,93.99
2822.00,94.02
2821.00,94.04
2820.00,94.06
2819.00,94.08
2818.00,94.10
2817.00,94.13
2816.00,94.16
2815.00,94.18
2814.00,94.21
2813.00,94.23
2812.00,94.24
2811.00,94.25
2810.00,94.27
2809.00,94.30
2808.00,94.34
2807.00,94.38
2806.00,94.41
2805.00,94.43
2804.00,94.44
2803.00,94.46
2802.00,94.48
2801.00,94.50
2800.00,94.51
2799.00,94.53
2798.00,94.55
2797.00,94.59
2796.00,94.62
2795.00,94.64
2794.00,94.67
2793.00,94.69
2792.00,94.71
2791.00,94.72
2790.00,94.73
2789.00,94.74
2788.00,94.76
2787.00,94.78
2786.00,94.81
2785.00,94.83
2784.00,94.85
2783.00,94.86
2782.00,94.88
2781.00,94.90
2780.00,94.93
2779.00,94.95
2778.00,94.96
2777.00,94.97
2776.00,94.98
2775.00,94.99
2774.00,95.01
2773.00,95.02
2772.00,95.04
2771.00,95.07
2770.00,95.10
2769.00,95.12
2768.00,95.14
2767.00,95.14
2766.00,95.15
2765.00,95.15
2764.00,95.16
2763.00,95.18
2762.00,95.18
2761.00,95.19
2760.00,95.20
2759.00,95.21
2758.00,95.23
2757.00,95.25
2756.00,95.25
2755.00,95.25
2754.00,95.25
2753.00,95.24
2752.00,95.25
2751.00,95.24
2750.00,95.24
2749.00,95.24
2748.00,95.23
2747.00,95.25
2746.00,95.27
2745.00,95.29
2744.00,95.30
2743.00,95.31
2742.00,95.31
2741.00,95.31
2740.00,95.32
2739.00,95.32
2738.00,95.33
2737.00,95.34
2736.00,95.35
2735.00,95.36
2734.00,95.36
2733.00,95.36
2732.00,95.35
2731.00,95.35
2730.00,95.35
2729.00,95.37
2728.00,95.39
2727.00,95.41
2726.00,95.42
2725.00,95.42
2724.00,95.41
2723.00,95.40
2722.00,95.41
2721.00,95.42
2720.00,95.44
2719.00,95.46
2718.00,95.47
2717.00,95.48
2716.00,95.48
2715.00,95.49
2714.00,95.50
2713.00,95.52
2712.00,95.55
2711.00,95.57
2710.00,95.58
2709.00,95.59
2708.00,95.59
2707.00,95.60
2706.00,95.61
2705.00,95.62
2704.00,95.62
2703.00,95.63
2702.00,95.64
2701.00,95.65
2700.00,95.66
2699.00,95.66
2698.00,95.66
2697.00,95.67
2696.00,95.68
2695.00,95.69
2694.00,95.70
2693.00,95.71
2692.00,95.72
2691.00,95.73
2690.00,95.74
2689.00,95.75
2688.00,95.76
2687.00,95.77
2686.00,95.78
2685.00,95.78
2684.00,95.78
2683.00,95.79
2682.00,95.81
2681.00,95.83
2680.00,95.85
2679.00,95.86
2678.00,95.87
2677.00,95.86
2676.00,95.86
2675.00,95.87
2674.00,95.88
2673.00,95.90
2672.00,95.92
2671.00,95.93
2670.00,95.94
2669.00,95.94
2668.00,95.95
2667.00,95.96
2666.00,95.97
2665.00,95.98
2664.00,95.99
2663.00,96.00
2662.00,96.00
2661.00,96.00
2660.00,96.00
2659.00,95.99
2658.00,95.97
2657.00,95.95
2656.00,95.94
2655.00,95.94
2654.00,95.94
2653.00,95.94
2652.00,95.92
2651.00,95.91
2650.00,95.90
2649.00,95.91
2648.00,95.92
2647.00,95.93
2646.00,95.94
2645.00,95.94
2644.00,95.94
2643.00,95.93
2642.00,95.92
2641.00,95.90
2640.00,95.88
2639.00,95.87
2638.00,95.87
2637.00,95.89
2636.00,95.91
2635.00,95.93
2634.00,95.94
2633.00,95.93
2632.00,95.91
2631.00,95.89
2630.00,95.87
2629.00,95.86
2628.00,95.86
2627.00,95.86
2626.00,95.86
2625.00,95.85
2624.00,95.84
2623.00,95.84
2622.00,95.84
2621.00,95.85
2620.00,95.87
2619.00,95.88
2618.00,95.87
2617.00,95.86
2616.00,95.84
2615.00,95.83
2614.00,95.81
2613.00,95.81
2612.00,95.80
2611.00,95.80
2610.00,95.81
2609.00,95.82
2608.00,95.82
2607.00,95.81
2606.00,95.81
2605.00,95.81
2604.00,95.82
2603.00,95.82
2602.00,95.82
2601.00,95.82
2600.00,95.82
2599.00,95.81
2598.00,95.80
2597.00,95.79
2596.00,95.79
2595.00,95.79
2594.00,95.80
2593.00,95.80
2592.00,95.79
2591.00,95.76
2590.00,95.74
2589.00,95.73
2588.00,95.73
2587.00,95.73
2586.00,95.73
2585.00,95.74
2584.00,95.76
2583.00,95.79
2582.00,95.80
2581.00,95.80
2580.00,95.77
2579.00,95.74
2578.00,95.72
2577.00,95.72
2576.00,95.73
2575.00,95.75
2574.00,95.76
2573.00,95.77
2572.00,95.78
2571.00,95.78
2570.00,95.79
2569.00,95.79
2568.00,95.78
2567.00,95.77
2566.00,95.76
2565.00,95.75
2564.00,95.74
2563.00,95.73
2562.00,95.72
2561.00,95.71
2560.00,95.70
2559.00,95.71
2558.00,95.72
2557.00,95.74
2556.00,95.75
2555.00,95.75
2554.00,95.75
2553.00,95.75
2552.00,95.76
2551.00,95.77
2550.00,95.77
2549.00,95.78
2548.00,95.78
2547.00,95.77
2546.00,95.76
2545.00,95.76
2544.00,95.76
2543.00,95.77
2542.00,95.78
2541.00,95.78
2540.00,95.76
2539.00,95.72
2538.00,95.69
2537.00,95.68
2536.00,95.69
2535.00,95.71
2534.00,95.74
2533.00,95.77
2532.00,95.78
2531.00,95.79
2530.00,95.78
2529.00,95.77
2528.00,95.76
2527.00,95.77
2526.00,95.77
2525.00,95.78
2524.00,95.78
2523.00,95.77
2522.00,95.75
2521.00,95.74
2520.00,95.74
2519.00,95.76
2518.00,95.78
2517.00,95.80
