Created as New Dataset,Bio-Couture Worsted 48/2 White
cm-1,%T
2565.00,98.51
2564.00,98.52
2563.00,98.51
2562.00,98.50
2561.00,98.49
2560.00,98.49
2559.00,98.48
2558.00,98.48
2557.00,98.49
2556.00,98.50
2555.00,98.51
2554.00,98.52
2553.00,98.54
2552.00,98.54
2551.00,98.53
2550.00,98.51
2549.00,98.48
2548.00,98.47
2547.00,98.48
2546.00,98.50
2545.00,98.50
2544.00,98.50
2543.00,98.48
2542.00,98.47
2541.00,98.45
2540.00,98.44
2539.00,98.42
2538.00,98.40
2537.00,98.40
2536.00,98.42
2535.00,98.45
2534.00,98.48
2533.00,98.50
2532.00,98.50
2531.00,98.50
2530.00,98.48
2529.00,98.46
2528.00,98.45
2527.00,98.45
2526.00,98.45
2525.00,98.44
2524.00,98.45
2523.00,98.45
2522.00,98.45
2521.00,98.46
2520.00,98.46
2519.00,98.47
2518.00,98.48
2517.00,98.48
2516.00,98.49
2515.00,98.50
2514.00,98.50
2513.00,98.50
2512.00,98.50
2511.00,98.51
2510.00,98.54
2509.00,98.57
2508.00,98.59
2507.00,98.59
2506.00,98.58
2505.00,98.56
2504.00,98.54
2503.00,98.53
2502.00,98.53
2501.00,98.53
2500.00,98.54
2499.00,98.54
2498.00,98.55
2497.00,98.56
2496.00,98.56
2495.00,98.55
2494.00,98.53
2493.00,98.51
2492.00,98.52
2491.00,98.53
2490.00,98.54
2489.00,98.55
2488.00,98.56
2487.00,98.57
2486.00,98.58
2485.00,98.58
2484.00,98.56
2483.00,98.55
2482.00,98.56
2481.00,98.58
2480.00,98.58
2479.00,98.57
2478.00,98.54
2477.00,98.52
2476.00,98.50
2475.00,98.50
2474.00,98.50
2473.00,98.51
2472.00,98.51
2471.00,98.50
2470.00,98.49
2469.00,98.48
2468.00,98.49
2467.00,98.51
2466.00,98.53
2465.00,98.54
2464.00,98.54
2463.00,98.54
2462.00,98.54
