Created as New Dataset,186 Acordis Fibres
cm-1,%T
3136.00,87.23
3135.00,87.25
3134.00,87.28
3133.00,87.30
3132.00,87.33
3131.00,87.35
3130.00,87.39
3129.00,87.43
3128.00,87.47
3127.00,87.50
3126.00,87.54
3125.00,87.58
3124.00,87.61
3123.00,87.65
3122.00,87.69
3121.00,87.73
3120.00,87.77
3119.00,87.81
3118.00,87.85
3117.00,87.87
3116.00,87.91
3115.00,87.95
3114.00,88.01
3113.00,88.06
3112.00,88.10
3111.00,88.12
3110.00,88.14
3109.00,88.17
3108.00,88.21
3107.00,88.25
3106.00,88.29
3105.00,88.32
3104.00,88.34
3103.00,88.38
3102.00,88.41
3101.00,88.46
3100.00,88.50
3099.00,88.54
3098.00,88.58
3097.00,88.62
3096.00,88.67
3095.00,88.71
3094.00,88.75
3093.00,88.78
3092.00,88.80
3091.00,88.83
3090.00,88.86
3089.00,88.88
3088.00,88.91
3087.00,88.94
3086.00,88.98
3085.00,89.02
3084.00,89.06
3083.00,89.09
3082.00,89.12
3081.00,89.16
3080.00,89.20
3079.00,89.23
3078.00,89.26
3077.00,89.29
3076.00,89.31
3075.00,89.35
3074.00,89.38
3073.00,89.42
3072.00,89.45
3071.00,89.48
3070.00,89.51
3069.00,89.54
3068.00,89.57
3067.00,89.60
3066.00,89.63
3065.00,89.67
3064.00,89.71
3063.00,89.74
3062.00,89.78
3061.00,89.81
3060.00,89.84
3059.00,89.86
3058.00,89.88
3057.00,89.90
3056.00,89.92
3055.00,89.96
3054.00,90.00
3053.00,90.05
3052.00,90.10
3051.00,90.14
3050.00,90.18
3049.00,90.21
3048.00,90.23
3047.00,90.25
3046.00,90.27
3045.00,90.30
3044.00,90.34
3043.00,90.38
3042.00,90.41
3041.00,90.44
3040.00,90.47
3039.00,90.50
3038.00,90.54
3037.00,90.57
3036.00,90.60
3035.00,90.62
3034.00,90.63
3033.00,90.63
3032.00,90.64
3031.00,90.66
3030.00,90.70
3029.00,90.74
3028.00,90.77
3027.00,90.80
3026.00,90.81
3025.00,90.83
3024.00,90.85
3023.00,90.86
3022.00,90.88
3021.00,90.89
3020.00,90.90
3019.00,90.92
3018.00,90.95
3017.00,90.98
3016.00,91.00
3015.00,91.02
3014.00,91.04
3013.00,91.06
3012.00,91.09
3011.00,91.11
3010.00,91.13
3009.00,91.14
3008.00,91.15
3007.00,91.16
3006.00,91.18
3005.00,91.19
3004.00,91.21
3003.00,91.23
3002.00,91.26
3001.00,91.27
3000.00,91.29
2999.00,91.30
2998.00,91.31
2997.00,91.31
2996.00,91.31
2995.00,91.31
2994.00,91.32
2993.00,91.34
2992.00,91.36
2991.00,91.38
2990.00,91.39
2989.00,91.38
2988.00,91.38
2987.00,91.37
2986.00,91.36
2985.00,91.34
2984.00,91.32
2983.00,91.31
2982.00,91.31
2981.00,91.32
2980.00,91.32
2979.00,91.31
2978.00,91.28
2977.00,91.25
2976.00,91.24
2975.00,91.24
2974.00,91.25
2973.00,91.25
2972.00,91.24
2971.00,91.22
2970.00,91.20
2969.00,91.19
2968.00,91.17
2967.00,91.14
2966.00,91.12
2965.00,91.10
2964.00,91.07
2963.00,91.04
2962.00,91.00
2961.00,90.97
2960.00,90.95
2959.00,90.92
2958.00,90.90
2957.00,90.87
2956.00,90.84
2955.00,90.79
2954.00,90.74
2953.00,90.70
2952.00,90.68
2951.00,90.67
2950.00,90.65
2949.00,90.61
2948.00,90.56
2947.00,90.50
2946.00,90.44
2945.00,90.37
2944.00,90.30
2943.00,90.24
2942.00,90.18
2941.00,90.12
2940.00,90.05
2939.00,89.99
2938.00,89.93
2937.00,89.86
2936.00,89.80
2935.00,89.75
2934.00,89.70
2933.00,89.66
2932.00,89.62
2931.00,89.58
2930.00,89.54
2929.00,89.50
2928.00,89.47
2927.00,89.42
2926.00,89.37
2925.00,89.33
2924.00,89.29
2923.00,89.26
2922.00,89.23
2921.00,89.20
2920.00,89.17
2919.00,89.14
2918.00,89.11
2917.00,89.08
2916.00,89.04
2915.00,89.00
2914.00,88.96
2913.00,88.93
2912.00,88.90
2911.00,88.87
2910.00,88.82
2909.00,88.78
2908.00,88.73
2907.00,88.69
2906.00,88.65
2905.00,88.61
2904.00,88.57
2903.00,88.53
2902.00,88.49
2901.00,88.46
2900.00,88.43
2899.00,88.41
2898.00,88.39
2897.00,88.37
2896.00,88.33
2895.00,88.30
2894.00,88.28
2893.00,88.28
2892.00,88.28
2891.00,88.28
2890.00,88.27
2889.00,88.26
2888.00,88.25
2887.00,88.24
2886.00,88.25
2885.00,88.26
2884.00,88.27
2883.00,88.28
2882.00,88.28
