Created as New Dataset,195 FMC American Viscose (Blue)
cm-1,%T
2902.00,93.77
2901.00,93.75
2900.00,93.73
2899.00,93.73
2898.00,93.73
2897.00,93.73
2896.00,93.72
2895.00,93.71
2894.00,93.69
2893.00,93.67
2892.00,93.64
2891.00,93.62
2890.00,93.61
2889.00,93.62
2888.00,93.63
2887.00,93.64
2886.00,93.66
2885.00,93.68
2884.00,93.70
2883.00,93.73
2882.00,93.75
2881.00,93.76
2880.00,93.77
2879.00,93.78
2878.00,93.80
2877.00,93.83
2876.00,93.85
2875.00,93.87
2874.00,93.89
2873.00,93.92
2872.00,93.96
2871.00,94.00
2870.00,94.04
2869.00,94.08
2868.00,94.11
2867.00,94.16
2866.00,94.20
2865.00,94.25
2864.00,94.29
2863.00,94.32
2862.00,94.35
2861.00,94.39
2860.00,94.43
2859.00,94.49
2858.00,94.55
2857.00,94.60
2856.00,94.63
2855.00,94.66
2854.00,94.68
2853.00,94.72
2852.00,94.76
2851.00,94.80
2850.00,94.85
2849.00,94.90
2848.00,94.95
2847.00,95.01
2846.00,95.07
2845.00,95.13
2844.00,95.18
2843.00,95.21
2842.00,95.25
2841.00,95.28
2840.00,95.32
2839.00,95.35
2838.00,95.37
2837.00,95.38
2836.00,95.40
2835.00,95.42
2834.00,95.46
2833.00,95.50
2832.00,95.53
2831.00,95.55
2830.00,95.58
2829.00,95.60
2828.00,95.62
2827.00,95.63
2826.00,95.65
2825.00,95.67
2824.00,95.69
2823.00,95.72
2822.00,95.74
2821.00,95.75
2820.00,95.77
2819.00,95.78
2818.00,95.80
2817.00,95.82
2816.00,95.83
2815.00,95.84
2814.00,95.84
2813.00,95.84
2812.00,95.85
2811.00,95.86
2810.00,95.89
2809.00,95.90
2808.00,95.92
2807.00,95.93
2806.00,95.94
2805.00,95.95
2804.00,95.97
2803.00,95.99
2802.00,96.00
2801.00,96.02
2800.00,96.05
2799.00,96.07
2798.00,96.09
2797.00,96.10
2796.00,96.11
2795.00,96.11
2794.00,96.12
2793.00,96.14
2792.00,96.16
2791.00,96.18
2790.00,96.19
2789.00,96.20
2788.00,96.21
2787.00,96.22
2786.00,96.23
2785.00,96.24
2784.00,96.25
