Created as New Dataset,192 FMC American Viscose (Black)
cm-1,%T
3138.00,95.76
3137.00,95.78
3136.00,95.81
3135.00,95.85
3134.00,95.87
3133.00,95.88
3132.00,95.89
3131.00,95.91
3130.00,95.94
3129.00,95.96
3128.00,95.98
3127.00,95.99
3126.00,96.00
3125.00,96.01
3124.00,96.02
3123.00,96.03
3122.00,96.03
3121.00,96.05
3120.00,96.07
3119.00,96.08
3118.00,96.10
3117.00,96.11
3116.00,96.12
3115.00,96.15
3114.00,96.17
3113.00,96.19
3112.00,96.21
3111.00,96.23
3110.00,96.25
3109.00,96.28
3108.00,96.30
3107.00,96.31
3106.00,96.33
3105.00,96.36
3104.00,96.39
3103.00,96.42
3102.00,96.44
3101.00,96.45
3100.00,96.47
3099.00,96.49
3098.00,96.52
3097.00,96.54
3096.00,96.56
3095.00,96.57
3094.00,96.57
3093.00,96.56
3092.00,96.56
3091.00,96.58
3090.00,96.60
3089.00,96.63
3088.00,96.64
3087.00,96.66
3086.00,96.68
3085.00,96.71
3084.00,96.75
3083.00,96.78
3082.00,96.80
3081.00,96.80
3080.00,96.81
3079.00,96.82
3078.00,96.84
3077.00,96.85
3076.00,96.87
3075.00,96.88
3074.00,96.91
3073.00,96.93
3072.00,96.95
3071.00,96.97
3070.00,96.98
3069.00,96.98
3068.00,96.99
3067.00,97.01
3066.00,97.04
3065.00,97.06
3064.00,97.08
3063.00,97.09
3062.00,97.10
3061.00,97.12
3060.00,97.14
3059.00,97.16
3058.00,97.18
3057.00,97.19
3056.00,97.20
3055.00,97.21
3054.00,97.21
3053.00,97.22
3052.00,97.23
3051.00,97.24
3050.00,97.26
3049.00,97.29
3048.00,97.32
3047.00,97.35
3046.00,97.38
3045.00,97.39
3044.00,97.40
3043.00,97.40
3042.00,97.40
3041.00,97.42
3040.00,97.44
3039.00,97.46
3038.00,97.47
3037.00,97.47
3036.00,97.47
3035.00,97.48
3034.00,97.50
3033.00,97.52
3032.00,97.54
3031.00,97.56
3030.00,97.57
3029.00,97.58
3028.00,97.59
3027.00,97.60
3026.00,97.61
3025.00,97.62
3024.00,97.61
3023.00,97.61
3022.00,97.63
3021.00,97.65
3020.00,97.68
3019.00,97.69
3018.00,97.70
3017.00,97.70
3016.00,97.71
3015.00,97.71
3014.00,97.71
3013.00,97.71
3012.00,97.71
3011.00,97.73
3010.00,97.76
3009.00,97.79
3008.00,97.82
3007.00,97.83
3006.00,97.82
3005.00,97.81
3004.00,97.79
3003.00,97.79
3002.00,97.81
3001.00,97.83
3000.00,97.85
2999.00,97.86
2998.00,97.86
2997.00,97.86
2996.00,97.86
2995.00,97.87
2994.00,97.88
2993.00,97.88
2992.00,97.89
2991.00,97.89
2990.00,97.89
2989.00,97.89
2988.00,97.88
2987.00,97.88
2986.00,97.89
2985.00,97.90
2984.00,97.90
2983.00,97.89
2982.00,97.88
2981.00,97.87
2980.00,97.86
2979.00,97.86
2978.00,97.86
2977.00,97.86
2976.00,97.87
2975.00,97.87
2974.00,97.86
2973.00,97.84
2972.00,97.81
2971.00,97.79
2970.00,97.77
2969.00,97.77
2968.00,97.77
2967.00,97.76
2966.00,97.75
2965.00,97.73
2964.00,97.71
2963.00,97.69
2962.00,97.67
2961.00,97.64
2960.00,97.63
2959.00,97.62
2958.00,97.61
2957.00,97.60
2956.00,97.58
2955.00,97.56
2954.00,97.54
2953.00,97.51
2952.00,97.46
2951.00,97.41
2950.00,97.37
2949.00,97.35
2948.00,97.33
2947.00,97.33
2946.00,97.32
2945.00,97.31
2944.00,97.28
2943.00,97.25
2942.00,97.22
2941.00,97.19
2940.00,97.16
2939.00,97.12
2938.00,97.08
2937.00,97.04
2936.00,96.99
2935.00,96.96
2934.00,96.93
2933.00,96.92
2932.00,96.91
2931.00,96.89
2930.00,96.86
2929.00,96.82
2928.00,96.79
2927.00,96.76
2926.00,96.74
2925.00,96.72
2924.00,96.72
2923.00,96.72
2922.00,96.73
2921.00,96.73
2920.00,96.72
2919.00,96.70
2918.00,96.67
2917.00,96.63
2916.00,96.60
2915.00,96.58
2914.00,96.56
2913.00,96.53
2912.00,96.50
2911.00,96.48
2910.00,96.46
2909.00,96.45
2908.00,96.44
2907.00,96.40
2906.00,96.35
2905.00,96.29
2904.00,96.26
2903.00,96.24
2902.00,96.24
2901.00,96.23
2900.00,96.22
2899.00,96.19
2898.00,96.17
2897.00,96.16
2896.00,96.15
2895.00,96.15
2894.00,96.14
2893.00,96.13
2892.00,96.11
2891.00,96.10
2890.00,96.10
2889.00,96.09
2888.00,96.08
2887.00,96.07
2886.00,96.07
2885.00,96.08
2884.00,96.09
2883.00,96.12
2882.00,96.14
2881.00,96.15
2880.00,96.15
2879.00,96.15
2878.00,96.15
2877.00,96.16
2876.00,96.17
2875.00,96.18
2874.00,96.19
2873.00,96.20
2872.00,96.22
2871.00,96.23
2870.00,96.24
2869.00,96.25
2868.00,96.28
2867.00,96.31
2866.00,96.34
2865.00,96.37
2864.00,96.39
2863.00,96.40
2862.00,96.42
2861.00,96.43
2860.00,96.45
2859.00,96.47
2858.00,96.49
2857.00,96.52
2856.00,96.56
2855.00,96.60
2854.00,96.63
2853.00,96.65
2852.00,96.68
2851.00,96.71
2850.00,96.75
2849.00,96.79
2848.00,96.83
2847.00,96.86
2846.00,96.89
2845.00,96.92
2844.00,96.95
2843.00,96.97
2842.00,97.00
2841.00,97.01
2840.00,97.01
2839.00,97.01
2838.00,97.02
2837.00,97.03
2836.00,97.06
2835.00,97.09
2834.00,97.14
2833.00,97.18
2832.00,97.22
2831.00,97.25
2830.00,97.27
2829.00,97.27
2828.00,97.27
2827.00,97.27
2826.00,97.26
2825.00,97.26
2824.00,97.27
2823.00,97.27
2822.00,97.28
2821.00,97.30
2820.00,97.31
2819.00,97.33
2818.00,97.34
2817.00,97.35
2816.00,97.36
2815.00,97.37
2814.00,97.39
2813.00,97.40
2812.00,97.40
2811.00,97.40
2810.00,97.41
2809.00,97.42
2808.00,97.43
2807.00,97.45
2806.00,97.46
2805.00,97.47
2804.00,97.48
2803.00,97.49
2802.00,97.50
2801.00,97.51
2800.00,97.51
2799.00,97.51
2798.00,97.51
2797.00,97.52
2796.00,97.52
2795.00,97.53
2794.00,97.54
2793.00,97.53
2792.00,97.54
2791.00,97.54
2790.00,97.55
2789.00,97.56
2788.00,97.57
2787.00,97.58
2786.00,97.58
2785.00,97.59
2784.00,97.59
2783.00,97.61
2782.00,97.63
2781.00,97.64
2780.00,97.65
2779.00,97.65
2778.00,97.66
2777.00,97.67
2776.00,97.67
2775.00,97.67
2774.00,97.66
2773.00,97.65
2772.00,97.64
2771.00,97.63
2770.00,97.64
2769.00,97.65
2768.00,97.67
2767.00,97.69
2766.00,97.71
2765.00,97.71
2764.00,97.71
2763.00,97.72
2762.00,97.73
2761.00,97.74
2760.00,97.76
2759.00,97.77
2758.00,97.78
2757.00,97.78
2756.00,97.78
2755.00,97.76
2754.00,97.75
2753.00,97.74
2752.00,97.74
2751.00,97.74
2750.00,97.75
2749.00,97.76
2748.00,97.77
2747.00,97.78
2746.00,97.78
2745.00,97.78
2744.00,97.77
2743.00,97.76
2742.00,97.75
2741.00,97.75
2740.00,97.76
2739.00,97.77
2738.00,97.78
2737.00,97.78
2736.00,97.77
2735.00,97.76
2734.00,97.74
2733.00,97.73
2732.00,97.73
2731.00,97.74
2730.00,97.77
2729.00,97.79
2728.00,97.80
2727.00,97.80
2726.00,97.80
2725.00,97.79
2724.00,97.78
2723.00,97.79
2722.00,97.80
2721.00,97.81
