Created as New Dataset,146. Fiber Extrusion
cm-1,%T
2665.00,99.04
2664.00,99.04
2663.00,99.02
2662.00,98.99
2661.00,98.96
2660.00,98.94
2659.00,98.92
2658.00,98.92
2657.00,98.93
2656.00,98.93
2655.00,98.94
2654.00,98.95
2653.00,98.95
2652.00,98.94
2651.00,98.94
2650.00,98.93
2649.00,98.92
2648.00,98.91
2647.00,98.90
2646.00,98.89
2645.00,98.88
2644.00,98.88
2643.00,98.88
2642.00,98.87
2641.00,98.86
2640.00,98.84
2639.00,98.83
2638.00,98.82
2637.00,98.82
2636.00,98.81
2635.00,98.81
2634.00,98.80
2633.00,98.78
2632.00,98.77
2631.00,98.75
2630.00,98.74
2629.00,98.72
2628.00,98.70
2627.00,98.69
2626.00,98.69
2625.00,98.70
2624.00,98.71
2623.00,98.72
2622.00,98.72
2621.00,98.72
2620.00,98.73
2619.00,98.74
2618.00,98.73
2617.00,98.72
2616.00,98.70
2615.00,98.69
2614.00,98.68
2613.00,98.67
2612.00,98.67
2611.00,98.68
2610.00,98.70
2609.00,98.72
2608.00,98.72
2607.00,98.71
2606.00,98.68
2605.00,98.65
2604.00,98.63
2603.00,98.62
2602.00,98.63
2601.00,98.65
2600.00,98.65
2599.00,98.65
2598.00,98.63
2597.00,98.62
2596.00,98.62
2595.00,98.62
2594.00,98.63
2593.00,98.63
2592.00,98.60
2591.00,98.56
2590.00,98.53
2589.00,98.51
2588.00,98.51
2587.00,98.51
2586.00,98.51
2585.00,98.50
2584.00,98.50
2583.00,98.50
2582.00,98.50
2581.00,98.50
2580.00,98.50
2579.00,98.50
2578.00,98.50
2577.00,98.50
2576.00,98.51
2575.00,98.53
2574.00,98.53
2573.00,98.51
2572.00,98.48
2571.00,98.47
2570.00,98.47
2569.00,98.48
2568.00,98.48
2567.00,98.47
2566.00,98.46
2565.00,98.46
2564.00,98.47
2563.00,98.48
2562.00,98.49
2561.00,98.49
2560.00,98.49
2559.00,98.49
2558.00,98.49
2557.00,98.49
2556.00,98.48
2555.00,98.47
2554.00,98.47
2553.00,98.46
2552.00,98.45
2551.00,98.44
2550.00,98.45
2549.00,98.46
2548.00,98.46
2547.00,98.45
2546.00,98.45
2545.00,98.44
2544.00,98.43
2543.00,98.42
2542.00,98.41
2541.00,98.41
2540.00,98.42
2539.00,98.42
2538.00,98.42
2537.00,98.41
2536.00,98.42
2535.00,98.43
2534.00,98.45
2533.00,98.45
2532.00,98.45
2531.00,98.43
2530.00,98.42
2529.00,98.42
2528.00,98.44
2527.00,98.46
2526.00,98.47
2525.00,98.47
2524.00,98.45
2523.00,98.43
2522.00,98.41
2521.00,98.40
2520.00,98.40
2519.00,98.40
2518.00,98.41
2517.00,98.43
2516.00,98.45
2515.00,98.47
2514.00,98.49
2513.00,98.49
2512.00,98.48
2511.00,98.46
2510.00,98.44
2509.00,98.43
2508.00,98.43
2507.00,98.45
2506.00,98.47
2505.00,98.48
2504.00,98.47
2503.00,98.46
2502.00,98.45
2501.00,98.45
2500.00,98.46
2499.00,98.47
2498.00,98.48
2497.00,98.48
2496.00,98.48
2495.00,98.48
2494.00,98.48
2493.00,98.47
2492.00,98.45
2491.00,98.43
2490.00,98.42
2489.00,98.43
2488.00,98.45
2487.00,98.48
2486.00,98.49
2485.00,98.49
2484.00,98.50
2483.00,98.50
2482.00,98.49
2481.00,98.47
2480.00,98.46
2479.00,98.46
2478.00,98.48
2477.00,98.50
2476.00,98.52
2475.00,98.52
2474.00,98.51
2473.00,98.50
2472.00,98.49
2471.00,98.50
2470.00,98.51
2469.00,98.53
2468.00,98.54
2467.00,98.55
2466.00,98.55
2465.00,98.55
2464.00,98.55
2463.00,98.53
2462.00,98.51
2461.00,98.50
2460.00,98.50
2459.00,98.51
