Created as New Dataset,64. Modacrylic Toray Dyed
cm-1,%T
2792.00,95.99
2791.00,95.99
2790.00,95.99
2789.00,96.00
2788.00,96.02
2787.00,96.04
2786.00,96.05
2785.00,96.06
2784.00,96.06
2783.00,96.06
2782.00,96.08
2781.00,96.09
2780.00,96.10
2779.00,96.10
2778.00,96.09
2777.00,96.09
2776.00,96.09
2775.00,96.11
2774.00,96.12
2773.00,96.13
2772.00,96.14
2771.00,96.15
2770.00,96.16
2769.00,96.16
2768.00,96.17
2767.00,96.16
2766.00,96.14
2765.00,96.13
2764.00,96.13
2763.00,96.15
2762.00,96.17
2761.00,96.18
2760.00,96.18
2759.00,96.17
2758.00,96.17
2757.00,96.16
2756.00,96.15
2755.00,96.13
2754.00,96.13
2753.00,96.14
2752.00,96.15
2751.00,96.16
2750.00,96.15
2749.00,96.14
2748.00,96.13
2747.00,96.13
2746.00,96.13
2745.00,96.13
2744.00,96.13
2743.00,96.12
2742.00,96.12
2741.00,96.13
2740.00,96.14
2739.00,96.15
2738.00,96.16
2737.00,96.16
2736.00,96.16
2735.00,96.15
2734.00,96.14
2733.00,96.13
2732.00,96.14
2731.00,96.16
2730.00,96.17
2729.00,96.17
2728.00,96.16
2727.00,96.14
2726.00,96.14
2725.00,96.14
2724.00,96.14
2723.00,96.15
2722.00,96.16
2721.00,96.16
2720.00,96.15
2719.00,96.14
2718.00,96.13
2717.00,96.13
2716.00,96.14
2715.00,96.16
2714.00,96.18
2713.00,96.19
2712.00,96.20
2711.00,96.19
2710.00,96.19
2709.00,96.18
2708.00,96.17
2707.00,96.16
2706.00,96.15
2705.00,96.15
2704.00,96.15
2703.00,96.14
2702.00,96.14
2701.00,96.14
2700.00,96.15
2699.00,96.16
2698.00,96.17
2697.00,96.18
2696.00,96.19
2695.00,96.20
2694.00,96.21
2693.00,96.21
2692.00,96.20
2691.00,96.20
2690.00,96.20
2689.00,96.20
2688.00,96.20
2687.00,96.20
2686.00,96.20
2685.00,96.19
2684.00,96.18
2683.00,96.17
2682.00,96.16
2681.00,96.16
2680.00,96.17
2679.00,96.18
2678.00,96.20
2677.00,96.22
2676.00,96.23
2675.00,96.23
2674.00,96.22
2673.00,96.21
2672.00,96.20
2671.00,96.20
2670.00,96.21
2669.00,96.21
2668.00,96.22
2667.00,96.22
2666.00,96.22
2665.00,96.22
2664.00,96.20
2663.00,96.19
2662.00,96.17
2661.00,96.17
2660.00,96.16
2659.00,96.16
2658.00,96.15
2657.00,96.15
2656.00,96.13
2655.00,96.12
2654.00,96.09
2653.00,96.08
2652.00,96.07
2651.00,96.07
2650.00,96.07
2649.00,96.06
2648.00,96.05
2647.00,96.03
2646.00,96.01
2645.00,96.00
2644.00,95.98
2643.00,95.97
2642.00,95.95
2641.00,95.93
2640.00,95.92
2639.00,95.91
2638.00,95.92
2637.00,95.93
2636.00,95.94
2635.00,95.95
2634.00,95.94
2633.00,95.92
2632.00,95.89
2631.00,95.87
2630.00,95.84
2629.00,95.83
2628.00,95.82
2627.00,95.83
2626.00,95.83
2625.00,95.83
2624.00,95.82
2623.00,95.82
2622.00,95.82
2621.00,95.81
2620.00,95.79
2619.00,95.77
2618.00,95.75
2617.00,95.75
2616.00,95.76
2615.00,95.78
2614.00,95.80
2613.00,95.80
2612.00,95.79
2611.00,95.76
2610.00,95.74
2609.00,95.73
2608.00,95.73
2607.00,95.74
2606.00,95.75
2605.00,95.75
2604.00,95.75
2603.00,95.74
2602.00,95.73
2601.00,95.71
2600.00,95.70
2599.00,95.69
2598.00,95.68
2597.00,95.68
2596.00,95.68
2595.00,95.68
2594.00,95.67
2593.00,95.67
2592.00,95.67
2591.00,95.67
2590.00,95.66
2589.00,95.64
2588.00,95.63
2587.00,95.63
2586.00,95.64
2585.00,95.64
2584.00,95.62
2583.00,95.61
2582.00,95.61
2581.00,95.61
2580.00,95.61
2579.00,95.61
2578.00,95.60
2577.00,95.59
2576.00,95.59
2575.00,95.59
2574.00,95.59
2573.00,95.59
2572.00,95.59
2571.00,95.60
2570.00,95.61
2569.00,95.60
2568.00,95.57
2567.00,95.54
2566.00,95.52
2565.00,95.51
2564.00,95.51
2563.00,95.50
2562.00,95.49
2561.00,95.48
2560.00,95.50
2559.00,95.54
2558.00,95.58
2557.00,95.60
2556.00,95.60
2555.00,95.58
2554.00,95.56
2553.00,95.55
2552.00,95.53
2551.00,95.53
2550.00,95.52
2549.00,95.52
2548.00,95.50
2547.00,95.48
2546.00,95.48
2545.00,95.50
2544.00,95.53
2543.00,95.55
2542.00,95.58
2541.00,95.59
2540.00,95.59
2539.00,95.59
2538.00,95.60
2537.00,95.61
2536.00,95.61
2535.00,95.58
2534.00,95.55
2533.00,95.52
2532.00,95.51
2531.00,95.53
2530.00,95.55
2529.00,95.55
2528.00,95.54
2527.00,95.53
2526.00,95.52
2525.00,95.52
2524.00,95.54
2523.00,95.55
2522.00,95.55
2521.00,95.54
2520.00,95.53
2519.00,95.54
2518.00,95.56
2517.00,95.59
2516.00,95.61
2515.00,95.59
2514.00,95.56
2513.00,95.53
2512.00,95.52
2511.00,95.53
2510.00,95.54
2509.00,95.55
2508.00,95.55
2507.00,95.56
2506.00,95.56
2505.00,95.55
2504.00,95.54
2503.00,95.52
2502.00,95.51
2501.00,95.51
2500.00,95.51
2499.00,95.53
2498.00,95.56
2497.00,95.58
2496.00,95.60
2495.00,95.59
2494.00,95.59
2493.00,95.58
2492.00,95.59
2491.00,95.59
2490.00,95.60
2489.00,95.60
2488.00,95.58
2487.00,95.56
2486.00,95.55
2485.00,95.55
