Created as New Dataset,61 Modacrylic Monsanto Elura USA Brown. PAN +VBr + aromatic sulphonate dye site. Wig fiber. Obsolete.
cm-1,%T
2682.00,97.26
2681.00,97.25
2680.00,97.25
2679.00,97.25
2678.00,97.25
2677.00,97.24
2676.00,97.23
2675.00,97.23
2674.00,97.25
2673.00,97.27
2672.00,97.29
2671.00,97.29
2670.00,97.29
2669.00,97.28
2668.00,97.26
2667.00,97.25
2666.00,97.25
2665.00,97.25
2664.00,97.25
2663.00,97.25
2662.00,97.25
2661.00,97.26
2660.00,97.26
2659.00,97.25
2658.00,97.23
2657.00,97.20
2656.00,97.18
2655.00,97.17
2654.00,97.17
2653.00,97.18
2652.00,97.19
2651.00,97.18
2650.00,97.16
2649.00,97.14
2648.00,97.11
2647.00,97.09
2646.00,97.08
2645.00,97.08
2644.00,97.09
2643.00,97.11
2642.00,97.12
2641.00,97.13
2640.00,97.13
2639.00,97.13
2638.00,97.13
2637.00,97.13
2636.00,97.13
2635.00,97.12
2634.00,97.13
2633.00,97.13
2632.00,97.12
2631.00,97.11
2630.00,97.10
2629.00,97.09
2628.00,97.08
2627.00,97.07
2626.00,97.07
2625.00,97.07
2624.00,97.07
2623.00,97.07
2622.00,97.07
2621.00,97.07
2620.00,97.07
2619.00,97.08
2618.00,97.09
2617.00,97.09
2616.00,97.08
2615.00,97.09
2614.00,97.09
2613.00,97.10
2612.00,97.10
2611.00,97.08
2610.00,97.06
2609.00,97.03
2608.00,97.02
2607.00,97.01
2606.00,97.02
2605.00,97.02
2604.00,97.02
2603.00,97.01
2602.00,97.01
2601.00,97.00
2600.00,97.01
2599.00,97.01
2598.00,97.01
2597.00,97.02
2596.00,97.03
2595.00,97.06
2594.00,97.08
2593.00,97.09
2592.00,97.09
2591.00,97.08
2590.00,97.07
2589.00,97.06
2588.00,97.06
2587.00,97.06
2586.00,97.05
2585.00,97.03
2584.00,97.01
2583.00,97.00
2582.00,97.01
2581.00,97.01
2580.00,97.02
2579.00,97.01
2578.00,97.00
2577.00,96.99
2576.00,96.97
2575.00,96.95
2574.00,96.94
2573.00,96.93
2572.00,96.94
2571.00,96.96
2570.00,96.97
