Created as New Dataset,13.3 Red Wool Romney sheep
cm-1,%T
2914.00,81.72
2913.00,82.43
2912.00,83.12
2911.00,83.73
2910.00,84.27
2909.00,84.73
2908.00,85.12
2907.00,85.46
2906.00,85.76
2905.00,86.03
2904.00,86.28
2903.00,86.51
2902.00,86.73
2901.00,86.94
2900.00,87.14
2899.00,87.35
2898.00,87.55
2897.00,87.74
2896.00,87.93
2895.00,88.10
2894.00,88.27
2893.00,88.44
2892.00,88.60
2891.00,88.75
2890.00,88.89
2889.00,89.01
2888.00,89.14
2887.00,89.26
2886.00,89.38
2885.00,89.49
2884.00,89.58
2883.00,89.66
2882.00,89.73
2881.00,89.77
2880.00,89.78
2879.00,89.78
2878.00,89.76
2877.00,89.74
2876.00,89.71
2875.00,89.67
2874.00,89.64
2873.00,89.62
2872.00,89.60
2871.00,89.58
2870.00,89.58
2869.00,89.59
2868.00,89.62
2867.00,89.65
2866.00,89.68
2865.00,89.68
2864.00,89.67
2863.00,89.62
2862.00,89.52
2861.00,89.36
2860.00,89.13
2859.00,88.83
2858.00,88.48
2857.00,88.09
2856.00,87.69
2855.00,87.28
2854.00,86.89
2853.00,86.54
2852.00,86.27
2851.00,86.11
2850.00,86.13
2849.00,86.42
2848.00,87.00
2847.00,87.80
2846.00,88.72
2845.00,89.61
2844.00,90.39
2843.00,91.04
2842.00,91.58
2841.00,92.03
2840.00,92.42
2839.00,92.75
2838.00,93.03
2837.00,93.26
2836.00,93.45
2835.00,93.61
2834.00,93.76
2833.00,93.88
2832.00,94.00
2831.00,94.11
2830.00,94.22
2829.00,94.33
2828.00,94.43
2827.00,94.52
2826.00,94.62
2825.00,94.73
2824.00,94.83
2823.00,94.91
2822.00,94.99
2821.00,95.06
2820.00,95.12
2819.00,95.18
2818.00,95.23
2817.00,95.28
2816.00,95.34
2815.00,95.40
2814.00,95.45
2813.00,95.50
2812.00,95.55
2811.00,95.60
2810.00,95.66
2809.00,95.71
2808.00,95.76
2807.00,95.80
2806.00,95.84
2805.00,95.87
2804.00,95.90
2803.00,95.93
2802.00,95.98
2801.00,96.02
2800.00,96.07
2799.00,96.11
2798.00,96.14
2797.00,96.16
2796.00,96.18
2795.00,96.20
2794.00,96.23
2793.00,96.25
2792.00,96.28
2791.00,96.32
2790.00,96.36
2789.00,96.40
2788.00,96.44
2787.00,96.47
2786.00,96.49
2785.00,96.51
2784.00,96.53
2783.00,96.55
2782.00,96.57
2781.00,96.59
2780.00,96.62
2779.00,96.66
2778.00,96.69
2777.00,96.73
2776.00,96.75
2775.00,96.78
2774.00,96.81
2773.00,96.83
2772.00,96.85
2771.00,96.87
2770.00,96.89
2769.00,96.91
2768.00,96.91
2767.00,96.92
2766.00,96.93
2765.00,96.95
2764.00,96.97
2763.00,96.99
2762.00,97.02
2761.00,97.04
2760.00,97.06
2759.00,97.08
2758.00,97.09
2757.00,97.10
2756.00,97.11
2755.00,97.13
2754.00,97.14
2753.00,97.16
2752.00,97.19
2751.00,97.22
2750.00,97.25
2749.00,97.27
2748.00,97.29
2747.00,97.30
2746.00,97.30
2745.00,97.30
2744.00,97.31
2743.00,97.32
2742.00,97.34
2741.00,97.37
2740.00,97.40
2739.00,97.43
2738.00,97.44
2737.00,97.45
2736.00,97.45
2735.00,97.45
2734.00,97.47
2733.00,97.49
2732.00,97.52
2731.00,97.54
2730.00,97.55
2729.00,97.56
2728.00,97.56
2727.00,97.56
2726.00,97.57
2725.00,97.59
2724.00,97.63
2723.00,97.66
2722.00,97.68
2721.00,97.69
2720.00,97.69
2719.00,97.69
2718.00,97.70
2717.00,97.72
2716.00,97.74
2715.00,97.76
2714.00,97.78
2713.00,97.79
2712.00,97.81
2711.00,97.83
2710.00,97.85
2709.00,97.87
2708.00,97.88
2707.00,97.88
2706.00,97.89
2705.00,97.89
2704.00,97.90
2703.00,97.92
2702.00,97.93
2701.00,97.94
2700.00,97.95
2699.00,97.96
2698.00,97.96
2697.00,97.95
2696.00,97.94
2695.00,97.94
2694.00,97.93
2693.00,97.93
2692.00,97.94
2691.00,97.95
2690.00,97.96
2689.00,97.96
2688.00,97.96
2687.00,97.96
2686.00,97.98
2685.00,98.01
2684.00,98.04
2683.00,98.07
2682.00,98.09
2681.00,98.11
2680.00,98.12
2679.00,98.13
2678.00,98.14
2677.00,98.15
2676.00,98.16
2675.00,98.17
2674.00,98.19
2673.00,98.21
2672.00,98.23
2671.00,98.25
2670.00,98.26
2669.00,98.28
2668.00,98.29
2667.00,98.30
2666.00,98.31
2665.00,98.32
