Created as New Dataset,14.3 Red Wool sheep crepe
cm-1,%T
3263.00,84.11
3262.00,84.15
3261.00,84.20
3260.00,84.24
3259.00,84.27
3258.00,84.30
3257.00,84.32
3256.00,84.35
3255.00,84.40
3254.00,84.46
3253.00,84.51
3252.00,84.55
3251.00,84.59
3250.00,84.64
3249.00,84.70
3248.00,84.77
3247.00,84.83
3246.00,84.88
3245.00,84.92
3244.00,84.97
3243.00,85.03
3242.00,85.09
3241.00,85.15
3240.00,85.21
3239.00,85.26
3238.00,85.30
3237.00,85.33
3236.00,85.35
3235.00,85.36
3234.00,85.39
3233.00,85.42
3232.00,85.45
3231.00,85.49
3230.00,85.54
3229.00,85.59
3228.00,85.63
3227.00,85.65
3226.00,85.67
3225.00,85.69
3224.00,85.72
3223.00,85.77
3222.00,85.82
3221.00,85.87
3220.00,85.91
3219.00,85.94
3218.00,85.96
3217.00,85.99
3216.00,86.02
3215.00,86.06
3214.00,86.10
3213.00,86.13
3212.00,86.16
3211.00,86.18
3210.00,86.19
3209.00,86.20
3208.00,86.21
3207.00,86.24
3206.00,86.27
3205.00,86.31
3204.00,86.35
3203.00,86.38
3202.00,86.40
3201.00,86.43
3200.00,86.47
3199.00,86.52
3198.00,86.57
3197.00,86.62
3196.00,86.67
3195.00,86.72
3194.00,86.77
3193.00,86.81
3192.00,86.84
3191.00,86.88
3190.00,86.93
3189.00,86.97
3188.00,87.02
3187.00,87.05
3186.00,87.09
3185.00,87.14
3184.00,87.19
3183.00,87.24
3182.00,87.28
3181.00,87.31
3180.00,87.36
3179.00,87.41
3178.00,87.47
3177.00,87.53
3176.00,87.58
3175.00,87.63
3174.00,87.68
3173.00,87.72
3172.00,87.76
3171.00,87.80
3170.00,87.85
3169.00,87.89
3168.00,87.94
3167.00,88.00
3166.00,88.06
3165.00,88.12
3164.00,88.18
3163.00,88.22
3162.00,88.26
3161.00,88.30
3160.00,88.33
3159.00,88.37
3158.00,88.40
3157.00,88.44
3156.00,88.47
3155.00,88.51
3154.00,88.56
3153.00,88.61
3152.00,88.67
3151.00,88.74
3150.00,88.80
3149.00,88.86
3148.00,88.89
3147.00,88.91
3146.00,88.93
3145.00,88.97
